Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																			
Дата голосования: 04.12.2011																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Абзелиловская																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819					
		3.68%	2.55%	3.88%	1.55%	8.03%	8.43%	3.28%	4.64%	1.43%	3.72%	5.01%	2.47%	6.67%	3.70%	1.29%	3.14%	0.00%	4.68%	5.18%	2.33%	0.89%	3.07%	3.61%	0.53%	2.09%	0.66%	2.35%	0.41%	0.99%	5.22%	6.45%	0.84%	0.00%	4.94%	4.58%	3.32%	1.98%	9.15%	1.01%	0.00%	2.18%	7.63%	2.32%	5.33%	5.40%	7.45%	5.26%	1.72%	1.90%	2.11%	7.79%	5.54%	1.44%	2.92%	1.58%	4.19%	1.84%	3.16%	1.20%	5.02%	3.45%	4.96%	4.65%	1.70%	3.91%	3.34%	1.04%	6.63%	5.22%	2.30%	1.26%	0.00%	2.37%	2.38%	4.00%	5.86%	3.58%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	203	1	3	0	2	4	0	5	0	3	2	2	5	12	2	4	1	17	7	1	1	9	1	0	2	1	0	4	0	1	1	1	0	1	0	2	1	1	0	0	2	8	1	1	1	3	0	4	3	2	5	3	1	1	3	1	8	0	0	3	0	4	1	4	3	2	1	5	1	4	11	0	1	0	1	3	15					
		0.77%	0.32%	0.78%	0.00%	0.80%	2.25%	0.00%	0.68%	0.00%	0.80%	0.59%	0.71%	1.96%	1.06%	0.86%	0.50%	1.33%	1.66%	0.93%	2.33%	0.45%	0.99%	0.60%	0.00%	0.84%	0.33%	0.00%	0.82%	0.00%	0.87%	0.18%	0.84%	0.00%	0.38%	0.00%	0.33%	0.40%	0.70%	0.00%	0.00%	0.49%	0.57%	0.26%	0.59%	0.32%	3.19%	0.00%	0.57%	0.95%	1.05%	1.08%	1.04%	0.72%	0.42%	1.19%	0.60%	1.05%	0.00%	0.00%	1.16%	0.00%	0.74%	0.78%	1.70%	1.17%	0.48%	0.26%	1.33%	0.25%	0.51%	2.76%	0.00%	0.40%	0.00%	0.44%	0.93%	1.85%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6107	39	101	27	93	39	11	232	34	135	96	74	61	258	31	255	19	307	215	7	71	228	16	40	61	32	36	166	45	31	188	50	48	45	56	150	32	8	46	16	41	245	36	49	46	14	7	169	66	35	91	46	45	80	67	59	154	58	7	53	39	98	15	90	49	63	41	109	106	259	73	26	55	44	33	64	176					
		23.10%	12.42%	26.10%	20.93%	37.35%	21.91%	18.03%	31.69%	16.19%	35.90%	28.32%	26.15%	23.92%	22.73%	13.36%	31.99%	25.33%	29.92%	28.55%	16.28%	31.70%	25.03%	9.64%	21.39%	25.52%	10.60%	21.18%	34.09%	22.28%	26.96%	34.62%	42.02%	19.67%	17.11%	36.60%	24.92%	12.70%	5.63%	23.23%	16.84%	9.95%	17.48%	9.28%	28.99%	14.60%	14.89%	7.37%	24.18%	20.89%	18.42%	19.70%	15.92%	32.37%	33.33%	26.48%	35.33%	20.26%	22.92%	8.43%	20.46%	19.21%	18.01%	11.63%	38.30%	19.14%	15.04%	10.68%	28.91%	26.37%	33.12%	18.34%	18.06%	21.74%	11.64%	14.67%	19.75%	21.70%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	210	1	3	4	3	2	0	15	0	1	0	5	3	13	1	8	7	7	9	1	1	11	0	1	2	0	1	4	0	0	1	1	0	0	0	5	0	0	0	1	1	14	1	0	9	0	0	4	0	0	13	6	1	1	4	2	4	1	1	1	0	2	0	2	0	3	1	8	1	0	4	0	1	0	4	4	6					
		0.79%	0.32%	0.78%	3.10%	1.20%	1.12%	0.00%	2.05%	0.00%	0.27%	0.00%	1.77%	1.18%	1.15%	0.43%	1.00%	9.33%	0.68%	1.20%	2.33%	0.45%	1.21%	0.00%	0.53%	0.84%	0.00%	0.59%	0.82%	0.00%	0.00%	0.18%	0.84%	0.00%	0.00%	0.00%	0.83%	0.00%	0.00%	0.00%	1.05%	0.24%	0.99%	0.26%	0.00%	2.86%	0.00%	0.00%	0.57%	0.00%	0.00%	2.81%	2.08%	0.72%	0.42%	1.58%	1.20%	0.53%	0.40%	1.20%	0.39%	0.00%	0.37%	0.00%	0.85%	0.00%	0.72%	0.26%	2.12%	0.25%	0.00%	1.01%	0.00%	0.40%	0.00%	1.78%	1.23%	0.74%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15738	233	205	76	103	102	40	330	148	180	190	151	149	622	161	394	41	466	350	28	136	525	132	117	145	243	117	259	135	65	264	62	181	177	65	375	192	104	129	71	304	675	307	89	186	48	78	420	192	143	258	179	78	132	150	93	534	155	66	162	139	352	100	113	158	287	319	181	236	449	289	105	164	294	160	193	487					
		59.53%	74.20%	52.97%	58.91%	41.37%	57.30%	65.57%	45.08%	70.48%	47.87%	56.05%	53.36%	58.43%	54.80%	69.40%	49.44%	54.67%	45.42%	46.48%	65.12%	60.71%	57.63%	79.52%	62.57%	60.67%	80.46%	68.82%	53.18%	66.83%	56.52%	48.62%	52.10%	74.18%	67.30%	42.48%	62.29%	76.19%	73.24%	65.15%	74.74%	73.79%	48.15%	79.12%	52.66%	59.05%	51.06%	82.11%	60.09%	60.76%	75.26%	55.84%	61.94%	56.12%	55.00%	59.29%	55.69%	70.26%	61.26%	79.52%	62.55%	68.47%	64.71%	77.52%	48.09%	61.72%	68.50%	83.07%	48.01%	58.71%	57.42%	72.61%	72.92%	64.82%	77.78%	71.11%	59.57%	60.05%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	106	2	0	0	2	1	1	2	0	2	1	1	0	10	1	2	1	14	1	0	0	6	0	0	0	0	1	1	0	1	0	1	0	1	2	2	0	0	2	1	2	6	2	1	3	0	1	2	0	0	0	2	0	0	1	0	3	1	0	2	1	3	0	0	1	2	3	0	0	3	1	1	1	2	0	0	3					
		0.40%	0.64%	0.00%	0.00%	0.80%	0.56%	1.64%	0.27%	0.00%	0.53%	0.29%	0.35%	0.00%	0.88%	0.43%	0.25%	1.33%	1.36%	0.13%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%	0.59%	0.21%	0.00%	0.87%	0.00%	0.84%	0.00%	0.38%	1.31%	0.33%	0.00%	0.00%	1.01%	1.05%	0.49%	0.43%	0.52%	0.59%	0.95%	0.00%	1.05%	0.29%	0.00%	0.00%	0.00%	0.69%	0.00%	0.00%	0.40%	0.00%	0.39%	0.40%	0.00%	0.77%	0.49%	0.55%	0.00%	0.00%	0.39%	0.48%	0.78%	0.00%	0.00%	0.38%	0.25%	0.69%	0.40%	0.53%	0.00%	0.00%	0.37%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
