Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
Наименование Избирательной комиссии:    Абзелиловская																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №744	УИК №745	УИК №746	УИК №747	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №761	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768	УИК №769	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	288	1	1	0	2	2	2	13	2	1	4	1	2	25	5	24	0	26	24	0	2	15	0	2	0	2	2	2	6	6	0	5	2	2	0	0	5	2	0	0	3	6	4	0	0	4	7	8	0	0	6	2	5	0	0	0	3	5	5	0	4	2	8	0	2	1	1	2	2	0	4	0	0	2	0	1	1	12					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	239	1	0	0	1	1	0	11	1	1	4	1	2	25	3	22	0	24	20	0	1	15	0	1	0	2	2	2	6	6	0	5	1	1	0	0	4	0	0	0	3	6	4	0	0	2	7	8	0	0	5	2	5	0	0	0	3	3	5	0	1	1	4	0	0	1	1	0	0	0	2	0	0	0	0	0	1	12					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	257	2	1	1	2	1	1	7	1	1	0	3	3	12	3	13	1	11	7	0	2	2	2	1	1	1	2	1	1	0	4	4	2	1	2	3	11	0	2	0	2	3	5	1	6	2	40	19	1	1	2	2	2	1	1	1	2	0	2	1	4	0	8	2	0	0	2	7	4	0	7	1	0	4	0	3	3	6					
14	Число погашенных неиспользованных открепительных удостоверений	49	0	1	0	1	1	2	2	1	0	0	0	0	0	2	2	0	2	4	0	1	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	0	2	0	0	3	1	4	0	2	0	0	2	2	0	2	0	0	2	0	1	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	12	0	0	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
18	1.Политическая партия «Аграрная партия России»	705	6	14	5	0	4	2	29	1	18	8	10	0	39	0	30	3	24	25	1	6	6	6	5	0	5	5	18	9	1	2	17	0	5	5	3	5	6	1	4	16	10	16	4	5	22	11	6	4	1	13	11	3	8	5	10	0	19	7	3	6	3	22	3	1	9	16	5	24	31	15	0	0	8	13	9	14	24					
		2.71%	2.14%	3.62%	4.35%	0.00%	2.03%	3.13%	3.23%	0.50%	4.38%	2.27%	3.88%	0.00%	3.24%	0.00%	3.29%	4.69%	2.53%	2.92%	1.41%	2.71%	0.92%	3.57%	2.84%	0.00%	1.75%	3.40%	7.09%	1.63%	0.52%	1.47%	2.87%	0.00%	1.94%	2.18%	1.80%	0.89%	2.67%	0.78%	2.29%	3.45%	1.34%	2.37%	1.21%	3.70%	7.53%	2.02%	2.03%	3.92%	1.18%	1.84%	4.04%	1.61%	6.61%	2.08%	4.27%	0.00%	2.73%	2.50%	3.95%	2.63%	1.91%	3.91%	2.52%	0.46%	3.78%	4.13%	1.40%	7.04%	7.58%	1.97%	0.00%	0.00%	3.88%	4.02%	5.08%	4.96%	3.67%					
19	2.Всероссийская политическая партия «Гражданская Сила»	45	0	0	0	0	1	0	0	0	0	1	0	0	1	0	2	0	5	0	0	3	1	0	2	1	0	1	0	0	0	0	2	0	0	0	0	0	1	0	1	1	2	0	0	0	5	0	1	1	0	2	0	0	0	3	0	0	0	1	0	2	0	2	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1					
		0.17%	0.00%	0.00%	0.00%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.08%	0.00%	0.22%	0.00%	0.53%	0.00%	0.00%	1.36%	0.15%	0.00%	1.14%	0.48%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.00%	0.44%	0.00%	0.57%	0.22%	0.27%	0.00%	0.00%	0.00%	1.71%	0.00%	0.34%	0.98%	0.00%	0.28%	0.00%	0.00%	0.00%	1.25%	0.00%	0.00%	0.00%	0.36%	0.00%	0.88%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%					
20	3.Политическая партия «Демократическая партия России»	22	1	1	0	0	0	0	0	0	0	0	2	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	4	2	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0					
		0.08%	0.36%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.22%	1.56%	0.11%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.00%	2.55%	0.36%	0.00%	0.46%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	1768	8	53	11	15	9	2	85	14	26	35	27	6	110	9	54	2	71	61	1	19	77	16	21	13	6	18	22	16	4	11	43	2	17	7	18	17	5	8	12	18	47	35	17	19	12	20	4	12	0	27	17	4	13	31	11	15	60	37	4	14	0	52	7	20	30	44	8	17	22	58	3	2	10	18	14	29	66					
		6.79%	2.86%	13.70%	9.57%	5.30%	4.57%	3.13%	9.48%	6.97%	6.33%	9.92%	10.47%	2.11%	9.14%	4.33%	5.93%	3.13%	7.47%	7.13%	1.41%	8.60%	11.77%	9.52%	11.93%	6.25%	2.11%	12.24%	8.66%	2.90%	2.06%	8.09%	7.25%	1.68%	6.59%	3.06%	10.78%	3.04%	2.22%	6.25%	6.86%	3.88%	6.29%	5.19%	5.15%	14.07%	4.11%	3.67%	1.35%	11.76%	0.00%	3.81%	6.25%	2.15%	10.74%	12.92%	4.70%	8.82%	8.63%	13.21%	5.26%	6.14%	0.00%	9.25%	5.88%	9.17%	12.61%	11.37%	2.25%	4.99%	5.38%	7.61%	0.76%	1.49%	4.85%	5.57%	7.91%	10.28%	10.09%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	56	0	1	0	0	0	0	0	0	15	1	0	0	3	2	1	0	1	6	0	1	2	0	0	0	1	0	0	1	0	0	2	0	0	0	0	1	0	0	0	1	0	3	2	0	0	3	1	0	0	1	0	0	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4					
		0.22%	0.00%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.65%	0.28%	0.00%	0.00%	0.25%	0.96%	0.11%	0.00%	0.11%	0.70%	0.00%	0.45%	0.31%	0.00%	0.00%	0.00%	0.35%	0.00%	0.00%	0.18%	0.00%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.22%	0.00%	0.44%	0.61%	0.00%	0.00%	0.55%	0.34%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.14%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%					
23	6.Политическая партия «Партия социальной справедливости»	36	0	0	0	0	0	0	0	0	0	3	0	0	0	0	5	0	2	1	0	0	0	0	0	0	0	1	0	6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	1	0	0	3	2	0	1	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	2	0	0	0	0					
		0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.21%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	1.09%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.68%	0.00%	0.34%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	1.25%	0.85%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.97%	0.00%	0.00%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	464	6	14	0	1	12	2	2	0	9	5	4	0	29	0	17	1	21	21	0	4	16	3	0	2	3	3	3	5	2	2	17	0	5	0	8	0	0	6	6	9	4	25	4	6	14	14	7	2	0	12	3	1	3	5	3	1	13	3	1	4	4	8	2	1	2	7	2	15	7	8	0	0	4	4	4	14	19					
		1.78%	2.14%	3.62%	0.00%	0.35%	6.09%	3.13%	0.22%	0.00%	2.19%	1.42%	1.55%	0.00%	2.41%	0.00%	1.87%	1.56%	2.21%	2.46%	0.00%	1.81%	2.45%	1.79%	0.00%	0.96%	1.05%	2.04%	1.18%	0.91%	1.03%	1.47%	2.87%	0.00%	1.94%	0.00%	4.79%	0.00%	0.00%	4.69%	3.43%	1.94%	0.54%	3.70%	1.21%	4.44%	4.79%	2.57%	2.36%	1.96%	0.00%	1.69%	1.10%	0.54%	2.48%	2.08%	1.28%	0.59%	1.87%	1.07%	1.32%	1.75%	2.55%	1.42%	1.68%	0.46%	0.84%	1.81%	0.56%	4.40%	1.71%	1.05%	0.00%	0.00%	1.94%	1.24%	2.26%	4.96%	2.91%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	596	0	6	3	11	6	0	2	0	0	15	6	2	60	6	23	1	51	57	1	1	15	3	7	3	5	1	8	12	0	6	11	0	4	0	1	2	9	3	7	14	22	20	3	4	13	10	16	0	0	3	2	0	3	1	8	1	18	7	0	0	2	13	2	0	4	8	4	13	4	4	0	1	0	8	5	8	27					
		2.29%	0.00%	1.55%	2.61%	3.89%	3.05%	0.00%	0.22%	0.00%	0.00%	4.25%	2.33%	0.70%	4.98%	2.88%	2.52%	1.56%	5.37%	6.67%	1.41%	0.45%	2.29%	1.79%	3.98%	1.44%	1.75%	0.68%	3.15%	2.18%	0.00%	4.41%	1.85%	0.00%	1.55%	0.00%	0.60%	0.36%	4.00%	2.34%	4.00%	3.02%	2.95%	2.96%	0.91%	2.96%	4.45%	1.83%	5.41%	0.00%	0.00%	0.42%	0.74%	0.00%	2.48%	0.42%	3.42%	0.59%	2.59%	2.50%	0.00%	0.00%	1.27%	2.31%	1.68%	0.00%	1.68%	2.07%	1.12%	3.81%	0.98%	0.52%	0.00%	0.75%	0.00%	2.48%	2.82%	2.84%	4.13%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	105	2	2	0	4	0	0	0	1	1	2	2	1	4	0	8	0	1	7	0	1	4	0	0	2	1	0	4	0	0	1	6	0	0	0	1	0	0	0	5	2	1	5	0	1	0	5	2	1	0	2	0	0	0	1	4	1	1	2	2	0	0	4	0	1	1	2	1	1	2	0	0	0	0	1	0	0	2					
		0.40%	0.71%	0.52%	0.00%	1.41%	0.00%	0.00%	0.00%	0.50%	0.24%	0.57%	0.78%	0.35%	0.33%	0.00%	0.88%	0.00%	0.11%	0.82%	0.00%	0.45%	0.61%	0.00%	0.00%	0.96%	0.35%	0.00%	1.57%	0.00%	0.00%	0.74%	1.01%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	2.86%	0.43%	0.13%	0.74%	0.00%	0.74%	0.00%	0.92%	0.68%	0.98%	0.00%	0.28%	0.00%	0.00%	0.00%	0.42%	1.71%	0.59%	0.14%	0.71%	2.63%	0.00%	0.00%	0.71%	0.00%	0.46%	0.42%	0.52%	0.28%	0.29%	0.49%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.31%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	21954	254	295	96	237	165	58	772	184	337	283	203	275	944	190	760	53	761	660	66	183	530	139	138	184	264	118	198	498	186	111	491	110	224	206	136	534	203	110	138	399	659	570	300	85	210	477	258	82	82	647	237	177	94	189	188	146	581	218	65	198	140	448	105	184	191	303	333	269	325	668	391	126	180	276	141	215	503					
		84.30%	90.71%	76.23%	83.48%	83.75%	83.76%	90.63%	86.06%	91.54%	81.99%	80.17%	78.68%	96.49%	78.41%	91.35%	83.42%	82.81%	80.11%	77.19%	92.96%	82.81%	81.04%	82.74%	78.41%	88.46%	92.63%	80.27%	77.95%	90.38%	95.88%	81.62%	82.80%	92.44%	86.82%	89.96%	81.44%	95.36%	90.22%	85.94%	78.86%	85.99%	88.22%	84.44%	90.91%	62.96%	71.92%	87.52%	87.16%	80.39%	96.47%	91.38%	87.13%	95.16%	77.69%	78.75%	80.34%	85.88%	83.60%	77.86%	85.53%	86.84%	89.17%	79.72%	88.24%	84.40%	80.25%	78.29%	93.54%	78.89%	79.46%	87.66%	98.74%	94.03%	87.38%	85.45%	79.66%	76.24%	76.91%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	68	2	1	0	4	0	0	0	1	1	0	1	1	2	0	3	2	6	2	2	0	2	1	1	0	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	2	2	1	0	0	8	5	0	0	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	1	0	0	2	0	0	0	0	2	1	2	0	2					
		0.26%	0.71%	0.26%	0.00%	1.41%	0.00%	0.00%	0.00%	0.50%	0.24%	0.00%	0.39%	0.35%	0.17%	0.00%	0.33%	3.13%	0.63%	0.23%	2.82%	0.00%	0.31%	0.60%	0.57%	0.00%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.34%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.27%	0.15%	0.00%	0.00%	2.74%	0.92%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.85%	0.00%	0.14%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.97%	0.31%	1.13%	0.00%	0.31%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
