Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																					
Дата голосования: 07.12.2003 0:00:00																					
																					
Наименование Избирательной комиссии:    Кохомская городская																					
																					
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																					
																					
		Сумма	УИК  260	УИК  261	УИК  262	УИК  263	УИК  264	УИК  265	УИК  266	УИК  267	УИК  268	УИК  269	УИК  270	УИК  271	УИК  272	УИК  273					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																					
18	"1. ""ЕДИНЕНИЕ"""	92	9	2	7	2	10	8	8	10	4	6	8	7	9	2					
		0.99%	1.06%	0.43%	1.06%	0.45%	1.25%	1.04%	0.89%	1.14%	0.92%	1.24%	0.95%	1.19%	1.01%	0.72%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	359	30	14	29	27	38	24	33	35	21	28	21	16	32	11					
		3.89%	3.53%	3.06%	4.41%	6.20%	4.78%	3.12%	3.71%	4.02%	4.87%	5.82%	2.49%	2.73%	3.61%	3.98%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	360	39	20	20	18	18	28	42	22	13	23	51	22	28	16					
		3.90%	4.59%	4.37%	3.04%	4.13%	2.26%	3.64%	4.72%	2.52%	3.01%	4.78%	6.05%	3.76%	3.16%	5.79%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	433	59	13	37	11	57	35	48	23	18	16	46	21	41	8					
		4.69%	6.94%	2.84%	5.63%	2.52%	7.17%	4.55%	5.39%	2.64%	4.17%	3.32%	5.46%	3.59%	4.63%	2.89%					
22	"5. ""За Русь Святую"""	40	6	2	2	0	11	6	1	2	1	0	2	1	6	0					
		0.43%	0.70%	0.43%	0.30%	0.0%	1.38%	0.78%	0.11%	0.22%	0.23%	0.0%	0.23%	0.17%	0.67%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	0	1	1	1	0	2	1	4	0	1	1	0	3	1					
		0.17%	0.0%	0.21%	0.15%	0.22%	0.0%	0.26%	0.11%	0.45%	0.0%	0.20%	0.11%	0.0%	0.33%	0.36%					
24	"7. ""Новый курс - Автомобильная Россия"""	55	2	2	8	5	8	4	4	7	0	4	1	3	6	1					
		0.59%	0.23%	0.43%	1.21%	1.14%	1.00%	0.52%	0.44%	0.80%	0.0%	0.83%	0.11%	0.51%	0.67%	0.36%					
25	"8. ""Народно-республиканская партия России"""	10	0	0	1	0	2	0	3	1	0	0	0	0	3	0					
		0.10%	0.0%	0.0%	0.15%	0.0%	0.25%	0.0%	0.33%	0.11%	0.0%	0.0%	0.0%	0.0%	0.33%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	27	2	1	5	0	1	1	3	4	1	2	3	0	2	2					
		0.29%	0.23%	0.21%	0.76%	0.0%	0.12%	0.13%	0.33%	0.45%	0.23%	0.41%	0.35%	0.0%	0.22%	0.72%					
27	"10. ""Аграрная партия России"""	244	13	14	11	26	33	18	32	22	10	17	19	8	15	6					
		2.64%	1.53%	3.06%	1.67%	5.97%	4.15%	2.34%	3.59%	2.52%	2.32%	3.53%	2.25%	1.36%	1.69%	2.17%					
28	"11. ""Истинные патриоты России"""	7	2	1	1	0	0	0	0	1	0	0	0	1	1	0					
		0.07%	0.23%	0.21%	0.15%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.17%	0.11%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	98	8	3	9	3	12	3	11	7	5	6	12	7	9	3					
		1.06%	0.94%	0.65%	1.36%	0.68%	1.51%	0.39%	1.23%	0.80%	1.16%	1.24%	1.42%	1.19%	1.01%	1.08%					
30	"13. ""Демократическая партия России"""	17	2	0	1	1	1	2	1	0	1	0	0	1	4	3					
		0.18%	0.23%	0.0%	0.15%	0.22%	0.12%	0.26%	0.11%	0.0%	0.23%	0.0%	0.0%	0.17%	0.45%	1.08%					
31	"14. ""Великая Россия - Евразийский Союз"""	27	2	0	1	1	0	3	2	5	1	2	1	4	3	2					
		0.29%	0.23%	0.0%	0.15%	0.22%	0.0%	0.39%	0.22%	0.57%	0.23%	0.41%	0.11%	0.68%	0.33%	0.72%					
32	"15. ""Партия СЛОН"""	20	2	2	2	1	4	0	1	1	0	0	1	2	1	3					
		0.21%	0.23%	0.43%	0.30%	0.22%	0.50%	0.0%	0.11%	0.11%	0.0%	0.0%	0.11%	0.34%	0.11%	1.08%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1022	71	31	77	34	66	67	157	131	34	47	95	74	119	19					
		11.08%	8.36%	6.78%	11.71%	7.81%	8.31%	8.71%	17.66%	15.05%	7.88%	9.77%	11.28%	12.67%	13.44%	6.88%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	1	0	5	1	3	0	0	1	2	1	2	1	1	1					
		0.20%	0.11%	0.0%	0.76%	0.22%	0.37%	0.0%	0.0%	0.11%	0.46%	0.20%	0.23%	0.17%	0.11%	0.36%					
35	"18. ""ЛДПР"""	1400	155	46	120	61	125	126	131	137	87	54	127	87	103	41					
		15.18%	18.25%	10.06%	18.26%	14.02%	15.74%	16.38%	14.73%	15.74%	20.18%	11.22%	15.08%	14.89%	11.63%	14.85%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	239	19	7	14	10	21	26	15	20	14	21	21	19	25	7					
		2.59%	2.23%	1.53%	2.13%	2.29%	2.64%	3.38%	1.68%	2.29%	3.24%	4.36%	2.49%	3.25%	2.82%	2.53%					
37	"20. ""Политическая партия ""Единая Россия"""	3188	328	196	190	164	264	264	243	270	150	178	291	214	314	122					
		34.58%	38.63%	42.88%	28.91%	37.70%	33.24%	34.33%	27.33%	31.03%	34.80%	37.00%	34.56%	36.64%	35.48%	44.20%					
38	"21. ""Российская Конституционно-демократическая партия"""	13	1	0	2	0	1	0	3	1	1	0	3	0	1	0					
		0.14%	0.11%	0.0%	0.30%	0.0%	0.12%	0.0%	0.33%	0.11%	0.23%	0.0%	0.35%	0.0%	0.11%	0.0%					
39	"22. ""Развитие предпринимательства"""	24	4	6	1	2	0	0	1	2	0	2	4	1	1	0					
		0.26%	0.47%	1.31%	0.15%	0.45%	0.0%	0.0%	0.11%	0.22%	0.0%	0.41%	0.47%	0.17%	0.11%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	873	55	59	65	38	62	86	67	74	45	48	83	62	112	17					
		9.46%	6.47%	12.91%	9.89%	8.73%	7.80%	11.18%	7.53%	8.50%	10.44%	9.97%	9.85%	10.61%	12.65%	6.15%					
																					
41	Против всех	518	31	25	37	21	48	54	76	78	19	18	42	24	36	9					
		5.61%	3.65%	5.47%	5.63%	4.82%	6.04%	7.02%	8.54%	8.96%	4.40%	3.74%	4.98%	4.10%	4.06%	3.26%					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
