Выборы Президента Российской Федерации																																																																																														
																																																																																														
Наименование Избирательной комиссии:    Псковская городская																																																																																														
																																																																																														
Итоги голосования 																																																																																														
																																																																																														
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №69	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК  713					
11	Число полученных открепительных  удостоверений	3090	50	30	40	30	30	15	40	30	40	30	40	30	30	15	40	30	60	30	30	40	30	30	40	40	30	30	30	90	40	30	30	40	30	40	20	40	40	40	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	0	0	360					
12	Число выданных открепительных удостоверений	1123	17	7	8	8	16	8	18	6	11	4	7	14	18	8	17	17	37	0	8	2	18	9	10	8	12	14	16	58	15	6	5	14	24	21	4	6	9	12	8	11	17	6	21	12	22	17	20	13	16	14	16	11	20	12	12	11	16	20	22	15	15	24	9	8	9	8	15	3	11	6	10	8	11	6	11	9	8	6	8	11	10	14	11	23	0	0	45					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	680	25	15	8	4	5	19	8	4	7	5	10	8	12	6	5	6	4	2	5	3	8	10	8	7	12	8	10	38	11	3	13	8	7	0	4	7	6	9	4	10	6	9	11	6	3	8	9	5	6	10	7	6	18	5	11	3	9	8	6	10	7	10	6	7	3	4	6	5	9	8	10	5	8	5	1	9	2	5	4	7	7	2	6	5	7	21	11					
14	Число неиспользованных открепительных удостоверений	1967	33	23	32	22	14	7	22	24	29	26	33	16	12	7	23	13	23	30	22	38	12	21	30	32	18	16	14	32	25	24	25	26	6	19	16	34	31	28	22	19	13	24	9	18	8	13	10	17	14	16	14	19	10	18	18	19	14	10	8	15	15	6	21	22	21	22	15	27	19	24	20	22	19	24	19	21	22	24	22	19	20	16	19	7	0	0	315					
15	"Число открепительных удостоверений, выданных в ТИК"	922	1	0	2	0	0	1	4	1	1	1	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	1	0	836	2	1	0	1	2	0	1	0	0	2	0	1	0	1	2	0	0	2	0	1	1	1	0	0	2	1	1	0	0	4	0	0	2	0	1	0	2	0	0	0	2	0	0	0	2	0	0	1	0	0	0	1	0	0	1	1	0	0	32					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																														
18	. Глазьев Сергей Юрьевич	4705	30	67	64	65	61	39	93	39	32	34	41	45	24	19	96	40	13	20	54	77	72	31	68	65	45	48	25	23	51	37	43	69	61	89	32	49	44	55	48	37	55	26	71	93	84	95	76	77	80	68	72	84	93	72	84	57	59	51	81	73	67	56	69	37	54	53	52	23	64	60	45	43	48	45	46	46	45	77	51	72	41	57	65	55	15	10	13					
		4.75%	3.58%	6.07%	4.84%	6.19%	6.51%	6.53%	5.71%	4.23%	3.09%	4.30%	3.15%	4.73%	2.94%	3.65%	5.67%	4.31%	1.95%	2.87%	5.40%	6.70%	7.11%	4.07%	5.06%	4.56%	4.58%	4.40%	2.36%	2.09%	3.73%	4.29%	4.79%	5.87%	5.82%	6.18%	4.43%	3.90%	3.80%	4.37%	4.20%	3.70%	5.00%	3.96%	4.87%	6.14%	5.55%	5.99%	5.68%	5.41%	5.49%	5.82%	4.74%	5.83%	5.96%	5.37%	6.15%	4.20%	4.64%	3.64%	5.23%	4.57%	4.71%	4.22%	5.37%	4.20%	4.68%	5.20%	4.06%	4.07%	4.27%	4.72%	3.94%	3.76%	3.68%	4.80%	4.12%	4.28%	4.38%	7.56%	4.76%	4.62%	4.64%	5.34%	5.18%	6.43%	7.21%	4.27%	0.75%					
19	. Малышкин Олег Александрович	1055	4	8	34	5	15	4	25	8	12	14	20	12	9	7	17	5	6	11	5	9	8	3	17	10	11	12	11	21	9	13	12	15	11	13	6	16	13	10	10	7	10	2	11	9	16	20	13	9	8	10	11	9	21	14	15	17	6	17	22	13	12	20	6	7	8	11	16	6	21	24	20	8	15	14	8	15	13	11	11	23	9	11	10	14	1	1	29					
		1.07%	0.48%	0.73%	2.57%	0.48%	1.60%	0.67%	1.53%	0.87%	1.16%	1.77%	1.54%	1.26%	1.10%	1.35%	1.00%	0.54%	0.90%	1.58%	0.50%	0.78%	0.79%	0.39%	1.26%	0.70%	1.12%	1.10%	1.04%	1.91%	0.66%	1.51%	1.34%	1.28%	1.05%	0.90%	0.83%	1.27%	1.12%	0.79%	0.87%	0.70%	0.91%	0.30%	0.75%	0.59%	1.06%	1.26%	0.97%	0.63%	0.55%	0.86%	0.72%	0.62%	1.35%	1.04%	1.10%	1.25%	0.47%	1.21%	1.42%	0.81%	0.84%	1.51%	0.47%	0.79%	0.69%	1.08%	1.25%	1.06%	1.40%	1.89%	1.75%	0.70%	1.15%	1.49%	0.72%	1.40%	1.26%	1.08%	1.03%	1.48%	1.02%	1.03%	0.80%	1.64%	0.48%	0.43%	1.67%					
20	. Миронов Сергей Михайлович	1021	9	19	12	9	10	2	13	12	10	7	13	9	7	8	23	4	7	2	5	12	9	8	12	15	12	11	44	2	11	7	10	12	14	10	7	8	16	11	9	10	11	6	17	8	12	18	11	10	17	22	22	18	19	12	9	9	13	11	21	22	13	13	14	9	12	9	13	6	16	12	10	15	8	11	13	6	9	12	12	21	12	10	15	15	2	5	9					
		1.03%	1.07%	1.72%	0.91%	0.86%	1.07%	0.34%	0.80%	1.30%	0.96%	0.89%	1.00%	0.95%	0.86%	1.54%	1.36%	0.43%	1.05%	0.29%	0.50%	1.04%	0.89%	1.05%	0.89%	1.05%	1.22%	1.01%	4.15%	0.18%	0.80%	0.81%	1.11%	1.02%	1.33%	0.69%	0.97%	0.64%	1.38%	0.87%	0.79%	1.00%	1.00%	0.91%	1.17%	0.53%	0.79%	1.14%	0.82%	0.70%	1.17%	1.88%	1.45%	1.25%	1.22%	0.89%	0.66%	0.66%	1.02%	0.78%	1.35%	1.38%	0.91%	0.98%	1.09%	1.02%	1.04%	0.88%	1.01%	1.06%	1.07%	0.94%	0.88%	1.31%	0.61%	1.17%	1.16%	0.56%	0.88%	1.18%	1.12%	1.35%	1.36%	0.94%	1.19%	1.75%	0.96%	2.14%	0.52%					
21	. Путин Владимир Владимирович	69024	618	689	919	649	625	420	1064	611	742	537	989	682	627	381	1181	635	558	539	729	841	684	541	910	967	664	739	743	843	963	575	602	818	710	981	506	883	830	905	759	733	758	467	1011	1049	1051	1088	902	1007	1018	783	1030	997	1031	931	885	944	889	1031	1039	1105	969	940	889	640	814	691	942	396	1073	856	799	746	926	635	791	737	703	624	767	1037	585	741	863	583	145	153	1571					
		69.70%	73.66%	62.47%	69.57%	61.81%	66.70%	70.35%	65.28%	66.27%	71.55%	67.97%	76.08%	71.71%	76.84%	73.27%	69.72%	68.43%	83.91%	77.44%	72.90%	73.13%	67.59%	71.00%	67.71%	67.81%	67.55%	67.67%	70.16%	76.64%	70.34%	66.63%	67.11%	69.56%	67.68%	68.08%	69.99%	70.25%	71.61%	71.88%	66.35%	73.23%	68.85%	71.08%	69.39%	69.29%	69.46%	68.64%	67.36%	70.82%	69.82%	67.04%	67.81%	69.14%	66.09%	69.37%	64.84%	69.62%	69.94%	73.54%	67.03%	69.11%	68.10%	70.89%	69.18%	72.56%	70.60%	67.75%	73.54%	70.09%	71.58%	67.30%	70.03%	65.21%	70.90%	67.77%	70.88%	68.56%	68.39%	61.30%	71.55%	66.56%	66.25%	69.38%	68.71%	68.19%	69.71%	65.38%	90.24%					
22	. Хакамада Ирина Муцуовна	5674	42	99	75	75	51	24	117	48	46	43	52	27	37	20	88	21	15	17	58	62	62	39	71	83	50	55	72	46	56	48	41	63	61	90	41	75	70	69	102	50	62	78	64	96	81	144	99	99	101	83	121	98	102	72	106	67	84	80	93	73	116	89	100	52	71	53	63	23	65	65	48	75	69	51	66	43	56	62	46	93	64	74	84	44	5	7	26					
		5.73%	5.01%	8.98%	5.68%	7.14%	5.44%	4.02%	7.18%	5.21%	4.44%	5.44%	4.00%	2.84%	4.53%	3.85%	5.19%	2.26%	2.26%	2.44%	5.80%	5.39%	6.13%	5.12%	5.28%	5.82%	5.09%	5.04%	6.80%	4.18%	4.09%	5.56%	4.57%	5.36%	5.82%	6.25%	5.67%	5.97%	6.04%	5.48%	8.92%	5.00%	5.63%	11.87%	4.39%	6.34%	5.35%	9.09%	7.39%	6.96%	6.93%	7.11%	7.97%	6.80%	6.54%	5.37%	7.77%	4.94%	6.61%	5.71%	6.00%	4.57%	8.15%	6.71%	7.78%	5.90%	6.16%	5.20%	4.92%	4.07%	4.34%	5.11%	4.21%	6.56%	5.28%	5.44%	5.91%	4.00%	5.45%	6.09%	4.29%	5.97%	7.25%	6.93%	6.69%	5.15%	2.40%	2.99%	1.49%					
23	. Харитонов Николай Михайлович	13879	100	169	150	204	135	83	255	163	164	134	142	151	90	70	199	177	49	81	124	113	146	115	214	233	165	187	129	104	244	158	160	159	164	215	109	173	150	175	166	124	162	44	229	209	226	156	171	165	161	149	194	185	226	211	201	206	177	174	222	259	199	150	169	103	152	158	140	91	204	211	173	227	197	144	151	199	177	191	157	260	143	132	173	107	30	47	24					
		14.02%	11.92%	15.32%	11.36%	19.43%	14.41%	13.90%	15.64%	17.68%	15.81%	16.96%	10.92%	15.88%	11.03%	13.46%	11.75%	19.07%	7.37%	11.64%	12.40%	9.83%	14.43%	15.09%	15.92%	16.34%	16.79%	17.12%	12.18%	9.45%	17.82%	18.31%	17.84%	13.52%	15.63%	14.92%	15.08%	13.76%	12.94%	13.90%	14.51%	12.39%	14.71%	6.70%	15.72%	13.80%	14.94%	9.84%	12.77%	11.60%	11.04%	12.76%	12.77%	12.83%	14.49%	15.72%	14.73%	15.19%	13.93%	12.41%	14.32%	16.20%	13.98%	11.31%	13.15%	11.68%	13.18%	15.49%	10.93%	16.11%	13.61%	16.59%	15.16%	19.84%	15.08%	15.37%	13.53%	18.51%	17.22%	18.76%	14.65%	16.69%	16.19%	12.36%	13.77%	12.51%	14.42%	20.09%	1.38%					
																																																																																														
24	Против всех	3080	31	48	61	34	35	21	53	34	23	13	36	18	18	8	82	34	13	15	12	27	27	19	44	40	25	33	25	45	31	19	23	31	22	37	19	41	28	27	39	35	36	32	42	42	41	61	63	49	67	48	62	48	57	26	57	49	38	34	67	47	41	53	34	30	38	36	40	15	40	35	38	29	36	31	35	22	13	34	27	43	25	39	41	35	6	6	66					
		3.11%	3.69%	4.35%	4.62%	3.24%	3.74%	3.52%	3.25%	3.69%	2.22%	1.65%	2.77%	1.89%	2.21%	1.54%	4.84%	3.66%	1.95%	2.16%	1.20%	2.35%	2.67%	2.49%	3.27%	2.81%	2.54%	3.02%	2.36%	4.09%	2.26%	2.20%	2.56%	2.64%	2.10%	2.57%	2.63%	3.26%	2.42%	2.14%	3.41%	3.50%	3.27%	4.87%	2.88%	2.77%	2.71%	3.85%	4.71%	3.45%	4.60%	4.11%	4.08%	3.33%	3.65%	1.94%	4.18%	3.61%	2.99%	2.43%	4.32%	2.94%	2.88%	4.00%	2.65%	3.40%	3.30%	3.53%	3.12%	2.65%	2.67%	2.75%	3.33%	2.53%	2.76%	3.31%	3.14%	2.05%	1.26%	3.34%	2.52%	2.76%	2.83%	3.65%	3.26%	4.09%	2.88%	2.56%	3.79%					
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
																																																																																														
