Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																											
Дата голосования: 07.12.2003 0:00:00																																																											
																																																											
Наименование Избирательной комиссии:    Черкесская городская																																																											
																																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																											
																																																											
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31	УИК  32	УИК  33	УИК  34	УИК  35	УИК  36	УИК  37	УИК  38	УИК  39	УИК  40	УИК  41	УИК  42	УИК  43	УИК  44	УИК  45	УИК  46	УИК  47	УИК  48	УИК  49	УИК  50	УИК  51	УИК  52					
		0.49%	0.87%	0.57%	1.09%	0.16%	0.42%	0.17%	0.37%	0.58%	1.02%	0.66%	0.41%	0.99%	0.21%	0.48%	0.47%	0.39%	0.25%	0.41%	0.19%	0.70%	0.79%	1.00%	0.51%	0.33%	0.49%	0.44%	0.47%	0.58%	0.31%	1.08%	0.58%	0.70%	0.50%	0.25%	0.71%	0.0%	0.38%	0.35%	0.39%	0.0%	0.20%	0.60%	0.43%	0.35%	0.43%	0.39%	0.36%	0.41%	0.0%	0.52%	0.41%	0.31%					
23	"6. ""Объединенная Российская партия ""Русь"""	70	4	2	3	2	2	1	2	1	2	1	1	0	1	1	1	1	1	4	2	0	1	1	0	1	1	0	1	3	1	3	1	0	1	1	0	2	1	1	3	0	0	0	2	0	1	2	6	1	1	1	1	1					
		0.23%	0.87%	0.22%	0.40%	0.33%	0.42%	0.17%	0.24%	0.19%	0.40%	0.33%	0.13%	0.0%	0.21%	0.12%	0.15%	0.39%	0.12%	0.83%	0.39%	0.0%	0.19%	0.25%	0.0%	0.33%	0.16%	0.0%	0.15%	0.34%	0.15%	0.64%	0.29%	0.0%	0.12%	0.25%	0.0%	0.45%	0.38%	0.17%	0.59%	0.0%	0.0%	0.0%	0.43%	0.0%	0.14%	0.39%	1.09%	0.10%	0.27%	0.10%	0.20%	0.15%					
24	"7. ""Новый курс - Автомобильная Россия"""	184	3	2	6	4	7	3	10	3	5	0	4	7	4	4	2	0	3	1	0	6	2	3	2	2	2	3	6	6	3	3	0	6	5	0	2	0	2	4	7	4	6	3	2	3	1	2	5	12	1	5	4	4					
		0.61%	0.65%	0.22%	0.81%	0.67%	1.48%	0.52%	1.24%	0.58%	1.02%	0.0%	0.55%	0.69%	0.86%	0.48%	0.31%	0.0%	0.38%	0.20%	0.0%	1.40%	0.39%	0.75%	0.51%	0.67%	0.32%	0.33%	0.95%	0.69%	0.47%	0.64%	0.0%	0.60%	0.63%	0.0%	0.35%	0.0%	0.77%	0.70%	1.38%	1.38%	1.21%	0.91%	0.43%	0.35%	0.14%	0.39%	0.90%	1.23%	0.27%	0.52%	0.82%	0.62%					
25	"8. ""Народно-республиканская партия России"""	80	0	2	3	2	1	0	5	0	0	0	1	7	1	2	1	1	0	1	0	2	2	1	0	0	0	4	1	6	1	2	2	2	8	3	0	3	0	0	2	0	1	0	1	3	0	0	0	1	0	6	0	2					
		0.26%	0.0%	0.22%	0.40%	0.33%	0.21%	0.0%	0.62%	0.0%	0.0%	0.0%	0.13%	0.69%	0.21%	0.24%	0.15%	0.39%	0.0%	0.20%	0.0%	0.46%	0.39%	0.25%	0.0%	0.0%	0.0%	0.44%	0.15%	0.69%	0.15%	0.43%	0.58%	0.20%	1.01%	0.75%	0.0%	0.67%	0.0%	0.0%	0.39%	0.0%	0.20%	0.0%	0.21%	0.35%	0.0%	0.0%	0.0%	0.10%	0.0%	0.63%	0.0%	0.31%					
26	"9. ""Российская экологическая партия ""Зеленые"""	67	1	3	0	2	0	2	0	2	1	1	2	1	2	3	3	2	2	0	2	0	1	0	0	1	4	1	2	0	1	3	2	2	0	0	1	2	2	2	0	0	1	2	0	1	1	1	3	0	0	3	2	0					
		0.22%	0.21%	0.34%	0.0%	0.33%	0.0%	0.34%	0.0%	0.38%	0.20%	0.33%	0.27%	0.09%	0.43%	0.36%	0.47%	0.78%	0.25%	0.0%	0.39%	0.0%	0.19%	0.0%	0.0%	0.33%	0.65%	0.11%	0.31%	0.0%	0.15%	0.64%	0.58%	0.20%	0.0%	0.0%	0.17%	0.45%	0.77%	0.35%	0.0%	0.0%	0.20%	0.60%	0.0%	0.11%	0.14%	0.19%	0.54%	0.0%	0.0%	0.31%	0.41%	0.0%					
27	"10. ""Аграрная партия России"""	708	11	21	29	15	14	12	18	22	7	15	9	18	17	20	14	4	15	9	13	10	20	13	13	6	15	22	11	27	15	8	10	14	24	12	16	11	5	17	16	4	5	9	10	18	13	5	9	15	8	23	7	14					
		2.35%	2.39%	2.40%	3.96%	2.54%	2.97%	2.09%	2.24%	4.27%	1.43%	4.98%	1.24%	1.78%	3.67%	2.41%	2.22%	1.56%	1.92%	1.88%	2.54%	2.33%	3.99%	3.26%	3.37%	2.01%	2.45%	2.46%	1.75%	3.13%	2.38%	1.73%	2.93%	1.40%	3.03%	3.00%	2.86%	2.47%	1.93%	3.01%	3.16%	1.38%	1.01%	2.74%	2.17%	2.10%	1.87%	0.98%	1.63%	1.54%	2.17%	2.43%	1.44%	2.20%					
28	"11. ""Истинные патриоты России"""	316	5	1	2	2	8	4	5	1	1	1	9	2	4	9	3	1	10	2	11	4	6	1	4	1	9	3	12	11	12	2	3	18	6	11	4	6	8	7	5	6	2	5	4	3	3	6	5	9	40	11	5	3					
		1.05%	1.08%	0.11%	0.27%	0.33%	1.69%	0.69%	0.62%	0.19%	0.20%	0.33%	1.24%	0.19%	0.86%	1.08%	0.47%	0.39%	1.28%	0.41%	2.15%	0.93%	1.19%	0.25%	1.03%	0.33%	1.47%	0.33%	1.91%	1.27%	1.90%	0.43%	0.87%	1.80%	0.75%	2.75%	0.71%	1.35%	3.08%	1.24%	0.99%	2.07%	0.40%	1.52%	0.86%	0.35%	0.43%	1.18%	0.90%	0.92%	10.86%	1.16%	1.03%	0.47%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	363	6	6	8	10	5	6	19	10	3	2	13	12	2	19	3	3	9	7	8	9	9	4	5	2	7	10	5	5	5	8	9	13	6	4	3	7	5	6	4	2	6	7	5	17	2	2	8	6	8	7	2	14					
		1.20%	1.30%	0.68%	1.09%	1.69%	1.06%	1.04%	2.37%	1.94%	0.61%	0.66%	1.79%	1.19%	0.43%	2.29%	0.47%	1.17%	1.15%	1.46%	1.56%	2.10%	1.79%	1.00%	1.29%	0.67%	1.14%	1.11%	0.79%	0.58%	0.79%	1.73%	2.63%	1.30%	0.75%	1.00%	0.53%	1.57%	1.93%	1.06%	0.79%	0.69%	1.21%	2.13%	1.08%	1.99%	0.28%	0.39%	1.45%	0.61%	2.17%	0.74%	0.41%	2.20%					
30	"13. ""Демократическая партия России"""	68	2	4	3	2	0	1	3	2	2	1	3	3	0	2	0	0	1	0	1	0	0	0	1	0	1	0	3	7	0	0	0	1	1	0	2	2	0	0	0	0	1	1	1	1	0	0	0	9	2	2	1	2					
		0.22%	0.43%	0.45%	0.40%	0.33%	0.0%	0.17%	0.37%	0.38%	0.40%	0.33%	0.41%	0.29%	0.0%	0.24%	0.0%	0.0%	0.12%	0.0%	0.19%	0.0%	0.0%	0.0%	0.25%	0.0%	0.16%	0.0%	0.47%	0.81%	0.0%	0.0%	0.0%	0.10%	0.12%	0.0%	0.35%	0.45%	0.0%	0.0%	0.0%	0.0%	0.20%	0.30%	0.21%	0.11%	0.0%	0.0%	0.0%	0.92%	0.54%	0.21%	0.20%	0.31%					
31	"14. ""Великая Россия - Евразийский Союз"""	201	4	4	3	3	6	0	3	5	9	3	9	5	2	11	5	1	3	1	9	7	2	3	1	2	9	7	4	1	6	1	2	2	4	1	6	6	2	5	1	4	2	1	3	6	5	1	1	3	9	2	4	2					
		0.66%	0.87%	0.45%	0.40%	0.50%	1.27%	0.0%	0.37%	0.97%	1.84%	0.99%	1.24%	0.49%	0.43%	1.32%	0.79%	0.39%	0.38%	0.20%	1.76%	1.63%	0.39%	0.75%	0.25%	0.67%	1.47%	0.78%	0.63%	0.11%	0.95%	0.21%	0.58%	0.20%	0.50%	0.25%	1.07%	1.35%	0.77%	0.88%	0.19%	1.38%	0.40%	0.30%	0.65%	0.70%	0.72%	0.19%	0.18%	0.30%	2.44%	0.21%	0.82%	0.31%					
32	"15. ""Партия СЛОН"""	37	0	0	0	1	2	1	0	1	0	0	2	2	1	1	0	0	2	0	0	0	1	1	0	0	1	0	1	3	0	1	0	3	0	1	1	0	1	0	1	0	2	1	0	1	0	0	1	2	1	0	1	0					
		0.12%	0.0%	0.0%	0.0%	0.16%	0.42%	0.17%	0.0%	0.19%	0.0%	0.0%	0.27%	0.19%	0.21%	0.12%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.19%	0.25%	0.0%	0.0%	0.16%	0.0%	0.15%	0.34%	0.0%	0.21%	0.0%	0.30%	0.0%	0.25%	0.17%	0.0%	0.38%	0.0%	0.19%	0.0%	0.40%	0.30%	0.0%	0.11%	0.0%	0.0%	0.18%	0.20%	0.27%	0.0%	0.20%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	4059	52	154	92	92	59	52	110	84	66	32	96	176	50	112	92	40	105	60	50	67	58	50	41	42	88	116	84	90	80	44	43	149	125	45	80	58	15	103	66	48	53	32	65	139	111	68	79	120	29	128	82	87					
		13.52%	11.32%	17.64%	12.56%	15.59%	12.52%	9.05%	13.73%	16.31%	13.52%	10.63%	13.27%	17.46%	10.79%	13.52%	14.60%	15.68%	13.44%	12.55%	9.80%	15.65%	11.57%	12.56%	10.64%	14.09%	14.40%	12.97%	13.37%	10.45%	12.71%	9.52%	12.60%	14.91%	15.78%	11.27%	14.31%	13.06%	5.79%	18.26%	13.06%	16.60%	10.75%	9.75%	14.13%	16.27%	16.04%	13.41%	14.36%	12.32%	7.88%	13.55%	16.94%	13.70%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	71	0	0	2	1	3	1	3	2	0	1	1	1	3	1	0	0	0	0	5	1	1	0	0	0	0	1	0	2	0	2	1	5	1	0	2	2	1	3	1	0	4	1	2	0	3	1	2	2	2	5	2	0					
		0.23%	0.0%	0.0%	0.27%	0.16%	0.63%	0.17%	0.37%	0.38%	0.0%	0.33%	0.13%	0.09%	0.64%	0.12%	0.0%	0.0%	0.0%	0.0%	0.98%	0.23%	0.19%	0.0%	0.0%	0.0%	0.0%	0.11%	0.0%	0.23%	0.0%	0.43%	0.29%	0.50%	0.12%	0.0%	0.35%	0.45%	0.38%	0.53%	0.19%	0.0%	0.81%	0.30%	0.43%	0.0%	0.43%	0.19%	0.36%	0.20%	0.54%	0.52%	0.41%	0.0%					
35	"18. ""ЛДПР"""	3692	68	114	106	104	69	107	123	71	57	30	83	120	76	87	67	20	71	50	60	45	54	72	41	49	43	103	61	65	71	79	38	102	76	41	56	53	13	63	61	33	84	35	52	107	86	75	93	167	13	121	75	82					
		12.30%	14.81%	13.05%	14.48%	17.62%	14.64%	18.64%	15.35%	13.78%	11.68%	9.96%	11.47%	11.90%	16.41%	10.50%	10.63%	7.84%	9.09%	10.46%	11.76%	10.51%	10.77%	18.09%	10.64%	16.44%	7.03%	11.52%	9.71%	7.54%	11.28%	17.09%	11.14%	10.21%	9.59%	10.27%	10.01%	11.93%	5.01%	11.17%	12.07%	11.41%	17.03%	10.67%	11.30%	12.52%	12.42%	14.79%	16.90%	17.14%	3.53%	12.81%	15.49%	12.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	496	14	16	13	17	7	8	21	10	4	2	7	16	12	17	7	2	16	8	4	2	5	10	7	4	7	9	8	12	8	3	8	24	15	10	5	3	11	5	7	5	19	3	3	15	15	16	6	15	8	7	11	9					
		1.65%	3.05%	1.83%	1.77%	2.88%	1.48%	1.39%	2.62%	1.94%	0.81%	0.66%	0.96%	1.58%	2.59%	2.05%	1.11%	0.78%	2.04%	1.67%	0.78%	0.46%	0.99%	2.51%	1.81%	1.34%	1.14%	1.00%	1.27%	1.39%	1.27%	0.64%	2.34%	2.40%	1.89%	2.50%	0.89%	0.67%	4.24%	0.88%	1.38%	1.73%	3.85%	0.91%	0.65%	1.75%	2.16%	3.15%	1.09%	1.54%	2.17%	0.74%	2.27%	1.41%					
37	"20. ""Политическая партия ""Единая Россия"""	8973	121	281	175	167	142	175	209	144	132	95	234	267	126	210	214	74	270	157	145	117	175	118	118	82	173	277	194	280	195	152	104	301	222	119	171	135	49	162	156	84	137	120	141	255	205	185	166	287	92	311	139	213					
		29.89%	26.36%	32.18%	23.90%	28.30%	30.14%	30.48%	26.09%	27.96%	27.04%	31.56%	32.36%	26.48%	27.21%	25.36%	33.96%	29.01%	34.57%	32.84%	28.43%	27.33%	34.93%	29.64%	30.64%	27.51%	28.31%	30.98%	30.89%	32.52%	31.00%	32.90%	30.49%	30.13%	28.03%	29.82%	30.59%	30.40%	18.91%	28.72%	30.89%	29.06%	27.78%	36.58%	30.65%	29.85%	29.62%	36.48%	30.18%	29.46%	25.0%	32.94%	28.71%	33.54%					
38	"21. ""Российская Конституционно-демократическая партия"""	68	3	1	2	1	1	2	1	1	0	1	2	1	0	1	0	0	1	0	0	0	0	0	3	2	3	1	0	1	0	1	9	1	2	0	2	2	1	1	0	0	0	4	2	4	3	1	0	4	0	0	0	3					
		0.22%	0.65%	0.11%	0.27%	0.16%	0.21%	0.34%	0.12%	0.19%	0.0%	0.33%	0.27%	0.09%	0.0%	0.12%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.77%	0.67%	0.49%	0.11%	0.0%	0.11%	0.0%	0.21%	2.63%	0.10%	0.25%	0.0%	0.35%	0.45%	0.38%	0.17%	0.0%	0.0%	0.0%	1.21%	0.43%	0.46%	0.43%	0.19%	0.0%	0.41%	0.0%	0.0%	0.0%	0.47%					
39	"22. ""Развитие предпринимательства"""	40	0	1	1	0	0	0	2	0	2	0	3	4	0	2	0	0	0	1	0	1	2	0	1	0	1	0	0	0	1	0	0	0	0	1	2	2	0	1	1	0	0	2	0	0	2	1	1	0	1	2	2	0					
		0.13%	0.0%	0.11%	0.13%	0.0%	0.0%	0.0%	0.24%	0.0%	0.40%	0.0%	0.41%	0.39%	0.0%	0.24%	0.0%	0.0%	0.0%	0.20%	0.0%	0.23%	0.39%	0.0%	0.25%	0.0%	0.16%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.25%	0.35%	0.45%	0.0%	0.17%	0.19%	0.0%	0.0%	0.60%	0.0%	0.0%	0.28%	0.19%	0.18%	0.0%	0.27%	0.21%	0.41%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5073	80	111	135	91	77	114	146	77	104	64	129	147	93	132	109	47	132	69	99	75	74	68	90	70	110	165	100	141	110	54	44	197	138	83	107	77	77	93	92	46	81	44	81	122	93	55	65	159	93	155	72	86					
		16.90%	17.42%	12.71%	18.44%	15.42%	16.34%	19.86%	18.22%	14.95%	21.31%	21.26%	17.84%	14.58%	20.08%	15.94%	17.30%	18.43%	16.90%	14.43%	19.41%	17.52%	14.77%	17.08%	23.37%	23.48%	18.00%	18.45%	15.92%	16.37%	17.48%	11.68%	12.90%	19.71%	17.42%	20.80%	19.14%	17.34%	29.72%	16.48%	18.21%	15.91%	16.43%	13.41%	17.60%	14.28%	13.43%	10.84%	11.81%	16.32%	25.27%	16.41%	14.87%	13.54%					
																																																											
41	Против всех	1339	22	36	32	24	23	18	38	15	24	12	25	50	16	71	23	8	34	30	22	22	15	10	16	7	27	48	26	34	28	28	11	33	37	16	13	17	32	26	36	13	23	9	28	34	20	24	20	46	17	41	22	37					
		4.46%	4.79%	4.12%	4.37%	4.06%	4.88%	3.13%	4.74%	2.91%	4.91%	3.98%	3.45%	4.96%	3.45%	8.57%	3.65%	3.13%	4.35%	6.27%	4.31%	5.14%	2.99%	2.51%	4.15%	2.34%	4.41%	5.36%	4.14%	3.94%	4.45%	6.06%	3.22%	3.30%	4.67%	4.01%	2.32%	3.82%	12.35%	4.60%	7.12%	4.49%	4.66%	2.74%	6.08%	3.98%	2.89%	4.73%	3.63%	4.72%	4.61%	4.34%	4.54%	5.82%					
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
