Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Приволжская																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  645	УИК  646	УИК  647	УИК  648	УИК  649	УИК  650	УИК  651	УИК  652	УИК  653	УИК  654	УИК  655	УИК  656	УИК  657	УИК  658	УИК  659	УИК  660	УИК  661	УИК  662	УИК  663	УИК  664	УИК  665	УИК  666	УИК  667	УИК  668	УИК  669	УИК  670	УИК  671	УИК  672	УИК  673					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	1	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																				
18	"1. ""ЕДИНЕНИЕ"""	170	11	4	2	3	4	5	6	17	2	3	1	1	4	2	2	4	14	7	7	8	4	4	6	7	11	6	3	13	9					
		1.38%	3.17%	1.6%	2.19%	0.87%	2.17%	2.32%	2.89%	2.92%	0.79%	1.05%	1.21%	1.23%	1.04%	1.07%	0.65%	0.88%	1.94%	0.97%	0.92%	1.16%	0.65%	0.90%	1.43%	1.25%	1.74%	1.23%	0.67%	1.61%	1.16%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	109	3	0	0	3	4	1	1	5	1	0	0	0	5	1	2	11	9	1	8	6	3	5	4	4	14	4	2	8	4					
		0.88%	0.86%	0.0%	0.0%	0.87%	2.17%	0.46%	0.48%	0.86%	0.39%	0.0%	0.0%	0.0%	1.30%	0.53%	0.65%	2.44%	1.25%	0.13%	1.05%	0.87%	0.48%	1.12%	0.95%	0.71%	2.22%	0.82%	0.44%	0.99%	0.51%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	350	15	3	1	6	7	2	7	11	8	10	0	0	12	0	12	19	30	23	17	15	20	13	16	17	16	12	8	35	15					
		2.84%	4.33%	1.2%	1.09%	1.75%	3.80%	0.93%	3.38%	1.89%	3.16%	3.52%	0.0%	0.0%	3.14%	0.0%	3.94%	4.22%	4.17%	3.19%	2.24%	2.18%	3.25%	2.92%	3.82%	3.04%	2.54%	2.46%	1.78%	4.35%	1.94%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	264	6	0	0	5	1	1	2	23	2	5	1	2	12	1	4	11	14	11	17	10	14	11	15	6	20	17	5	25	23					
		2.14%	1.73%	0.0%	0.0%	1.46%	0.54%	0.46%	0.96%	3.95%	0.79%	1.76%	1.21%	2.46%	3.14%	0.53%	1.31%	2.44%	1.94%	1.52%	2.24%	1.45%	2.28%	2.47%	3.58%	1.07%	3.17%	3.49%	1.11%	3.11%	2.98%					
22	"5. ""За Русь Святую"""	40	1	0	0	1	0	0	0	1	0	0	0	1	4	0	1	0	6	0	3	3	1	4	3	5	0	1	1	3	1					
		0.32%	0.28%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	1.23%	1.04%	0.0%	0.32%	0.0%	0.83%	0.0%	0.39%	0.43%	0.16%	0.90%	0.71%	0.89%	0.0%	0.20%	0.22%	0.37%	0.12%					
23	"6. ""Объединенная Российская партия ""Русь"""	16	2	0	0	0	0	1	0	2	0	1	0	0	0	0	0	1	0	2	1	1	1	0	1	1	1	0	0	0	1					
		0.13%	0.57%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%	0.34%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.27%	0.13%	0.14%	0.16%	0.0%	0.23%	0.17%	0.15%	0.0%	0.0%	0.0%	0.12%					
24	"7. ""Новый курс - Автомобильная Россия"""	33	3	4	0	0	0	1	0	1	0	0	0	0	0	0	2	1	4	2	1	0	4	0	0	1	1	2	0	2	4					
		0.26%	0.86%	1.6%	0.0%	0.0%	0.0%	0.46%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.22%	0.55%	0.27%	0.13%	0.0%	0.65%	0.0%	0.0%	0.17%	0.15%	0.41%	0.0%	0.24%	0.51%					
25	"8. ""Народно-республиканская партия России"""	14	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	0	0	0	2	0	0	1	0	0	1	2	0	3	1					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.39%	0.0%	1.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.22%	0.0%	0.0%	0.15%	0.41%	0.0%	0.37%	0.12%					
26	"9. ""Российская экологическая партия ""Зеленые"""	41	3	0	0	0	2	0	0	1	1	0	0	0	2	0	1	2	1	1	3	0	2	0	2	6	6	3	2	2	1					
		0.33%	0.86%	0.0%	0.0%	0.0%	1.08%	0.0%	0.0%	0.17%	0.39%	0.0%	0.0%	0.0%	0.52%	0.0%	0.32%	0.44%	0.13%	0.13%	0.39%	0.0%	0.32%	0.0%	0.47%	1.07%	0.95%	0.61%	0.44%	0.24%	0.12%					
27	"10. ""Аграрная партия России"""	647	35	33	13	58	22	55	11	44	19	19	6	4	15	6	19	12	20	37	29	21	29	13	9	27	33	15	7	23	13					
		5.26%	10.11%	13.2%	14.28%	16.95%	11.95%	25.58%	5.31%	7.57%	7.50%	6.69%	7.31%	4.93%	3.92%	3.22%	6.25%	2.66%	2.78%	5.14%	3.82%	3.06%	4.72%	2.92%	2.15%	4.83%	5.24%	3.08%	1.56%	2.86%	1.68%					
28	"11. ""Истинные патриоты России"""	32	2	18	0	1	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	0	1	2	0	1	0	0	1	1	1					
		0.26%	0.57%	7.2%	0.0%	0.29%	0.0%	0.46%	0.0%	0.0%	0.0%	0.35%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.16%	0.45%	0.0%	0.17%	0.0%	0.0%	0.22%	0.12%	0.12%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	133	3	9	0	2	2	1	2	11	1	1	1	0	4	0	8	1	8	10	12	9	5	6	5	3	8	6	1	9	5					
		1.08%	0.86%	3.6%	0.0%	0.58%	1.08%	0.46%	0.96%	1.89%	0.39%	0.35%	1.21%	0.0%	1.04%	0.0%	2.63%	0.22%	1.11%	1.39%	1.58%	1.31%	0.81%	1.35%	1.19%	0.53%	1.27%	1.23%	0.22%	1.12%	0.64%					
30	"13. ""Демократическая партия России"""	26	0	1	0	1	0	0	2	1	0	0	0	0	0	2	1	0	0	5	0	1	0	2	1	2	0	1	2	3	1					
		0.21%	0.0%	0.4%	0.0%	0.29%	0.0%	0.0%	0.96%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	1.07%	0.32%	0.0%	0.0%	0.69%	0.0%	0.14%	0.0%	0.45%	0.23%	0.35%	0.0%	0.20%	0.44%	0.37%	0.12%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	2	0	0	1	0	0	0	2	0	0	0	0	1	1	1	2	3	0	1	0	0	1	1	0	0	0	1	0	1					
		0.14%	0.57%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.26%	0.53%	0.32%	0.44%	0.41%	0.0%	0.13%	0.0%	0.0%	0.22%	0.23%	0.0%	0.0%	0.0%	0.22%	0.0%	0.12%					
32	"15. ""Партия СЛОН"""	48	6	0	1	3	0	0	0	1	1	0	0	0	4	1	2	2	5	2	6	1	2	1	0	1	1	3	0	2	3					
		0.39%	1.73%	0.0%	1.09%	0.87%	0.0%	0.0%	0.0%	0.17%	0.39%	0.0%	0.0%	0.0%	1.04%	0.53%	0.65%	0.44%	0.69%	0.27%	0.79%	0.14%	0.32%	0.22%	0.0%	0.17%	0.15%	0.61%	0.0%	0.24%	0.38%					
33	"16. ""Родина"" (народно-патриотический союз)"""	777	4	6	5	12	7	7	5	30	22	16	10	1	35	13	12	53	86	49	56	45	41	26	20	29	46	29	21	51	40					
		6.32%	1.15%	2.4%	5.49%	3.50%	3.80%	3.25%	2.41%	5.16%	8.69%	5.63%	12.19%	1.23%	9.16%	6.98%	3.94%	11.77%	11.96%	6.81%	7.38%	6.55%	6.67%	5.85%	4.78%	5.19%	7.31%	5.96%	4.69%	6.35%	5.19%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	45	1	2	0	1	0	1	1	0	0	2	4	1	2	0	4	0	2	4	5	2	2	1	0	3	4	1	0	0	2					
		0.36%	0.28%	0.8%	0.0%	0.29%	0.0%	0.46%	0.48%	0.0%	0.0%	0.70%	4.87%	1.23%	0.52%	0.0%	1.31%	0.0%	0.27%	0.55%	0.65%	0.29%	0.32%	0.22%	0.0%	0.53%	0.63%	0.20%	0.0%	0.0%	0.25%					
35	"18. ""ЛДПР"""	1728	24	33	14	46	27	31	41	125	21	54	5	12	65	11	26	39	81	106	118	112	67	51	58	80	73	74	78	112	144					
		14.06%	6.93%	13.2%	15.38%	13.45%	14.67%	14.41%	19.80%	21.51%	8.30%	19.01%	6.09%	14.81%	17.01%	5.91%	8.55%	8.66%	11.26%	14.74%	15.56%	16.32%	10.91%	11.48%	13.87%	14.33%	11.60%	15.22%	17.44%	13.94%	18.70%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	224	3	3	1	5	5	2	6	15	3	9	0	3	11	2	2	11	11	8	10	12	11	5	10	5	22	12	6	13	18					
		1.82%	0.86%	1.2%	1.09%	1.46%	2.71%	0.93%	2.89%	2.58%	1.18%	3.16%	0.0%	3.70%	2.87%	1.07%	0.65%	2.44%	1.52%	1.11%	1.31%	1.74%	1.79%	1.12%	2.39%	0.89%	3.49%	2.46%	1.34%	1.61%	2.33%					
37	"20. ""Политическая партия ""Единая Россия"""	5767	163	95	50	159	87	83	107	216	135	83	46	28	157	122	138	214	311	370	348	352	315	207	193	281	276	214	255	366	396					
		46.92%	47.10%	38.0%	54.94%	46.49%	47.28%	38.60%	51.69%	37.17%	53.35%	29.22%	56.09%	34.56%	41.09%	65.59%	45.39%	47.55%	43.25%	51.46%	45.91%	51.31%	51.30%	46.62%	46.17%	50.35%	43.87%	44.03%	57.04%	45.57%	51.42%					
38	"21. ""Российская Конституционно-демократическая партия"""	17	0	0	0	0	0	0	0	1	1	0	0	1	1	0	0	0	1	1	0	2	0	1	0	0	0	1	3	3	1					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.39%	0.0%	0.0%	1.23%	0.26%	0.0%	0.0%	0.0%	0.13%	0.13%	0.0%	0.29%	0.0%	0.22%	0.0%	0.0%	0.0%	0.20%	0.67%	0.37%	0.12%					
39	"22. ""Развитие предпринимательства"""	25	0	0	0	0	1	0	0	0	1	1	0	0	1	0	0	1	2	0	1	1	0	2	0	2	3	4	0	3	2					
		0.20%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.39%	0.35%	0.0%	0.0%	0.26%	0.0%	0.0%	0.22%	0.27%	0.0%	0.13%	0.14%	0.0%	0.45%	0.0%	0.35%	0.47%	0.82%	0.0%	0.37%	0.25%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1094	37	30	1	20	8	15	11	26	13	58	4	20	33	20	41	41	58	46	67	49	60	72	44	46	55	45	26	97	51					
		8.90%	10.69%	12.0%	1.09%	5.84%	4.34%	6.97%	5.31%	4.47%	5.13%	20.42%	4.87%	24.69%	8.63%	10.75%	13.48%	9.11%	8.06%	6.39%	8.83%	7.14%	9.77%	16.21%	10.52%	8.24%	8.74%	9.25%	5.81%	12.07%	6.62%					
																																				
41	Против всех	551	20	8	3	12	5	5	5	36	20	17	2	5	14	3	21	23	43	32	37	32	20	13	24	25	30	28	22	19	27					
		4.48%	5.78%	3.2%	3.29%	3.50%	2.71%	2.32%	2.41%	6.19%	7.90%	5.98%	2.43%	6.17%	3.66%	1.61%	6.90%	5.11%	5.98%	4.45%	4.88%	4.66%	3.25%	2.92%	5.74%	4.48%	4.76%	5.76%	4.92%	2.36%	3.50%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
