Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																							
Дата голосования: 18.09.2016																							
																							
Наименование Избирательной комиссии:    Усть-Янская																							
																							
Сводная таблица итогов голосования по федеральному избирательному округу																							
																							
		Сумма	УИК №615	УИК №616	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	61	3	12	17	0	4	6	1	4	5	5	4	0									
		2.27%	1.01%	3.19%	3.17%	0.00%	1.59%	2.91%	0.80%	1.56%	2.17%	3.79%	2.41%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	1410	149	191	227	35	136	108	63	165	139	79	93	25									
		52.53%	50.17%	50.80%	42.35%	63.64%	54.18%	52.43%	50.40%	64.45%	60.43%	59.85%	56.02%	46.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	15	0	3	6	0	0	1	1	3	0	0	1	0									
		0.56%	0.00%	0.80%	1.12%	0.00%	0.00%	0.49%	0.80%	1.17%	0.00%	0.00%	0.60%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	10	0	1	4	0	1	1	0	2	0	0	1	0									
		0.37%	0.00%	0.27%	0.75%	0.00%	0.40%	0.49%	0.00%	0.78%	0.00%	0.00%	0.60%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	244	10	56	77	0	42	9	32	8	4	3	2	1									
		9.09%	3.37%	14.89%	14.37%	0.00%	16.73%	4.37%	25.60%	3.13%	1.74%	2.27%	1.20%	1.85%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	7	1	0	1	0	0	0	0	1	1	0	3	0									
		0.26%	0.34%	0.00%	0.19%	0.00%	0.00%	0.00%	0.00%	0.39%	0.43%	0.00%	1.81%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	24	3	4	4	0	5	0	3	1	0	1	3	0									
		0.89%	1.01%	1.06%	0.75%	0.00%	1.99%	0.00%	2.40%	0.39%	0.00%	0.76%	1.81%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	5	0	0	0	0	0	1	0	1	0	2	0	1									
		0.19%	0.00%	0.00%	0.00%	0.00%	0.00%	0.49%	0.00%	0.39%	0.00%	1.52%	0.00%	1.85%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	17	0	2	7	1	0	0	1	3	1	2	0	0									
		0.63%	0.00%	0.53%	1.31%	1.82%	0.00%	0.00%	0.80%	1.17%	0.43%	1.52%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	294	9	33	88	7	26	24	14	24	27	13	25	4									
		10.95%	3.03%	8.78%	16.42%	12.73%	10.36%	11.65%	11.20%	9.38%	11.74%	9.85%	15.06%	7.41%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	10	0	3	0	0	0	3	0	1	0	0	2	1									
		0.37%	0.00%	0.80%	0.00%	0.00%	0.00%	1.46%	0.00%	0.39%	0.00%	0.00%	1.20%	1.85%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	417	101	53	73	8	17	41	3	30	31	22	20	18									
		15.54%	34.01%	14.10%	13.62%	14.55%	6.77%	19.90%	2.40%	11.72%	13.48%	16.67%	12.05%	33.33%									
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
																							
