Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																										
Дата голосования: 18.09.2016																																																																										
																																																																										
"Наименование Избирательной комиссии:    Брянск, Бежицкая"																																																																										
																																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																																										
																																																																										
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №1120									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	387	6	10	2	4	8	9	4	4	4	4	4	6	6	6	2	6	8	10	4	4	4	6	12	8	4	4	4	4	12	2	8	8	8	11	13	8	8	6	4	6	2	6	10	2	4	12	4	2	10	2	4	16	4	8	10	8	6	6	4	8	4	4	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	321	4	8	2	4	6	9	3	4	3	2	3	4	5	6	1	6	4	10	3	3	3	4	11	8	3	3	2	3	9	1	8	7	5	11	13	6	7	6	4	5	0	6	10	1	4	10	4	2	8	2	2	10	1	8	9	7	4	4	4	8	4	4	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	359	1	5	1	0	7	3	7	59	0	6	0	6	1	4	2	1	10	3	2	3	3	6	4	2	1	3	4	6	4	7	5	7	3	2	13	2	13	3	3	7	19	14	8	5	7	3	7	4	13	3	3	11	7	6	13	1	3	0	4	1	2	4	2									
14	Число погашенных неиспользованных открепительных удостоверений	66	2	2	0	0	2	0	1	0	1	2	1	2	1	0	1	0	4	0	1	1	1	2	1	0	1	1	2	1	3	1	0	1	3	0	0	2	1	0	0	1	2	0	0	1	0	2	0	0	2	0	2	6	3	0	1	1	2	2	0	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	161	0	5	1	5	6	3	0	0	2	1	1	1	4	1	0	2	1	2	2	5	2	3	2	3	1	1	4	3	2	2	2	4	4	4	1	5	2	6	2	2	1	1	6	4	2	4	4	1	2	0	0	7	5	2	2	5	3	1	2	5	5	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	1172	14	10	61	1	13	52	17	11	36	11	10	8	9	14	6	12	14	15	14	14	11	7	16	18	5	6	6	15	22	13	27	20	14	14	20	14	10	23	15	6	16	13	12	12	15	20	11	10	20	4	9	21	12	10	15	79	210	7	7	7	15	13	10									
		1.96%	3.17%	0.55%	4.39%	0.16%	0.84%	4.21%	1.48%	1.41%	4.09%	2.57%	0.81%	1.64%	0.80%	2.01%	0.73%	1.90%	1.05%	1.69%	1.67%	2.13%	0.91%	0.45%	1.30%	2.34%	0.39%	1.48%	0.83%	1.74%	3.52%	3.18%	3.34%	2.69%	0.99%	1.34%	1.95%	1.47%	0.74%	2.30%	2.15%	1.21%	2.87%	2.04%	1.83%	2.20%	2.27%	3.90%	1.23%	2.96%	1.33%	0.95%	1.06%	2.12%	0.88%	1.58%	0.87%	4.05%	10.29%	0.87%	1.12%	0.91%	1.16%	1.04%	0.97%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	947	9	21	5	6	18	14	20	15	17	12	17	13	15	19	7	19	33	19	17	26	1	15	24	18	17	11	8	11	21	7	21	13	20	8	21	12	22	20	18	7	2	11	15	14	14	16	14	8	17	2	16	30	9	16	0	41	30	14	9	18	8	14	12									
		1.59%	2.04%	1.15%	0.36%	0.98%	1.16%	1.13%	1.74%	1.92%	1.93%	2.80%	1.38%	2.66%	1.33%	2.73%	0.85%	3.01%	2.48%	2.14%	2.03%	3.95%	0.08%	0.96%	1.94%	2.34%	1.33%	2.72%	1.11%	1.28%	3.36%	1.71%	2.60%	1.75%	1.42%	0.77%	2.05%	1.26%	1.63%	1.99%	2.58%	1.41%	0.36%	1.73%	2.28%	2.57%	2.11%	3.12%	1.57%	2.37%	1.13%	0.47%	1.88%	3.03%	0.66%	2.54%	0.00%	2.10%	1.47%	1.74%	1.44%	2.33%	0.62%	1.12%	1.17%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	684	9	32	3	0	20	20	10	5	9	13	8	11	15	20	14	13	6	13	11	18	6	5	7	8	5	9	0	8	10	6	21	15	12	10	14	15	13	12	0	0	4	10	15	7	22	17	10	7	10	0	17	15	1	14	0	21	23	7	5	11	16	19	7									
		1.15%	2.04%	1.75%	0.22%	0.00%	1.29%	1.62%	0.87%	0.64%	1.02%	3.04%	0.65%	2.25%	1.33%	2.87%	1.70%	2.06%	0.45%	1.47%	1.31%	2.74%	0.50%	0.32%	0.57%	1.04%	0.39%	2.22%	0.00%	0.93%	1.60%	1.47%	2.60%	2.02%	0.85%	0.96%	1.37%	1.57%	0.96%	1.20%	0.00%	0.00%	0.72%	1.57%	2.28%	1.28%	3.32%	3.31%	1.12%	2.07%	0.66%	0.00%	2.00%	1.52%	0.07%	2.22%	0.00%	1.08%	1.13%	0.87%	0.80%	1.42%	1.24%	1.51%	0.68%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	35486	286	1281	963	435	1124	810	505	480	543	160	926	195	710	322	467	270	871	548	464	241	850	1103	722	292	987	169	565	492	248	187	280	229	976	658	660	554	907	406	346	347	343	305	239	230	231	159	606	116	1008	283	549	475	954	254	1209	1261	1026	538	464	383	693	771	810									
		59.46%	64.85%	70.04%	69.28%	70.85%	72.61%	65.59%	44.03%	61.54%	61.63%	37.38%	74.98%	39.96%	62.94%	46.26%	56.61%	42.72%	65.44%	61.78%	55.30%	36.63%	70.25%	70.30%	58.46%	37.97%	76.93%	41.73%	78.25%	57.14%	39.68%	45.72%	34.65%	30.78%	69.17%	62.97%	64.39%	58.07%	67.09%	40.56%	49.50%	70.10%	61.47%	47.96%	36.38%	42.20%	34.89%	30.99%	67.79%	34.32%	66.98%	67.06%	64.66%	48.03%	69.89%	40.25%	70.45%	64.67%	50.27%	66.75%	74.48%	49.61%	53.72%	61.43%	78.95%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	300	4	9	1	0	11	3	8	3	1	3	5	4	5	5	7	1	4	5	1	7	5	2	6	4	10	6	3	6	4	2	13	6	5	6	4	10	8	5	1	0	0	3	8	7	7	5	2	0	5	0	3	7	1	10	0	11	8	6	1	5	7	6	5									
		0.50%	0.91%	0.49%	0.07%	0.00%	0.71%	0.24%	0.70%	0.38%	0.11%	0.70%	0.40%	0.82%	0.44%	0.72%	0.85%	0.16%	0.30%	0.56%	0.12%	1.06%	0.41%	0.13%	0.49%	0.52%	0.78%	1.48%	0.42%	0.70%	0.64%	0.49%	1.61%	0.81%	0.35%	0.57%	0.39%	1.05%	0.59%	0.50%	0.14%	0.00%	0.00%	0.47%	1.22%	1.28%	1.06%	0.97%	0.22%	0.00%	0.33%	0.00%	0.35%	0.71%	0.07%	1.58%	0.00%	0.56%	0.39%	0.74%	0.16%	0.65%	0.54%	0.48%	0.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	127	0	13	2	0	1	11	0	1	4	1	2	1	0	1	2	2	2	1	1	4	1	0	2	1	1	0	2	3	0	0	1	1	2	2	4	7	0	3	2	2	0	4	2	1	2	3	2	0	3	0	2	4	1	2	0	9	3	1	0	0	2	2	1									
		0.21%	0.00%	0.71%	0.14%	0.00%	0.06%	0.89%	0.00%	0.13%	0.45%	0.23%	0.16%	0.20%	0.00%	0.14%	0.24%	0.32%	0.15%	0.11%	0.12%	0.61%	0.08%	0.00%	0.16%	0.13%	0.08%	0.00%	0.28%	0.35%	0.00%	0.00%	0.12%	0.13%	0.14%	0.19%	0.39%	0.73%	0.00%	0.30%	0.29%	0.40%	0.00%	0.63%	0.30%	0.18%	0.30%	0.58%	0.22%	0.00%	0.20%	0.00%	0.24%	0.40%	0.07%	0.32%	0.00%	0.46%	0.15%	0.12%	0.00%	0.00%	0.16%	0.16%	0.10%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5968	42	97	47	80	118	98	230	100	58	93	89	100	88	122	103	105	120	96	73	93	57	81	132	144	52	53	43	104	80	64	160	158	160	136	75	91	97	100	87	45	23	76	109	87	89	83	79	55	61	59	102	124	120	120	30	164	209	67	32	130	91	109	78									
		10.00%	9.52%	5.30%	3.38%	13.03%	7.62%	7.94%	20.05%	12.82%	6.58%	21.73%	7.21%	20.49%	7.80%	17.53%	12.48%	16.61%	9.02%	10.82%	8.70%	14.13%	4.71%	5.16%	10.69%	18.73%	4.05%	13.09%	5.96%	12.08%	12.80%	15.65%	19.80%	21.24%	11.34%	13.01%	7.32%	9.54%	7.17%	9.99%	12.45%	9.09%	4.12%	11.95%	16.59%	15.96%	13.44%	16.18%	8.84%	16.27%	4.05%	13.98%	12.01%	12.54%	8.79%	19.02%	1.75%	8.41%	10.24%	8.31%	5.14%	16.84%	7.05%	8.69%	7.60%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	336	2	3	1	2	5	2	7	2	14	2	3	3	6	4	6	9	10	1	0	3	3	4	15	4	7	6	0	2	8	1	3	10	5	10	12	13	12	10	4	3	0	7	4	8	4	4	2	4	8	1	8	8	3	8	0	17	12	2	2	4	4	7	2									
		0.56%	0.45%	0.16%	0.07%	0.33%	0.32%	0.16%	0.61%	0.26%	1.59%	0.47%	0.24%	0.61%	0.53%	0.57%	0.73%	1.42%	0.75%	0.11%	0.00%	0.46%	0.25%	0.25%	1.21%	0.52%	0.55%	1.48%	0.00%	0.23%	1.28%	0.24%	0.37%	1.34%	0.35%	0.96%	1.17%	1.36%	0.89%	0.99%	0.57%	0.61%	0.00%	1.10%	0.61%	1.47%	0.60%	0.78%	0.22%	1.18%	0.53%	0.24%	0.94%	0.81%	0.22%	1.27%	0.00%	0.87%	0.59%	0.25%	0.32%	0.52%	0.31%	0.56%	0.19%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	498	4	8	2	0	10	5	9	3	1	7	7	6	6	8	6	9	5	2	2	7	2	2	6	12	2	5	4	6	11	1	20	14	17	10	19	10	8	20	7	6	6	11	7	13	16	19	4	5	9	1	5	16	2	13	0	14	31	5	2	7	8	12	3									
		0.83%	0.91%	0.44%	0.14%	0.00%	0.65%	0.40%	0.78%	0.38%	0.11%	1.64%	0.57%	1.23%	0.53%	1.15%	0.73%	1.42%	0.38%	0.23%	0.24%	1.06%	0.17%	0.13%	0.49%	1.56%	0.16%	1.23%	0.55%	0.70%	1.76%	0.24%	2.48%	1.88%	1.20%	0.96%	1.85%	1.05%	0.59%	1.99%	1.00%	1.21%	1.08%	1.73%	1.07%	2.39%	2.42%	3.70%	0.45%	1.48%	0.60%	0.24%	0.59%	1.62%	0.15%	2.06%	0.00%	0.72%	1.52%	0.62%	0.32%	0.91%	0.62%	0.96%	0.29%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	59	0	6	2	0	0	7	2	0	1	0	1	0	0	0	1	1	0	1	1	2	0	0	0	0	0	0	0	0	1	0	2	1	2	1	1	1	1	2	0	0	0	3	0	2	1	0	1	0	1	0	0	0	1	0	0	7	0	0	2	1	1	2	0									
		0.10%	0.00%	0.33%	0.14%	0.00%	0.00%	0.57%	0.17%	0.00%	0.11%	0.00%	0.08%	0.00%	0.00%	0.00%	0.12%	0.16%	0.00%	0.11%	0.12%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.00%	0.25%	0.13%	0.14%	0.10%	0.10%	0.10%	0.07%	0.20%	0.00%	0.00%	0.00%	0.47%	0.00%	0.37%	0.15%	0.00%	0.11%	0.00%	0.07%	0.00%	0.00%	0.00%	0.07%	0.00%	0.00%	0.36%	0.00%	0.00%	0.32%	0.13%	0.08%	0.16%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	686	2	6	4	1	18	15	11	18	11	2	4	12	6	7	4	5	7	4	2	10	9	3	15	15	12	9	0	14	13	5	15	16	26	11	17	20	23	34	9	10	5	9	13	10	34	26	6	5	12	0	13	25	0	10	0	27	15	2	5	4	15	16	9									
		1.15%	0.45%	0.33%	0.29%	0.16%	1.16%	1.21%	0.96%	2.31%	1.25%	0.47%	0.32%	2.46%	0.53%	1.01%	0.48%	0.79%	0.53%	0.45%	0.24%	1.52%	0.74%	0.19%	1.21%	1.95%	0.94%	2.22%	0.00%	1.63%	2.08%	1.22%	1.86%	2.15%	1.84%	1.05%	1.66%	2.10%	1.70%	3.40%	1.29%	2.02%	0.90%	1.42%	1.98%	1.83%	5.14%	5.07%	0.67%	1.48%	0.80%	0.00%	1.53%	2.53%	0.00%	1.58%	0.00%	1.38%	0.73%	0.25%	0.80%	0.52%	1.16%	1.27%	0.88%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	9204	46	276	222	55	152	126	262	101	119	80	130	90	220	117	160	105	176	124	171	141	242	286	191	176	123	84	67	131	135	90	164	167	113	120	104	117	150	158	131	49	101	126	130	88	146	110	102	90	286	62	84	153	204	141	446	173	294	94	77	133	265	164	64									
		15.42%	10.43%	15.09%	15.97%	8.96%	9.82%	10.20%	22.84%	12.95%	13.51%	18.69%	10.53%	18.44%	19.50%	16.81%	19.39%	16.61%	13.22%	13.98%	20.38%	21.43%	20.00%	18.23%	15.47%	22.89%	9.59%	20.74%	9.28%	15.21%	21.60%	22.00%	20.30%	22.45%	8.01%	11.48%	10.15%	12.26%	11.09%	15.78%	18.74%	9.90%	18.10%	19.81%	19.79%	16.15%	22.05%	21.44%	11.41%	26.63%	19.00%	14.69%	9.89%	15.47%	14.95%	22.35%	25.99%	8.87%	14.40%	11.66%	12.36%	17.23%	20.54%	13.07%	6.24%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	340	4	16	0	0	3	19	9	3	4	3	2	3	2	2	2	1	3	6	1	1	2	7	3	2	1	3	1	1	2	4	1	6	4	2	1	11	3	88	2	4	0	7	4	6	3	4	5	0	1	0	5	25	0	0	0	29	5	3	1	3	0	5	2									
		0.57%	0.91%	0.87%	0.00%	0.00%	0.19%	1.54%	0.78%	0.38%	0.45%	0.70%	0.16%	0.61%	0.18%	0.29%	0.24%	0.16%	0.23%	0.68%	0.12%	0.15%	0.17%	0.45%	0.24%	0.26%	0.08%	0.74%	0.14%	0.12%	0.32%	0.98%	0.12%	0.81%	0.28%	0.19%	0.10%	1.15%	0.22%	8.79%	0.29%	0.81%	0.00%	1.10%	0.61%	1.10%	0.45%	0.78%	0.56%	0.00%	0.07%	0.00%	0.59%	2.53%	0.00%	0.00%	0.00%	1.49%	0.24%	0.37%	0.16%	0.39%	0.00%	0.40%	0.19%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3339	11	48	69	29	40	42	49	36	57	31	30	35	33	47	33	71	64	46	78	80	10	47	92	35	56	36	20	35	63	26	74	67	54	50	66	63	84	115	72	13	58	43	89	54	59	36	32	38	61	6	27	82	51	27	15	87	173	54	9	56	153	106	16									
		5.60%	2.49%	2.62%	4.96%	4.72%	2.58%	3.40%	4.27%	4.62%	6.47%	7.24%	2.43%	7.17%	2.93%	6.75%	4.00%	11.23%	4.81%	5.19%	9.30%	12.16%	0.83%	2.99%	7.45%	4.55%	4.36%	8.89%	2.77%	4.07%	10.08%	6.36%	9.16%	9.01%	3.83%	4.78%	6.44%	6.60%	6.21%	11.49%	10.30%	2.63%	10.39%	6.76%	13.55%	9.91%	8.91%	7.02%	3.58%	11.24%	4.05%	1.42%	3.18%	8.29%	3.74%	4.28%	0.87%	4.46%	8.48%	6.70%	1.44%	7.25%	11.86%	8.45%	1.56%									
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
																																																																										
