Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																									
Дата голосования: 18.09.2016																																																									
																																																									
Наименование Избирательной комиссии:    Дятьковская																																																									
																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																									
																																																									
		Сумма	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	215	12	2	3	6	3	3	2	8	7	2	4	2	4	5	3	7	2	8	3	11	2	18	14	16	7	4	3	2	3	3	3	3	2	3	2	1	5	2	8	1	3	3	1	3	3	3									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	199	12	0	2	6	3	3	2	8	7	2	4	0	3	5	3	7	2	8	3	11	2	18	14	16	7	4	0	2	3	3	3	3	0	3	2	0	5	2	8	1	1	2	0	3	3	3									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	99	8	0	4	2	3	7	1	7	5	3	7	0	3	1	4	5	0	3	0	2	6	3	1	0	0	1	0	0	2	2	1	1	0	1	0	0	1	0	3	0	0	5	2	0	0	5									
14	Число погашенных неиспользованных открепительных удостоверений	16	0	2	1	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	2	0	0	1	0	0	0	0	2	1	1	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	113	3	0	5	4	4	5	3	3	2	0	8	0	1	2	4	4	2	7	4	5	1	4	1	9	5	4	0	0	2	0	1	2	0	1	0	0	0	8	3	0	0	0	0	2	1	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	353	19	8	11	5	5	12	3	20	4	6	13	6	5	7	4	20	5	17	5	0	1	12	4	23	2	14	4	7	2	4	9	3	5	10	7	1	1	8	16	1	0	11	2	11	10	10									
		1.36%	2.35%	3.56%	2.27%	1.31%	1.50%	2.31%	1.23%	2.44%	0.97%	1.90%	2.85%	3.35%	1.88%	2.16%	1.12%	2.96%	2.04%	1.38%	0.99%	0.00%	0.62%	2.18%	0.86%	2.91%	0.53%	0.98%	0.49%	1.20%	0.36%	0.69%	4.39%	0.47%	2.16%	1.69%	4.22%	0.72%	0.75%	1.87%	2.08%	0.60%	0.00%	1.10%	0.99%	0.76%	0.72%	0.65%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	661	29	9	15	0	7	30	10	31	13	11	19	4	8	11	6	19	9	41	15	22	3	18	10	18	6	26	18	12	2	10	8	22	3	27	9	4	2	6	25	4	29	11	4	24	23	28									
		2.55%	3.59%	4.00%	3.10%	0.00%	2.10%	5.77%	4.12%	3.79%	3.16%	3.49%	4.17%	2.23%	3.01%	3.40%	1.68%	2.81%	3.67%	3.32%	2.97%	3.81%	1.86%	3.27%	2.16%	2.28%	1.58%	1.82%	2.22%	2.06%	0.36%	1.74%	3.90%	3.44%	1.30%	4.57%	5.42%	2.90%	1.50%	1.40%	3.25%	2.40%	2.41%	1.10%	1.99%	1.67%	1.65%	1.83%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	360	14	4	6	6	3	11	6	20	7	6	10	2	5	8	5	20	6	23	12	8	0	11	7	13	0	15	12	9	4	4	6	7	1	10	2	2	1	3	6	1	6	8	1	23	14	12									
		1.39%	1.73%	1.78%	1.24%	1.57%	0.90%	2.12%	2.47%	2.44%	1.70%	1.90%	2.19%	1.12%	1.88%	2.47%	1.40%	2.96%	2.45%	1.86%	2.38%	1.38%	0.00%	2.00%	1.51%	1.65%	0.00%	1.05%	1.48%	1.54%	0.71%	0.69%	2.93%	1.09%	0.43%	1.69%	1.20%	1.45%	0.75%	0.70%	0.78%	0.60%	0.50%	0.80%	0.50%	1.60%	1.00%	0.78%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14769	349	88	260	203	139	207	91	280	171	161	191	83	109	121	196	244	96	531	212	258	100	307	304	394	278	1042	578	345	294	312	105	341	124	259	83	81	81	175	477	124	902	710	150	1037	1051	1125									
		57.01%	43.19%	39.11%	53.72%	53.14%	41.62%	39.81%	37.45%	34.19%	41.50%	51.11%	41.89%	46.37%	40.98%	37.35%	54.90%	36.15%	39.18%	42.96%	41.98%	44.64%	62.11%	55.82%	65.66%	49.87%	73.16%	72.92%	71.36%	59.18%	52.41%	54.17%	51.22%	53.28%	53.68%	43.82%	50.00%	58.70%	60.90%	40.89%	62.03%	74.25%	74.98%	70.79%	74.63%	72.06%	75.29%	73.53%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	119	11	0	2	2	1	0	0	6	3	1	2	0	2	1	1	3	2	8	4	3	0	2	1	2	0	4	5	2	3	4	0	4	0	9	0	0	0	2	4	1	0	5	0	11	3	5									
		0.46%	1.36%	0.00%	0.41%	0.52%	0.30%	0.00%	0.00%	0.73%	0.73%	0.32%	0.44%	0.00%	0.75%	0.31%	0.28%	0.44%	0.82%	0.65%	0.79%	0.52%	0.00%	0.36%	0.22%	0.25%	0.00%	0.28%	0.62%	0.34%	0.53%	0.69%	0.00%	0.63%	0.00%	1.52%	0.00%	0.00%	0.00%	0.47%	0.52%	0.60%	0.00%	0.50%	0.00%	0.76%	0.21%	0.33%									
24	"6. Политическая партия ""Гражданская Платформа"""	31	0	0	0	0	1	0	0	1	0	2	0	0	1	0	0	0	0	3	1	0	0	0	1	0	0	0	2	0	0	0	0	1	1	1	0	0	0	4	2	0	9	0	0	0	0	1									
		0.12%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.12%	0.00%	0.63%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.24%	0.20%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.16%	0.43%	0.17%	0.00%	0.00%	0.00%	0.93%	0.26%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.07%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3722	147	43	66	77	65	77	31	151	91	51	90	30	56	67	49	125	40	221	137	137	33	82	51	131	52	130	70	61	111	65	27	116	42	111	32	25	16	164	106	22	84	65	22	117	97	139									
		14.37%	18.19%	19.11%	13.64%	20.16%	19.46%	14.81%	12.76%	18.44%	22.09%	16.19%	19.74%	16.76%	21.05%	20.68%	13.73%	18.52%	16.33%	17.88%	27.13%	23.70%	20.50%	14.91%	11.02%	16.58%	13.68%	9.10%	8.64%	10.46%	19.79%	11.28%	13.17%	18.13%	18.18%	18.78%	19.28%	18.12%	12.03%	38.32%	13.78%	13.17%	6.98%	6.48%	10.95%	8.13%	6.95%	9.08%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	95	4	3	2	0	4	2	1	6	1	1	3	1	3	0	1	2	0	8	0	4	0	2	2	3	0	5	1	1	1	0	0	2	0	3	0	0	0	1	1	0	20	0	0	0	4	3									
		0.37%	0.50%	1.33%	0.41%	0.00%	1.20%	0.38%	0.41%	0.73%	0.24%	0.32%	0.66%	0.56%	1.13%	0.00%	0.28%	0.30%	0.00%	0.65%	0.00%	0.69%	0.00%	0.36%	0.43%	0.38%	0.00%	0.35%	0.12%	0.17%	0.18%	0.00%	0.00%	0.31%	0.00%	0.51%	0.00%	0.00%	0.00%	0.23%	0.13%	0.00%	1.66%	0.00%	0.00%	0.00%	0.29%	0.20%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	112	5	1	5	6	3	3	3	6	2	3	5	0	0	1	1	2	1	8	6	5	0	0	2	6	0	2	1	2	7	1	2	1	0	2	1	0	0	3	0	0	3	0	2	0	7	4									
		0.43%	0.62%	0.44%	1.03%	1.57%	0.90%	0.58%	1.23%	0.73%	0.49%	0.95%	1.10%	0.00%	0.00%	0.31%	0.28%	0.30%	0.41%	0.65%	1.19%	0.87%	0.00%	0.00%	0.43%	0.76%	0.00%	0.14%	0.12%	0.34%	1.25%	0.17%	0.98%	0.16%	0.00%	0.34%	0.60%	0.00%	0.00%	0.70%	0.00%	0.00%	0.25%	0.00%	0.99%	0.00%	0.50%	0.26%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	0	0	1	0	0	0	0	2	0	0	1	0	0	1	0	3	1	1	0	0	0	0	0	0	0	0	2	2	0	1	0	1	1	0	0	0	0	0	0	0	27	1	0	0	0	0									
		0.17%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.22%	0.00%	0.00%	0.31%	0.00%	0.44%	0.41%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.34%	0.00%	0.17%	0.00%	0.16%	0.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.24%	0.10%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	188	10	0	2	0	2	11	5	13	5	6	4	1	2	4	4	5	3	12	7	7	0	8	4	3	1	10	6	1	1	2	1	4	2	9	4	1	0	2	4	0	4	6	0	0	10	2									
		0.73%	1.24%	0.00%	0.41%	0.00%	0.60%	2.12%	2.06%	1.59%	1.21%	1.90%	0.88%	0.56%	0.75%	1.23%	1.12%	0.74%	1.22%	0.97%	1.39%	1.21%	0.00%	1.45%	0.86%	0.38%	0.26%	0.70%	0.74%	0.17%	0.18%	0.35%	0.49%	0.63%	0.87%	1.52%	2.41%	0.72%	0.00%	0.47%	0.52%	0.00%	0.33%	0.60%	0.00%	0.00%	0.72%	0.13%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4323	172	63	91	73	82	137	75	225	87	55	96	41	59	87	57	156	64	279	75	105	20	88	63	163	35	143	94	115	116	158	40	104	45	112	25	17	30	51	90	12	98	170	15	163	138	139									
		16.69%	21.29%	28.00%	18.80%	19.11%	24.55%	26.35%	30.86%	27.47%	21.12%	17.46%	21.05%	22.91%	22.18%	26.85%	15.97%	23.11%	26.12%	22.57%	14.85%	18.17%	12.42%	16.00%	13.61%	20.63%	9.21%	10.01%	11.60%	19.73%	20.68%	27.43%	19.51%	16.25%	19.48%	18.95%	15.06%	12.32%	22.56%	11.92%	11.70%	7.19%	8.15%	16.95%	7.46%	11.33%	9.89%	9.08%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	83	3	1	3	1	1	1	1	3	1	1	2	1	3	1	6	5	3	7	2	2	2	5	1	2	1	1	0	1	0	1	2	3	0	3	1	0	1	2	2	0	0	0	0	0	4	3									
		0.32%	0.37%	0.44%	0.62%	0.26%	0.30%	0.19%	0.41%	0.37%	0.24%	0.32%	0.44%	0.56%	1.13%	0.31%	1.68%	0.74%	1.22%	0.57%	0.40%	0.35%	1.24%	0.91%	0.22%	0.25%	0.26%	0.07%	0.00%	0.17%	0.00%	0.17%	0.98%	0.47%	0.00%	0.51%	0.60%	0.00%	0.75%	0.47%	0.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.20%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	682	30	1	6	6	13	16	13	37	20	7	12	7	6	7	14	49	12	55	15	12	0	9	7	21	5	22	7	12	15	11	2	18	6	17	2	6	0	7	15	0	19	16	3	51	31	42									
		2.63%	3.71%	0.44%	1.24%	1.57%	3.89%	3.08%	5.35%	4.52%	4.85%	2.22%	2.63%	3.91%	2.26%	2.16%	3.92%	7.26%	4.90%	4.45%	2.97%	2.08%	0.00%	1.64%	1.51%	2.66%	1.32%	1.54%	0.86%	2.06%	2.67%	1.91%	0.98%	2.81%	2.60%	2.88%	1.20%	4.35%	0.00%	1.64%	1.95%	0.00%	1.58%	1.60%	1.49%	3.54%	2.22%	2.75%									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
