Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																																												
Дата голосования: 07.12.2003 0:00:00																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Вольская																																																																																												
																																																																																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																																												
																																																																																												
		Сумма	УИК  121	УИК  122	УИК  123	УИК  124	УИК  125	УИК  126	УИК  127	УИК  128	УИК  129	УИК  130	УИК  131	УИК  132	УИК  133	УИК  134	УИК  135	УИК  136	УИК  137	УИК  138	УИК  139	УИК  140	УИК  141	УИК  142	УИК  143	УИК  144	УИК  145	УИК  146	УИК  147	УИК  148	УИК  149	УИК  150	УИК  151	УИК  152	УИК  153	УИК  154	УИК  155	УИК  156	УИК  157	УИК  158	УИК  159	УИК  160	УИК  161	УИК  162	УИК  163	УИК  164	УИК  165	УИК  166	УИК  167	УИК  168	УИК  169	УИК  170	УИК  171	УИК  172	УИК  173	УИК  174	УИК  175	УИК  176	УИК  177	УИК  178	УИК  179	УИК  180	УИК  181	УИК  182	УИК  183	УИК  184	УИК  185	УИК  186	УИК  187	УИК  188	УИК  189	УИК  190	УИК  191	УИК  192	УИК  193	УИК  194	УИК  195	УИК  196	УИК  197	УИК  198	УИК  199	УИК  200	УИК  201	УИК  202	УИК  203	УИК  204	УИК  205					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																												
18	"1. ""ЕДИНЕНИЕ"""	495	11	3	9	18	9	1	1	2	2	4	12	2	0	7	1	4	4	4	6	8	6	4	31	9	11	2	14	9	18	3	4	8	5	6	4	0	5	10	13	12	2	7	1	2	0	3	21	23	4	3	0	4	0	11	4	7	5	1	0	2	2	2	0	0	0	2	5	11	2	1	2	3	14	28	0	1	5	7	0	0	2	1	15	6	4					
		0.97%	0.67%	0.62%	1.96%	1.32%	1.29%	0.54%	0.55%	1.18%	0.49%	0.53%	2.25%	0.36%	0.0%	1.14%	2.56%	0.45%	0.43%	1.16%	0.60%	0.85%	0.64%	0.51%	1.32%	0.67%	1.11%	0.52%	1.72%	0.90%	1.29%	0.43%	0.47%	1.06%	1.01%	1.47%	1.07%	0.0%	1.90%	1.88%	1.91%	0.77%	0.65%	3.57%	0.19%	1.45%	0.0%	0.82%	1.15%	1.84%	3.41%	0.43%	0.0%	2.75%	0.0%	1.67%	1.06%	1.54%	0.74%	0.70%	0.0%	0.54%	0.81%	0.37%	0.0%	0.0%	0.0%	0.45%	0.58%	2.68%	0.59%	0.68%	1.88%	0.71%	0.82%	1.66%	0.0%	0.25%	0.79%	1.52%	0.0%	0.0%	1.85%	0.51%	0.76%	1.12%	2.07%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	374	5	5	2	16	5	0	2	1	4	13	5	8	2	2	2	8	2	4	10	9	12	8	24	9	8	4	17	5	9	5	5	8	9	4	2	0	1	4	3	8	1	1	1	1	0	8	24	24	1	2	0	0	0	1	0	0	0	0	0	2	0	8	0	2	0	0	1	2	1	0	2	2	14	13	0	0	1	6	1	1	0	2	2	0	0					
		0.73%	0.30%	1.04%	0.43%	1.17%	0.71%	0.0%	1.10%	0.59%	0.99%	1.74%	0.93%	1.44%	0.74%	0.32%	5.12%	0.90%	0.21%	1.16%	1.00%	0.95%	1.28%	1.02%	1.02%	0.67%	0.80%	1.04%	2.09%	0.50%	0.64%	0.71%	0.59%	1.06%	1.82%	0.98%	0.53%	0.0%	0.38%	0.75%	0.44%	0.51%	0.32%	0.51%	0.19%	0.72%	0.0%	2.20%	1.32%	1.92%	0.85%	0.29%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	1.51%	0.0%	1.10%	0.0%	0.0%	0.11%	0.48%	0.29%	0.0%	1.88%	0.47%	0.82%	0.77%	0.0%	0.0%	0.15%	1.30%	0.32%	0.50%	0.0%	1.02%	0.10%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	829	19	0	4	27	12	2	0	6	4	5	10	14	3	10	0	23	6	5	18	24	15	19	13	23	15	4	11	16	36	22	26	14	5	11	4	1	8	20	17	39	3	9	18	2	0	6	52	16	4	14	2	0	0	5	5	4	4	0	0	4	0	5	1	3	0	3	7	2	6	3	0	3	24	60	0	1	15	8	5	2	1	2	12	6	1					
		1.62%	1.16%	0.0%	0.87%	1.98%	1.72%	1.08%	0.0%	3.55%	0.99%	0.67%	1.87%	2.53%	1.11%	1.63%	0.0%	2.60%	0.65%	1.45%	1.80%	2.55%	1.60%	2.42%	0.55%	1.72%	1.51%	1.04%	1.35%	1.61%	2.58%	3.16%	3.07%	1.86%	1.01%	2.70%	1.07%	2.08%	3.04%	3.76%	2.50%	2.51%	0.97%	4.59%	3.57%	1.45%	0.0%	1.65%	2.86%	1.28%	3.41%	2.04%	0.39%	0.0%	0.0%	0.76%	1.32%	0.88%	0.59%	0.0%	0.0%	1.09%	0.0%	0.94%	0.80%	1.65%	0.0%	0.67%	0.81%	0.48%	1.79%	2.05%	0.0%	0.71%	1.41%	3.55%	0.0%	0.25%	2.38%	1.73%	1.63%	1.01%	0.92%	1.02%	0.61%	1.12%	0.51%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	623	14	2	3	16	11	1	2	1	8	9	13	15	4	14	0	18	11	4	29	16	21	8	20	20	19	3	16	7	17	3	23	18	9	6	6	0	6	12	10	21	1	2	7	0	0	1	35	21	0	2	0	1	1	6	0	4	1	0	0	1	0	3	0	2	0	0	2	3	0	2	0	1	29	15	2	1	10	1	4	0	2	5	12	8	2					
		1.22%	0.86%	0.41%	0.65%	1.17%	1.58%	0.54%	1.10%	0.59%	1.99%	1.21%	2.43%	2.71%	1.49%	2.28%	0.0%	2.04%	1.19%	1.16%	2.91%	1.70%	2.24%	1.02%	0.85%	1.49%	1.92%	0.78%	1.97%	0.70%	1.22%	0.43%	2.72%	2.39%	1.82%	1.47%	1.61%	0.0%	2.28%	2.25%	1.47%	1.35%	0.32%	1.02%	1.39%	0.0%	0.0%	0.27%	1.92%	1.68%	0.0%	0.29%	0.0%	0.68%	0.32%	0.91%	0.0%	0.88%	0.14%	0.0%	0.0%	0.27%	0.0%	0.56%	0.0%	1.10%	0.0%	0.0%	0.23%	0.73%	0.0%	1.36%	0.0%	0.23%	1.70%	0.88%	0.55%	0.25%	1.58%	0.21%	1.31%	0.0%	1.85%	2.56%	0.61%	1.49%	1.03%					
22	"5. ""За Русь Святую"""	191	7	1	1	2	3	0	0	1	1	5	3	2	0	2	0	3	2	4	2	0	1	3	8	8	2	1	4	3	7	1	5	1	3	0	2	0	2	4	2	3	2	2	3	0	0	2	15	5	0	0	0	1	0	2	2	1	0	0	0	0	1	2	0	0	0	0	2	0	2	0	0	4	22	13	0	0	1	0	2	0	0	0	4	4	0					
		0.37%	0.43%	0.20%	0.21%	0.14%	0.43%	0.0%	0.0%	0.59%	0.24%	0.67%	0.56%	0.36%	0.0%	0.32%	0.0%	0.34%	0.21%	1.16%	0.20%	0.0%	0.10%	0.38%	0.34%	0.59%	0.20%	0.26%	0.49%	0.30%	0.50%	0.14%	0.59%	0.13%	0.60%	0.0%	0.53%	0.0%	0.76%	0.75%	0.29%	0.19%	0.65%	1.02%	0.59%	0.0%	0.0%	0.55%	0.82%	0.40%	0.0%	0.0%	0.0%	0.68%	0.0%	0.30%	0.53%	0.22%	0.0%	0.0%	0.0%	0.0%	0.40%	0.37%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.59%	0.0%	0.0%	0.95%	1.29%	0.77%	0.0%	0.0%	0.15%	0.0%	0.65%	0.0%	0.0%	0.0%	0.20%	0.74%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	130	0	2	0	5	3	0	0	0	0	2	1	1	0	0	0	3	1	0	0	0	3	3	8	1	2	1	3	3	2	0	2	1	0	2	1	0	1	1	1	4	0	0	0	3	0	1	3	5	0	0	0	0	1	8	1	0	1	0	0	0	0	0	0	0	0	1	0	1	1	0	0	1	24	16	0	2	1	0	0	0	0	1	0	2	0					
		0.25%	0.0%	0.41%	0.0%	0.36%	0.43%	0.0%	0.0%	0.0%	0.0%	0.26%	0.18%	0.18%	0.0%	0.0%	0.0%	0.34%	0.10%	0.0%	0.0%	0.0%	0.32%	0.38%	0.34%	0.07%	0.20%	0.26%	0.36%	0.30%	0.14%	0.0%	0.23%	0.13%	0.0%	0.49%	0.26%	0.0%	0.38%	0.18%	0.14%	0.25%	0.0%	0.0%	0.0%	2.18%	0.0%	0.27%	0.16%	0.40%	0.0%	0.0%	0.0%	0.0%	0.32%	1.21%	0.26%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.24%	0.29%	0.0%	0.0%	0.23%	1.41%	0.94%	0.0%	0.51%	0.15%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.37%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	193	3	1	0	2	4	0	4	3	5	3	3	1	0	1	0	3	7	1	3	3	1	8	16	3	6	2	6	4	3	4	4	0	0	2	2	0	0	2	4	5	0	0	3	0	0	2	12	12	1	0	0	0	0	2	0	0	1	1	0	0	0	3	0	0	1	0	0	2	1	0	0	0	6	10	0	0	1	1	4	0	3	1	4	3	0					
		0.37%	0.18%	0.20%	0.0%	0.14%	0.57%	0.0%	2.20%	1.77%	1.24%	0.40%	0.56%	0.18%	0.0%	0.16%	0.0%	0.34%	0.76%	0.29%	0.30%	0.31%	0.10%	1.02%	0.68%	0.22%	0.60%	0.52%	0.73%	0.40%	0.21%	0.57%	0.47%	0.0%	0.0%	0.49%	0.53%	0.0%	0.0%	0.37%	0.58%	0.32%	0.0%	0.0%	0.59%	0.0%	0.0%	0.55%	0.66%	0.96%	0.85%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.14%	0.70%	0.0%	0.0%	0.0%	0.56%	0.0%	0.0%	0.56%	0.0%	0.0%	0.48%	0.29%	0.0%	0.0%	0.0%	0.35%	0.59%	0.0%	0.0%	0.15%	0.21%	1.31%	0.0%	2.77%	0.51%	0.20%	0.56%	0.0%					
25	"8. ""Народно-республиканская партия России"""	49	4	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	1	0	2	0	1	0	0	0	0	0	1	0	0	0	1	1	0	0	3	1	0	1	3	4	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	2	12	0	0	0	0	0	0	0	1	0	1	0					
		0.09%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.12%	0.0%	0.0%	0.10%	0.0%	0.24%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.14%	0.06%	0.0%	0.0%	0.59%	0.72%	0.0%	0.27%	0.16%	0.32%	0.85%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.23%	0.11%	0.71%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.51%	0.0%	0.18%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	93	12	0	0	4	2	1	0	0	0	0	1	0	0	1	0	2	1	0	1	1	0	0	14	7	5	0	0	1	2	0	1	1	1	2	0	0	0	1	2	3	0	0	0	0	0	2	5	5	0	2	0	1	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	4	0	0	0	1	0	0	0	0	1	1	0					
		0.18%	0.73%	0.0%	0.0%	0.29%	0.28%	0.54%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.16%	0.0%	0.22%	0.10%	0.0%	0.10%	0.10%	0.0%	0.0%	0.59%	0.52%	0.50%	0.0%	0.0%	0.10%	0.14%	0.0%	0.11%	0.13%	0.20%	0.49%	0.0%	0.0%	0.0%	0.18%	0.29%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.55%	0.27%	0.40%	0.0%	0.29%	0.0%	0.68%	0.0%	0.0%	0.26%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%	0.23%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.05%	0.18%	0.0%					
27	"10. ""Аграрная партия России"""	598	13	5	1	15	1	1	2	0	1	5	3	5	3	5	0	4	5	5	15	13	12	6	11	14	13	0	2	12	16	9	9	12	8	4	4	0	4	8	9	18	4	1	6	0	0	5	24	5	0	28	3	0	3	11	22	7	11	0	3	6	7	0	1	1	4	5	11	15	4	1	2	13	16	13	0	11	17	10	4	7	3	4	19	13	5					
		1.17%	0.79%	1.04%	0.21%	1.10%	0.14%	0.54%	1.10%	0.0%	0.24%	0.67%	0.56%	0.90%	1.11%	0.81%	0.0%	0.45%	0.54%	1.45%	1.50%	1.38%	1.28%	0.76%	0.46%	1.04%	1.31%	0.0%	0.24%	1.20%	1.15%	1.29%	1.06%	1.59%	1.61%	0.98%	1.07%	0.0%	1.52%	1.50%	1.32%	1.15%	1.30%	0.51%	1.19%	0.0%	0.0%	1.37%	1.32%	0.40%	0.0%	4.08%	0.58%	0.0%	0.97%	1.67%	5.83%	1.54%	1.63%	0.0%	5.55%	1.64%	2.86%	0.0%	0.80%	0.55%	2.24%	1.13%	1.28%	3.66%	1.19%	0.68%	1.88%	3.11%	0.94%	0.77%	0.0%	2.85%	2.70%	2.17%	1.31%	3.55%	2.77%	2.05%	0.97%	2.42%	2.59%					
28	"11. ""Истинные патриоты России"""	123	2	1	0	2	2	0	0	0	4	0	0	0	1	0	0	3	12	1	0	1	0	19	34	0	0	0	2	0	1	0	0	2	4	0	1	0	0	0	1	0	0	0	0	0	0	1	2	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	5	0	1	1	2	0	12	0	0	0	0	1	0	0	1	0	0	0					
		0.24%	0.12%	0.20%	0.0%	0.14%	0.28%	0.0%	0.0%	0.0%	0.99%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.34%	1.30%	0.29%	0.0%	0.10%	0.0%	2.42%	1.44%	0.0%	0.0%	0.0%	0.24%	0.0%	0.07%	0.0%	0.0%	0.26%	0.80%	0.0%	0.26%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.11%	0.08%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.22%	0.0%	0.68%	0.94%	0.47%	0.0%	0.71%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	352	3	1	0	7	4	1	0	0	1	4	7	7	1	6	0	15	6	0	12	1	8	3	29	4	5	0	10	11	7	4	12	5	3	3	3	0	2	4	11	8	1	0	2	2	0	2	24	10	0	6	0	1	0	1	18	0	3	0	0	0	0	5	0	1	0	1	6	5	1	1	1	4	13	18	0	1	3	1	1	0	0	0	6	5	1					
		0.69%	0.18%	0.20%	0.0%	0.51%	0.57%	0.54%	0.0%	0.0%	0.24%	0.53%	1.31%	1.26%	0.37%	0.98%	0.0%	1.70%	0.65%	0.0%	1.20%	0.10%	0.85%	0.38%	1.23%	0.29%	0.50%	0.0%	1.23%	1.10%	0.50%	0.57%	1.42%	0.66%	0.60%	0.73%	0.80%	0.0%	0.76%	0.75%	1.62%	0.51%	0.32%	0.0%	0.39%	1.45%	0.0%	0.55%	1.32%	0.80%	0.0%	0.87%	0.0%	0.68%	0.0%	0.15%	4.77%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.94%	0.0%	0.55%	0.0%	0.22%	0.70%	1.22%	0.29%	0.68%	0.94%	0.95%	0.76%	1.06%	0.0%	0.25%	0.47%	0.21%	0.32%	0.0%	0.0%	0.0%	0.30%	0.93%	0.51%					
30	"13. ""Демократическая партия России"""	76	0	0	0	1	1	2	0	2	0	0	0	0	1	1	0	2	1	0	0	2	0	1	6	2	0	2	1	2	0	3	0	3	1	0	0	0	0	0	2	1	1	1	2	0	0	0	3	2	0	0	0	0	0	1	2	0	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	1	5	12	0	0	0	1	0	1	0	0	1	1	1					
		0.14%	0.0%	0.0%	0.0%	0.07%	0.14%	1.08%	0.0%	1.18%	0.0%	0.0%	0.0%	0.0%	0.37%	0.16%	0.0%	0.22%	0.10%	0.0%	0.0%	0.21%	0.0%	0.12%	0.25%	0.14%	0.0%	0.52%	0.12%	0.20%	0.0%	0.43%	0.0%	0.39%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.06%	0.32%	0.51%	0.39%	0.0%	0.0%	0.0%	0.16%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	1.61%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.0%	0.23%	0.29%	0.71%	0.0%	0.0%	0.0%	0.21%	0.0%	0.50%	0.0%	0.0%	0.05%	0.18%	0.51%					
31	"14. ""Великая Россия - Евразийский Союз"""	69	0	1	1	2	0	0	1	0	2	2	2	1	0	0	0	0	0	1	0	1	1	2	12	0	0	0	2	2	1	2	1	0	0	0	0	0	0	2	1	1	0	0	2	0	0	1	2	6	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	3	0	0	1	0	3	1	0	0	0	1	0	0	0	0	3	0	1					
		0.13%	0.0%	0.20%	0.21%	0.14%	0.0%	0.0%	0.55%	0.0%	0.49%	0.26%	0.37%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.10%	0.10%	0.25%	0.51%	0.0%	0.0%	0.0%	0.24%	0.20%	0.07%	0.28%	0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.37%	0.14%	0.06%	0.0%	0.0%	0.39%	0.0%	0.0%	0.27%	0.11%	0.48%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.11%	0.73%	0.0%	0.0%	0.94%	0.0%	0.17%	0.05%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.51%					
32	"15. ""Партия СЛОН"""	43	4	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	1	0	0	1	5	0	0	0	0	0	1	0	0	1	0	0	0	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	1	12	0	0	0	3	0	0	0	0	0	0	0					
