Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
Наименование Избирательной комиссии:    Крымская																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №2601	УИК №2602	УИК №2603	УИК №2604	УИК №2605	УИК №2606	УИК №2607	УИК №2608	УИК №2609	УИК №2610	УИК №2611	УИК №2612	УИК №2613	УИК №2614	УИК №2615	УИК №2616	УИК №2617	УИК №2618	УИК №2619	УИК №2620	УИК №2621	УИК №2622	УИК №2623	УИК №2624	УИК №2625	УИК №2626	УИК №2627	УИК №2628	УИК №2629	УИК №2630	УИК №2631	УИК №2632	УИК №2633	УИК №2634	УИК №2635	УИК №2636	УИК №2637	УИК №2638	УИК №2639	УИК №2640	УИК №2641	УИК №2642	УИК №2643	УИК №2644	УИК №2645	УИК №2646	УИК №2647	УИК №2648	УИК №2649	УИК №2650	УИК №2651	УИК №2652	УИК №2653	УИК №2654	УИК №2655	УИК №2656	УИК №2657	УИК №2658	УИК №2659	УИК №2660	УИК №2661	УИК №2662	УИК №2663	УИК №2664	УИК №2665	УИК №2666	УИК №2667	УИК №2668									
14	Число погашенных неиспользованных открепительных удостоверений	368	15	0	13	9	3	9	10	17	10	4	9	9	11	4	11	6	14	8	10	9	0	0	5	0	5	0	0	0	0	0	0	0	0	5	0	14	7	9	0	5	3	13	1	0	5	8	0	0	18	5	8	0	0	0	5	0	0	0	0	1	9	12	8	3	17	8	8	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	100	5	4	2	8	6	1	1	1	6	2	1	1	6	5	3	0	7	3	7	2	5	3	0	1	3	0	0	1	1	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																															
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	495	17	12	12	12	8	1	11	5	6	5	11	16	18	16	3	13	11	3	17	10	2	3	3	3	5	6	3	4	0	4	0	6	0	4	1	11	7	11	2	3	7	12	8	1	1	16	5	13	11	8	7	7	13	5	2	2	1	2	3	4	18	40	4	5	11	1	1	2									
		0.89%	1.22%	1.91%	1.31%	1.50%	0.74%	0.28%	1.59%	0.34%	1.19%	0.40%	1.43%	1.98%	1.60%	1.94%	0.22%	1.33%	1.27%	0.33%	1.73%	0.88%	0.10%	0.23%	2.75%	0.22%	0.28%	1.20%	0.72%	0.73%	0.00%	0.78%	0.00%	0.40%	0.00%	2.34%	0.38%	1.22%	0.48%	1.41%	0.10%	0.99%	1.10%	1.89%	1.02%	1.15%	0.32%	1.23%	1.43%	1.03%	1.26%	0.72%	0.65%	0.98%	1.03%	2.18%	1.30%	0.43%	0.35%	0.59%	0.51%	0.87%	0.97%	2.94%	0.44%	1.02%	0.77%	0.17%	0.17%	1.20%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1003	24	10	22	21	14	6	10	17	16	16	31	19	49	19	2	23	16	3	26	14	1	10	6	15	21	8	9	17	0	9	6	72	3	6	6	19	9	19	0	0	6	18	9	5	6	20	4	22	21	21	18	19	49	8	9	0	6	8	4	28	46	26	21	6	16	3	7	3									
		1.81%	1.73%	1.59%	2.39%	2.62%	1.29%	1.69%	1.45%	1.16%	3.16%	1.29%	4.04%	2.35%	4.36%	2.31%	0.14%	2.36%	1.85%	0.33%	2.65%	1.24%	0.05%	0.78%	5.50%	1.10%	1.16%	1.60%	2.15%	3.11%	0.00%	1.76%	3.95%	4.81%	1.27%	3.51%	2.27%	2.11%	0.62%	2.43%	0.00%	0.00%	0.95%	2.83%	1.14%	5.75%	1.92%	1.54%	1.15%	1.74%	2.41%	1.90%	1.67%	2.66%	3.87%	3.49%	5.84%	0.00%	2.10%	2.37%	0.67%	6.07%	2.47%	1.91%	2.33%	1.23%	1.12%	0.51%	1.16%	1.80%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	842	16	4	31	18	18	4	23	11	14	13	24	18	24	22	2	22	18	1	30	32	1	1	0	1	4	3	5	12	0	9	3	22	7	1	3	15	7	21	15	2	6	9	18	0	3	20	7	16	14	11	14	13	27	3	2	12	1	35	11	10	47	35	17	9	10	6	6	3									
		1.52%	1.15%	0.64%	3.37%	2.24%	1.66%	1.12%	3.33%	0.75%	2.77%	1.05%	3.13%	2.22%	2.14%	2.67%	0.14%	2.26%	2.09%	0.11%	3.06%	2.82%	0.05%	0.08%	0.00%	0.07%	0.22%	0.60%	1.19%	2.20%	0.00%	1.76%	1.97%	1.47%	2.97%	0.58%	1.14%	1.66%	0.48%	2.69%	0.77%	0.66%	0.95%	1.42%	2.28%	0.00%	0.96%	1.54%	2.01%	1.26%	1.61%	0.99%	1.30%	1.82%	2.13%	1.31%	1.30%	2.56%	0.35%	10.39%	1.85%	2.17%	2.52%	2.57%	1.88%	1.84%	0.70%	1.02%	0.99%	1.80%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	36407	991	422	392	366	760	218	318	1183	268	796	339	399	662	378	930	480	499	608	415	801	1394	953	58	1002	1320	331	304	336	172	422	75	1026	127	114	178	518	1136	428	1512	258	430	340	556	56	220	774	256	841	548	771	613	430	763	139	92	357	234	254	442	309	1028	926	611	363	1094	467	485	119									
		65.56%	71.35%	67.09%	42.66%	45.64%	70.05%	61.24%	46.09%	80.81%	52.96%	64.19%	44.20%	49.26%	58.95%	45.93%	66.76%	49.28%	57.82%	67.03%	42.30%	70.70%	73.10%	74.34%	53.21%	73.25%	73.21%	66.07%	72.55%	61.54%	84.31%	82.75%	49.34%	68.58%	53.81%	66.67%	67.42%	57.43%	78.51%	54.80%	78.06%	85.15%	67.82%	53.46%	70.56%	64.37%	70.51%	59.49%	73.35%	66.32%	62.84%	69.58%	56.81%	60.22%	60.32%	60.70%	59.74%	76.28%	81.82%	75.37%	74.54%	67.03%	55.18%	67.99%	67.74%	74.39%	76.77%	79.69%	80.30%	71.26%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	280	2	2	4	5	6	2	5	5	3	5	4	5	4	5	1	10	3	0	12	11	3	1	0	0	2	5	0	4	0	2	2	6	0	3	0	1	9	5	0	0	1	4	2	0	4	8	1	4	4	5	4	2	4	1	0	0	4	3	1	4	56	8	1	0	13	2	4	3									
		0.50%	0.14%	0.32%	0.44%	0.62%	0.55%	0.56%	0.72%	0.34%	0.59%	0.40%	0.52%	0.62%	0.36%	0.61%	0.07%	1.03%	0.35%	0.00%	1.22%	0.97%	0.16%	0.08%	0.00%	0.00%	0.11%	0.99%	0.00%	0.73%	0.00%	0.39%	1.32%	0.40%	0.00%	1.75%	0.00%	0.11%	0.62%	0.64%	0.00%	0.00%	0.16%	0.63%	0.25%	0.00%	1.28%	0.61%	0.29%	0.32%	0.46%	0.45%	0.37%	0.28%	0.32%	0.44%	0.00%	0.00%	1.40%	0.89%	0.17%	0.87%	3.01%	0.59%	0.11%	0.00%	0.91%	0.34%	0.66%	1.80%									
24	"6. Политическая партия ""Гражданская Платформа"""	85	0	0	1	3	2	2	1	4	2	2	1	1	0	3	2	0	1	0	0	1	2	0	0	0	0	1	0	1	0	2	0	1	0	0	0	3	5	0	0	0	0	1	3	0	0	5	0	2	0	2	0	1	1	0	0	0	0	0	3	1	17	4	2	0	0	0	0	2									
		0.15%	0.00%	0.00%	0.11%	0.37%	0.18%	0.56%	0.14%	0.27%	0.40%	0.16%	0.13%	0.12%	0.00%	0.36%	0.14%	0.00%	0.12%	0.00%	0.00%	0.09%	0.10%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.18%	0.00%	0.39%	0.00%	0.07%	0.00%	0.00%	0.00%	0.33%	0.35%	0.00%	0.00%	0.00%	0.00%	0.16%	0.38%	0.00%	0.00%	0.38%	0.00%	0.16%	0.00%	0.18%	0.00%	0.14%	0.08%	0.00%	0.00%	0.00%	0.00%	0.00%	0.51%	0.22%	0.91%	0.29%	0.22%	0.00%	0.00%	0.00%	0.00%	1.20%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5365	143	56	102	190	94	21	110	99	75	79	138	116	127	149	36	154	112	61	152	105	13	76	18	78	110	48	27	59	6	8	21	158	15	18	33	119	104	107	71	16	14	100	75	16	39	120	45	163	138	90	93	104	197	35	25	35	13	0	14	43	219	134	151	36	125	43	50	24									
		9.66%	10.30%	8.90%	11.10%	23.69%	8.66%	5.90%	15.94%	6.76%	14.82%	6.37%	17.99%	14.32%	11.31%	18.10%	2.58%	15.81%	12.98%	6.73%	15.49%	9.27%	0.68%	5.93%	16.51%	5.70%	6.10%	9.58%	6.44%	10.81%	2.94%	1.57%	13.82%	10.56%	6.36%	10.53%	12.50%	13.19%	7.19%	13.70%	3.67%	5.28%	2.21%	15.72%	9.52%	18.39%	12.50%	9.22%	12.89%	12.85%	15.83%	8.12%	8.62%	14.57%	15.57%	15.28%	16.23%	7.48%	4.55%	0.00%	2.36%	9.33%	11.76%	9.84%	16.74%	7.38%	8.77%	7.34%	8.28%	14.37%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	134	2	0	3	5	2	0	6	4	5	3	6	1	2	2	1	6	2	0	7	3	1	0	0	0	0	3	0	0	0	1	0	1	0	0	0	2	4	3	0	0	1	3	7	1	2	5	0	6	0	1	1	5	1	0	2	0	0	0	2	0	13	2	3	0	4	0	0	0									
		0.24%	0.14%	0.00%	0.33%	0.62%	0.18%	0.00%	0.87%	0.27%	0.99%	0.24%	0.78%	0.12%	0.18%	0.24%	0.07%	0.62%	0.23%	0.00%	0.71%	0.26%	0.05%	0.00%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.20%	0.00%	0.07%	0.00%	0.00%	0.00%	0.22%	0.28%	0.38%	0.00%	0.00%	0.16%	0.47%	0.89%	1.15%	0.64%	0.38%	0.00%	0.47%	0.00%	0.09%	0.09%	0.70%	0.08%	0.00%	1.30%	0.00%	0.00%	0.00%	0.34%	0.00%	0.70%	0.15%	0.33%	0.00%	0.28%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	308	4	4	17	8	8	3	8	6	4	10	11	6	12	14	2	12	2	0	15	7	2	0	1	0	0	1	0	1	0	5	0	6	0	0	2	14	12	13	5	1	3	3	5	1	0	15	1	9	3	3	3	2	6	0	1	2	0	0	0	3	12	5	5	0	6	1	2	1									
		0.55%	0.29%	0.64%	1.85%	0.99%	0.74%	0.84%	1.16%	0.41%	0.79%	0.81%	1.43%	0.74%	1.07%	1.70%	0.14%	1.23%	0.23%	0.00%	1.53%	0.62%	0.10%	0.00%	0.92%	0.00%	0.00%	0.20%	0.00%	0.18%	0.00%	0.98%	0.00%	0.40%	0.00%	0.00%	0.76%	1.55%	0.83%	1.66%	0.26%	0.33%	0.47%	0.47%	0.63%	1.15%	0.00%	1.15%	0.29%	0.71%	0.34%	0.27%	0.28%	0.28%	0.47%	0.00%	0.65%	0.43%	0.00%	0.00%	0.00%	0.65%	0.64%	0.37%	0.55%	0.00%	0.42%	0.17%	0.33%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	51	0	1	0	1	2	1	3	3	0	0	0	1	1	1	1	0	2	0	0	0	2	0	0	0	0	2	2	1	0	0	0	2	0	0	0	0	0	0	0	0	1	1	6	0	0	4	0	3	1	0	0	0	0	0	0	1	0	0	0	0	6	0	0	0	0	1	1	0									
		0.09%	0.00%	0.16%	0.00%	0.12%	0.18%	0.28%	0.43%	0.20%	0.00%	0.00%	0.00%	0.12%	0.09%	0.12%	0.07%	0.00%	0.23%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.00%	0.40%	0.48%	0.18%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.16%	0.16%	0.76%	0.00%	0.00%	0.31%	0.00%	0.24%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.17%	0.17%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	299	4	10	10	10	9	3	6	4	8	6	8	13	9	11	5	8	3	0	9	9	3	0	0	3	2	2	0	2	0	2	0	3	0	0	0	11	5	11	5	1	2	10	5	0	0	12	0	7	5	4	6	2	6	0	0	0	0	0	5	2	14	6	3	0	10	3	2	0									
		0.54%	0.29%	1.59%	1.09%	1.25%	0.83%	0.84%	0.87%	0.27%	1.58%	0.48%	1.04%	1.60%	0.80%	1.34%	0.36%	0.82%	0.35%	0.00%	0.92%	0.79%	0.16%	0.00%	0.00%	0.22%	0.11%	0.40%	0.00%	0.37%	0.00%	0.39%	0.00%	0.20%	0.00%	0.00%	0.00%	1.22%	0.35%	1.41%	0.26%	0.33%	0.32%	1.57%	0.63%	0.00%	0.00%	0.92%	0.00%	0.55%	0.57%	0.36%	0.56%	0.28%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.43%	0.75%	0.44%	0.33%	0.00%	0.70%	0.51%	0.33%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6029	133	60	222	108	113	36	136	87	67	231	134	171	142	145	201	163	121	54	178	95	204	172	12	206	209	54	35	60	14	4	16	115	15	5	25	118	112	118	49	18	4	78	64	0	28	109	11	127	82	170	78	90	155	22	4	38	20	10	50	33	337	117	44	39	90	38	26	7									
		10.86%	9.58%	9.54%	24.16%	13.47%	10.41%	10.11%	19.71%	5.94%	13.24%	18.63%	17.47%	21.11%	12.64%	17.62%	14.43%	16.74%	14.02%	5.95%	18.14%	8.38%	10.70%	13.42%	11.01%	15.06%	11.59%	10.78%	8.35%	10.99%	6.86%	0.78%	10.53%	7.69%	6.36%	2.92%	9.47%	13.08%	7.74%	15.11%	2.53%	5.94%	0.63%	12.26%	8.12%	0.00%	8.97%	8.38%	3.15%	10.02%	9.40%	15.34%	7.23%	12.61%	12.25%	9.61%	2.60%	8.12%	6.99%	2.97%	8.43%	7.16%	18.09%	8.59%	4.88%	7.99%	6.32%	6.48%	4.30%	4.19%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	143	0	3	1	4	4	1	7	1	2	2	2	1	1	3	2	4	2	0	3	6	2	1	0	1	4	2	1	4	0	1	0	5	1	0	0	2	1	1	0	2	0	4	3	1	3	7	0	2	3	0	4	4	3	0	1	2	0	0	0	1	13	4	4	4	1	1	1	0									
		0.26%	0.00%	0.48%	0.11%	0.50%	0.37%	0.28%	1.01%	0.07%	0.40%	0.16%	0.26%	0.12%	0.09%	0.36%	0.14%	0.41%	0.23%	0.00%	0.31%	0.53%	0.10%	0.08%	0.00%	0.07%	0.22%	0.40%	0.24%	0.73%	0.00%	0.20%	0.00%	0.33%	0.42%	0.00%	0.00%	0.22%	0.07%	0.13%	0.00%	0.66%	0.00%	0.63%	0.38%	1.15%	0.96%	0.54%	0.00%	0.16%	0.34%	0.00%	0.37%	0.56%	0.24%	0.00%	0.65%	0.43%	0.00%	0.00%	0.00%	0.22%	0.70%	0.29%	0.44%	0.82%	0.07%	0.17%	0.17%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3457	35	42	87	34	45	54	26	20	27	66	35	23	58	33	196	52	45	172	82	32	268	65	7	59	98	33	33	34	10	34	29	66	68	17	15	63	19	38	278	0	159	43	20	1	3	173	11	32	23	14	217	20	24	9	16	13	7	25	57	18	37	27	25	26	21	16	19	3									
		6.23%	2.52%	6.68%	9.47%	4.24%	4.15%	15.17%	3.77%	1.37%	5.34%	5.32%	4.56%	2.84%	5.16%	4.01%	14.07%	5.34%	5.21%	18.96%	8.36%	2.82%	14.05%	5.07%	6.42%	4.31%	5.44%	6.59%	7.88%	6.23%	4.90%	6.67%	19.08%	4.41%	28.81%	9.94%	5.68%	6.98%	1.31%	4.87%	14.35%	0.00%	25.08%	6.76%	2.54%	1.15%	0.96%	13.30%	3.15%	2.52%	2.64%	1.26%	20.11%	2.80%	1.90%	3.93%	10.39%	2.78%	2.45%	7.42%	9.61%	3.90%	1.99%	1.98%	2.77%	5.33%	1.47%	2.73%	3.15%	1.80%									
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
