Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																									
Дата голосования: 07.12.2003 0:00:00																																																									
																																																									
Наименование Избирательной комиссии:    Альметьевская																																																									
																																																									
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																									
																																																									
		Сумма	УИК  816	УИК  817	УИК  818	УИК  819	УИК  820	УИК  821	УИК  822	УИК  823	УИК  824	УИК  825	УИК  826	УИК  827	УИК  828	УИК  829	УИК  830	УИК  831	УИК  832	УИК  833	УИК  834	УИК  835	УИК  836	УИК  837	УИК  838	УИК  839	УИК  840	УИК  841	УИК  842	УИК  843	УИК  844	УИК  845	УИК  846	УИК  847	УИК  848	УИК  849	УИК  850	УИК  851	УИК  852	УИК  853	УИК  854	УИК  855	УИК  856	УИК  857	УИК  858	УИК  859	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	367	11	8	9	8	14	7	8	8	8	7	5	7	5	11	5	7	6	7	8	17	1	10	5	5	6	5	6	5	9	7	10	10	6	5	6	7	5	7	8	10	8	7	6	5	9	12	6	5	2	8					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	240	10	7	9	8	14	3	8	4	2	2	3	7	0	8	4	7	6	2	8	17	1	10	5	2	2	0	6	0	3	7	8	7	4	2	5	0	0	4	8	9	3	4	0	0	3	11	0	1	1	5					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	468	9	4	4	6	6	18	10	39	6	7	9	9	9	13	14	23	15	16	5	14	10	5	3	4	3	3	14	7	5	6	21	6	11	5	5	3	14	7	10	8	27	2	5	4	19	11	6	1	1	6					
14	Число погашенных открепительных удостоверений	127	0	1	0	0	0	4	0	4	6	5	2	0	5	3	1	0	0	5	0	0	0	0	0	4	4	5	0	5	6	0	2	3	2	3	1	7	5	3	0	1	5	3	6	5	6	1	6	4	1	3					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																									
18	"1. ""ЕДИНЕНИЕ"""	303	15	13	26	16	19	0	0	10	3	14	1	9	5	23	0	5	0	0	10	13	1	28	15	0	8	0	8	0	0	0	18	3	3	0	0	2	0	4	2	1	0	5	8	0	0	10	0	0	0	5					
		1.16%	0.89%	1.13%	3.41%	1.41%	3.47%	0.0%	0.0%	1.45%	0.72%	2.35%	0.34%	1.80%	2.64%	2.31%	0.0%	0.82%	0.0%	0.0%	1.52%	3.06%	0.53%	5.16%	6.17%	0.0%	2.23%	0.0%	1.83%	0.0%	0.0%	0.0%	1.27%	0.26%	1.42%	0.0%	0.0%	0.66%	0.0%	0.88%	0.50%	0.28%	0.0%	0.62%	2.64%	0.0%	0.0%	1.40%	0.0%	0.0%	0.0%	1.20%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	111	10	6	9	6	7	0	0	2	5	3	0	3	2	3	0	4	0	0	4	3	1	12	2	0	5	0	5	0	1	1	7	2	0	0	0	0	0	1	2	0	0	1	1	1	0	2	0	0	0	0					
		0.42%	0.59%	0.52%	1.18%	0.52%	1.27%	0.0%	0.0%	0.29%	1.21%	0.50%	0.0%	0.60%	1.05%	0.30%	0.0%	0.66%	0.0%	0.0%	0.61%	0.70%	0.53%	2.21%	0.82%	0.0%	1.39%	0.0%	1.14%	0.0%	0.24%	0.21%	0.49%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.50%	0.0%	0.0%	0.12%	0.33%	0.86%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	206	14	16	8	22	4	1	0	2	4	6	2	5	4	8	0	1	0	0	6	6	0	11	8	3	5	3	0	0	0	6	24	7	3	0	0	1	2	6	2	2	0	1	2	2	0	4	0	0	0	5					
		0.79%	0.83%	1.40%	1.05%	1.94%	0.73%	0.22%	0.0%	0.29%	0.96%	1.00%	0.68%	1.00%	2.11%	0.80%	0.0%	0.16%	0.0%	0.0%	0.91%	1.41%	0.0%	2.02%	3.29%	1.71%	1.39%	3.26%	0.0%	0.0%	0.0%	1.28%	1.70%	0.62%	1.42%	0.0%	0.0%	0.33%	1.52%	1.32%	0.50%	0.56%	0.0%	0.12%	0.66%	1.73%	0.0%	0.56%	0.0%	0.0%	0.0%	1.20%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	200	17	5	21	8	4	0	2	3	8	11	0	3	3	15	0	1	2	0	9	7	1	32	5	0	7	0	8	0	1	3	14	2	0	0	0	1	0	2	0	0	0	1	1	0	0	1	0	0	0	2					
		0.76%	1.00%	0.43%	2.75%	0.70%	0.73%	0.0%	0.39%	0.43%	1.93%	1.84%	0.0%	0.60%	1.58%	1.51%	0.0%	0.16%	0.39%	0.0%	1.37%	1.65%	0.53%	5.90%	2.05%	0.0%	1.95%	0.0%	1.83%	0.0%	0.24%	0.64%	0.99%	0.17%	0.0%	0.0%	0.0%	0.33%	0.0%	0.44%	0.0%	0.0%	0.0%	0.12%	0.33%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.48%					
22	"5. ""За Русь Святую"""	42	6	2	3	0	0	1	0	0	1	0	0	0	3	0	0	0	0	0	0	1	0	0	1	1	1	0	1	0	1	8	3	0	0	0	0	0	0	1	1	2	0	2	2	0	0	0	0	0	0	1					
		0.16%	0.35%	0.17%	0.39%	0.0%	0.0%	0.22%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.41%	0.57%	0.27%	0.0%	0.22%	0.0%	0.24%	1.70%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.25%	0.56%	0.0%	0.24%	0.66%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%					
23	"6. ""Объединенная Российская партия ""Русь"""	44	8	1	2	2	1	0	6	0	0	1	0	6	0	1	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	4	2	0	2	0	0	0	0	1	4	0	0	0	0	0	0	0	0	0	0	0					
		0.16%	0.47%	0.08%	0.26%	0.17%	0.18%	0.0%	1.18%	0.0%	0.0%	0.16%	0.0%	1.20%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.14%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.22%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	62	5	2	4	6	4	0	0	4	0	8	0	1	0	0	0	0	0	0	3	3	0	5	0	1	1	0	1	0	0	3	4	2	1	0	0	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0					
		0.23%	0.29%	0.17%	0.52%	0.52%	0.73%	0.0%	0.0%	0.58%	0.0%	1.34%	0.0%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.70%	0.0%	0.92%	0.0%	0.57%	0.27%	0.0%	0.22%	0.0%	0.0%	0.64%	0.28%	0.17%	0.47%	0.0%	0.0%	0.33%	0.0%	0.22%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	21	2	0	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	3	4	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0					
		0.08%	0.11%	0.0%	0.26%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.15%	0.0%	0.53%	0.55%	1.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	1	0	3	1	1	0	0	0	1	2	0	0	0	1	0	2	0	0	3	1	1	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0					
		0.08%	0.05%	0.0%	0.39%	0.08%	0.18%	0.0%	0.0%	0.0%	0.24%	0.33%	0.0%	0.0%	0.0%	0.10%	0.0%	0.33%	0.0%	0.0%	0.45%	0.23%	0.53%	0.18%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.86%	0.0%	0.28%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	274	18	33	9	8	5	0	3	5	5	11	0	7	1	0	1	8	2	0	2	9	2	10	7	6	8	0	10	0	6	6	12	3	2	2	2	2	2	8	17	3	0	11	7	5	0	10	0	1	0	5					
		1.05%	1.06%	2.88%	1.18%	0.70%	0.91%	0.0%	0.59%	0.72%	1.21%	1.84%	0.0%	1.40%	0.52%	0.0%	0.12%	1.32%	0.39%	0.0%	0.30%	2.12%	1.06%	1.84%	2.88%	3.42%	2.23%	0.0%	2.28%	0.0%	1.48%	1.28%	0.85%	0.26%	0.94%	0.81%	0.83%	0.66%	1.52%	1.76%	4.29%	0.84%	0.0%	1.36%	2.31%	4.34%	0.0%	1.40%	0.0%	0.89%	0.0%	1.20%					
28	"11. ""Истинные патриоты России"""	28	2	0	0	0	5	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	3	0	0	5	0	4	0	0	0	2	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0					
		0.10%	0.11%	0.0%	0.0%	0.0%	0.91%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.55%	0.0%	0.0%	1.39%	0.0%	0.91%	0.0%	0.0%	0.0%	0.14%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	146	9	3	7	12	6	0	0	0	4	7	0	9	2	8	0	0	0	0	2	5	0	11	1	3	3	0	3	0	2	9	18	5	0	0	0	0	0	3	3	0	1	3	2	0	2	2	0	0	0	1					
		0.55%	0.53%	0.26%	0.91%	1.05%	1.09%	0.0%	0.0%	0.0%	0.96%	1.17%	0.0%	1.80%	1.05%	0.80%	0.0%	0.0%	0.0%	0.0%	0.30%	1.17%	0.0%	2.02%	0.41%	1.71%	0.83%	0.0%	0.68%	0.0%	0.49%	1.92%	1.27%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.75%	0.0%	0.17%	0.37%	0.66%	0.0%	0.29%	0.28%	0.0%	0.0%	0.0%	0.24%					
30	"13. ""Демократическая партия России"""	48	3	0	0	7	0	0	0	1	1	0	0	0	1	1	0	1	0	0	1	5	1	4	0	0	2	0	2	0	2	2	6	0	0	1	0	1	0	0	1	0	0	0	2	1	1	1	0	0	0	0					
		0.18%	0.17%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.14%	0.24%	0.0%	0.0%	0.0%	0.52%	0.10%	0.0%	0.16%	0.0%	0.0%	0.15%	1.17%	0.53%	0.73%	0.0%	0.0%	0.55%	0.0%	0.45%	0.0%	0.49%	0.42%	0.42%	0.0%	0.0%	0.40%	0.0%	0.33%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.66%	0.86%	0.14%	0.14%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	64	10	2	3	7	2	0	0	0	2	2	0	1	1	1	1	0	0	0	0	1	0	2	2	0	0	0	1	0	0	4	11	5	0	0	0	1	1	1	2	0	0	1	0	0	0	0	0	0	0	0					
		0.24%	0.59%	0.17%	0.39%	0.61%	0.36%	0.0%	0.0%	0.0%	0.48%	0.33%	0.0%	0.20%	0.52%	0.10%	0.12%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.36%	0.82%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.85%	0.78%	0.44%	0.0%	0.0%	0.0%	0.33%	0.76%	0.22%	0.50%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	22	1	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	3	0	0	0	0	3	0	2	0	0	1	3	0	0	0	0	0	0	0	2	0	0	0	1	1	1	1	0	0	0	0					
		0.08%	0.05%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.70%	0.0%	0.0%	0.0%	0.0%	0.83%	0.0%	0.45%	0.0%	0.0%	0.21%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.0%	0.0%	0.33%	0.86%	0.14%	0.14%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	454	30	18	9	28	3	0	3	13	7	16	0	15	1	9	32	5	0	5	25	10	2	16	10	11	15	0	5	6	2	22	26	46	4	0	0	1	0	8	17	0	0	19	5	1	0	2	2	2	1	2					
		1.74%	1.78%	1.57%	1.18%	2.47%	0.54%	0.0%	0.59%	1.89%	1.69%	2.68%	0.0%	3.00%	0.52%	0.90%	4.08%	0.82%	0.0%	0.64%	3.82%	2.35%	1.06%	2.95%	4.11%	6.28%	4.18%	0.0%	1.14%	2.30%	0.49%	4.70%	1.84%	4.09%	1.89%	0.0%	0.0%	0.33%	0.0%	1.76%	4.29%	0.0%	0.0%	2.36%	1.65%	0.86%	0.0%	0.28%	0.69%	1.78%	0.25%	0.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	62	8	0	0	2	3	0	0	0	0	3	0	3	1	3	0	1	0	0	0	2	0	1	5	2	4	0	3	0	2	1	9	0	0	0	0	0	0	4	0	2	0	2	0	0	0	0	0	0	1	0					
		0.23%	0.47%	0.0%	0.0%	0.17%	0.54%	0.0%	0.0%	0.0%	0.0%	0.50%	0.0%	0.60%	0.52%	0.30%	0.0%	0.16%	0.0%	0.0%	0.0%	0.47%	0.0%	0.18%	2.05%	1.14%	1.11%	0.0%	0.68%	0.0%	0.49%	0.21%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.88%	0.0%	0.56%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%					
35	"18. ""ЛДПР"""	843	60	59	10	90	24	0	1	18	7	27	6	57	20	13	43	8	1	0	12	26	7	24	7	11	12	0	15	0	1	40	42	36	3	3	4	8	2	17	4	4	5	66	12	11	2	6	0	2	2	15					
		3.23%	3.56%	5.16%	1.31%	7.94%	4.38%	0.0%	0.19%	2.62%	1.69%	4.53%	2.05%	11.42%	10.58%	1.30%	5.48%	1.32%	0.19%	0.0%	1.83%	6.13%	3.72%	4.42%	2.88%	6.28%	3.35%	0.0%	3.43%	0.0%	0.24%	8.54%	2.98%	3.20%	1.42%	1.22%	1.67%	2.64%	1.52%	3.76%	1.01%	1.12%	0.86%	8.21%	3.96%	9.56%	0.29%	0.84%	0.0%	1.78%	0.50%	3.62%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	755	73	44	65	93	21	0	6	7	13	82	1	10	5	7	0	9	15	5	16	14	4	55	16	5	12	0	9	4	1	20	35	17	1	0	5	0	0	4	14	14	2	31	4	4	0	3	0	2	3	4					
		2.89%	4.33%	3.85%	8.54%	8.20%	3.83%	0.0%	1.18%	1.02%	3.14%	13.78%	0.34%	2.00%	2.64%	0.70%	0.0%	1.48%	2.96%	0.64%	2.44%	3.30%	2.12%	10.14%	6.58%	2.85%	3.35%	0.0%	2.05%	1.53%	0.24%	4.27%	2.48%	1.51%	0.47%	0.0%	2.09%	0.0%	0.0%	0.88%	3.53%	3.92%	0.34%	3.86%	1.32%	3.47%	0.0%	0.42%	0.0%	1.78%	0.76%	0.96%					
37	"20. ""Политическая партия ""Единая Россия"""	20206	1288	842	498	617	388	444	457	600	313	265	278	328	108	858	610	524	447	757	487	251	154	200	95	99	236	88	294	245	374	319	1055	882	184	235	215	277	121	345	262	322	569	603	229	82	662	562	286	105	386	360					
		77.49%	76.43%	73.73%	65.44%	54.45%	70.93%	98.88%	90.31%	87.46%	75.78%	44.53%	95.20%	65.73%	57.14%	86.40%	77.80%	86.46%	88.33%	97.93%	74.46%	59.19%	81.91%	36.90%	39.09%	56.57%	65.92%	95.65%	67.27%	94.23%	92.80%	68.16%	74.92%	78.60%	87.20%	95.91%	89.95%	91.41%	92.36%	76.32%	66.16%	90.19%	98.10%	75.09%	75.57%	71.30%	96.64%	78.93%	98.96%	93.74%	97.96%	86.95%					
38	"21. ""Российская Конституционно-демократическая партия"""	44	2	3	5	3	0	1	0	1	1	3	0	1	0	3	0	1	0	0	0	2	1	1	3	2	2	0	1	0	0	0	3	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0					
		0.16%	0.11%	0.26%	0.65%	0.26%	0.0%	0.22%	0.0%	0.14%	0.24%	0.50%	0.0%	0.20%	0.0%	0.30%	0.0%	0.16%	0.0%	0.0%	0.0%	0.47%	0.53%	0.18%	1.23%	1.14%	0.55%	0.0%	0.22%	0.0%	0.0%	0.0%	0.21%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	47	5	2	2	7	1	0	0	0	4	3	0	1	0	4	0	0	0	0	0	1	0	3	1	0	1	0	0	0	0	2	3	1	0	0	0	0	0	0	0	0	0	1	4	0	0	0	0	0	0	1					
		0.18%	0.29%	0.17%	0.26%	0.61%	0.18%	0.0%	0.0%	0.0%	0.96%	0.50%	0.0%	0.20%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.55%	0.41%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.42%	0.21%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.12%	1.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1326	73	48	34	148	22	0	9	16	17	67	3	26	25	28	80	28	39	3	38	34	10	64	25	21	16	0	5	5	7	12	65	89	2	4	6	8	1	19	29	5	3	41	22	6	13	101	1	0	0	8					
		5.08%	4.33%	4.20%	4.46%	13.06%	4.02%	0.0%	1.77%	2.33%	4.11%	11.26%	1.02%	5.21%	13.22%	2.81%	10.20%	4.62%	7.70%	0.38%	5.81%	8.01%	5.31%	11.80%	10.28%	12.0%	4.46%	0.0%	1.14%	1.92%	1.73%	2.56%	4.61%	7.93%	0.94%	1.63%	2.51%	2.64%	0.76%	4.20%	7.32%	1.40%	0.51%	5.10%	7.26%	5.21%	1.89%	14.18%	0.34%	0.0%	0.0%	1.93%					
																																																									
41	Против всех	472	20	29	41	47	23	2	9	4	17	32	1	9	4	7	3	6	0	3	14	19	2	30	7	9	8	1	8	0	0	1	24	18	5	0	5	0	0	26	17	1	0	9	0	0	2	3	0	0	1	5					
		1.81%	1.18%	2.53%	5.38%	4.14%	4.20%	0.44%	1.77%	0.58%	4.11%	5.37%	0.34%	1.80%	2.11%	0.70%	0.38%	0.99%	0.0%	0.38%	2.14%	4.48%	1.06%	5.53%	2.88%	5.14%	2.23%	1.08%	1.83%	0.0%	0.0%	0.21%	1.70%	1.60%	2.36%	0.0%	2.09%	0.0%	0.0%	5.75%	4.29%	0.28%	0.0%	1.12%	0.0%	0.0%	0.29%	0.42%	0.0%	0.0%	0.25%	1.20%					
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
																																																									
