Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																					
Дата голосования: 18.09.2016																																																																																																					
																																																																																																					
Наименование Избирательной комиссии:    Южно-Сахалинская городская																																																																																																					
																																																																																																					
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																					
																																																																																																					
		Сумма	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №368	УИК №369	УИК №370	УИК №381	УИК №382	УИК №383	УИК №8179	УИК №8180	УИК №8181	УИК №8182									
		2.30%	1.30%	1.57%	1.43%	1.42%	1.99%	1.52%	1.62%	1.49%	1.73%	1.69%	2.24%	1.53%	3.29%	1.53%	2.83%	2.91%	3.11%	0.95%	3.74%	2.84%	1.76%	1.99%	2.41%	3.52%	3.05%	3.07%	1.62%	1.64%	0.84%	2.50%	1.09%	2.36%	0.86%	2.66%	3.15%	1.74%	1.42%	2.75%	2.16%	1.52%	1.90%	1.52%	2.85%	2.55%	1.81%	2.39%	2.23%	1.93%	1.88%	2.57%	1.20%	1.33%	2.84%	2.11%	1.61%	1.60%	2.75%	1.90%	1.53%	2.52%	2.41%	1.64%	1.75%	0.00%	3.03%	2.88%	1.08%	0.93%	0.00%	3.61%	2.06%	1.26%	0.00%	3.64%	0.00%	0.00%	1.97%	2.83%	0.93%	4.10%	2.64%	2.41%	1.31%	2.37%	1.65%	3.57%	4.53%	3.38%	3.27%	3.91%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1607	17	19	15	5	29	24	12	25	15	13	8	9	13	28	8	25	11	30	4	4	6	27	31	21	25	9	21	21	29	15	25	14	14	37	41	11	18	4	15	26	33	40	14	35	23	26	22	29	24	33	26	16	30	14	22	22	16	11	25	22	8	2	13	3	1	4	15	13	3	10	11	2	3	1	4	6	32	2	13	10	9	16	17	24	18	1	37	57	16	49									
		3.14%	2.46%	3.73%	3.58%	2.36%	4.44%	3.65%	2.16%	4.65%	2.36%	3.14%	1.99%	2.75%	2.14%	4.75%	2.52%	3.82%	3.81%	3.57%	3.74%	1.90%	2.64%	3.85%	4.14%	2.95%	4.48%	2.13%	3.78%	3.14%	4.06%	2.21%	4.55%	2.75%	3.00%	4.11%	4.45%	2.40%	2.84%	2.20%	3.23%	2.81%	3.14%	4.04%	2.85%	4.96%	3.20%	4.43%	3.50%	2.94%	2.82%	4.04%	2.60%	2.65%	4.49%	2.95%	3.54%	3.90%	2.32%	2.62%	3.82%	4.26%	3.21%	3.28%	2.84%	1.72%	1.52%	2.88%	4.04%	4.05%	4.17%	5.15%	5.67%	1.26%	4.29%	1.82%	8.33%	3.64%	4.51%	0.63%	6.05%	2.56%	2.64%	3.86%	4.44%	2.11%	3.70%	3.57%	1.69%	1.83%	1.74%	2.37%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1455	25	9	17	4	26	21	8	15	15	11	12	12	23	23	8	13	6	14	8	4	11	25	26	24	17	20	17	21	14	21	13	25	8	40	24	12	23	6	9	27	28	32	13	32	26	25	27	33	18	31	34	23	22	10	18	15	28	10	16	7	14	3	13	5	2	8	15	8	3	8	8	8	3	2	2	11	13	9	7	15	7	9	12	14	15	0	26	50	22	38									
		2.84%	3.62%	1.76%	4.06%	1.89%	3.98%	3.19%	1.44%	2.79%	2.36%	2.66%	2.99%	3.67%	3.79%	3.90%	2.52%	1.99%	2.08%	1.66%	7.48%	1.90%	4.85%	3.57%	3.48%	3.38%	3.05%	4.73%	3.06%	3.14%	1.96%	3.09%	2.36%	4.91%	1.72%	4.44%	2.61%	2.61%	3.63%	3.30%	1.94%	2.92%	2.66%	3.24%	2.64%	4.54%	3.62%	4.26%	4.29%	3.34%	2.11%	3.79%	3.40%	3.81%	3.29%	2.11%	2.89%	2.66%	4.06%	2.38%	2.45%	1.36%	5.62%	4.92%	2.84%	2.87%	3.03%	5.76%	4.04%	2.49%	4.17%	4.12%	4.12%	5.03%	4.29%	3.64%	4.17%	6.67%	1.83%	2.83%	3.26%	3.85%	2.05%	2.17%	3.13%	1.23%	3.09%	0.00%	1.19%	1.61%	2.40%	1.83%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	22210	245	177	179	78	258	238	230	206	226	157	143	123	203	205	127	237	125	320	40	90	91	263	287	232	204	146	208	259	234	211	187	209	178	321	395	182	224	68	184	371	433	368	186	227	279	201	230	353	319	300	354	234	251	183	240	213	260	183	244	204	80	26	191	75	32	55	140	143	32	88	87	70	31	20	32	66	329	119	71	152	133	143	126	580	203	6	1536	2267	602	1452									
		43.40%	35.46%	34.71%	42.72%	36.79%	39.51%	36.17%	41.37%	38.29%	35.53%	37.92%	35.57%	37.61%	33.44%	34.75%	39.94%	36.24%	43.25%	38.05%	37.38%	42.65%	40.09%	37.52%	38.37%	32.63%	36.56%	34.52%	37.41%	38.71%	32.73%	31.08%	34.00%	41.06%	38.20%	35.63%	42.89%	39.65%	35.33%	37.36%	39.66%	40.15%	41.16%	37.21%	37.80%	32.20%	38.86%	34.24%	36.57%	35.76%	37.44%	36.72%	35.44%	38.81%	37.57%	38.53%	38.59%	37.77%	37.68%	43.57%	37.31%	39.53%	32.13%	42.62%	41.79%	43.10%	48.48%	39.57%	37.74%	44.55%	44.44%	45.36%	44.85%	44.03%	44.29%	36.36%	66.67%	40.00%	46.34%	37.42%	33.02%	38.97%	39.00%	34.46%	32.90%	50.88%	41.77%	21.43%	70.27%	72.89%	65.65%	70.11%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	593	7	6	7	0	2	8	7	3	5	4	6	1	10	3	4	9	3	11	1	1	4	16	8	16	7	5	6	8	8	13	3	14	10	5	13	5	5	3	9	20	14	10	9	6	10	8	14	7	12	12	13	7	8	9	5	11	11	5	14	4	3	1	4	3	0	3	3	0	2	6	0	4	0	1	0	1	11	8	2	4	8	11	9	14	10	0	5	9	1	5									
		1.16%	1.01%	1.18%	1.67%	0.00%	0.31%	1.22%	1.26%	0.56%	0.79%	0.97%	1.49%	0.31%	1.65%	0.51%	1.26%	1.38%	1.04%	1.31%	0.93%	0.47%	1.76%	2.28%	1.07%	2.25%	1.25%	1.18%	1.08%	1.20%	1.12%	1.91%	0.55%	2.75%	2.15%	0.55%	1.41%	1.09%	0.79%	1.65%	1.94%	2.16%	1.33%	1.01%	1.83%	0.85%	1.39%	1.36%	2.23%	0.71%	1.41%	1.47%	1.30%	1.16%	1.20%	1.89%	0.80%	1.95%	1.59%	1.19%	2.14%	0.78%	1.20%	1.64%	0.88%	1.72%	0.00%	2.16%	0.81%	0.00%	2.78%	3.09%	0.00%	2.52%	0.00%	1.82%	0.00%	0.61%	1.55%	2.52%	0.93%	1.03%	2.35%	2.65%	2.35%	1.23%	2.06%	0.00%	0.23%	0.29%	0.11%	0.24%									
24	"6. Политическая партия ""Гражданская Платформа"""	112	0	2	1	1	3	3	3	0	2	0	0	2	0	1	0	5	0	3	0	1	1	3	2	1	0	1	2	1	0	0	3	0	0	2	1	2	2	0	3	3	4	1	0	3	1	0	0	6	0	3	3	0	2	2	0	2	4	0	1	0	1	0	0	0	0	1	0	1	0	3	0	0	0	0	0	0	5	2	0	0	2	1	2	1	1	0	2	3	0	1									
		0.22%	0.00%	0.39%	0.24%	0.47%	0.46%	0.46%	0.54%	0.00%	0.31%	0.00%	0.00%	0.61%	0.00%	0.17%	0.00%	0.76%	0.00%	0.36%	0.00%	0.47%	0.44%	0.43%	0.27%	0.14%	0.00%	0.24%	0.36%	0.15%	0.00%	0.00%	0.55%	0.00%	0.00%	0.22%	0.11%	0.44%	0.32%	0.00%	0.65%	0.32%	0.38%	0.10%	0.00%	0.43%	0.14%	0.00%	0.00%	0.61%	0.00%	0.37%	0.30%	0.00%	0.30%	0.42%	0.00%	0.35%	0.58%	0.00%	0.15%	0.00%	0.40%	0.00%	0.00%	0.00%	0.00%	0.72%	0.00%	0.31%	0.00%	1.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.63%	0.00%	0.00%	0.59%	0.24%	0.52%	0.09%	0.21%	0.00%	0.09%	0.10%	0.00%	0.05%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	8572	180	115	88	49	140	156	106	111	149	93	79	74	109	122	59	112	49	131	20	51	46	111	133	134	74	58	97	114	133	116	123	75	96	144	173	89	123	40	81	184	215	198	74	151	131	86	106	184	137	136	179	111	85	82	103	107	146	96	134	111	55	15	95	29	15	19	82	67	16	11	32	26	17	16	3	38	143	94	61	61	69	72	69	265	114	10	102	129	40	98									
		16.75%	26.05%	22.55%	21.00%	23.11%	21.44%	23.71%	19.06%	20.63%	23.43%	22.46%	19.65%	22.63%	17.96%	20.68%	18.55%	17.13%	16.96%	15.58%	18.69%	24.17%	20.26%	15.83%	17.78%	18.85%	13.26%	13.71%	17.45%	17.04%	18.60%	17.08%	22.36%	14.73%	20.60%	15.98%	18.78%	19.39%	19.40%	21.98%	17.46%	19.91%	20.44%	20.02%	15.04%	21.42%	18.25%	14.65%	16.85%	18.64%	16.08%	16.65%	17.92%	18.41%	12.72%	17.26%	16.56%	18.97%	21.16%	22.86%	20.49%	21.51%	22.09%	24.59%	20.79%	16.67%	22.73%	13.67%	22.10%	20.87%	22.22%	5.67%	16.49%	16.35%	24.29%	29.09%	6.25%	23.03%	20.14%	29.56%	28.37%	15.64%	20.23%	17.35%	18.02%	23.25%	23.46%	35.71%	4.67%	4.15%	4.36%	4.73%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	555	9	7	4	0	6	6	5	7	6	2	6	5	13	13	4	9	1	7	1	2	3	10	11	7	6	10	9	9	9	5	3	5	3	14	9	4	6	3	10	6	8	15	8	14	9	8	2	13	12	12	13	7	11	12	9	6	6	3	8	1	0	0	1	1	0	3	5	0	0	2	1	0	0	0	0	0	9	3	1	5	2	4	8	4	5	0	26	19	11	13									
		1.08%	1.30%	1.37%	0.95%	0.00%	0.92%	0.91%	0.90%	1.30%	0.94%	0.48%	1.49%	1.53%	2.14%	2.20%	1.26%	1.38%	0.35%	0.83%	0.93%	0.95%	1.32%	1.43%	1.47%	0.98%	1.08%	2.36%	1.62%	1.35%	1.26%	0.74%	0.55%	0.98%	0.64%	1.55%	0.98%	0.87%	0.95%	1.65%	2.16%	0.65%	0.76%	1.52%	1.63%	1.99%	1.25%	1.36%	0.32%	1.32%	1.41%	1.47%	1.30%	1.16%	1.65%	2.53%	1.45%	1.06%	0.87%	0.71%	1.22%	0.19%	0.00%	0.00%	0.22%	0.57%	0.00%	2.16%	1.35%	0.00%	0.00%	1.03%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	1.27%	0.94%	0.47%	1.28%	0.59%	0.96%	2.09%	0.35%	1.03%	0.00%	1.19%	0.61%	1.20%	0.63%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	814	8	4	4	8	9	8	4	4	4	7	7	6	18	11	4	19	2	9	1	6	1	12	11	12	10	12	9	17	17	15	9	9	11	16	14	9	14	2	4	10	22	16	11	12	14	8	10	13	24	21	16	15	17	24	5	8	6	11	7	18	8	0	7	1	0	1	6	6	0	3	0	0	0	0	0	0	18	3	1	8	8	7	16	12	8	1	18	24	8	15									
		1.59%	1.16%	0.78%	0.95%	3.77%	1.38%	1.22%	0.72%	0.74%	0.63%	1.69%	1.74%	1.83%	2.97%	1.86%	1.26%	2.91%	0.69%	1.07%	0.93%	2.84%	0.44%	1.71%	1.47%	1.69%	1.79%	2.84%	1.62%	2.54%	2.38%	2.21%	1.64%	1.77%	2.36%	1.78%	1.52%	1.96%	2.21%	1.10%	0.86%	1.08%	2.09%	1.62%	2.24%	1.70%	1.95%	1.36%	1.59%	1.32%	2.82%	2.57%	1.60%	2.49%	2.54%	5.05%	0.80%	1.42%	0.87%	2.62%	1.07%	3.49%	3.21%	0.00%	1.53%	0.57%	0.00%	0.72%	1.62%	1.87%	0.00%	1.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.54%	0.94%	0.47%	2.05%	2.35%	1.69%	4.18%	1.05%	1.65%	3.57%	0.82%	0.77%	0.87%	0.72%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	76	0	0	0	0	0	0	0	0	0	0	0	0	2	4	0	2	0	2	1	0	1	0	1	1	1	1	1	0	4	4	1	0	2	3	1	1	2	0	1	1	2	2	3	1	0	1	0	1	1	4	0	0	2	1	0	0	0	1	1	2	1	0	0	0	0	0	0	1	0	0	1	0	0	0	1	0	3	2	0	0	1	1	1	2	1	0	0	1	1	0									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.68%	0.00%	0.31%	0.00%	0.24%	0.93%	0.00%	0.44%	0.00%	0.13%	0.14%	0.18%	0.24%	0.18%	0.00%	0.56%	0.59%	0.18%	0.00%	0.43%	0.33%	0.11%	0.22%	0.32%	0.00%	0.22%	0.11%	0.19%	0.20%	0.61%	0.14%	0.00%	0.17%	0.00%	0.10%	0.12%	0.49%	0.00%	0.00%	0.30%	0.21%	0.00%	0.00%	0.00%	0.24%	0.15%	0.39%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	2.08%	0.00%	0.42%	0.63%	0.00%	0.00%	0.29%	0.24%	0.26%	0.18%	0.21%	0.00%	0.00%	0.03%	0.11%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1536	14	8	7	6	12	15	12	19	15	6	10	12	26	16	13	29	35	44	6	10	12	24	19	27	20	11	9	19	27	25	20	19	12	42	25	12	32	5	10	31	25	23	26	19	26	25	18	23	37	35	28	21	31	26	17	19	17	9	15	15	6	1	8	5	1	0	2	0	2	2	1	10	2	1	0	3	21	3	7	21	17	19	23	17	10	2	56	55	30	40									
		3.00%	2.03%	1.57%	1.67%	2.83%	1.84%	2.28%	2.16%	3.53%	2.36%	1.45%	2.49%	3.67%	4.28%	2.71%	4.09%	4.43%	12.11%	5.23%	5.61%	4.74%	5.29%	3.42%	2.54%	3.80%	3.58%	2.60%	1.62%	2.84%	3.78%	3.68%	3.64%	3.73%	2.58%	4.66%	2.71%	2.61%	5.05%	2.75%	2.16%	3.35%	2.38%	2.33%	5.28%	2.70%	3.62%	4.26%	2.86%	2.33%	4.34%	4.28%	2.80%	3.48%	4.64%	5.47%	2.73%	3.37%	2.46%	2.14%	2.29%	2.91%	2.41%	1.64%	1.75%	2.87%	1.52%	0.00%	0.54%	0.00%	2.78%	1.03%	0.52%	6.29%	2.86%	1.82%	0.00%	1.82%	2.96%	0.94%	3.26%	5.38%	4.99%	4.58%	6.01%	1.49%	2.06%	7.14%	2.56%	1.77%	3.27%	1.93%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	8884	120	115	70	42	120	131	124	103	132	94	87	56	129	108	64	129	30	191	15	26	33	137	148	149	125	108	129	137	171	174	106	90	91	184	135	75	135	35	94	179	166	177	94	143	132	135	144	192	187	157	187	105	137	73	151	101	124	56	140	91	42	8	89	44	10	33	77	58	8	9	24	21	9	8	5	34	81	10	36	69	51	90	59	103	63	3	216	303	111	197									
		17.36%	17.37%	22.55%	16.71%	19.81%	18.38%	19.91%	22.30%	19.14%	20.75%	22.71%	21.64%	17.13%	21.25%	18.31%	20.13%	19.72%	10.38%	22.71%	14.02%	12.32%	14.54%	19.54%	19.79%	20.96%	22.40%	25.53%	23.20%	20.48%	23.92%	25.63%	19.27%	17.68%	19.53%	20.42%	14.66%	16.34%	21.29%	19.23%	20.26%	19.37%	15.78%	17.90%	19.11%	20.28%	18.38%	22.99%	22.89%	19.45%	21.95%	19.22%	18.72%	17.41%	20.51%	15.37%	24.28%	17.91%	17.97%	13.33%	21.41%	17.64%	16.87%	13.11%	19.47%	25.29%	15.15%	23.74%	20.75%	18.07%	11.11%	4.64%	12.37%	13.21%	12.86%	14.55%	10.42%	20.61%	11.41%	3.14%	16.74%	17.69%	14.96%	21.69%	15.40%	9.04%	12.96%	10.71%	9.88%	9.74%	12.10%	9.51%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	398	11	3	0	2	6	1	6	7	3	1	5	4	2	2	3	7	2	5	0	0	1	7	10	12	1	1	5	4	5	8	7	7	5	8	6	1	6	1	4	3	9	10	5	8	10	3	5	5	8	6	6	2	7	4	2	4	5	3	4	6	2	1	1	2	0	1	1	0	0	2	0	6	0	0	0	0	3	2	3	10	6	3	5	27	5	1	9	9	6	9									
