Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																						
Дата голосования: 07.12.2003 0:00:00																																						
																																						
Наименование Избирательной комиссии:    Карымский район																																						
																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																						
																																						
		Сумма	УИК  556	УИК  557	УИК  558	УИК  559	УИК  560	УИК  561	УИК  562	УИК  563	УИК  564	УИК  565	УИК  566	УИК  567	УИК  568	УИК  569	УИК  570	УИК  571	УИК  572	УИК  573	УИК  574	УИК  575	УИК  576	УИК  577	УИК  578	УИК  579	УИК  580	УИК  581	УИК  582	УИК  583	УИК  584	УИК  585	УИК  586					
15	Число открепительных удостоверений выданных ТИК	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																						
18	"1. ""ЕДИНЕНИЕ"""	195	2	7	3	11	1	9	4	3	9	1	1	18	7	5	8	11	9	20	2	5	8	2	5	15	2	5	3	7	3	9	0					
		1.60%	1.40%	2.21%	3.12%	1.19%	0.69%	3.04%	7.69%	2.97%	2.29%	0.54%	0.88%	1.64%	1.16%	0.96%	1.24%	1.73%	2.62%	4.16%	0.96%	9.09%	2.43%	0.37%	0.89%	1.0%	1.08%	1.25%	1.55%	2.44%	0.78%	2.43%	0.0%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	67	0	0	0	5	0	0	0	1	1	2	0	7	1	4	8	2	2	0	0	1	2	0	7	15	0	1	2	1	2	3	0					
		0.55%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.99%	0.25%	1.09%	0.0%	0.64%	0.16%	0.76%	1.24%	0.31%	0.58%	0.0%	0.0%	1.81%	0.60%	0.0%	1.25%	1.0%	0.0%	0.25%	1.03%	0.34%	0.52%	0.81%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	384	0	6	1	38	7	8	0	2	21	2	6	29	15	13	16	19	14	10	4	0	17	19	28	60	2	11	4	6	12	14	0					
		3.16%	0.0%	1.89%	1.04%	4.13%	4.89%	2.70%	0.0%	1.98%	5.35%	1.09%	5.30%	2.65%	2.48%	2.5%	2.48%	3.00%	4.08%	2.08%	1.93%	0.0%	5.16%	3.54%	5.01%	4.0%	1.08%	2.77%	2.07%	2.09%	3.12%	3.78%	0.0%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	184	0	8	1	6	5	0	0	0	5	0	3	22	13	16	13	7	6	3	1	1	3	5	3	37	3	3	5	2	7	6	0					
		1.51%	0.0%	2.53%	1.04%	0.65%	3.49%	0.0%	0.0%	0.0%	1.27%	0.0%	2.65%	2.01%	2.15%	3.07%	2.01%	1.10%	1.74%	0.62%	0.48%	1.81%	0.91%	0.93%	0.53%	2.46%	1.62%	0.75%	2.59%	0.69%	1.82%	1.62%	0.0%					
22	"5. ""За Русь Святую"""	54	0	1	0	4	0	0	0	0	4	1	0	2	6	3	4	0	2	1	1	1	4	3	3	8	1	0	4	1	0	0	0					
		0.44%	0.0%	0.31%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	1.02%	0.54%	0.0%	0.18%	0.99%	0.57%	0.62%	0.0%	0.58%	0.20%	0.48%	1.81%	1.21%	0.55%	0.53%	0.53%	0.54%	0.0%	2.07%	0.34%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	0	1	0	4	0	1	0	0	0	0	0	1	1	0	3	3	1	3	0	1	1	2	2	0	0	0	3	0	2	1	0					
		0.24%	0.0%	0.31%	0.0%	0.43%	0.0%	0.33%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.16%	0.0%	0.46%	0.47%	0.29%	0.62%	0.0%	1.81%	0.30%	0.37%	0.35%	0.0%	0.0%	0.0%	1.55%	0.0%	0.52%	0.27%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	53	0	2	2	6	0	0	0	0	3	0	0	11	2	2	4	1	2	4	4	0	1	4	1	3	0	0	0	1	0	0	0					
		0.43%	0.0%	0.63%	2.08%	0.65%	0.0%	0.0%	0.0%	0.0%	0.76%	0.0%	0.0%	1.00%	0.33%	0.38%	0.62%	0.15%	0.58%	0.83%	1.93%	0.0%	0.30%	0.74%	0.17%	0.2%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	17	1	1	0	0	0	2	0	0	1	1	0	2	2	0	0	1	1	0	0	0	1	0	1	0	0	0	2	1	0	0	0					
		0.14%	0.70%	0.31%	0.0%	0.0%	0.0%	0.67%	0.0%	0.0%	0.25%	0.54%	0.0%	0.18%	0.33%	0.0%	0.0%	0.15%	0.29%	0.0%	0.0%	0.0%	0.30%	0.0%	0.17%	0.0%	0.0%	0.0%	1.03%	0.34%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	0	0	0	0	0	0	0	0	0	0	0	5	1	0	2	1	0	2	1	0	0	0	3	3	0	1	2	1	1	0	0					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.45%	0.16%	0.0%	0.31%	0.15%	0.0%	0.41%	0.48%	0.0%	0.0%	0.0%	0.53%	0.2%	0.0%	0.25%	1.03%	0.34%	0.26%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	450	16	45	3	59	2	11	1	4	16	7	6	21	12	10	13	13	13	11	17	3	7	15	11	37	8	52	6	9	13	8	1					
		3.71%	11.26%	14.24%	3.12%	6.41%	1.39%	3.71%	1.92%	3.96%	4.08%	3.84%	5.30%	1.92%	1.99%	1.92%	2.01%	2.05%	3.79%	2.29%	8.21%	5.45%	2.12%	2.79%	1.97%	2.46%	4.32%	13.09%	3.10%	3.14%	3.38%	2.16%	1.72%					
28	"11. ""Истинные патриоты России"""	9	1	0	1	0	0	0	0	0	1	0	0	1	1	0	0	0	1	1	0	0	0	0	0	2	0	0	0	0	0	0	0					
		0.07%	0.70%	0.0%	1.04%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.09%	0.16%	0.0%	0.0%	0.0%	0.29%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	166	1	4	6	22	6	4	0	0	0	0	2	11	11	7	11	22	7	3	1	0	5	2	10	11	3	5	4	3	3	2	0					
		1.36%	0.70%	1.26%	6.25%	2.39%	4.19%	1.35%	0.0%	0.0%	0.0%	0.0%	1.76%	1.00%	1.82%	1.34%	1.70%	3.47%	2.04%	0.62%	0.48%	0.0%	1.51%	0.37%	1.79%	0.73%	1.62%	1.25%	2.07%	1.04%	0.78%	0.54%	0.0%					
30	"13. ""Демократическая партия России"""	35	0	0	0	3	2	1	0	0	1	0	0	5	4	2	2	1	5	0	0	0	1	2	2	2	0	1	0	0	0	1	0					
		0.28%	0.0%	0.0%	0.0%	0.32%	1.39%	0.33%	0.0%	0.0%	0.25%	0.0%	0.0%	0.45%	0.66%	0.38%	0.31%	0.15%	1.45%	0.0%	0.0%	0.0%	0.30%	0.37%	0.35%	0.13%	0.0%	0.25%	0.0%	0.0%	0.0%	0.27%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	29	0	0	0	5	0	0	0	0	1	0	1	0	3	0	3	0	1	2	0	0	3	0	0	4	0	2	1	0	3	0	0					
		0.23%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.88%	0.0%	0.49%	0.0%	0.46%	0.0%	0.29%	0.41%	0.0%	0.0%	0.91%	0.0%	0.0%	0.26%	0.0%	0.50%	0.51%	0.0%	0.78%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	13	0	0	1	3	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	1	1	1	0	3	1	0	0	0	0					
		0.10%	0.0%	0.0%	1.04%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.18%	0.17%	0.06%	0.0%	0.75%	0.51%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	435	5	2	1	40	2	16	1	2	8	6	1	54	14	21	18	16	7	6	8	0	14	18	15	74	0	14	11	15	26	18	2					
		3.58%	3.52%	0.63%	1.04%	4.34%	1.39%	5.40%	1.92%	1.98%	2.04%	3.29%	0.88%	4.94%	2.32%	4.03%	2.79%	2.52%	2.04%	1.25%	3.86%	0.0%	4.25%	3.35%	2.68%	4.93%	0.0%	3.52%	5.69%	5.24%	6.77%	4.86%	3.44%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	31	1	0	0	2	2	0	0	0	2	0	0	2	3	0	2	1	2	2	0	0	2	3	1	2	0	2	1	1	0	0	0					
		0.25%	0.70%	0.0%	0.0%	0.21%	1.39%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.18%	0.49%	0.0%	0.31%	0.15%	0.58%	0.41%	0.0%	0.0%	0.60%	0.55%	0.17%	0.13%	0.0%	0.50%	0.51%	0.34%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1844	26	24	12	175	52	30	6	24	81	33	15	188	111	85	84	95	39	86	28	8	56	87	81	202	24	39	25	25	47	49	7					
		15.20%	18.30%	7.59%	12.5%	19.02%	36.36%	10.13%	11.53%	23.76%	20.66%	18.13%	13.27%	17.20%	18.40%	16.34%	13.04%	15.00%	11.37%	17.91%	13.52%	14.54%	17.02%	16.23%	14.51%	13.46%	12.97%	9.82%	12.95%	8.74%	12.23%	13.24%	12.06%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	243	7	5	3	19	3	5	0	2	7	4	1	31	13	10	22	13	3	6	3	0	4	6	16	35	2	8	0	4	9	2	0					
		2.00%	4.92%	1.58%	3.12%	2.06%	2.09%	1.68%	0.0%	1.98%	1.78%	2.19%	0.88%	2.83%	2.15%	1.92%	3.41%	2.05%	0.87%	1.25%	1.44%	0.0%	1.21%	1.11%	2.86%	2.33%	1.08%	2.01%	0.0%	1.39%	2.34%	0.54%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	5732	54	154	49	338	36	146	34	49	184	100	64	524	295	253	319	354	186	246	102	25	165	218	252	665	125	156	90	171	166	166	46					
		47.26%	38.02%	48.73%	51.04%	36.73%	25.17%	49.32%	65.38%	48.51%	46.93%	54.94%	56.63%	47.94%	48.92%	48.65%	49.53%	55.92%	54.22%	51.25%	49.27%	45.45%	50.15%	40.67%	45.16%	44.33%	67.56%	39.29%	46.63%	59.79%	43.22%	44.86%	79.31%					
38	"21. ""Российская Конституционно-демократическая партия"""	19	0	0	0	1	0	1	0	0	0	1	1	0	1	1	0	0	1	2	0	0	1	1	0	4	1	3	0	0	0	0	0					
		0.15%	0.0%	0.0%	0.0%	0.10%	0.0%	0.33%	0.0%	0.0%	0.0%	0.54%	0.88%	0.0%	0.16%	0.19%	0.0%	0.0%	0.29%	0.41%	0.0%	0.0%	0.30%	0.18%	0.0%	0.26%	0.54%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	23	0	1	0	3	0	0	1	0	0	0	0	1	1	1	2	2	0	1	0	0	0	1	2	5	0	1	1	0	0	0	0					
		0.18%	0.0%	0.31%	0.0%	0.32%	0.0%	0.0%	1.92%	0.0%	0.0%	0.0%	0.0%	0.09%	0.16%	0.19%	0.31%	0.31%	0.0%	0.20%	0.0%	0.0%	0.0%	0.18%	0.35%	0.33%	0.0%	0.25%	0.51%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1566	23	51	8	129	17	39	2	6	35	13	7	118	66	62	78	52	18	35	24	7	25	103	96	266	12	68	21	29	74	81	1					
		12.91%	16.19%	16.13%	8.33%	14.02%	11.88%	13.17%	3.84%	5.94%	8.92%	7.14%	6.19%	10.79%	10.94%	11.92%	12.11%	8.21%	5.24%	7.29%	11.59%	12.72%	7.59%	19.21%	17.20%	17.73%	6.48%	17.12%	10.88%	10.13%	19.27%	21.89%	1.72%					
																																						
41	Против всех	320	3	3	5	19	3	16	1	1	8	11	2	27	13	16	24	15	18	26	2	1	4	14	10	33	2	11	7	7	11	7	0					
		2.63%	2.11%	0.94%	5.20%	2.06%	2.09%	5.40%	1.92%	0.99%	2.04%	6.04%	1.76%	2.47%	2.15%	3.07%	3.72%	2.36%	5.24%	5.41%	0.96%	1.81%	1.21%	2.61%	1.79%	2.2%	1.08%	2.77%	3.62%	2.44%	2.86%	1.89%	0.0%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
