Выборы Президента Российской Федерации																																																																																													
																																																																																													
"Наименование Избирательной комиссии:    Калининград, Балтийская"																																																																																													
																																																																																													
Итоги голосования 																																																																																													
																																																																																													
		Сумма	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716	УИК №717	УИК №718	УИК №719	УИК №720	УИК №721	УИК №722	УИК №723	УИК №724	УИК №726	УИК №727	УИК №728	УИК №729	УИК №730	УИК №731	УИК №732	УИК №733	УИК №735	УИК №739	УИК №740	УИК №741	УИК №742	УИК №743	УИК №744	УИК №748	УИК №749	УИК №750	УИК №751	УИК №752	УИК №753	УИК №754	УИК №755	УИК №756	УИК №757	УИК №758	УИК №759	УИК №760	УИК №762	УИК №763	УИК №764	УИК №765	УИК №766	УИК №767	УИК №768					
11	Число полученных открепительных  удостоверений	578	20	20	20	20	20	20	20	20	20	20	20	20	20	20	0	20	20	20	20	20	20	20	20	20	78	20	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
12	Число выданных открепительных удостоверений	244	10	11	2	2	11	11	3	10	14	12	7	9	8	4	0	4	8	6	9	3	16	3	4	11	53	8	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	200	10	10	4	5	6	5	2	4	8	2	4	7	6	8	6	5	5	6	10	11	16	6	6	16	7	13	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
14	Число неиспользованных открепительных удостоверений	334	10	9	18	18	9	9	17	10	6	8	13	11	12	16	0	16	12	14	11	17	4	17	16	9	25	12	15	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
15	"Число открепительных удостоверений, выданных в ТИК"	8	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																													
18	. Глазьев Сергей Юрьевич	1857	78	73	30	35	88	53	32	80	86	67	58	82	74	69	27	33	79	80	60	34	100	79	60	95	69	48	16	6	3	5	4	5	5	2	5	8	2	5	4	5	6	3	7	3	1	3	2	2	2	7	2	2	6	1	3	0	1	5	9	6	9	0	0	0	2	1	3	0	9	4	3	3	1	0	0	0	0	0	1	1	2	0	0	2	1	0					
		6.32%	6.78%	5.18%	3.16%	6.34%	7.58%	5.66%	4.08%	6.62%	7.32%	6.68%	6.33%	7.74%	6.58%	6.25%	6.67%	4.00%	6.55%	6.99%	5.69%	6.27%	8.71%	7.49%	6.54%	7.61%	5.75%	4.39%	2.03%	14.63%	6.82%	6.33%	5.26%	6.58%	6.85%	2.67%	7.14%	11.94%	8.00%	6.49%	6.45%	6.58%	8.45%	5.88%	5.34%	15.79%	6.25%	18.75%	11.76%	25.00%	11.76%	12.28%	5.41%	8.00%	11.32%	5.88%	7.89%	0.00%	3.45%	9.62%	12.33%	7.59%	12.00%	0.00%	0%	0.00%	16.67%	5.88%	20.00%	0%	15.52%	6.06%	4.41%	4.48%	4.35%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	9.09%	20.00%	0.00%	0.00%	20.00%	9.09%	0.00%					
19	. Малышкин Олег Александрович	536	21	21	23	6	19	17	11	23	27	10	16	17	16	13	6	20	17	20	27	11	18	14	12	26	16	16	23	0	1	5	3	1	0	1	7	1	0	3	0	1	6	0	6	1	1	1	6	2	0	1	1	1	1	1	1	0	0	2	3	1	2	0	0	0	0	0	0	0	0	2	2	5	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
		1.82%	1.83%	1.49%	2.42%	1.09%	1.64%	1.82%	1.40%	1.90%	2.30%	1.00%	1.75%	1.61%	1.42%	1.18%	1.48%	2.43%	1.41%	1.75%	2.56%	2.03%	1.57%	1.33%	1.31%	2.08%	1.33%	1.46%	2.92%	0.00%	2.27%	6.33%	3.95%	1.32%	0.00%	1.33%	10.00%	1.49%	0.00%	3.90%	0.00%	1.32%	8.45%	0.00%	4.58%	5.26%	6.25%	6.25%	35.29%	25.00%	0.00%	1.75%	2.70%	4.00%	1.89%	5.88%	2.63%	0.00%	0.00%	3.85%	4.11%	1.27%	2.67%	0.00%	0%	0.00%	0.00%	0.00%	0.00%	0%	0.00%	3.03%	2.94%	7.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%					
20	. Миронов Сергей Михайлович	378	14	7	9	11	20	17	12	10	18	18	16	14	12	8	6	13	23	20	13	10	14	19	13	15	10	14	2	0	1	0	1	0	2	0	0	0	0	1	2	2	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	1	0	0	0					
		1.29%	1.22%	0.50%	0.95%	1.99%	1.72%	1.82%	1.53%	0.83%	1.53%	1.79%	1.75%	1.32%	1.07%	0.72%	1.48%	1.58%	1.91%	1.75%	1.23%	1.85%	1.22%	1.80%	1.42%	1.20%	0.83%	1.28%	0.25%	0.00%	2.27%	0.00%	1.32%	0.00%	2.74%	0.00%	0.00%	0.00%	0.00%	1.30%	3.23%	2.63%	1.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%	2.74%	1.27%	0.00%	0.00%	0%	0.00%	0.00%	0.00%	0.00%	0%	0.00%	1.52%	0.00%	1.49%	0.00%	0.00%	0.00%	9.09%	0.00%	0.00%	0.00%	0.00%	0.00%	9.09%	9.09%	0.00%	0.00%	0.00%					
21	. Путин Владимир Владимирович	19033	801	998	677	373	683	591	557	746	762	601	564	682	738	711	260	579	785	723	639	355	662	621	577	784	826	733	651	23	22	53	52	56	42	50	42	40	15	38	43	47	34	33	98	2	3	12	6	0	7	36	29	10	23	7	23	11	16	30	44	48	40	12	0	9	7	12	10	0	42	39	49	42	15	6	9	9	5	6	4	7	8	7	7	2	5	7					
		64.80%	69.65%	70.88%	71.34%	67.57%	58.83%	63.14%	71.05%	61.75%	64.85%	59.92%	61.57%	64.40%	65.66%	64.40%	64.20%	70.27%	65.04%	63.14%	60.63%	65.50%	57.67%	58.86%	62.85%	62.82%	68.89%	67.06%	82.72%	56.10%	50.00%	67.09%	68.42%	73.68%	57.53%	66.67%	60.00%	59.70%	60.00%	49.35%	69.35%	61.84%	47.89%	64.71%	74.81%	10.53%	18.75%	75.00%	35.29%	0.00%	41.18%	63.16%	78.38%	40.00%	43.40%	41.18%	60.53%	100.00%	55.17%	57.69%	60.27%	60.76%	53.33%	85.71%	0%	100.00%	58.33%	70.59%	66.67%	0%	72.41%	59.09%	72.06%	62.69%	65.22%	54.55%	81.82%	81.82%	45.45%	60.00%	40.00%	63.64%	80.00%	63.64%	63.64%	20.00%	45.45%	70.00%					
22	. Хакамада Ирина Муцуовна	1506	56	70	38	29	60	51	47	63	76	53	37	65	69	80	15	34	71	55	50	32	68	81	44	70	46	52	20	0	2	5	5	2	2	4	3	2	1	5	3	4	1	0	7	1	1	0	0	1	2	0	1	1	2	1	0	0	0	2	1	2	2	0	0	0	0	0	0	0	2	2	1	3	2	0	0	0	0	0	0	0	0	0	0	1	0	0					
		5.13%	4.87%	4.97%	4.00%	5.25%	5.17%	5.45%	5.99%	5.22%	6.47%	5.28%	4.04%	6.14%	6.14%	7.25%	3.70%	4.13%	5.88%	4.80%	4.74%	5.90%	5.92%	7.68%	4.79%	5.61%	3.84%	4.76%	2.54%	0.00%	4.55%	6.33%	6.58%	2.63%	2.74%	5.33%	4.29%	2.99%	4.00%	6.49%	4.84%	5.26%	1.41%	0.00%	5.34%	5.26%	6.25%	0.00%	0.00%	12.50%	11.76%	0.00%	2.70%	4.00%	3.77%	5.88%	0.00%	0.00%	0.00%	3.85%	1.37%	2.53%	2.67%	0.00%	0%	0.00%	0.00%	0.00%	0.00%	0%	3.45%	3.03%	1.47%	4.48%	8.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	10.00%	0.00%	0.00%					
23	. Харитонов Николай Михайлович	3792	104	148	114	58	217	134	83	202	115	157	161	121	149	160	64	82	158	182	179	64	221	162	160	184	149	133	41	2	3	1	1	1	4	5	4	2	0	3	2	3	2	1	4	1	2	0	0	1	0	3	0	3	2	1	1	0	3	0	3	4	5	0	0	0	0	1	2	0	0	5	1	4	1	0	1	0	2	1	1	1	0	1	0	0	2	0					
		12.91%	9.04%	10.51%	12.01%	10.51%	18.69%	14.32%	10.59%	16.72%	9.79%	15.65%	17.58%	11.43%	13.26%	14.49%	15.80%	9.95%	13.09%	15.90%	16.98%	11.81%	19.25%	15.36%	17.43%	14.74%	12.43%	12.17%	5.21%	4.88%	6.82%	1.27%	1.32%	1.32%	5.48%	6.67%	5.71%	2.99%	0.00%	3.90%	3.23%	3.95%	2.82%	1.96%	3.05%	5.26%	12.50%	0.00%	0.00%	12.50%	0.00%	5.26%	0.00%	12.00%	3.77%	5.88%	2.63%	0.00%	10.34%	0.00%	4.11%	5.06%	6.67%	0.00%	0%	0.00%	0.00%	5.88%	13.33%	0%	0.00%	7.58%	1.47%	5.97%	4.35%	0.00%	9.09%	0.00%	18.18%	10.00%	10.00%	9.09%	0.00%	9.09%	0.00%	0.00%	18.18%	0.00%					
																																																																																													
24	Против всех	2018	67	79	54	34	64	61	36	74	81	83	51	70	55	51	25	54	74	54	72	31	58	71	42	65	73	92	27	10	12	8	9	11	16	13	8	14	6	21	7	14	21	13	9	11	8	0	3	2	6	9	4	7	19	5	9	0	9	12	8	17	15	2	0	0	3	3	0	0	3	13	12	9	4	5	1	1	4	3	3	2	0	2	3	5	3	3					
		6.87%	5.83%	5.61%	5.69%	6.16%	5.51%	6.52%	4.59%	6.13%	6.89%	8.28%	5.57%	6.61%	4.89%	4.62%	6.17%	6.55%	6.13%	4.72%	6.83%	5.72%	5.05%	6.73%	4.58%	5.21%	6.09%	8.42%	3.43%	24.39%	27.27%	10.13%	11.84%	14.47%	21.92%	17.33%	11.43%	20.90%	24.00%	27.27%	11.29%	18.42%	29.58%	25.49%	6.87%	57.89%	50.00%	0.00%	17.65%	25.00%	35.29%	15.79%	10.81%	28.00%	35.85%	29.41%	23.68%	0.00%	31.03%	23.08%	10.96%	21.52%	20.00%	14.29%	0%	0.00%	25.00%	17.65%	0.00%	0%	5.17%	19.70%	17.65%	13.43%	17.39%	45.45%	9.09%	9.09%	36.36%	30.00%	30.00%	18.18%	0.00%	18.18%	27.27%	50.00%	27.27%	30.00%					
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
																																																																																													
