Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																													
Дата голосования: 18.09.2016																																																																													
																																																																													
Наименование Избирательной комиссии:    Александровская																																																																													
																																																																													
Сводная таблица итогов голосования по федеральному избирательному округу																																																																													
																																																																													
		Сумма	УИК №1	УИК №2	УИК №3	УИК №4	УИК №5	УИК №6	УИК №7	УИК №8	УИК №9	УИК №10	УИК №11	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1595	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	30	25	25	25	15	15	15	15	15	15	15	15	15	15	30	15	15	15	15	15	30	15	15	15	15	15	15	25	35	25	25	25	25	25	25	25	25	25	25	30	30	25									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	679	9	10	4	7	18	5	12	10	23	9	13	11	15	18	3	13	11	10	16	21	8	6	9	20	19	9	13	17	5	1	3	15	2	5	1	2	4	7	27	6	0	1	0	4	27	8	4	4	0	1	5	13	23	16	20	19	12	6	10	7	8	13	7	28	15	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	438	10	22	5	2	3	11	6	3	6	6	3	9	5	9	7	8	13	13	5	9	3	11	12	5	21	6	7	7	6	5	5	14	4	9	10	2	4	1	6	8	0	2	4	4	9	2	2	5	8	4	7	3	4	8	2	10	6	9	8	1	11	9	1	4	7	7									
14	Число погашенных неиспользованных открепительных удостоверений	916	21	20	26	23	12	25	18	20	7	21	17	19	15	12	27	17	19	20	14	9	22	24	21	10	11	16	12	8	10	14	12	0	13	10	14	13	11	8	3	9	15	14	15	11	3	7	11	11	15	14	10	12	12	9	5	6	13	19	15	18	17	12	18	2	15	14									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	137	0	1	0	2	2	1	1	3	5	1	1	7	6	5	1	4	1	2	5	4	1	2	4	4	4	1	1	3	0	2	0	2	0	0	0	1	0	0	0	0	0	1	0	3	10	0	0	1	0	0	3	1	9	3	1	5	2	2	4	3	1	4	1	2	2	2									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																													
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	755	22	9	21	16	15	5	12	11	26	17	16	14	9	21	10	18	12	19	14	18	12	6	21	15	21	21	15	17	5	5	5	14	3	20	3	6	2	0	3	5	1	2	1	1	10	2	2	8	5	2	4	14	20	7	7	18	12	27	17	10	11	15	15	19	14	7									
		2.29%	2.93%	3.47%	4.94%	3.82%	2.16%	2.10%	2.41%	2.09%	2.86%	3.46%	1.97%	1.75%	1.66%	2.10%	2.35%	2.35%	2.47%	3.20%	1.79%	2.24%	3.20%	1.58%	2.69%	2.65%	1.73%	3.26%	3.01%	2.00%	3.33%	2.10%	1.51%	3.24%	2.24%	4.63%	1.83%	2.99%	1.75%	0.00%	1.18%	2.49%	1.33%	0.90%	0.54%	0.41%	2.40%	0.95%	1.25%	2.41%	3.82%	2.15%	1.18%	3.35%	2.33%	1.49%	1.86%	2.24%	1.52%	2.86%	2.74%	1.09%	1.74%	1.88%	2.23%	2.19%	3.84%	1.05%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	939	23	11	18	13	20	8	13	17	33	14	14	18	16	11	9	32	6	21	20	21	11	8	21	18	18	31	18	29	6	12	9	8	6	9	2	7	4	2	6	13	3	7	9	7	11	4	6	10	4	3	7	17	20	11	13	26	25	10	26	21	15	30	24	22	14	18									
		2.85%	3.06%	4.25%	4.24%	3.10%	2.87%	3.36%	2.62%	3.23%	3.63%	2.85%	1.73%	2.25%	2.96%	1.10%	2.12%	4.17%	1.23%	3.54%	2.56%	2.61%	2.93%	2.11%	2.69%	3.17%	1.48%	4.81%	3.61%	3.42%	4.00%	5.04%	2.72%	1.85%	4.48%	2.08%	1.22%	3.48%	3.51%	1.77%	2.35%	6.47%	4.00%	3.15%	4.84%	2.87%	2.64%	1.90%	3.75%	3.01%	3.05%	3.23%	2.06%	4.07%	2.33%	2.34%	3.45%	3.24%	3.17%	1.06%	4.19%	2.28%	2.37%	3.76%	3.57%	2.53%	3.84%	2.69%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1065	25	10	11	9	29	8	14	17	25	14	22	30	18	31	18	13	18	19	21	16	15	13	40	23	31	36	19	36	4	9	13	15	7	9	7	5	1	0	9	1	3	4	4	2	8	6	2	11	4	6	9	20	34	21	13	30	25	16	18	36	20	31	12	35	13	21									
		3.24%	3.32%	3.86%	2.59%	2.15%	4.17%	3.36%	2.82%	3.23%	2.75%	2.85%	2.71%	3.75%	3.33%	3.10%	4.24%	1.69%	3.70%	3.20%	2.69%	1.99%	4.00%	3.43%	5.13%	4.06%	2.55%	5.58%	3.81%	4.25%	2.67%	3.78%	3.93%	3.47%	5.22%	2.08%	4.27%	2.49%	0.88%	0.00%	3.53%	0.50%	4.00%	1.80%	2.15%	0.82%	1.92%	2.84%	1.25%	3.31%	3.05%	6.45%	2.65%	4.78%	3.96%	4.47%	3.45%	3.74%	3.17%	1.70%	2.90%	3.91%	3.16%	3.88%	1.79%	4.03%	3.56%	3.14%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15137	335	119	167	216	290	104	168	196	352	186	286	297	226	493	170	262	233	228	274	300	123	152	328	245	763	263	213	345	86	107	205	254	71	264	84	113	65	71	132	116	37	125	116	116	219	114	90	216	75	50	202	214	403	232	178	353	335	528	283	420	312	353	296	424	135	409									
		46.00%	44.55%	45.95%	39.29%	51.55%	41.67%	43.70%	33.80%	37.19%	38.77%	37.88%	35.27%	37.13%	41.77%	49.35%	40.00%	34.16%	47.94%	38.45%	35.13%	37.31%	32.80%	40.11%	42.05%	43.21%	62.85%	40.78%	42.69%	40.68%	57.33%	44.96%	61.93%	58.80%	52.99%	61.11%	51.22%	56.22%	57.02%	62.83%	51.76%	57.71%	49.33%	56.31%	62.37%	47.54%	52.64%	54.03%	56.25%	65.06%	57.25%	53.76%	59.41%	51.20%	46.97%	49.36%	47.21%	43.96%	42.46%	55.99%	45.57%	45.65%	49.37%	44.24%	44.05%	48.79%	36.99%	61.14%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	276	8	4	5	3	7	0	2	6	13	5	4	7	2	9	2	9	10	9	9	13	6	4	8	6	5	6	5	10	0	0	0	3	2	4	0	0	0	0	0	0	0	0	1	1	4	1	1	0	0	3	0	1	3	0	4	9	11	8	3	10	5	8	6	4	2	5									
		0.84%	1.06%	1.54%	1.18%	0.72%	1.01%	0.00%	0.40%	1.14%	1.43%	1.02%	0.49%	0.88%	0.37%	0.90%	0.47%	1.17%	2.06%	1.52%	1.15%	1.62%	1.60%	1.06%	1.03%	1.06%	0.41%	0.93%	1.00%	1.18%	0.00%	0.00%	0.00%	0.69%	1.49%	0.93%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.54%	0.41%	0.96%	0.47%	0.63%	0.00%	0.00%	3.23%	0.00%	0.24%	0.35%	0.00%	1.06%	1.12%	1.39%	0.85%	0.48%	1.09%	0.79%	1.00%	0.89%	0.46%	0.55%	0.75%									
24	"6. Политическая партия ""Гражданская Платформа"""	63	0	1	2	0	0	0	0	3	1	2	0	0	0	2	1	1	1	1	3	4	1	1	1	0	3	3	0	3	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	10	0	0	2	4	2	0	2	1	3	0	1	0									
		0.19%	0.00%	0.39%	0.47%	0.00%	0.00%	0.00%	0.00%	0.57%	0.11%	0.41%	0.00%	0.00%	0.00%	0.20%	0.24%	0.13%	0.21%	0.17%	0.38%	0.50%	0.27%	0.26%	0.13%	0.00%	0.25%	0.47%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	2.13%	0.00%	0.00%	0.25%	0.42%	0.32%	0.00%	0.32%	0.13%	0.45%	0.00%	0.27%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5519	139	45	79	68	134	31	116	92	181	72	156	119	76	130	51	149	68	99	105	150	80	49	138	104	171	85	82	177	22	37	35	70	15	52	30	39	28	28	47	33	16	38	28	75	70	40	40	44	20	23	39	70	157	92	72	152	134	136	106	175	110	123	132	107	48	90									
		16.77%	18.48%	17.37%	18.59%	16.23%	19.25%	13.03%	23.34%	17.46%	19.93%	14.66%	19.24%	14.88%	14.05%	13.01%	12.00%	19.43%	13.99%	16.69%	13.46%	18.66%	21.33%	12.93%	17.69%	18.34%	14.09%	13.18%	16.43%	20.87%	14.67%	15.55%	10.57%	16.20%	11.19%	12.04%	18.29%	19.40%	24.56%	24.78%	18.43%	16.42%	21.33%	17.12%	15.05%	30.74%	16.83%	18.96%	25.00%	13.25%	15.27%	24.73%	11.47%	16.75%	18.30%	19.57%	19.10%	18.93%	16.98%	14.42%	17.07%	19.02%	17.41%	15.41%	19.64%	12.31%	13.15%	13.45%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	260	5	2	4	0	9	6	9	1	10	4	7	11	3	5	2	11	7	8	6	7	2	8	3	5	2	6	7	2	1	2	2	5	1	1	1	5	0	0	1	0	0	0	0	1	0	0	0	0	2	1	2	4	3	6	1	7	15	6	5	5	3	8	5	6	5	4									
		0.79%	0.66%	0.77%	0.94%	0.00%	1.29%	2.52%	1.81%	0.19%	1.10%	0.81%	0.86%	1.38%	0.55%	0.50%	0.47%	1.43%	1.44%	1.35%	0.77%	0.87%	0.53%	2.11%	0.38%	0.88%	0.16%	0.93%	1.40%	0.24%	0.67%	0.84%	0.60%	1.16%	0.75%	0.23%	0.61%	2.49%	0.00%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.00%	0.00%	0.00%	1.53%	1.08%	0.59%	0.96%	0.35%	1.28%	0.27%	0.87%	1.90%	0.64%	0.81%	0.54%	0.47%	1.00%	0.74%	0.69%	1.37%	0.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	347	11	0	3	4	10	0	13	8	11	5	6	9	4	12	8	25	9	4	14	13	2	9	18	4	14	11	6	9	2	1	5	2	1	4	2	0	0	0	0	2	0	0	0	0	0	1	0	1	0	0	1	2	8	3	2	9	7	9	6	5	3	6	5	10	4	4									
		1.05%	1.46%	0.00%	0.71%	0.95%	1.44%	0.00%	2.62%	1.52%	1.21%	1.02%	0.74%	1.13%	0.74%	1.20%	1.88%	3.26%	1.85%	0.67%	1.79%	1.62%	0.53%	2.37%	2.31%	0.71%	1.15%	1.71%	1.20%	1.06%	1.33%	0.42%	1.51%	0.46%	0.75%	0.93%	1.22%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.30%	0.00%	0.00%	0.29%	0.48%	0.93%	0.64%	0.53%	1.12%	0.89%	0.95%	0.97%	0.54%	0.47%	0.75%	0.74%	1.15%	1.10%	0.60%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	49	1	0	1	1	0	0	0	1	0	3	3	0	0	1	0	1	0	2	1	0	0	1	1	2	3	1	3	0	0	1	0	0	0	1	1	0	1	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	1	0	1	3	1	0	2	1	1	3	1	1	0									
		0.15%	0.13%	0.00%	0.24%	0.24%	0.00%	0.00%	0.00%	0.19%	0.00%	0.61%	0.37%	0.00%	0.00%	0.10%	0.00%	0.13%	0.00%	0.34%	0.13%	0.00%	0.00%	0.26%	0.13%	0.35%	0.25%	0.16%	0.60%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.23%	0.61%	0.00%	0.88%	0.00%	0.39%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.21%	0.00%	0.12%	0.38%	0.11%	0.00%	0.22%	0.16%	0.13%	0.45%	0.12%	0.27%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	526	8	7	9	6	14	5	9	10	18	14	15	8	12	8	10	22	13	16	23	18	8	9	11	10	11	10	10	6	1	3	1	9	3	3	2	0	0	0	5	3	3	0	0	3	2	5	0	0	5	0	6	8	9	5	4	10	20	12	5	21	5	12	15	16	8	2									
		1.60%	1.06%	2.70%	2.12%	1.43%	2.01%	2.10%	1.81%	1.90%	1.98%	2.85%	1.85%	1.00%	2.22%	0.80%	2.35%	2.87%	2.67%	2.70%	2.95%	2.24%	2.13%	2.37%	1.41%	1.76%	0.91%	1.55%	2.00%	0.71%	0.67%	1.26%	0.30%	2.08%	2.24%	0.69%	1.22%	0.00%	0.00%	0.00%	1.96%	1.49%	4.00%	0.00%	0.00%	1.23%	0.48%	2.37%	0.00%	0.00%	3.82%	0.00%	1.76%	1.91%	1.05%	1.06%	1.06%	1.25%	2.53%	1.27%	0.81%	2.28%	0.79%	1.50%	2.23%	1.84%	2.19%	0.30%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4347	119	27	76	60	98	33	93	68	111	72	133	114	76	118	59	115	60	90	149	152	57	53	122	78	105	124	73	156	15	48	38	29	15	43	24	13	13	3	38	14	8	29	14	28	62	26	15	29	12	3	26	42	74	44	53	121	114	66	69	119	66	118	73	112	72	68									
		13.21%	15.82%	10.42%	17.88%	14.32%	14.08%	13.87%	18.71%	12.90%	12.22%	14.66%	16.40%	14.25%	14.05%	11.81%	13.88%	14.99%	12.35%	15.18%	19.10%	18.91%	15.20%	13.98%	15.64%	13.76%	8.65%	19.22%	14.63%	18.40%	10.00%	20.17%	11.48%	6.71%	11.19%	9.95%	14.63%	6.47%	11.40%	2.65%	14.90%	6.97%	10.67%	13.06%	7.53%	11.48%	14.90%	12.32%	9.38%	8.73%	9.16%	3.23%	7.65%	10.05%	8.62%	9.36%	14.06%	15.07%	14.45%	6.99%	11.11%	12.93%	10.44%	14.79%	10.86%	12.89%	19.73%	10.16%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	138	1	2	3	0	4	1	4	3	3	2	4	2	3	3	0	4	3	3	6	3	3	4	3	3	2	2	3	7	0	1	1	1	1	2	1	1	0	0	0	0	1	1	4	0	3	0	2	0	2	0	0	3	2	1	3	5	6	3	2	2	3	1	1	2	1	1									
		0.42%	0.13%	0.77%	0.71%	0.00%	0.57%	0.42%	0.80%	0.57%	0.33%	0.41%	0.49%	0.25%	0.55%	0.30%	0.00%	0.52%	0.62%	0.51%	0.77%	0.37%	0.80%	1.06%	0.38%	0.53%	0.16%	0.31%	0.60%	0.83%	0.00%	0.42%	0.30%	0.23%	0.75%	0.46%	0.61%	0.50%	0.00%	0.00%	0.00%	0.00%	1.33%	0.45%	2.15%	0.00%	0.72%	0.00%	1.25%	0.00%	1.53%	0.00%	0.00%	0.72%	0.23%	0.21%	0.80%	0.62%	0.76%	0.32%	0.32%	0.22%	0.47%	0.13%	0.15%	0.23%	0.27%	0.15%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	2588	41	14	17	15	45	29	31	84	105	72	122	148	75	147	71	84	35	65	123	76	41	56	53	45	47	28	34	39	5	5	9	6	2	16	3	5	0	6	6	7	3	12	4	10	8	11	0	8	0	0	37	18	30	26	18	40	50	52	69	66	42	65	37	100	39	31									
		7.87%	5.45%	5.41%	4.00%	3.58%	6.47%	12.18%	6.24%	15.94%	11.56%	14.66%	15.04%	18.50%	13.86%	14.71%	16.71%	10.95%	7.20%	10.96%	15.77%	9.45%	10.93%	14.78%	6.79%	7.94%	3.87%	4.34%	6.81%	4.60%	3.33%	2.10%	2.72%	1.39%	1.49%	3.70%	1.83%	2.49%	0.00%	5.31%	2.35%	3.48%	4.00%	5.41%	2.15%	4.10%	1.92%	5.21%	0.00%	2.41%	0.00%	0.00%	10.88%	4.31%	3.50%	5.53%	4.77%	4.98%	6.34%	5.51%	11.11%	7.17%	6.65%	8.15%	5.51%	11.51%	10.68%	4.63%									
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
																																																																													
