Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																			
Дата голосования: 07.12.2003 0:00:00																																																			
																																																			
Наименование Избирательной комиссии:    Нурлатская 																																																			
																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																			
																																																			
		Сумма	УИК  2367	УИК  2368	УИК  2369	УИК  2370	УИК  2371	УИК  2372	УИК  2373	УИК  2374	УИК  2375	УИК  2376	УИК  2377	УИК  2378	УИК  2379	УИК  2380	УИК  2381	УИК  2382	УИК  2383	УИК  2384	УИК  2385	УИК  2386	УИК  2387	УИК  2388	УИК  2389	УИК  2390	УИК  2391	УИК  2392	УИК  2393	УИК  2394	УИК  2395	УИК  2396	УИК  2397	УИК  2398	УИК  2399	УИК  2400	УИК  2401	УИК  2402	УИК  2403	УИК  2404	УИК  2405	УИК  2406	УИК  2407	УИК  2408	УИК  2409	УИК  2410					
28	"11. ""Истинные патриоты России"""	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.00%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.05%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.76%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
30	"13. ""Демократическая партия России"""	5	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	7	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.02%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	68	0	0	0	0	1	0	1	1	0	0	0	0	1	0	1	1	1	0	0	0	0	4	0	1	0	3	2	3	0	3	35	7	3	0	0	0	0	0	0	0	0	0	0	0					
		0.36%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.31%	0.55%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.29%	0.15%	0.36%	0.0%	0.0%	0.0%	0.0%	1.28%	0.0%	0.19%	0.0%	0.77%	0.19%	0.51%	0.0%	0.69%	3.83%	0.87%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	19	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	5	0	2	1	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.22%	0.32%	0.0%	0.95%	0.0%	0.51%	0.09%	0.0%	0.0%	0.0%	0.87%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	210	4	2	2	4	5	1	4	1	2	0	0	3	3	1	0	2	0	1	1	2	5	17	2	3	0	5	2	1	0	3	116	9	3	0	0	0	0	0	0	0	0	2	3	1					
		1.12%	0.42%	1.11%	0.98%	1.61%	1.47%	0.79%	1.26%	0.55%	0.60%	0.0%	0.0%	1.36%	0.8%	0.34%	0.0%	0.30%	0.0%	0.14%	0.33%	1.21%	1.14%	5.46%	0.33%	0.57%	0.0%	1.29%	0.19%	0.17%	0.0%	0.69%	12.70%	1.13%	0.59%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.00%	0.68%	0.36%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	85	3	1	0	0	0	1	2	0	0	0	0	0	4	1	1	0	2	4	0	0	3	3	4	9	0	2	7	0	0	4	30	0	0	0	0	0	0	1	0	0	1	0	2	0					
		0.45%	0.31%	0.55%	0.0%	0.0%	0.0%	0.79%	0.63%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.34%	0.29%	0.0%	0.73%	0.57%	0.0%	0.0%	0.68%	0.96%	0.66%	1.72%	0.0%	0.51%	0.69%	0.0%	0.0%	0.92%	3.28%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.69%	0.0%	0.45%	0.0%					
37	"20. ""Политическая партия ""Единая Россия"""	17423	938	171	200	228	323	116	293	175	322	510	477	208	362	290	308	642	266	681	290	156	415	181	570	459	460	352	974	558	608	378	571	762	463	437	323	180	154	553	600	442	140	187	428	272					
		93.10%	99.25%	95.0%	98.03%	91.93%	95.0%	92.06%	92.72%	97.76%	98.17%	99.41%	99.99%	94.97%	96.53%	98.63%	91.66%	96.83%	98.15%	98.41%	97.31%	94.54%	95.40%	58.19%	94.37%	87.93%	84.55%	90.95%	96.34%	95.71%	91.15%	87.09%	62.54%	95.72%	91.86%	99.54%	99.07%	100.0%	100.0%	90.95%	99.33%	95.46%	97.90%	93.96%	97.27%	98.19%					
38	"21. ""Российская Конституционно-демократическая партия"""	14	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	3	0	0	4	0	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	1.58%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.36%	0.14%	0.0%	0.0%	0.0%	0.32%	0.0%	0.0%	0.0%	0.0%	0.29%	0.0%	0.0%	0.92%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	3	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.0%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	297	0	3	1	6	7	2	4	1	0	2	0	8	1	1	2	5	0	5	6	1	1	46	2	5	0	2	12	11	58	13	66	9	4	0	0	0	0	1	0	0	1	7	1	3					
		1.58%	0.0%	1.66%	0.49%	2.41%	2.05%	1.58%	1.26%	0.55%	0.0%	0.38%	0.0%	3.65%	0.26%	0.34%	0.59%	0.75%	0.0%	0.72%	2.01%	0.60%	0.22%	14.79%	0.33%	0.95%	0.0%	0.51%	1.18%	1.88%	8.69%	2.99%	7.22%	1.13%	0.79%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.69%	3.51%	0.22%	1.08%					
																																																			
41	Против всех	58	0	0	0	2	0	0	3	0	0	0	0	0	4	0	0	0	0	0	0	4	0	4	0	5	11	0	1	2	1	5	11	2	0	2	0	0	0	0	0	0	1	0	0	0					
		0.30%	0.0%	0.0%	0.0%	0.80%	0.0%	0.0%	0.94%	0.0%	0.0%	0.0%	0.0%	0.0%	1.06%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	2.42%	0.0%	1.28%	0.0%	0.95%	2.02%	0.0%	0.09%	0.34%	0.14%	1.15%	1.20%	0.25%	0.0%	0.45%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.69%	0.0%	0.0%	0.0%					
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
																																																			
