Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																															
Дата голосования: 18.09.2016																																																																															
																																																																															
"Наименование Избирательной комиссии:    Уфа, Советская"																																																																															
																																																																															
Сводная таблица итогов голосования по федеральному избирательному округу																																																																															
																																																																															
		Сумма	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1290	7	9	11	10	15	34	8	5	14	52	14	4	11	15	15	12	29	30	2	18	9	4	36	12	13	12	31	12	0	14	17	10	398	30	6	12	5	0	4	8	17	2	3	24	11	12	15	12	0	6	11	38	1	11	17	16	12	4	7	11	18	40	27	13	4	2	4	4									
		1.58%	0.53%	0.96%	0.89%	2.07%	1.24%	2.26%	0.89%	1.06%	3.15%	3.21%	1.96%	0.81%	1.02%	0.88%	1.14%	0.89%	2.06%	2.60%	0.14%	1.13%	0.51%	0.30%	2.54%	0.95%	1.00%	1.50%	2.56%	1.03%	0.00%	1.31%	1.08%	1.08%	23.48%	1.59%	0.41%	0.97%	0.43%	0.00%	0.32%	2.83%	2.26%	0.20%	0.22%	1.40%	0.68%	0.77%	2.71%	0.88%	0.00%	0.52%	0.59%	1.83%	0.16%	0.89%	0.98%	0.77%	0.71%	0.33%	0.91%	0.95%	1.03%	2.46%	2.34%	0.76%	3.33%	1.22%	1.44%	8.89%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	476	0	7	0	12	12	26	20	17	5	22	25	6	0	1	13	1	0	0	7	0	27	3	19	10	0	17	21	0	0	0	1	0	5	31	9	0	0	21	7	7	5	3	14	7	6	2	7	0	0	0	0	0	0	0	0	21	0	0	6	0	0	29	8	4	1	4	6	1									
		0.58%	0.00%	0.74%	0.00%	2.49%	0.99%	1.73%	2.23%	3.59%	1.13%	1.36%	3.51%	1.21%	0.00%	0.06%	0.99%	0.07%	0.00%	0.00%	0.47%	0.00%	1.53%	0.23%	1.34%	0.79%	0.00%	2.13%	1.73%	0.00%	0.00%	0.00%	0.06%	0.00%	0.29%	1.65%	0.62%	0.00%	0.00%	1.60%	0.56%	2.47%	0.66%	0.29%	1.01%	0.41%	0.37%	0.13%	1.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.00%	0.78%	0.00%	0.00%	1.78%	0.69%	0.23%	0.83%	2.44%	2.16%	2.22%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	43064	932	478	569	231	595	932	426	172	157	872	250	255	544	852	648	713	707	580	812	813	884	672	736	630	648	441	687	585	651	492	790	465	1142	950	720	618	630	654	622	92	482	509	707	857	815	785	285	758	1179	646	1010	999	324	731	856	1143	840	610	392	585	873	891	633	1109	87	94	190	27									
		52.59%	70.98%	50.80%	45.99%	47.93%	49.25%	62.05%	47.54%	36.36%	35.36%	53.89%	35.06%	51.62%	50.23%	50.18%	49.35%	52.97%	50.32%	50.22%	54.83%	50.97%	50.03%	50.99%	52.01%	50.08%	50.04%	55.26%	56.68%	50.04%	67.67%	45.98%	50.06%	50.00%	67.37%	50.45%	49.79%	49.96%	54.78%	49.73%	49.96%	32.51%	64.01%	50.00%	51.16%	50.06%	50.50%	50.42%	51.44%	55.69%	57.51%	55.93%	53.72%	48.21%	52.51%	58.95%	49.42%	54.66%	49.91%	50.00%	51.11%	50.26%	50.00%	54.83%	54.95%	65.01%	72.50%	57.32%	68.35%	60.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	712	6	3	10	11	11	26	8	9	7	16	16	6	10	15	10	12	14	26	1	12	13	2	9	7	12	12	13	12	0	10	11	5	6	11	8	12	5	15	7	6	20	1	2	3	5	3	12	13	0	6	10	18	1	75	16	6	13	4	4	11	19	44	0	12	0	3	6	0									
		0.87%	0.46%	0.32%	0.81%	2.28%	0.91%	1.73%	0.89%	1.90%	1.58%	0.99%	2.24%	1.21%	0.92%	0.88%	0.76%	0.89%	0.99%	2.25%	0.07%	0.75%	0.74%	0.15%	0.64%	0.56%	0.93%	1.50%	1.07%	1.03%	0.00%	0.93%	0.70%	0.54%	0.35%	0.58%	0.55%	0.97%	0.43%	1.14%	0.56%	2.12%	2.66%	0.10%	0.14%	0.18%	0.31%	0.19%	2.17%	0.96%	0.00%	0.52%	0.53%	0.87%	0.16%	6.05%	0.92%	0.29%	0.77%	0.33%	0.52%	0.95%	1.09%	2.71%	0.00%	0.70%	0.00%	1.83%	2.16%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	154	0	3	0	3	2	10	6	2	2	4	3	3	0	0	3	1	0	0	3	0	2	2	2	6	0	1	8	0	0	0	1	0	7	3	5	0	0	0	0	0	0	2	20	17	3	8	3	0	0	0	0	0	0	0	0	0	0	0	2	0	0	13	0	4	0	0	0	0									
		0.19%	0.00%	0.32%	0.00%	0.62%	0.17%	0.67%	0.67%	0.42%	0.45%	0.25%	0.42%	0.61%	0.00%	0.00%	0.23%	0.07%	0.00%	0.00%	0.20%	0.00%	0.11%	0.15%	0.14%	0.48%	0.00%	0.13%	0.66%	0.00%	0.00%	0.00%	0.06%	0.00%	0.41%	0.16%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	1.45%	0.99%	0.19%	0.51%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	0.80%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	14983	197	170	235	72	209	149	186	71	65	208	91	64	240	349	246	271	302	254	297	351	389	290	352	263	285	86	88	257	120	302	341	200	119	173	317	272	172	288	274	58	55	224	297	349	355	345	57	200	307	173	280	469	92	238	311	329	369	305	159	256	394	175	243	256	18	23	27	4									
		18.30%	15.00%	18.07%	18.99%	14.94%	17.30%	9.92%	20.76%	15.01%	14.64%	12.86%	12.76%	12.96%	22.16%	20.55%	18.74%	20.13%	21.49%	21.99%	20.05%	22.01%	22.01%	22.00%	24.88%	20.91%	22.01%	10.78%	7.26%	21.98%	12.47%	28.22%	21.61%	21.51%	7.02%	9.19%	21.92%	21.99%	14.96%	21.90%	22.01%	20.49%	7.30%	22.00%	21.49%	20.39%	21.99%	22.16%	10.29%	14.70%	14.98%	14.98%	14.89%	22.64%	14.91%	19.19%	17.96%	15.73%	21.93%	25.00%	20.73%	21.99%	22.57%	10.77%	21.09%	15.01%	15.00%	14.02%	9.71%	8.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	199	0	10	0	6	11	10	4	8	6	12	10	5	0	0	3	1	0	0	0	0	0	3	9	11	0	2	8	0	0	0	1	0	3	7	3	0	0	0	9	5	5	1	3	5	6	0	7	0	0	0	0	0	0	0	0	0	0	0	2	0	0	19	0	3	0	0	1	0									
		0.24%	0.00%	1.06%	0.00%	1.24%	0.91%	0.67%	0.45%	1.69%	1.35%	0.74%	1.40%	1.01%	0.00%	0.00%	0.23%	0.07%	0.00%	0.00%	0.00%	0.00%	0.00%	0.23%	0.64%	0.87%	0.00%	0.25%	0.66%	0.00%	0.00%	0.00%	0.06%	0.00%	0.18%	0.37%	0.21%	0.00%	0.00%	0.00%	0.72%	1.77%	0.66%	0.10%	0.22%	0.29%	0.37%	0.00%	1.26%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.00%	1.17%	0.00%	0.18%	0.00%	0.00%	0.36%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	612	7	11	10	8	10	30	1	16	11	23	29	8	10	15	7	1	14	30	0	0	9	1	6	8	13	16	12	10	0	5	10	5	2	12	7	12	5	0	0	5	13	2	12	7	2	3	0	13	0	6	12	28	5	11	16	16	15	0	3	11	21	21	0	12	1	0	3	0									
		0.75%	0.53%	1.17%	0.81%	1.66%	0.83%	1.99%	0.11%	3.38%	2.48%	1.42%	4.07%	1.62%	0.92%	0.88%	0.53%	0.07%	0.99%	2.60%	0.00%	0.00%	0.51%	0.08%	0.42%	0.64%	1.00%	2.01%	0.99%	0.86%	0.00%	0.47%	0.63%	0.54%	0.12%	0.64%	0.48%	0.97%	0.43%	0.00%	0.00%	1.77%	1.73%	0.20%	0.87%	0.41%	0.12%	0.19%	0.00%	0.96%	0.00%	0.52%	0.64%	1.35%	0.81%	0.89%	0.92%	0.77%	0.89%	0.00%	0.39%	0.95%	1.20%	1.29%	0.00%	0.70%	0.83%	0.00%	1.08%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	111	0	11	0	1	0	2	1	0	0	1	1	2	0	0	2	0	0	0	0	0	1	1	4	4	0	0	34	0	0	0	0	0	5	1	3	0	0	0	0	1	2	1	2	17	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	8	0	3	0	1	0	0									
		0.14%	0.00%	1.17%	0.00%	0.21%	0.00%	0.13%	0.11%	0.00%	0.00%	0.06%	0.14%	0.40%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.08%	0.28%	0.32%	0.00%	0.00%	2.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.05%	0.21%	0.00%	0.00%	0.00%	0.00%	0.35%	0.27%	0.10%	0.14%	0.99%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.13%	0.00%	0.00%	0.49%	0.00%	0.18%	0.00%	0.61%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	623	0	18	0	11	17	52	7	29	31	33	45	18	0	0	18	0	0	0	3	21	2	18	4	8	0	18	6	0	0	0	2	0	2	39	3	0	0	8	15	14	20	15	10	14	15	2	17	0	0	0	0	0	13	0	18	0	0	0	5	0	0	47	0	2	0	0	2	1									
		0.76%	0.00%	1.91%	0.00%	2.28%	1.41%	3.46%	0.78%	6.13%	6.98%	2.04%	6.31%	3.64%	0.00%	0.00%	1.37%	0.00%	0.00%	0.00%	0.20%	1.32%	0.11%	1.37%	0.28%	0.64%	0.00%	2.26%	0.50%	0.00%	0.00%	0.00%	0.13%	0.00%	0.12%	2.07%	0.21%	0.00%	0.00%	0.61%	1.20%	4.95%	2.66%	1.47%	0.72%	0.82%	0.93%	0.13%	3.07%	0.00%	0.00%	0.00%	0.00%	0.00%	2.11%	0.00%	1.04%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	2.89%	0.00%	0.12%	0.00%	0.00%	0.72%	2.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	11455	91	118	284	61	183	123	133	66	62	218	99	55	159	267	182	244	188	165	213	207	247	184	150	168	181	79	115	164	188	134	217	120	2	350	202	173	240	183	174	41	55	142	170	223	226	228	76	219	430	242	393	290	119	152	276	440	235	170	107	163	239	147	90	153	2	19	15	4									
		13.99%	6.93%	12.54%	22.96%	12.66%	15.15%	8.19%	14.84%	13.95%	13.96%	13.47%	13.88%	11.13%	14.68%	15.72%	13.86%	18.13%	13.38%	14.29%	14.38%	12.98%	13.98%	13.96%	10.60%	13.35%	13.98%	9.90%	9.49%	14.03%	19.54%	12.52%	13.75%	12.90%	0.12%	18.59%	13.97%	13.99%	20.87%	13.92%	13.98%	14.49%	7.30%	13.95%	12.30%	13.03%	14.00%	14.64%	13.72%	16.09%	20.98%	20.95%	20.90%	13.99%	19.29%	12.26%	15.94%	21.04%	13.96%	13.93%	13.95%	14.00%	13.69%	9.05%	7.81%	8.97%	1.67%	11.59%	5.40%	8.89%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	666	0	1	0	6	8	12	7	6	4	6	6	6	0	0	3	0	0	0	3	0	5	4	8	7	0	4	45	0	0	0	1	0	1	7	12	0	66	15	0	5	5	6	11	14	2	6	0	0	118	66	108	0	34	11	0	14	0	0	1	0	0	17	0	2	1	2	0	0									
		0.81%	0.00%	0.11%	0.00%	1.24%	0.66%	0.80%	0.78%	1.27%	0.90%	0.37%	0.84%	1.21%	0.00%	0.00%	0.23%	0.00%	0.00%	0.00%	0.20%	0.00%	0.28%	0.30%	0.57%	0.56%	0.00%	0.50%	3.71%	0.00%	0.00%	0.00%	0.06%	0.00%	0.06%	0.37%	0.83%	0.00%	5.74%	1.14%	0.00%	1.77%	0.66%	0.59%	0.80%	0.82%	0.12%	0.39%	0.00%	0.00%	5.76%	5.71%	5.74%	0.00%	5.51%	0.89%	0.00%	0.67%	0.00%	0.00%	0.13%	0.00%	0.00%	1.05%	0.00%	0.12%	0.83%	1.22%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	6144	67	91	103	28	107	61	73	39	40	120	75	48	98	164	119	89	122	32	127	159	175	132	50	115	130	67	119	117	0	94	148	85	1	176	144	125	16	131	125	19	41	102	115	164	161	158	45	134	16	4	37	201	0	0	168	89	168	122	77	116	130	96	123	120	1	12	11	2									
		7.50%	5.10%	9.67%	8.33%	5.81%	8.86%	4.06%	8.15%	8.25%	9.01%	7.42%	10.52%	9.72%	9.05%	9.66%	9.06%	6.61%	8.68%	2.77%	8.58%	9.97%	9.90%	10.02%	3.53%	9.14%	10.04%	8.40%	9.82%	10.01%	0.00%	8.79%	9.38%	9.14%	0.06%	9.35%	9.96%	10.11%	1.39%	9.96%	10.04%	6.71%	5.44%	10.02%	8.32%	9.58%	9.98%	10.15%	8.12%	9.85%	0.78%	0.35%	1.97%	9.70%	0.00%	0.00%	9.70%	4.26%	9.98%	10.00%	10.04%	9.97%	7.45%	5.91%	10.68%	7.03%	0.83%	7.32%	3.96%	4.44%									
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
																																																																															
