Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																									
Дата голосования: 18.09.2016																																																																																									
																																																																																									
Наименование Избирательной комиссии:    Орехово-Зуевская																																																																																									
																																																																																									
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																									
																																																																																									
		Сумма	УИК №2164	УИК №2165	УИК №2166	УИК №2167	УИК №2168	УИК №2169	УИК №2170	УИК №2171	УИК №2172	УИК №2173	УИК №2174	УИК №2175	УИК №2176	УИК №2177	УИК №2178	УИК №2179	УИК №2180	УИК №2181	УИК №2182	УИК №2183	УИК №2184	УИК №2185	УИК №2186	УИК №2187	УИК №2188	УИК №2189	УИК №2190	УИК №2191	УИК №2192	УИК №2193	УИК №2194	УИК №2195	УИК №2196	УИК №2197	УИК №2198	УИК №2199	УИК №2200	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1755	40	50	30	30	30	30	30	30	30	30	40	40	15	30	30	30	30	30	30	30	30	20	25	30	30	40	10	5	20	10	10	20	10	10	10	20	20	10	10	10	10	30	20	30	30	30	30	10	40	40	5	10	60	80	20	10	10	10	10	10	20	15	10	10	5	10	5	30	40	30	5	5	20	20	10	20	10	10									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1113	31	13	25	30	30	30	16	26	26	3	15	13	5	29	23	21	24	7	20	21	16	3	20	18	26	27	7	0	13	10	1	14	5	6	5	18	11	6	4	3	6	24	20	30	25	21	7	5	37	28	1	8	50	34	6	7	6	0	3	2	11	15	0	9	5	10	0	14	33	23	4	3	20	11	3	4	6	1									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	888	16	15	9	10	3	7	7	14	13	9	9	7	9	10	6	4	11	8	18	6	7	5	7	20	24	7	17	20	9	6	5	28	11	6	26	19	21	5	5	5	9	12	19	4	7	5	4	17	48	40	27	1	8	15	11	10	9	9	12	7	15	10	6	6	2	7	4	10	31	13	4	14	15	6	5	2	10	10									
14	Число погашенных неиспользованных открепительных удостоверений	642	9	37	5	0	0	0	14	4	4	27	25	27	10	1	7	9	6	23	10	9	14	17	5	12	4	13	3	5	7	0	9	6	5	4	5	2	9	4	6	7	4	6	0	0	5	9	23	5	3	12	4	2	10	46	14	3	4	10	7	8	9	0	10	1	0	0	5	16	7	7	1	2	0	9	7	16	4	9									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	245	6	0	7	8	1	8	3	6	7	1	3	2	0	9	8	7	10	6	5	6	3	4	2	5	8	8	4	1	1	1	0	3	1	0	0	2	1	0	1	1	2	1	1	4	6	3	3	4	7	6	0	1	6	8	4	1	1	0	0	0	0	2	0	2	0	0	0	1	20	6	0	1	2	0	1	2	0	1									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																									
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	557	12	8	6	15	11	19	11	13	12	1	9	4	7	10	17	8	11	6	20	13	9	10	22	15	16	7	2	2	7	6	1	11	3	0	2	4	6	4	4	4	3	7	5	8	10	9	10	0	17	26	1	4	1	10	3	0	3	2	0	0	6	2	2	3	0	4	2	9	22	12	1	6	1	5	7	1	5	2									
		1.72%	1.72%	1.16%	0.98%	2.06%	1.66%	2.45%	3.16%	1.82%	1.48%	0.26%	2.29%	1.41%	1.57%	1.47%	2.20%	1.14%	1.31%	0.74%	2.69%	1.75%	2.57%	2.27%	2.56%	1.89%	1.49%	1.34%	1.68%	2.11%	1.85%	1.78%	1.30%	1.92%	1.71%	0.00%	1.30%	1.20%	2.13%	2.76%	2.80%	2.90%	1.41%	1.68%	1.46%	1.17%	1.45%	1.55%	1.64%	0.00%	2.03%	2.54%	0.56%	2.16%	0.17%	1.62%	1.43%	0.00%	2.78%	1.20%	0.00%	0.00%	3.39%	1.53%	1.89%	1.37%	0.00%	2.23%	1.89%	1.56%	2.78%	1.80%	0.66%	3.68%	0.39%	2.43%	3.61%	0.66%	1.95%	1.52%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	926	18	17	16	19	24	20	12	15	20	6	8	8	8	12	20	20	20	30	23	23	4	13	27	14	36	12	3	3	19	19	4	13	7	1	5	15	8	6	1	5	7	15	10	15	27	20	16	5	21	45	3	8	4	20	8	3	3	3	2	2	5	6	6	2	1	12	3	20	15	17	6	7	7	2	6	9	10	1									
		2.86%	2.58%	2.46%	2.61%	2.61%	3.63%	2.58%	3.45%	2.09%	2.46%	1.59%	2.04%	2.83%	1.79%	1.76%	2.59%	2.84%	2.38%	3.69%	3.09%	3.10%	1.14%	2.95%	3.15%	1.76%	3.35%	2.30%	2.52%	3.16%	5.03%	5.62%	5.19%	2.26%	4.00%	1.75%	3.25%	4.50%	2.84%	4.14%	0.70%	3.62%	3.29%	3.60%	2.92%	2.19%	3.92%	3.44%	2.63%	2.30%	2.51%	4.39%	1.69%	4.32%	0.68%	3.23%	3.81%	2.52%	2.78%	1.81%	1.89%	2.99%	2.82%	4.58%	5.66%	0.91%	1.96%	6.70%	2.83%	3.47%	1.90%	2.55%	3.95%	4.29%	2.76%	0.97%	3.09%	5.96%	3.91%	0.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	860	22	15	21	9	19	20	7	27	20	4	9	6	17	18	19	23	23	17	22	20	18	12	22	20	17	21	7	3	10	6	1	14	1	0	4	8	7	5	3	2	9	9	9	21	27	15	19	9	22	19	2	2	19	19	2	5	1	4	2	1	7	2	2	11	1	7	6	7	28	17	4	6	6	4	4	4	6	3									
		2.66%	3.16%	2.17%	3.43%	1.23%	2.87%	2.58%	2.01%	3.77%	2.46%	1.06%	2.29%	2.12%	3.81%	2.64%	2.46%	3.27%	2.73%	2.09%	2.96%	2.69%	5.14%	2.72%	2.56%	2.52%	1.58%	4.02%	5.88%	3.16%	2.65%	1.78%	1.30%	2.44%	0.57%	0.00%	2.60%	2.40%	2.48%	3.45%	2.10%	1.45%	4.23%	2.16%	2.62%	3.06%	3.92%	2.58%	3.12%	4.15%	2.63%	1.86%	1.12%	1.08%	3.22%	3.07%	0.95%	4.20%	0.93%	2.41%	1.89%	1.49%	3.95%	1.53%	1.89%	5.02%	1.96%	3.91%	5.66%	1.21%	3.54%	2.55%	2.63%	3.68%	2.36%	1.94%	2.06%	2.65%	2.34%	2.27%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	15063	339	336	298	347	322	348	179	316	371	180	211	149	225	327	332	299	364	343	312	303	156	186	386	367	528	236	40	35	157	132	37	297	79	31	76	151	128	65	68	68	76	187	158	321	298	276	286	86	346	366	95	65	357	334	75	45	69	94	76	36	83	60	57	117	28	90	64	301	354	337	82	72	135	102	121	76	141	73									
		46.54%	48.64%	48.55%	48.61%	47.60%	48.71%	44.85%	51.44%	44.13%	45.69%	47.62%	53.69%	52.65%	50.45%	47.95%	42.95%	42.53%	43.28%	42.14%	41.94%	40.78%	44.57%	42.18%	44.99%	46.22%	49.16%	45.21%	33.61%	36.84%	41.53%	39.05%	48.05%	51.74%	45.14%	54.39%	49.35%	45.35%	45.39%	44.83%	47.55%	49.28%	35.68%	44.84%	46.06%	46.79%	43.31%	47.50%	46.96%	39.63%	41.34%	35.74%	53.37%	35.14%	60.51%	53.96%	35.71%	37.82%	63.89%	56.63%	71.70%	53.73%	46.89%	45.80%	53.77%	53.42%	54.90%	50.28%	60.38%	52.17%	44.75%	50.60%	53.95%	44.17%	53.15%	49.51%	62.37%	50.33%	55.08%	55.30%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	329	10	7	4	5	9	10	3	11	11	2	4	2	3	10	15	9	8	7	5	2	5	3	11	9	7	2	0	0	3	1	0	5	0	0	3	7	3	1	2	3	3	5	4	10	5	6	8	1	10	15	2	2	2	6	0	0	1	0	0	1	1	0	0	3	0	0	0	5	11	8	3	1	3	4	1	3	1	2									
		1.02%	1.43%	1.01%	0.65%	0.69%	1.36%	1.29%	0.86%	1.54%	1.35%	0.53%	1.02%	0.71%	0.67%	1.47%	1.94%	1.28%	0.95%	0.86%	0.67%	0.27%	1.43%	0.68%	1.28%	1.13%	0.65%	0.38%	0.00%	0.00%	0.79%	0.30%	0.00%	0.87%	0.00%	0.00%	1.95%	2.10%	1.06%	0.69%	1.40%	2.17%	1.41%	1.20%	1.17%	1.46%	0.73%	1.03%	1.31%	0.46%	1.19%	1.46%	1.12%	1.08%	0.34%	0.97%	0.00%	0.00%	0.93%	0.00%	0.00%	1.49%	0.56%	0.00%	0.00%	1.37%	0.00%	0.00%	0.00%	0.87%	1.39%	1.20%	1.97%	0.61%	1.18%	1.94%	0.52%	1.99%	0.39%	1.52%									
24	"6. Политическая партия ""Гражданская Платформа"""	75	2	2	3	0	3	0	0	3	3	2	1	1	1	3	1	2	3	1	0	2	0	3	0	2	2	0	0	0	0	1	1	1	1	0	0	0	0	0	1	0	2	2	0	1	0	2	0	0	0	3	0	1	1	2	0	0	2	0	0	0	0	0	1	0	0	1	0	2	3	3	1	1	0	0	0	0	2	0									
		0.23%	0.29%	0.29%	0.49%	0.00%	0.45%	0.00%	0.00%	0.42%	0.37%	0.53%	0.25%	0.35%	0.22%	0.44%	0.13%	0.28%	0.36%	0.12%	0.00%	0.27%	0.00%	0.68%	0.00%	0.25%	0.19%	0.00%	0.00%	0.00%	0.00%	0.30%	1.30%	0.17%	0.57%	0.00%	0.00%	0.00%	0.00%	0.00%	0.70%	0.00%	0.94%	0.48%	0.00%	0.15%	0.00%	0.34%	0.00%	0.00%	0.00%	0.29%	0.00%	0.54%	0.17%	0.32%	0.00%	0.00%	1.85%	0.00%	0.00%	0.00%	0.00%	0.00%	0.94%	0.00%	0.00%	0.56%	0.00%	0.35%	0.38%	0.45%	0.66%	0.61%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5093	111	96	95	118	112	162	49	115	102	68	53	41	48	126	123	100	134	113	112	126	54	62	132	126	154	80	30	20	59	42	10	94	29	10	19	58	51	27	19	21	26	52	55	116	126	102	102	44	139	161	20	23	76	93	32	34	9	35	9	10	22	35	16	29	5	23	19	98	112	119	21	24	39	35	23	31	49	28									
		15.74%	15.93%	13.87%	15.50%	16.19%	16.94%	20.88%	14.08%	16.06%	12.56%	17.99%	13.49%	14.49%	10.76%	18.48%	15.91%	14.22%	15.93%	13.88%	15.05%	16.96%	15.43%	14.06%	15.38%	15.87%	14.34%	15.33%	25.21%	21.05%	15.61%	12.43%	12.99%	16.38%	16.57%	17.54%	12.34%	17.42%	18.09%	18.62%	13.29%	15.22%	12.21%	12.47%	16.03%	16.91%	18.31%	17.56%	16.75%	20.28%	16.61%	15.72%	11.24%	12.43%	12.88%	15.02%	15.24%	28.57%	8.33%	21.08%	8.49%	14.93%	12.43%	26.72%	15.09%	13.24%	9.80%	12.85%	17.92%	16.98%	14.16%	17.87%	13.82%	14.72%	15.35%	16.99%	11.86%	20.53%	19.14%	21.21%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	219	3	2	6	6	1	6	0	4	9	3	7	5	4	8	9	9	5	5	4	1	0	6	7	3	5	1	0	0	1	0	0	0	1	0	0	2	5	1	1	0	3	2	2	4	11	6	1	1	4	10	0	8	5	1	0	0	0	1	1	2	2	0	0	0	0	1	0	2	4	8	1	1	1	2	1	0	2	2									
		0.68%	0.43%	0.29%	0.98%	0.82%	0.15%	0.77%	0.00%	0.56%	1.11%	0.79%	1.78%	1.77%	0.90%	1.17%	1.16%	1.28%	0.59%	0.61%	0.54%	0.13%	0.00%	1.36%	0.82%	0.38%	0.47%	0.19%	0.00%	0.00%	0.26%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.60%	1.77%	0.69%	0.70%	0.00%	1.41%	0.48%	0.58%	0.58%	1.60%	1.03%	0.16%	0.46%	0.48%	0.98%	0.00%	4.32%	0.85%	0.16%	0.00%	0.00%	0.00%	0.60%	0.94%	2.99%	1.13%	0.00%	0.00%	0.00%	0.00%	0.56%	0.00%	0.35%	0.51%	1.20%	0.66%	0.61%	0.39%	0.97%	0.52%	0.00%	0.78%	1.52%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	367	5	9	4	8	9	10	0	17	17	7	3	4	4	4	9	9	10	5	6	10	4	3	11	5	5	2	0	1	9	6	0	3	1	0	2	7	2	0	3	3	3	9	5	12	11	11	11	4	11	9	0	2	4	11	2	0	1	1	1	0	3	1	0	0	0	0	1	5	9	11	0	1	0	3	3	1	2	2									
		1.13%	0.72%	1.30%	0.65%	1.10%	1.36%	1.29%	0.00%	2.37%	2.09%	1.85%	0.76%	1.41%	0.90%	0.59%	1.16%	1.28%	1.19%	0.61%	0.81%	1.35%	1.14%	0.68%	1.28%	0.63%	0.47%	0.38%	0.00%	1.05%	2.38%	1.78%	0.00%	0.52%	0.57%	0.00%	1.30%	2.10%	0.71%	0.00%	2.10%	2.17%	1.41%	2.16%	1.46%	1.75%	1.60%	1.89%	1.81%	1.84%	1.31%	0.88%	0.00%	1.08%	0.68%	1.78%	0.95%	0.00%	0.93%	0.60%	0.94%	0.00%	1.69%	0.76%	0.00%	0.00%	0.00%	0.00%	0.94%	0.87%	1.14%	1.65%	0.00%	0.61%	0.00%	1.46%	1.55%	0.66%	0.78%	1.52%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	50	0	0	0	0	2	1	0	0	2	0	0	0	6	2	1	0	1	0	0	0	1	1	0	2	0	2	0	0	0	2	0	1	0	0	1	0	0	0	0	0	0	0	0	1	2	0	0	0	2	1	0	2	0	6	1	0	0	0	0	1	1	0	1	0	0	1	0	3	0	0	0	0	1	0	1	0	1	0									
		0.15%	0.00%	0.00%	0.00%	0.00%	0.30%	0.13%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	1.35%	0.29%	0.13%	0.00%	0.12%	0.00%	0.00%	0.00%	0.29%	0.23%	0.00%	0.25%	0.00%	0.38%	0.00%	0.00%	0.00%	0.59%	0.00%	0.17%	0.00%	0.00%	0.65%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.15%	0.29%	0.00%	0.00%	0.00%	0.24%	0.10%	0.00%	1.08%	0.00%	0.97%	0.48%	0.00%	0.00%	0.00%	0.00%	1.49%	0.56%	0.00%	0.94%	0.00%	0.00%	0.56%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.39%	0.00%	0.52%	0.00%	0.39%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	518	15	14	11	17	12	7	5	21	20	10	5	3	4	17	16	9	17	18	13	8	5	8	24	7	18	8	0	0	3	4	0	3	5	0	2	4	1	4	5	0	9	6	3	8	15	8	10	6	13	15	3	3	6	4	3	1	0	0	1	0	1	2	1	6	2	4	2	7	9	7	0	2	6	3	2	1	5	1									
		1.60%	2.15%	2.02%	1.79%	2.33%	1.82%	0.90%	1.44%	2.93%	2.46%	2.65%	1.27%	1.06%	0.90%	2.49%	2.07%	1.28%	2.02%	2.21%	1.75%	1.08%	1.43%	1.81%	2.80%	0.88%	1.68%	1.53%	0.00%	0.00%	0.79%	1.18%	0.00%	0.52%	2.86%	0.00%	1.30%	1.20%	0.35%	2.76%	3.50%	0.00%	4.23%	1.44%	0.87%	1.17%	2.18%	1.38%	1.64%	2.76%	1.55%	1.46%	1.69%	1.62%	1.02%	0.65%	1.43%	0.84%	0.00%	0.00%	0.94%	0.00%	0.56%	1.53%	0.94%	2.74%	3.92%	2.23%	1.89%	1.21%	1.14%	1.05%	0.00%	1.23%	2.36%	1.46%	1.03%	0.66%	1.95%	0.76%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5250	108	101	98	125	91	109	52	101	146	58	49	41	30	98	133	140	168	174	143	152	59	78	140	135	181	106	31	24	64	61	12	72	39	8	21	47	49	22	19	22	51	87	60	98	105	79	84	38	173	261	37	53	76	78	23	24	5	15	11	11	27	15	12	25	12	27	8	74	155	59	5	30	39	24	13	18	18	13									
		16.22%	15.49%	14.60%	15.99%	17.15%	13.77%	14.05%	14.94%	14.11%	17.98%	15.34%	12.47%	14.49%	6.73%	14.37%	17.21%	19.91%	19.98%	21.38%	19.22%	20.46%	16.86%	17.69%	16.32%	17.00%	16.85%	20.31%	26.05%	25.26%	16.93%	18.05%	15.58%	12.54%	22.29%	14.04%	13.64%	14.11%	17.38%	15.17%	13.29%	15.94%	23.94%	20.86%	17.49%	14.29%	15.26%	13.60%	13.79%	17.51%	20.67%	25.49%	20.79%	28.65%	12.88%	12.60%	10.95%	20.17%	4.63%	9.04%	10.38%	16.42%	15.25%	11.45%	11.32%	11.42%	23.53%	15.08%	7.55%	12.82%	19.60%	8.86%	3.29%	18.40%	15.35%	11.65%	6.70%	11.92%	7.03%	9.85%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	147	4	2	0	3	1	3	3	6	6	3	2	1	2	4	3	2	3	2	6	2	4	2	3	1	2	1	1	0	6	0	1	2	0	0	1	2	2	0	0	0	0	2	1	3	2	2	2	3	1	4	1	0	2	5	0	0	0	0	0	0	2	1	1	0	0	0	0	2	5	1	15	2	1	2	0	0	1	0									
		0.45%	0.57%	0.29%	0.00%	0.41%	0.15%	0.39%	0.86%	0.84%	0.74%	0.79%	0.51%	0.35%	0.45%	0.59%	0.39%	0.28%	0.36%	0.25%	0.81%	0.27%	1.14%	0.45%	0.35%	0.13%	0.19%	0.19%	0.84%	0.00%	1.59%	0.00%	1.30%	0.35%	0.00%	0.00%	0.65%	0.60%	0.71%	0.00%	0.00%	0.00%	0.00%	0.48%	0.29%	0.44%	0.29%	0.34%	0.33%	1.38%	0.12%	0.39%	0.56%	0.00%	0.34%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.13%	0.76%	0.94%	0.00%	0.00%	0.00%	0.00%	0.35%	0.63%	0.15%	9.87%	1.23%	0.39%	0.97%	0.00%	0.00%	0.39%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1401	26	28	19	22	27	23	8	40	30	19	18	9	20	24	33	22	33	44	35	41	12	31	33	55	46	32	4	5	20	41	6	32	6	4	12	11	7	4	11	6	13	18	16	38	30	21	38	12	42	43	1	6	18	18	2	5	8	6	2	2	8	3	4	13	1	4	0	21	33	35	9	7	6	4	5	6	4	0									
		4.33%	3.73%	4.05%	3.10%	3.02%	4.08%	2.96%	2.30%	5.59%	3.69%	5.03%	4.58%	3.18%	4.48%	3.52%	4.27%	3.13%	3.92%	5.41%	4.70%	5.52%	3.43%	7.03%	3.85%	6.93%	4.28%	6.13%	3.36%	5.26%	5.29%	12.13%	7.79%	5.57%	3.43%	7.02%	7.79%	3.30%	2.48%	2.76%	7.69%	4.35%	6.10%	4.32%	4.66%	5.54%	4.36%	3.61%	6.24%	5.53%	5.02%	4.20%	0.56%	3.24%	3.05%	2.91%	0.95%	4.20%	7.41%	3.61%	1.89%	2.99%	4.52%	2.29%	3.77%	5.94%	1.96%	2.23%	0.00%	3.64%	4.17%	5.26%	5.92%	4.29%	2.36%	1.94%	2.58%	3.97%	1.56%	0.00%									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
																																																																																									
