Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																											
Дата голосования: 18.09.2016																																																											
																																																											
"Наименование Избирательной комиссии:    Челябинск, Центральная"																																																											
																																																											
Сводная таблица итогов голосования по федеральному избирательному округу																																																											
																																																											
		Сумма	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №819	УИК №820	УИК №821	УИК №822	УИК №823	УИК №824	УИК №825	УИК №826	УИК №827	УИК №828	УИК №2251	УИК №2258	УИК №2401									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	646	15	15	14	10	4	15	14	11	26	6	26	20	12	3	6	12	12	5	11	12	11	17	24	19	23	12	17	15	21	5	13	11	8	16	23	17	5	12	24	15	12	6	7	17	6	7	22	12									
		2.11%	2.40%	1.82%	2.25%	2.04%	0.68%	2.36%	1.70%	1.67%	2.46%	1.38%	2.58%	2.45%	2.21%	0.55%	1.15%	1.96%	2.98%	1.06%	2.01%	2.08%	2.01%	2.36%	3.43%	2.73%	2.44%	2.26%	1.94%	2.28%	2.15%	1.21%	1.60%	1.52%	2.13%	1.80%	2.16%	2.84%	1.69%	1.41%	3.58%	2.06%	1.45%	0.84%	3.47%	4.86%	3.33%	4.40%	2.44%	2.98%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	672	19	23	17	15	8	15	20	10	33	9	19	7	18	8	14	11	9	7	11	0	12	22	20	10	6	15	22	26	19	14	20	9	5	26	23	21	10	15	14	17	10	6	6	20	2	6	16	7									
		2.19%	3.04%	2.78%	2.73%	3.07%	1.36%	2.36%	2.43%	1.52%	3.12%	2.07%	1.88%	0.86%	3.31%	1.47%	2.68%	1.79%	2.23%	1.48%	2.01%	0.00%	2.19%	3.06%	2.86%	1.44%	0.64%	2.82%	2.51%	3.96%	1.95%	3.39%	2.46%	1.24%	1.33%	2.92%	2.16%	3.51%	3.38%	1.76%	2.09%	2.34%	1.21%	0.84%	2.97%	5.71%	1.11%	3.77%	1.77%	1.74%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	9063	201	234	159	142	207	173	221	195	301	126	310	250	148	149	146	256	124	160	180	133	123	187	191	220	305	144	278	173	228	118	256	218	119	249	362	166	85	243	193	226	258	219	71	116	81	51	247	121									
		29.60%	32.16%	28.33%	25.52%	29.04%	35.20%	27.20%	26.82%	29.55%	28.45%	28.97%	30.75%	30.60%	27.26%	27.39%	27.97%	41.76%	30.77%	33.90%	32.91%	23.09%	22.49%	25.97%	27.29%	31.65%	32.41%	27.12%	31.74%	26.33%	23.36%	28.57%	31.49%	30.11%	31.73%	27.98%	33.93%	27.71%	28.72%	28.52%	28.81%	31.04%	31.20%	30.59%	35.15%	33.14%	45.00%	32.08%	27.35%	30.02%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	752	12	12	25	7	13	13	13	29	26	6	29	11	6	8	16	8	9	17	16	14	13	12	22	21	30	15	39	13	15	10	26	24	4	20	37	21	6	16	7	10	31	19	3	5	1	1	28	13									
		2.46%	1.92%	1.45%	4.01%	1.43%	2.21%	2.04%	1.58%	4.39%	2.46%	1.38%	2.88%	1.35%	1.10%	1.47%	3.07%	1.31%	2.23%	3.60%	2.93%	2.43%	2.38%	1.67%	3.14%	3.02%	3.19%	2.82%	4.45%	1.98%	1.54%	2.42%	3.20%	3.31%	1.07%	2.25%	3.47%	3.51%	2.03%	1.88%	1.04%	1.37%	3.75%	2.65%	1.49%	1.43%	0.56%	0.63%	3.10%	3.23%									
24	"6. Политическая партия ""Гражданская Платформа"""	89	3	2	0	3	0	2	2	2	4	2	1	1	0	4	3	2	4	2	3	0	2	6	1	1	4	1	4	0	0	1	1	4	0	0	3	4	0	2	3	3	0	3	2	2	0	0	2	0									
		0.29%	0.48%	0.24%	0.00%	0.61%	0.00%	0.31%	0.24%	0.30%	0.38%	0.46%	0.10%	0.12%	0.00%	0.74%	0.57%	0.33%	0.99%	0.42%	0.55%	0.00%	0.37%	0.83%	0.14%	0.14%	0.43%	0.19%	0.46%	0.00%	0.00%	0.24%	0.12%	0.55%	0.00%	0.00%	0.28%	0.67%	0.00%	0.23%	0.45%	0.41%	0.00%	0.42%	0.99%	0.57%	0.00%	0.00%	0.22%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4133	91	121	79	58	81	88	91	72	90	62	121	93	49	72	45	87	67	53	73	57	76	78	99	101	160	63	94	83	134	52	69	119	40	113	172	76	44	97	89	217	139	111	34	45	23	30	143	82									
		13.50%	14.56%	14.65%	12.68%	11.86%	13.78%	13.84%	11.04%	10.91%	8.51%	14.25%	12.00%	11.38%	9.02%	13.24%	8.62%	14.19%	16.63%	11.23%	13.35%	9.90%	13.89%	10.83%	14.14%	14.53%	17.00%	11.86%	10.73%	12.63%	13.73%	12.59%	8.49%	16.44%	10.67%	12.70%	16.12%	12.69%	14.86%	11.38%	13.28%	29.81%	16.81%	15.50%	16.83%	12.86%	12.78%	18.87%	15.84%	20.35%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	715	14	20	11	4	11	11	15	18	17	13	34	14	10	10	11	11	8	13	19	18	14	17	14	19	21	12	23	8	28	8	20	16	11	25	16	19	6	22	21	11	28	30	0	2	3	0	32	7									
		2.34%	2.24%	2.42%	1.77%	0.82%	1.87%	1.73%	1.82%	2.73%	1.61%	2.99%	3.37%	1.71%	1.84%	1.84%	2.11%	1.79%	1.99%	2.75%	3.47%	3.13%	2.56%	2.36%	2.00%	2.73%	2.23%	2.26%	2.63%	1.22%	2.87%	1.94%	2.46%	2.21%	2.93%	2.81%	1.50%	3.17%	2.03%	2.58%	3.13%	1.51%	3.39%	4.19%	0.00%	0.57%	1.67%	0.00%	3.54%	1.74%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	760	15	12	5	11	20	8	24	12	28	12	24	25	19	13	29	11	5	6	11	18	19	25	21	21	22	24	14	23	24	8	14	19	11	15	37	10	5	25	18	5	18	34	2	5	1	1	20	11									
		2.48%	2.40%	1.45%	0.80%	2.25%	3.40%	1.26%	2.91%	1.82%	2.65%	2.76%	2.38%	3.06%	3.50%	2.39%	5.56%	1.79%	1.24%	1.27%	2.01%	3.13%	3.47%	3.47%	3.00%	3.02%	2.34%	4.52%	1.60%	3.50%	2.46%	1.94%	1.72%	2.62%	2.93%	1.69%	3.47%	1.67%	1.69%	2.93%	2.69%	0.69%	2.18%	4.75%	0.99%	1.43%	0.56%	0.63%	2.21%	2.73%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	63	1	0	0	2	0	0	5	4	4	2	3	1	0	1	0	1	0	4	0	0	2	0	0	2	0	0	1	2	2	1	0	1	0	1	4	0	1	2	0	1	4	4	0	1	0	0	5	1									
		0.21%	0.16%	0.00%	0.00%	0.41%	0.00%	0.00%	0.61%	0.61%	0.38%	0.46%	0.30%	0.12%	0.00%	0.18%	0.00%	0.16%	0.00%	0.85%	0.00%	0.00%	0.37%	0.00%	0.00%	0.29%	0.00%	0.00%	0.11%	0.30%	0.20%	0.24%	0.00%	0.14%	0.00%	0.11%	0.37%	0.00%	0.34%	0.23%	0.00%	0.14%	0.48%	0.56%	0.00%	0.29%	0.00%	0.00%	0.55%	0.25%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	2193	48	37	34	27	48	40	54	59	126	45	76	62	52	28	69	32	15	38	47	67	38	88	57	45	48	49	48	48	94	22	85	63	27	72	54	35	19	61	43	19	52	49	9	7	4	3	39	11									
		7.16%	7.68%	4.48%	5.46%	5.52%	8.16%	6.29%	6.55%	8.94%	11.91%	10.34%	7.54%	7.59%	9.58%	5.15%	13.22%	5.22%	3.72%	8.05%	8.59%	11.63%	6.95%	12.22%	8.14%	6.47%	5.10%	9.23%	5.48%	7.31%	9.63%	5.33%	10.46%	8.70%	7.20%	8.09%	5.06%	5.84%	6.42%	7.16%	6.42%	2.61%	6.29%	6.84%	4.46%	2.00%	2.22%	1.89%	4.32%	2.73%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4162	77	125	73	74	70	85	132	104	162	71	125	109	85	71	77	75	48	52	54	104	101	105	90	83	94	80	139	128	167	59	125	93	56	129	125	71	43	127	66	57	75	73	23	65	15	24	119	57									
		13.59%	12.32%	15.13%	11.72%	15.13%	11.90%	13.36%	16.02%	15.76%	15.31%	16.32%	12.40%	13.34%	15.65%	13.05%	14.75%	12.23%	11.91%	11.02%	9.87%	18.06%	18.46%	14.58%	12.86%	11.94%	9.99%	15.07%	15.87%	19.48%	17.11%	14.29%	15.38%	12.85%	14.93%	14.49%	11.72%	11.85%	14.53%	14.91%	9.85%	7.83%	9.07%	10.20%	11.39%	18.57%	8.33%	15.09%	13.18%	14.14%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	159	3	3	2	6	2	3	3	3	2	2	4	3	4	3	4	5	3	2	1	5	1	2	2	2	14	3	2	3	3	1	5	8	2	8	10	3	0	4	3	4	0	3	1	1	2	1	6	2									
		0.52%	0.48%	0.36%	0.32%	1.23%	0.34%	0.47%	0.36%	0.45%	0.19%	0.46%	0.40%	0.37%	0.74%	0.55%	0.77%	0.82%	0.74%	0.42%	0.18%	0.87%	0.18%	0.28%	0.29%	0.29%	1.49%	0.56%	0.23%	0.46%	0.31%	0.24%	0.62%	1.10%	0.53%	0.90%	0.94%	0.50%	0.00%	0.47%	0.45%	0.55%	0.00%	0.42%	0.50%	0.29%	1.11%	0.63%	0.66%	0.50%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5824	109	190	177	102	97	158	193	117	194	63	176	170	122	153	83	66	80	74	94	103	116	139	119	130	171	89	156	113	199	92	147	105	71	175	156	138	53	183	155	110	166	118	41	58	38	28	169	68									
		19.02%	17.44%	23.00%	28.41%	20.86%	16.50%	24.84%	23.42%	17.73%	18.34%	14.48%	17.46%	20.81%	22.47%	28.13%	15.90%	10.77%	19.85%	15.68%	17.18%	17.88%	21.21%	19.31%	17.00%	18.71%	18.17%	16.76%	17.81%	17.20%	20.39%	22.28%	18.08%	14.50%	18.93%	19.66%	14.62%	23.04%	17.91%	21.48%	23.13%	15.11%	20.07%	16.48%	20.30%	16.57%	21.11%	17.61%	18.72%	16.87%									
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
																																																											
