Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №8																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1674	УИК №1675	УИК №1676	УИК №1677	УИК №1678	УИК №1679	УИК №1680	УИК №1681	УИК №1682	УИК №1683	УИК №1684	УИК №1685	УИК №1686	УИК №1687	УИК №1688	УИК №1689	УИК №1690	УИК №1691	УИК №1692	УИК №1693	УИК №1694	УИК №1695	УИК №1696	УИК №1697	УИК №1698	УИК №1699	УИК №1700	УИК №1701	УИК №1702	УИК №1706	УИК №1707	УИК №1708	УИК №1709	УИК №1710	УИК №1711	УИК №1712	УИК №1713	УИК №1714	УИК №1715	УИК №1716	УИК №1717	УИК №1718	УИК №1719	УИК №1720	УИК №1721	УИК №1722	УИК №1723									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1795	35	35	35	35	35	35	35	0	35	35	50	35	35	20	35	35	35	35	40	35	35	35	35	35	35	230	35	15	0	55	35	55	35	35	35	35	35	35	35	35	35	45	25	35	35	35	35									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	1145	9	17	23	9	6	24	21	0	25	24	49	29	31	9	10	19	25	19	7	33	16	28	23	17	12	222	33	9	0	50	9	51	12	9	27	21	35	10	15	13	18	44	21	16	14	20	11									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	692	15	8	9	14	5	7	9	0	18	15	8	36	22	10	16	16	11	14	14	14	9	14	12	11	14	29	19	45	92	5	8	22	8	14	11	9	12	8	12	28	12	5	7	5	4	7	9									
14	Число погашенных неиспользованных открепительных удостоверений	650	26	18	12	26	29	11	14	0	10	11	1	6	4	11	25	16	10	16	33	2	19	7	12	18	23	8	2	6	0	5	26	4	23	26	8	14	0	25	20	22	17	1	4	19	21	15	24									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	202	2	0	0	2	0	5	2	0	0	3	40	7	27	3	1	4	1	1	0	4	2	4	1	5	3	31	2	1	0	2	2	4	2	2	5	1	6	4	2	0	3	4	8	1	0	2	3									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																										
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	926	10	16	25	15	6	14	27	2	26	41	20	30	42	25	26	32	35	19	15	35	24	19	18	15	21	38	32	20	10	23	5	36	7	13	13	17	16	17	5	18	17	37	21	4	9	8	2									
		2.65%	2.31%	5.28%	3.34%	3.04%	2.86%	2.19%	3.61%	0.90%	2.82%	4.74%	1.77%	2.88%	2.98%	3.20%	3.16%	3.41%	3.81%	2.39%	3.46%	3.26%	2.68%	1.87%	1.79%	2.14%	2.61%	1.69%	2.64%	3.62%	3.07%	2.18%	2.19%	3.40%	1.31%	2.99%	2.30%	2.47%	2.11%	2.68%	1.00%	3.21%	3.26%	3.63%	3.32%	0.70%	1.68%	1.36%	0.57%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	617	9	3	15	9	6	16	18	0	19	12	19	20	19	15	9	6	24	15	9	14	16	19	24	10	11	29	17	7	9	11	4	13	17	7	12	17	17	16	10	11	10	23	15	7	12	13	3									
		1.77%	2.08%	0.99%	2.00%	1.82%	2.86%	2.51%	2.41%	0.00%	2.06%	1.39%	1.68%	1.92%	1.35%	1.92%	1.09%	0.64%	2.61%	1.88%	2.08%	1.30%	1.79%	1.87%	2.38%	1.43%	1.37%	1.29%	1.40%	1.27%	2.76%	1.04%	1.75%	1.23%	3.19%	1.61%	2.12%	2.47%	2.25%	2.52%	2.00%	1.96%	1.92%	2.26%	2.37%	1.22%	2.24%	2.20%	0.86%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	852	15	10	11	15	5	19	10	4	21	23	23	25	29	24	19	23	24	20	3	33	21	24	24	28	29	23	31	4	4	24	7	33	9	10	12	17	20	14	20	11	17	31	10	21	16	24	12									
		2.44%	3.47%	3.30%	1.47%	3.04%	2.38%	2.98%	1.34%	1.79%	2.28%	2.66%	2.03%	2.40%	2.06%	3.07%	2.31%	2.45%	2.61%	2.51%	0.69%	3.07%	2.35%	2.37%	2.38%	4.00%	3.60%	1.03%	2.56%	0.72%	1.23%	2.27%	3.07%	3.12%	1.69%	2.30%	2.12%	2.47%	2.64%	2.20%	4.00%	1.96%	3.26%	3.05%	1.58%	3.67%	2.99%	4.07%	3.44%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	14975	170	122	317	204	97	249	299	154	432	333	489	406	710	302	351	389	370	302	293	428	382	428	387	266	335	1422	471	138	157	428	93	422	212	195	233	315	294	264	181	229	192	402	255	242	216	256	143									
		42.89%	39.35%	40.26%	42.32%	41.30%	46.19%	39.03%	40.03%	69.06%	46.80%	38.50%	43.24%	38.93%	50.43%	38.62%	42.70%	41.47%	40.31%	37.94%	67.67%	39.81%	42.68%	42.21%	38.39%	38.00%	41.61%	63.43%	38.89%	25.00%	48.16%	40.57%	40.79%	39.89%	39.77%	44.93%	41.24%	45.85%	38.84%	41.57%	36.20%	40.89%	36.78%	39.49%	40.28%	42.31%	40.30%	43.39%	40.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	481	8	3	15	3	1	12	18	2	5	15	12	12	20	16	10	8	10	14	2	17	8	18	13	9	10	24	29	12	3	17	2	8	8	6	8	8	12	3	3	2	12	23	13	7	5	6	9									
		1.38%	1.85%	0.99%	2.00%	0.61%	0.48%	1.88%	2.41%	0.90%	0.54%	1.73%	1.06%	1.15%	1.42%	2.05%	1.22%	0.85%	1.09%	1.76%	0.46%	1.58%	0.89%	1.78%	1.29%	1.29%	1.24%	1.07%	2.39%	2.17%	0.92%	1.61%	0.88%	0.76%	1.50%	1.38%	1.42%	1.16%	1.59%	0.47%	0.60%	0.36%	2.30%	2.26%	2.05%	1.22%	0.93%	1.02%	2.58%									
24	"6. Политическая партия ""Гражданская Платформа"""	81	1	0	1	0	0	0	2	1	3	5	2	3	5	0	2	1	4	1	3	1	4	2	2	3	1	5	3	4	0	2	0	4	2	1	0	0	1	2	1	0	2	1	5	1	0	0	0									
		0.23%	0.23%	0.00%	0.13%	0.00%	0.00%	0.00%	0.27%	0.45%	0.33%	0.58%	0.18%	0.29%	0.36%	0.00%	0.24%	0.11%	0.44%	0.13%	0.69%	0.09%	0.45%	0.20%	0.20%	0.43%	0.12%	0.22%	0.25%	0.72%	0.00%	0.19%	0.00%	0.38%	0.38%	0.23%	0.00%	0.00%	0.13%	0.31%	0.20%	0.00%	0.38%	0.10%	0.79%	0.17%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4499	66	46	93	64	23	89	83	15	131	94	151	129	231	121	80	116	102	97	23	152	112	123	98	78	74	260	153	45	54	171	32	141	62	52	85	91	116	79	82	75	67	142	95	83	81	96	46									
		12.89%	15.28%	15.18%	12.42%	12.96%	10.95%	13.95%	11.11%	6.73%	14.19%	10.87%	13.35%	12.37%	16.41%	15.47%	9.73%	12.37%	11.11%	12.19%	5.31%	14.14%	12.51%	12.13%	9.72%	11.14%	9.19%	11.60%	12.63%	8.15%	16.56%	16.21%	14.04%	13.33%	11.63%	11.98%	15.04%	13.25%	15.32%	12.44%	16.40%	13.39%	12.84%	13.95%	15.01%	14.51%	15.11%	16.27%	13.18%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	580	4	6	13	6	7	14	18	0	12	15	30	18	24	12	15	25	18	10	2	15	19	23	22	8	12	22	16	54	3	12	1	10	13	4	10	8	14	6	8	5	13	10	9	4	2	3	5									
		1.66%	0.93%	1.98%	1.74%	1.21%	3.33%	2.19%	2.41%	0.00%	1.30%	1.73%	2.65%	1.73%	1.70%	1.53%	1.82%	2.67%	1.96%	1.26%	0.46%	1.40%	2.12%	2.27%	2.18%	1.14%	1.49%	0.98%	1.32%	9.78%	0.92%	1.14%	0.44%	0.95%	2.44%	0.92%	1.77%	1.16%	1.85%	0.94%	1.60%	0.89%	2.49%	0.98%	1.42%	0.70%	0.37%	0.51%	1.43%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	2558	21	24	47	31	6	47	65	7	56	84	89	82	58	61	79	90	84	74	3	89	78	92	105	62	88	54	115	42	19	61	20	88	50	34	38	40	52	39	34	52	38	72	51	40	37	32	28									
		7.33%	4.86%	7.92%	6.28%	6.28%	2.86%	7.37%	8.70%	3.14%	6.07%	9.71%	7.87%	7.86%	4.12%	7.80%	9.61%	9.59%	9.15%	9.30%	0.69%	8.28%	8.72%	9.07%	10.42%	8.86%	10.93%	2.41%	9.50%	7.61%	5.83%	5.78%	8.77%	8.32%	9.38%	7.83%	6.73%	5.82%	6.87%	6.14%	6.80%	9.29%	7.28%	7.07%	8.06%	6.99%	6.90%	5.42%	8.02%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	92	3	0	0	2	1	2	1	0	4	2	3	3	4	4	2	4	1	6	1	0	3	5	2	1	4	2	2	3	0	2	0	5	2	0	0	1	2	3	2	0	0	3	3	1	2	1	0									
		0.26%	0.69%	0.00%	0.00%	0.40%	0.48%	0.31%	0.13%	0.00%	0.43%	0.23%	0.27%	0.29%	0.28%	0.51%	0.24%	0.43%	0.11%	0.75%	0.23%	0.00%	0.34%	0.49%	0.20%	0.14%	0.50%	0.09%	0.17%	0.54%	0.00%	0.19%	0.00%	0.47%	0.38%	0.00%	0.00%	0.15%	0.26%	0.47%	0.40%	0.00%	0.00%	0.29%	0.47%	0.17%	0.37%	0.17%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1980	35	13	50	40	14	51	39	4	36	69	63	69	51	47	75	62	58	54	8	61	61	57	85	52	60	66	69	109	4	51	18	41	32	16	26	29	32	40	19	27	42	24	30	24	21	27	19									
		5.67%	8.10%	4.29%	6.68%	8.10%	6.67%	7.99%	5.22%	1.79%	3.90%	7.98%	5.57%	6.62%	3.62%	6.01%	9.12%	6.61%	6.32%	6.78%	1.85%	5.67%	6.82%	5.62%	8.43%	7.43%	7.45%	2.94%	5.70%	19.75%	1.23%	4.83%	7.89%	3.88%	6.00%	3.69%	4.60%	4.22%	4.23%	6.30%	3.80%	4.82%	8.05%	2.36%	4.74%	4.20%	3.92%	4.58%	5.44%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4428	48	46	100	74	23	85	82	4	105	121	140	146	130	93	101	121	107	110	6	160	108	128	155	105	106	183	173	77	35	153	29	136	71	64	82	79	109	88	87	87	74	145	77	76	81	67	51									
		12.68%	11.11%	15.18%	13.35%	14.98%	10.95%	13.32%	10.98%	1.79%	11.38%	13.99%	12.38%	13.99%	9.23%	11.89%	12.29%	12.90%	11.66%	13.82%	1.39%	14.88%	12.07%	12.62%	15.38%	15.00%	13.17%	8.16%	14.29%	13.95%	10.74%	14.50%	12.72%	12.85%	13.32%	14.75%	14.51%	11.50%	14.40%	13.86%	17.40%	15.54%	14.18%	14.24%	12.16%	13.29%	15.11%	11.36%	14.61%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	137	3	1	2	4	1	4	5	0	4	2	5	3	9	2	1	3	5	0	1	1	1	10	8	1	4	4	4	1	2	5	0	4	2	1	2	2	4	0	2	0	1	3	5	12	1	1	1									
		0.39%	0.69%	0.33%	0.27%	0.81%	0.48%	0.63%	0.67%	0.00%	0.43%	0.23%	0.44%	0.29%	0.64%	0.26%	0.12%	0.32%	0.54%	0.00%	0.23%	0.09%	0.11%	0.99%	0.79%	0.14%	0.50%	0.18%	0.33%	0.18%	0.61%	0.47%	0.00%	0.38%	0.38%	0.23%	0.35%	0.29%	0.53%	0.00%	0.40%	0.00%	0.19%	0.29%	0.79%	2.10%	0.19%	0.17%	0.29%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1430	18	9	32	14	14	20	24	1	24	30	35	46	35	22	30	26	40	41	7	38	30	35	35	34	27	53	49	24	14	57	10	84	35	16	31	46	39	40	20	28	21	54	32	31	26	33	20									
		4.10%	4.17%	2.97%	4.27%	2.83%	6.67%	3.13%	3.21%	0.45%	2.60%	3.47%	3.09%	4.41%	2.49%	2.81%	3.65%	2.77%	4.36%	5.15%	1.62%	3.53%	3.35%	3.45%	3.47%	4.86%	3.35%	2.36%	4.05%	4.35%	4.29%	5.40%	4.39%	7.94%	6.57%	3.69%	5.49%	6.70%	5.15%	6.30%	4.00%	5.00%	4.02%	5.30%	5.06%	5.42%	4.85%	5.59%	5.73%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
