Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																						
Дата голосования: 02.12.2007																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Воронеж, Левобережная"																																																																																						
																																																																																						
Сводная таблица результатов выборов																																																																																						
																																																																																						
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2207	20	20	20	40	30	30	25	35	25	35	20	34	50	94	20	20	20	20	25	20	20	15	25	15	20	16	15	22	26	37	15	35	23	30	30	23	18	15	131	115	77	25	38	23	23	22	40	40	25	39	20	20	19	20	21	30	23	35	27	20	20	20	15	20	20	20	30	20	20	20	25	25	20	11	16	7	23	20	19					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1884	20	20	19	33	27	24	25	27	25	35	19	34	50	93	19	20	20	20	17	20	20	15	23	15	20	16	15	21	26	34	14	35	23	30	30	23	18	15	33	15	28	25	38	22	23	20	40	40	25	39	20	14	19	20	21	23	23	35	26	20	20	14	15	20	15	20	30	20	20	20	25	25	20	8	14	7	23	20	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	2442	93	46	13	27	20	3	6	13	443	0	17	12	9	22	16	25	15	10	13	14	15	35	8	15	19	17	11	11	22	23	19	25	26	21	11	18	9	21	13	20	29	19	16	6	14	23	27	17	18	755	16	18	18	15	11	9	8	11	13	12	14	8	8	10	20	16	11	8	8	15	4	21	14	11	4	10	7	9	13					
14	Число погашенных неиспользованных открепительных удостоверений	323	0	0	1	7	3	6	0	8	0	0	1	0	0	1	1	0	0	0	8	0	0	0	2	0	0	0	0	1	0	3	1	0	0	0	0	0	0	0	98	100	49	0	0	1	0	2	0	0	0	0	0	6	0	0	0	7	0	0	1	0	0	6	0	0	5	0	0	0	0	0	0	0	0	3	2	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	23	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2	0	0	1	1	3	0	0	1	1	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																						
18	1.Политическая партия «Аграрная партия России»	2231	35	22	26	31	23	26	21	29	44	34	28	35	29	40	35	26	16	24	19	33	24	12	27	49	22	12	13	27	25	30	26	22	33	31	49	22	30	27	33	19	57	31	22	16	29	40	27	42	41	50	30	20	23	32	32	27	33	41	30	24	44	24	17	37	28	28	37	41	21	26	18	25	24	10	9	3	23	14	46					
		2.42%	2.76%	1.91%	3.94%	2.41%	2.00%	2.44%	1.99%	2.29%	2.64%	2.50%	2.42%	2.85%	2.39%	2.75%	2.70%	1.80%	1.34%	2.19%	2.90%	1.97%	2.07%	1.93%	2.17%	3.90%	1.86%	1.72%	1.82%	2.10%	2.27%	2.30%	3.23%	1.60%	2.11%	2.37%	3.48%	1.84%	3.15%	3.35%	2.50%	1.99%	4.28%	2.77%	1.99%	2.24%	2.15%	3.23%	1.99%	2.94%	2.67%	2.33%	2.36%	1.88%	2.60%	2.54%	2.41%	1.95%	2.93%	3.48%	2.28%	1.98%	3.06%	2.03%	2.40%	2.67%	2.49%	2.23%	2.32%	2.86%	2.76%	2.37%	2.23%	1.96%	1.94%	2.58%	2.67%	0.84%	1.91%	1.15%	3.24%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1259	16	11	3	13	16	17	21	14	16	18	8	18	10	19	14	15	13	12	14	21	7	12	16	25	16	12	4	26	26	13	8	20	35	21	32	18	17	24	21	10	32	11	19	16	25	30	20	22	33	30	18	9	21	19	19	9	24	11	27	13	10	17	7	10	12	12	21	11	17	9	4	15	8	0	2	3	17	9	15					
		1.37%	1.26%	0.95%	0.45%	1.01%	1.39%	1.60%	1.99%	1.11%	0.96%	1.32%	0.69%	1.47%	0.82%	1.30%	1.08%	1.04%	1.09%	1.09%	2.14%	1.25%	0.60%	1.93%	1.28%	1.99%	1.35%	1.72%	0.56%	2.02%	2.36%	0.99%	0.99%	1.45%	2.24%	1.60%	2.27%	1.50%	1.78%	2.97%	1.59%	1.05%	2.40%	0.98%	1.72%	2.24%	1.85%	2.42%	1.48%	1.54%	2.15%	1.40%	1.42%	0.84%	2.38%	1.51%	1.43%	0.65%	2.13%	0.93%	2.05%	1.07%	0.70%	1.44%	0.99%	0.72%	1.07%	0.95%	1.32%	0.77%	2.23%	0.82%	0.50%	1.17%	0.65%	0.00%	0.59%	0.84%	1.41%	0.74%	1.06%					
20	3.Политическая партия «Демократическая партия России»	148	0	3	2	3	0	1	3	2	2	1	0	1	1	0	1	3	2	1	2	3	3	0	0	3	1	4	0	5	1	4	1	4	2	0	4	2	3	0	1	4	3	3	1	1	4	2	2	4	5	4	1	1	1	3	0	1	2	0	0	2	5	2	2	3	1	3	2	2	0	2	2	1	1	0	0	3	0	2	4					
		0.16%	0.00%	0.26%	0.30%	0.23%	0.00%	0.09%	0.28%	0.16%	0.12%	0.07%	0.00%	0.08%	0.08%	0.00%	0.08%	0.21%	0.17%	0.09%	0.31%	0.18%	0.26%	0.00%	0.00%	0.24%	0.08%	0.57%	0.00%	0.39%	0.09%	0.31%	0.12%	0.29%	0.13%	0.00%	0.28%	0.17%	0.31%	0.00%	0.08%	0.42%	0.23%	0.27%	0.09%	0.14%	0.30%	0.16%	0.15%	0.28%	0.33%	0.19%	0.08%	0.09%	0.11%	0.24%	0.00%	0.07%	0.18%	0.00%	0.00%	0.16%	0.35%	0.17%	0.28%	0.22%	0.09%	0.24%	0.13%	0.14%	0.00%	0.18%	0.25%	0.08%	0.08%	0.00%	0.00%	0.84%	0.00%	0.16%	0.28%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	21876	313	292	203	321	301	280	272	337	411	274	295	341	318	337	269	377	314	271	119	337	201	160	348	311	302	145	158	386	303	372	198	368	446	362	378	279	211	168	325	196	252	273	240	165	334	278	360	362	336	492	285	205	212	266	261	293	296	296	315	293	388	291	218	305	285	289	416	325	169	298	142	222	233	52	47	57	163	199	364					
		23.73%	24.72%	25.35%	30.76%	24.98%	26.22%	26.32%	25.76%	26.62%	24.67%	20.15%	25.50%	27.81%	26.17%	23.13%	20.72%	26.07%	26.32%	24.70%	18.17%	20.10%	17.30%	25.68%	27.91%	24.74%	25.49%	20.80%	22.16%	30.02%	27.50%	28.53%	24.63%	26.76%	28.57%	27.65%	26.87%	23.31%	22.14%	20.82%	24.66%	20.55%	18.92%	24.35%	21.76%	23.14%	24.78%	22.44%	26.57%	25.31%	21.88%	22.91%	22.41%	19.23%	23.98%	21.09%	19.64%	21.12%	26.24%	25.15%	23.97%	24.15%	26.98%	24.62%	30.79%	22.04%	25.31%	22.99%	26.08%	22.66%	22.21%	27.12%	17.62%	17.38%	18.88%	13.40%	13.95%	15.97%	13.52%	16.39%	25.67%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	632	6	11	3	2	6	6	7	16	14	6	2	4	7	12	6	8	4	5	5	9	8	1	18	8	5	3	4	14	15	12	5	8	18	12	14	13	10	10	7	4	14	11	12	8	23	10	11	12	7	18	9	3	5	9	8	6	6	14	7	5	19	11	1	4	6	4	13	4	4	3	2	6	8	2	3	0	3	7	6					
		0.69%	0.47%	0.95%	0.45%	0.16%	0.52%	0.56%	0.66%	1.26%	0.84%	0.44%	0.17%	0.33%	0.58%	0.82%	0.46%	0.55%	0.34%	0.46%	0.76%	0.54%	0.69%	0.16%	1.44%	0.64%	0.42%	0.43%	0.56%	1.09%	1.36%	0.92%	0.62%	0.58%	1.15%	0.92%	0.99%	1.09%	1.05%	1.24%	0.53%	0.42%	1.05%	0.98%	1.09%	1.12%	1.71%	0.81%	0.81%	0.84%	0.46%	0.84%	0.71%	0.28%	0.57%	0.71%	0.60%	0.43%	0.53%	1.19%	0.53%	0.41%	1.32%	0.93%	0.14%	0.29%	0.53%	0.32%	0.82%	0.28%	0.53%	0.27%	0.25%	0.47%	0.65%	0.52%	0.89%	0.00%	0.25%	0.58%	0.42%					
23	6.Политическая партия «Партия социальной справедливости»	221	6	4	0	5	0	4	2	4	7	1	0	4	2	0	3	2	4	1	3	3	4	1	4	4	2	1	2	0	1	3	0	3	0	1	3	1	0	5	5	2	5	3	2	0	10	4	2	1	7	7	3	0	12	4	1	2	0	0	1	3	5	4	3	2	1	8	0	2	4	2	6	6	4	1	4	1	1	0	3					
		0.24%	0.47%	0.35%	0.00%	0.39%	0.00%	0.38%	0.19%	0.32%	0.42%	0.07%	0.00%	0.33%	0.16%	0.00%	0.23%	0.14%	0.34%	0.09%	0.46%	0.18%	0.34%	0.16%	0.32%	0.32%	0.17%	0.14%	0.28%	0.00%	0.09%	0.23%	0.00%	0.22%	0.00%	0.08%	0.21%	0.08%	0.00%	0.62%	0.38%	0.21%	0.38%	0.27%	0.18%	0.00%	0.74%	0.32%	0.15%	0.07%	0.46%	0.33%	0.24%	0.00%	1.36%	0.32%	0.08%	0.14%	0.00%	0.00%	0.08%	0.25%	0.35%	0.34%	0.42%	0.14%	0.09%	0.64%	0.00%	0.14%	0.53%	0.18%	0.74%	0.47%	0.32%	0.26%	1.19%	0.28%	0.08%	0.00%	0.21%					
24	7.Политическая партия «Либерально-демократическая партия России»	12813	164	160	74	206	168	163	143	195	215	230	154	170	171	246	271	178	137	192	188	338	348	64	124	137	142	105	128	146	117	137	100	153	152	128	144	122	120	95	154	115	147	132	134	68	123	136	124	153	158	214	178	152	121	195	164	249	160	155	176	124	220	121	95	251	128	208	292	204	107	132	108	240	267	109	55	57	258	206	198					
		13.90%	12.95%	13.89%	11.21%	16.03%	14.63%	15.32%	13.54%	15.40%	12.91%	16.91%	13.31%	13.87%	14.07%	16.88%	20.88%	12.31%	11.48%	17.50%	28.70%	20.16%	29.95%	10.27%	9.94%	10.90%	11.98%	15.06%	17.95%	11.35%	10.62%	10.51%	12.44%	11.13%	9.74%	9.78%	10.23%	10.19%	12.59%	11.77%	11.68%	12.05%	11.04%	11.78%	12.15%	9.54%	9.12%	10.98%	9.15%	10.70%	10.29%	9.96%	13.99%	14.26%	13.69%	15.46%	12.34%	17.95%	14.18%	13.17%	13.39%	10.22%	15.30%	10.24%	13.42%	18.14%	11.37%	16.55%	18.31%	14.23%	14.06%	12.01%	13.40%	18.79%	21.64%	28.09%	16.32%	15.97%	21.39%	16.97%	13.96%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7662	86	79	62	91	129	107	99	93	155	118	90	94	109	128	90	119	78	81	38	143	83	56	121	132	108	51	56	121	91	103	52	122	178	118	105	125	65	81	125	80	136	86	98	71	116	115	144	141	144	171	110	114	67	103	155	84	96	79	108	122	86	121	48	121	90	76	93	108	60	78	60	91	85	32	33	31	67	78	82					
		8.31%	6.79%	6.86%	9.39%	7.08%	11.24%	10.06%	9.38%	7.35%	9.30%	8.68%	7.78%	7.67%	8.97%	8.79%	6.93%	8.23%	6.54%	7.38%	5.80%	8.53%	7.14%	8.99%	9.70%	10.50%	9.11%	7.32%	7.85%	9.41%	8.26%	7.90%	6.47%	8.87%	11.40%	9.01%	7.46%	10.44%	6.82%	10.04%	9.48%	8.39%	10.21%	7.67%	8.88%	9.96%	8.61%	9.28%	10.63%	9.86%	9.38%	7.96%	8.65%	10.69%	7.58%	8.17%	11.66%	6.06%	8.51%	6.71%	8.22%	10.06%	5.98%	10.24%	6.78%	8.74%	7.99%	6.05%	5.83%	7.53%	7.88%	7.10%	7.44%	7.13%	6.89%	8.25%	9.79%	8.68%	5.56%	6.43%	5.78%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	774	16	10	6	22	6	12	3	11	15	12	17	11	5	12	11	15	14	10	5	11	4	6	8	10	20	3	4	8	14	11	10	13	24	10	15	6	8	13	5	15	13	14	5	5	23	6	12	12	10	11	10	4	19	10	11	3	11	10	11	12	9	5	3	10	5	9	13	9	4	2	8	12	10	4	3	2	11	7	5					
		0.84%	1.26%	0.87%	0.91%	1.71%	0.52%	1.13%	0.28%	0.87%	0.90%	0.88%	1.47%	0.90%	0.41%	0.82%	0.85%	1.04%	1.17%	0.91%	0.76%	0.66%	0.34%	0.96%	0.64%	0.80%	1.69%	0.43%	0.56%	0.62%	1.27%	0.84%	1.24%	0.95%	1.54%	0.76%	1.07%	0.50%	0.84%	1.61%	0.38%	1.57%	0.98%	1.25%	0.45%	0.70%	1.71%	0.48%	0.89%	0.84%	0.65%	0.51%	0.79%	0.38%	2.15%	0.79%	0.83%	0.22%	0.98%	0.85%	0.84%	0.99%	0.63%	0.42%	0.42%	0.72%	0.44%	0.72%	0.82%	0.63%	0.53%	0.18%	0.99%	0.94%	0.81%	1.03%	0.89%	0.56%	0.91%	0.58%	0.35%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	41754	599	529	260	574	468	407	451	533	755	622	522	524	533	617	556	655	565	470	251	738	444	284	533	539	523	343	323	505	457	571	359	606	607	570	608	543	460	352	588	468	619	515	528	329	610	564	599	631	750	1049	590	530	394	599	645	690	463	542	600	586	615	566	302	608	545	588	666	682	358	523	432	630	570	176	177	184	645	680	662					
		45.30%	47.31%	45.92%	39.39%	44.67%	40.77%	38.25%	42.71%	42.10%	45.32%	45.74%	45.12%	42.74%	43.87%	42.35%	42.84%	45.30%	47.36%	42.84%	38.32%	44.01%	38.21%	45.59%	42.74%	42.88%	44.14%	49.21%	45.30%	39.27%	41.47%	43.79%	44.65%	44.07%	38.89%	43.54%	43.21%	45.36%	48.27%	43.62%	44.61%	49.06%	46.47%	45.94%	47.87%	46.14%	45.25%	45.52%	44.21%	44.13%	48.83%	48.84%	46.38%	49.72%	44.57%	47.50%	48.53%	49.75%	41.05%	46.05%	45.66%	48.31%	42.77%	47.88%	42.66%	43.93%	48.40%	46.78%	41.76%	47.56%	47.04%	47.59%	53.60%	49.33%	46.19%	45.36%	52.52%	51.54%	53.48%	56.01%	46.69%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	1724	13	14	12	10	18	24	16	19	15	24	22	18	18	26	17	33	28	22	8	28	22	20	39	32	26	5	11	36	35	44	28	36	44	36	39	35	23	25	43	28	36	34	25	18	31	38	36	23	35	64	32	14	9	14	17	9	23	12	16	15	21	11	9	15	17	12	27	24	6	11	9	15	13	2	1	8	6	5	19					
		1.87%	1.03%	1.22%	1.82%	0.78%	1.57%	2.26%	1.52%	1.50%	0.90%	1.76%	1.90%	1.47%	1.48%	1.78%	1.31%	2.28%	2.35%	2.01%	1.22%	1.67%	1.89%	3.21%	3.13%	2.55%	2.19%	0.72%	1.54%	2.80%	3.18%	3.37%	3.48%	2.62%	2.82%	2.75%	2.77%	2.92%	2.41%	3.10%	3.26%	2.94%	2.70%	3.03%	2.27%	2.52%	2.30%	3.07%	2.66%	1.61%	2.28%	2.98%	2.52%	1.31%	1.02%	1.11%	1.28%	0.65%	2.04%	1.02%	1.22%	1.24%	1.46%	0.93%	1.27%	1.08%	1.51%	0.95%	1.69%	1.67%	0.79%	1.00%	1.12%	1.17%	1.05%	0.52%	0.30%	2.24%	0.50%	0.41%	1.34%					
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
