Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
"Наименование Избирательной комиссии:    Воронеж, Левобережная"																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №1101	УИК №1102	УИК №1103	УИК №1104	УИК №1105	УИК №1106	УИК №1107	УИК №1108	УИК №1109	УИК №1110	УИК №1111	УИК №1112	УИК №1113	УИК №1114	УИК №1115	УИК №1116	УИК №1117	УИК №1118	УИК №1119	УИК №1120	УИК №1121	УИК №1122	УИК №1123	УИК №1124	УИК №1125	УИК №1126	УИК №1127	УИК №1128	УИК №1129	УИК №1130	УИК №1131	УИК №1132	УИК №1133	УИК №1134	УИК №1135	УИК №1136	УИК №1137	УИК №1138	УИК №1139	УИК №1140	УИК №1141	УИК №1142	УИК №1143	УИК №1144	УИК №1145	УИК №1146	УИК №1147	УИК №1148	УИК №1149	УИК №1150	УИК №1151	УИК №1152	УИК №1153	УИК №1154	УИК №1155	УИК №1156	УИК №1157	УИК №1158	УИК №1159	УИК №1160	УИК №1161	УИК №1162	УИК №1163	УИК №1164	УИК №1165	УИК №1166	УИК №1167	УИК №1168	УИК №1169	УИК №1170	УИК №1171	УИК №1172	УИК №1173	УИК №1174	УИК №1175	УИК №1176	УИК №1177	УИК №1178	УИК №1179	УИК №1180					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3985	98	50	51	42	40	45	58	55	35	67	59	145	135	180	30	45	50	55	35	40	30	35	52	39	57	35	25	50	40	35	30	38	73	60	50	35	50	56	40	50	35	40	50	30	25	40	55	35	40	60	33	40	30	55	49	40	40	46	40	37	45	40	25	45	50	40	40	43	50	47	60	68	50	25	25	25	80	85	42	85					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	3514	92	48	50	35	35	36	50	53	34	59	46	139	135	173	25	38	50	43	33	40	25	25	42	31	40	29	21	48	36	35	22	38	65	56	42	27	47	46	38	39	33	36	37	26	25	39	48	35	38	44	33	34	30	49	44	27	36	42	35	34	38	31	16	36	41	38	27	43	47	40	50	61	50	25	21	17	64	64	37	77					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	3406	18	24	58	18	120	128	24	20	1221	8	17	20	20	24	26	19	23	51	26	13	17	24	13	54	38	14	18	25	28	93	73	21	22	26	59	69	20	20	22	18	74	22	34	15	35	18	108	50	36	12	14	6	24	19	12	16	19	18	23	23	18	23	7	9	17	9	18	17	19	13	6	20	22	12	7	10	4	14	9	22					
14	Число погашенных неиспользованных открепительных удостоверений	471	6	2	1	7	5	9	8	2	1	8	13	6	0	7	5	7	0	12	2	0	5	10	10	8	17	6	4	2	4	0	8	0	8	4	8	8	3	10	2	11	2	4	13	4	0	1	7	0	2	16	0	6	0	6	5	13	4	4	5	3	7	9	9	9	9	2	13	0	3	7	10	7	0	0	4	8	16	21	5	8					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	20	0	0	0	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	1	0	3	1	0	0	0	2	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	12753	147	175	197	109	135	128	130	159	231	160	148	191	152	167	153	176	148	164	94	146	179	91	203	152	168	95	126	203	182	185	122	170	224	236	206	189	203	215	156	154	246	140	141	98	195	195	220	238	232	221	157	146	160	145	218	114	128	118	136	176	151	147	70	155	144	201	159	162	194	150	112	187	163	52	52	79	133	162	146	141					
		16.10%	14.73%	16.71%	19.70%	13.66%	15.59%	14.30%	15.15%	17.93%	10.49%	15.64%	15.23%	18.09%	14.96%	13.92%	14.99%	18.35%	15.60%	15.83%	17.15%	14.41%	19.02%	18.38%	18.92%	15.56%	17.13%	13.93%	21.76%	18.30%	16.18%	16.85%	17.02%	14.77%	16.79%	19.06%	17.65%	19.11%	17.50%	21.59%	15.46%	16.21%	19.92%	14.86%	15.93%	16.70%	16.35%	18.12%	16.70%	18.62%	16.17%	19.52%	14.13%	16.04%	16.56%	14.20%	18.87%	12.15%	15.13%	12.25%	14.88%	16.42%	14.41%	14.07%	13.89%	16.18%	15.17%	18.51%	18.09%	14.97%	16.44%	13.59%	15.11%	16.37%	16.07%	14.61%	15.38%	18.99%	14.70%	15.14%	10.78%	14.70%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	9384	125	125	116	118	107	93	99	112	206	127	112	117	122	184	153	115	119	118	63	132	100	55	90	93	122	106	61	111	126	104	85	126	128	122	126	99	131	98	120	113	117	119	122	59	124	110	131	137	141	108	123	118	120	122	112	137	134	131	104	147	149	131	68	134	135	136	83	132	145	136	77	148	121	35	32	50	116	131	254	176					
		11.85%	12.53%	11.94%	11.60%	14.79%	12.36%	10.39%	11.54%	12.63%	9.35%	12.41%	11.52%	11.08%	12.01%	15.33%	14.99%	11.99%	12.54%	11.39%	11.50%	13.03%	10.63%	11.11%	8.39%	9.52%	12.44%	15.54%	10.54%	10.01%	11.20%	9.47%	11.85%	10.95%	9.60%	9.85%	10.80%	10.01%	11.29%	9.84%	11.89%	11.89%	9.47%	12.63%	13.79%	10.05%	10.39%	10.22%	9.95%	10.72%	9.83%	9.54%	11.07%	12.97%	12.42%	11.95%	9.70%	14.61%	15.84%	13.60%	11.38%	13.71%	14.22%	12.54%	13.49%	13.99%	14.23%	12.52%	9.44%	12.20%	12.29%	12.32%	10.39%	12.96%	11.93%	9.83%	9.47%	12.02%	12.82%	12.24%	18.76%	18.35%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	942	9	10	5	12	13	10	10	8	43	15	6	9	9	10	9	11	16	14	8	9	14	2	18	12	10	11	9	19	14	16	8	10	14	17	14	9	3	27	11	10	15	14	11	10	15	16	16	15	24	10	14	11	15	5	16	12	8	16	9	9	17	7	4	15	13	10	0	18	14	6	6	20	7	3	3	4	5	16	20	9					
		1.19%	0.90%	0.96%	0.50%	1.50%	1.50%	1.12%	1.17%	0.90%	1.95%	1.47%	0.62%	0.85%	0.89%	0.83%	0.88%	1.15%	1.69%	1.35%	1.46%	0.89%	1.49%	0.40%	1.68%	1.23%	1.02%	1.61%	1.55%	1.71%	1.24%	1.46%	1.12%	0.87%	1.05%	1.37%	1.20%	0.91%	0.26%	2.71%	1.09%	1.05%	1.21%	1.49%	1.24%	1.70%	1.26%	1.49%	1.21%	1.17%	1.67%	0.88%	1.26%	1.21%	1.55%	0.49%	1.39%	1.28%	0.95%	1.66%	0.98%	0.84%	1.62%	0.67%	0.79%	1.57%	1.37%	0.92%	0.00%	1.66%	1.19%	0.54%	0.81%	1.75%	0.69%	0.84%	0.89%	0.96%	0.55%	1.50%	1.48%	0.94%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	26344	330	330	325	260	243	290	300	298	559	355	367	375	348	379	294	314	316	379	178	321	307	175	381	367	372	241	218	402	397	375	233	406	493	445	391	292	371	285	349	295	364	316	282	183	404	323	441	449	485	411	392	281	336	374	353	306	274	351	324	375	396	363	216	346	311	377	338	417	429	421	188	311	297	99	58	94	237	319	479	268					
		33.25%	33.07%	31.52%	32.50%	32.58%	28.06%	32.40%	34.97%	33.60%	25.37%	34.70%	37.76%	35.51%	34.25%	31.58%	28.80%	32.74%	33.30%	36.58%	32.48%	31.69%	32.62%	35.35%	35.51%	37.56%	37.92%	35.34%	37.65%	36.25%	35.29%	34.15%	32.50%	35.27%	36.96%	35.95%	33.50%	29.52%	31.98%	28.61%	34.59%	31.05%	29.47%	33.55%	31.86%	31.18%	33.86%	30.02%	33.49%	35.13%	33.80%	36.31%	35.28%	30.88%	34.78%	36.63%	30.56%	32.62%	32.39%	36.45%	35.45%	34.98%	37.79%	34.74%	42.86%	36.12%	32.77%	34.71%	38.45%	38.54%	36.36%	38.13%	25.37%	27.23%	29.29%	27.81%	17.16%	22.60%	26.19%	29.81%	35.38%	27.95%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3094	32	33	22	18	24	23	28	28	51	33	30	32	28	35	34	40	35	34	15	33	35	31	54	39	43	35	21	58	73	49	34	52	65	79	60	44	65	75	51	43	48	52	37	36	76	72	64	71	77	73	57	28	31	30	60	39	40	30	40	23	31	32	17	24	36	30	29	38	34	30	15	36	23	5	2	12	23	14	32	33					
		3.91%	3.21%	3.15%	2.20%	2.26%	2.77%	2.57%	3.26%	3.16%	2.32%	3.23%	3.09%	3.03%	2.76%	2.92%	3.33%	4.17%	3.69%	3.28%	2.74%	3.26%	3.72%	6.26%	5.03%	3.99%	4.38%	5.13%	3.63%	5.23%	6.49%	4.46%	4.74%	4.52%	4.87%	6.38%	5.14%	4.45%	5.60%	7.53%	5.05%	4.53%	3.89%	5.52%	4.18%	6.13%	6.37%	6.69%	4.86%	5.56%	5.37%	6.45%	5.13%	3.08%	3.21%	2.94%	5.19%	4.16%	4.73%	3.12%	4.38%	2.15%	2.96%	3.06%	3.37%	2.51%	3.79%	2.76%	3.30%	3.51%	2.88%	2.72%	2.02%	3.15%	2.27%	1.40%	0.59%	2.88%	2.54%	1.31%	2.36%	3.44%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	25125	324	339	316	270	326	332	281	262	1078	317	296	313	337	399	364	281	296	306	181	353	268	136	303	297	240	184	137	296	301	352	211	364	374	321	341	335	372	278	303	319	421	285	278	184	348	329	422	340	440	298	346	311	278	329	356	307	243	297	282	327	290	353	126	263	287	310	260	298	352	334	332	425	369	157	187	171	373	400	399	315					
		31.71%	32.46%	32.38%	31.60%	33.83%	37.64%	37.09%	32.75%	29.54%	48.93%	30.99%	30.45%	29.64%	33.17%	33.25%	35.65%	29.30%	31.19%	29.54%	33.03%	34.85%	28.48%	27.47%	28.24%	30.40%	24.46%	26.98%	23.66%	26.69%	26.76%	32.06%	29.43%	31.62%	28.04%	25.93%	29.22%	33.87%	32.07%	27.91%	30.03%	33.58%	34.09%	30.25%	31.41%	31.35%	29.17%	30.58%	32.04%	26.60%	30.66%	26.33%	31.14%	34.18%	28.78%	32.22%	30.82%	32.73%	28.72%	30.84%	30.85%	30.50%	27.67%	33.78%	25.00%	27.45%	30.24%	28.55%	29.58%	27.54%	29.83%	30.25%	44.80%	37.22%	36.39%	44.10%	55.33%	41.11%	41.22%	37.38%	29.47%	32.85%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	451	7	13	4	4	6	6	4	6	7	3	5	7	7	7	8	2	7	3	2	1	10	1	7	8	6	3	5	8	8	4	5	10	10	6	14	4	10	8	7	4	9	7	4	4	7	14	10	2	17	6	5	2	7	6	8	9	3	3	7	4	3	5	1	3	5	6	0	7	1	6	1	6	2	1	0	1	4	4	6	8					
		0.57%	0.70%	1.24%	0.40%	0.50%	0.69%	0.67%	0.47%	0.68%	0.32%	0.29%	0.51%	0.66%	0.69%	0.58%	0.78%	0.21%	0.74%	0.29%	0.36%	0.10%	1.06%	0.20%	0.65%	0.82%	0.61%	0.44%	0.86%	0.72%	0.71%	0.36%	0.70%	0.87%	0.75%	0.48%	1.20%	0.40%	0.86%	0.80%	0.69%	0.42%	0.73%	0.74%	0.45%	0.68%	0.59%	1.30%	0.76%	0.16%	1.18%	0.53%	0.45%	0.22%	0.72%	0.59%	0.69%	0.96%	0.35%	0.31%	0.77%	0.37%	0.29%	0.48%	0.20%	0.31%	0.53%	0.55%	0.00%	0.65%	0.08%	0.54%	0.13%	0.53%	0.20%	0.28%	0.00%	0.24%	0.44%	0.37%	0.44%	0.83%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
