Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
"Наименование Избирательной комиссии:    Пермь, Орджоникидзевская"																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №3301	УИК №3302	УИК №3303	УИК №3304	УИК №3305	УИК №3306	УИК №3307	УИК №3308	УИК №3309	УИК №3310	УИК №3311	УИК №3312	УИК №3313	УИК №3314	УИК №3315	УИК №3316	УИК №3317	УИК №3318	УИК №3319	УИК №3320	УИК №3321	УИК №3322	УИК №3323	УИК №3324	УИК №3325	УИК №3326	УИК №3327	УИК №3328	УИК №3329	УИК №3330	УИК №3331	УИК №3332	УИК №3333	УИК №3334	УИК №3335	УИК №3336	УИК №3337	УИК №3338	УИК №3339	УИК №3340	УИК №3341	УИК №3342	УИК №3343	УИК №3344	УИК №3345	УИК №3346	УИК №3347	УИК №3348	УИК №3349	УИК №3350	УИК №3351	УИК №3352	УИК №3353	УИК №3354	УИК №3355	УИК №3356									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3640	70	70	70	2	75	75	70	70	75	75	75	75	70	70	75	75	75	70	70	70	75	75	70	3	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	75	50	30	50	50	75	75	75	75	75	60	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	837	9	11	14	0	13	17	8	18	13	17	21	20	10	14	24	17	21	26	21	17	24	22	22	0	15	13	14	3	10	9	10	18	20	6	10	15	24	11	20	29	8	19	18	15	11	13	5	32	25	25	32	15	13	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	589	7	7	5	1	6	5	2	10	4	43	17	19	10	4	6	9	3	7	13	6	2	10	5	5	11	12	6	9	34	20	5	15	36	17	6	15	45	37	13	4	7	1	16	12	2	13	2	6	3	3	6	2	5	13	0	7									
14	Число погашенных неиспользованных открепительных удостоверений	2803	61	59	56	2	62	58	62	52	62	58	54	55	60	56	51	58	54	44	49	53	51	53	48	3	60	62	61	72	65	66	65	57	55	69	65	60	51	64	55	46	67	56	57	35	19	37	45	43	50	50	43	60	47	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	89	0	0	1	0	0	3	0	1	0	1	0	42	2	1	3	1	0	3	2	3	0	2	1	0	0	0	1	0	1	3	0	3	1	0	0	2	3	1	0	2	3	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	554	5	10	7	1	9	11	7	13	9	7	9	20	11	8	11	12	17	18	7	20	13	21	9	0	11	7	3	4	7	11	6	15	9	7	12	11	19	7	15	11	7	15	10	9	2	6	5	5	14	11	22	18	10	7	0	3									
		1.67%	1.15%	1.88%	1.36%	1.41%	1.40%	1.43%	1.14%	2.23%	1.28%	1.06%	1.04%	1.44%	2.29%	1.57%	1.97%	1.47%	3.10%	3.40%	1.77%	2.96%	1.79%	2.55%	1.95%	0.00%	1.43%	0.75%	0.43%	1.15%	1.22%	1.81%	1.04%	2.61%	2.00%	1.52%	2.00%	1.45%	2.27%	1.19%	2.13%	1.56%	1.32%	2.15%	1.32%	1.51%	0.77%	1.30%	1.30%	0.76%	1.98%	1.58%	2.58%	2.87%	1.68%	1.85%	0.00%	1.59%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1041	20	16	11	0	21	16	15	23	29	20	21	83	17	19	19	29	13	12	14	21	12	22	10	4	27	24	21	9	11	21	16	12	12	14	20	12	28	15	21	26	14	26	20	18	10	21	11	27	32	19	32	22	14	8	2	9									
		3.14%	4.59%	3.01%	2.13%	0.00%	3.28%	2.09%	2.45%	3.94%	4.11%	3.02%	2.43%	5.98%	3.54%	3.74%	3.41%	3.55%	2.37%	2.26%	3.54%	3.11%	1.66%	2.67%	2.16%	6.56%	3.52%	2.58%	2.98%	2.59%	1.92%	3.45%	2.78%	2.09%	2.67%	3.03%	3.34%	1.59%	3.35%	2.56%	2.98%	3.69%	2.65%	3.72%	2.64%	3.02%	3.85%	4.57%	2.85%	4.10%	4.53%	2.73%	3.76%	3.50%	2.35%	2.12%	0.91%	4.76%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	758	12	9	18	0	19	16	12	9	14	24	26	10	4	13	16	18	11	14	11	20	12	12	10	2	18	26	19	7	18	14	9	11	12	10	19	11	26	10	17	16	10	15	10	18	6	8	15	18	23	17	19	13	13	12	1	5									
		2.29%	2.75%	1.69%	3.49%	0.00%	2.96%	2.09%	1.96%	1.54%	1.99%	3.62%	3.01%	0.72%	0.83%	2.56%	2.87%	2.20%	2.01%	2.64%	2.78%	2.96%	1.66%	1.45%	2.16%	3.28%	2.35%	2.79%	2.70%	2.01%	3.14%	2.30%	1.57%	1.91%	2.67%	2.16%	3.17%	1.45%	3.11%	1.71%	2.41%	2.27%	1.89%	2.15%	1.32%	3.02%	2.31%	1.74%	3.89%	2.73%	3.26%	2.44%	2.23%	2.07%	2.18%	3.17%	0.45%	2.65%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	13613	190	245	222	51	293	332	261	240	312	288	377	702	182	202	236	332	244	225	152	256	299	372	201	33	279	366	272	153	232	222	219	201	164	178	214	317	298	241	289	272	186	269	291	228	94	208	126	252	247	288	309	230	306	215	115	85									
		41.05%	43.58%	46.14%	43.02%	71.83%	45.71%	43.29%	42.58%	41.10%	44.26%	43.44%	43.63%	50.54%	37.92%	39.76%	42.29%	40.59%	44.53%	42.45%	38.38%	37.87%	41.24%	45.09%	43.51%	54.10%	36.38%	39.27%	38.64%	43.97%	40.49%	36.51%	38.09%	34.96%	36.44%	38.53%	35.73%	41.88%	35.65%	41.13%	41.05%	38.58%	35.16%	38.54%	38.44%	38.19%	36.15%	45.22%	32.64%	38.24%	34.99%	41.38%	36.27%	36.62%	51.34%	56.88%	52.27%	44.97%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	250	1	3	6	0	5	4	4	3	10	5	6	10	3	2	8	6	1	5	7	4	10	6	6	0	4	5	3	1	3	4	3	4	2	4	5	3	8	3	5	9	4	9	11	4	2	2	1	10	4	1	8	3	3	6	0	1									
		0.75%	0.23%	0.56%	1.16%	0.00%	0.78%	0.52%	0.65%	0.51%	1.42%	0.75%	0.69%	0.72%	0.63%	0.39%	1.43%	0.73%	0.18%	0.94%	1.77%	0.59%	1.38%	0.73%	1.30%	0.00%	0.52%	0.54%	0.43%	0.29%	0.52%	0.66%	0.52%	0.70%	0.44%	0.87%	0.83%	0.40%	0.96%	0.51%	0.71%	1.28%	0.76%	1.29%	1.45%	0.67%	0.77%	0.43%	0.26%	1.52%	0.57%	0.14%	0.94%	0.48%	0.50%	1.59%	0.00%	0.53%									
24	"6. Политическая партия ""Гражданская Платформа"""	66	1	0	1	0	0	2	0	3	0	0	2	4	3	2	0	1	1	1	1	3	2	3	1	0	4	1	1	0	2	1	1	0	0	1	1	0	1	1	2	0	3	1	2	3	0	1	0	1	0	1	0	2	1	3	1	0									
		0.20%	0.23%	0.00%	0.19%	0.00%	0.00%	0.26%	0.00%	0.51%	0.00%	0.00%	0.23%	0.29%	0.63%	0.39%	0.00%	0.12%	0.18%	0.19%	0.25%	0.44%	0.28%	0.36%	0.22%	0.00%	0.52%	0.11%	0.14%	0.00%	0.35%	0.16%	0.17%	0.00%	0.00%	0.22%	0.17%	0.00%	0.12%	0.17%	0.28%	0.00%	0.57%	0.14%	0.26%	0.50%	0.00%	0.22%	0.00%	0.15%	0.00%	0.14%	0.00%	0.32%	0.17%	0.79%	0.45%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4640	67	68	82	2	100	118	99	77	80	78	111	197	72	80	86	127	87	76	56	98	81	101	75	4	102	117	110	32	62	84	71	87	62	68	93	116	107	89	79	97	72	100	128	78	38	57	68	91	100	104	138	84	99	42	16	27									
		13.99%	15.37%	12.81%	15.89%	2.82%	15.60%	15.38%	16.15%	13.18%	11.35%	11.76%	12.85%	14.18%	15.00%	15.75%	15.41%	15.53%	15.88%	14.34%	14.14%	14.50%	11.17%	12.24%	16.23%	6.56%	13.30%	12.55%	15.63%	9.20%	10.82%	13.82%	12.35%	15.13%	13.78%	14.72%	15.53%	15.32%	12.80%	15.19%	11.22%	13.76%	13.61%	14.33%	16.91%	13.07%	14.62%	12.39%	17.62%	13.81%	14.16%	14.94%	16.20%	13.38%	16.61%	11.11%	7.27%	14.29%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	285	6	9	2	0	4	6	3	6	3	5	13	18	5	7	4	9	8	4	1	7	2	12	2	1	8	7	11	0	2	6	4	4	3	5	7	10	8	1	10	6	3	4	4	2	0	4	4	8	8	0	5	6	3	4	0	1									
		0.86%	1.38%	1.69%	0.39%	0.00%	0.62%	0.78%	0.49%	1.03%	0.43%	0.75%	1.50%	1.30%	1.04%	1.38%	0.72%	1.10%	1.46%	0.75%	0.25%	1.04%	0.28%	1.45%	0.43%	1.64%	1.04%	0.75%	1.56%	0.00%	0.35%	0.99%	0.70%	0.70%	0.67%	1.08%	1.17%	1.32%	0.96%	0.17%	1.42%	0.85%	0.57%	0.57%	0.53%	0.34%	0.00%	0.87%	1.04%	1.21%	1.13%	0.00%	0.59%	0.96%	0.50%	1.06%	0.00%	0.53%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	592	6	10	3	0	9	8	10	14	12	7	15	58	17	7	11	24	11	10	8	16	26	27	7	0	12	16	8	2	7	9	9	6	5	3	11	13	18	12	13	10	7	13	16	8	2	5	4	9	8	20	17	3	5	3	1	1									
		1.79%	1.38%	1.88%	0.58%	0.00%	1.40%	1.04%	1.63%	2.40%	1.70%	1.06%	1.74%	4.18%	3.54%	1.38%	1.97%	2.93%	2.01%	1.89%	2.02%	2.37%	3.59%	3.27%	1.52%	0.00%	1.56%	1.72%	1.14%	0.57%	1.22%	1.48%	1.57%	1.04%	1.11%	0.65%	1.84%	1.72%	2.15%	2.05%	1.85%	1.42%	1.32%	1.86%	2.11%	1.34%	0.77%	1.09%	1.04%	1.37%	1.13%	2.87%	1.99%	0.48%	0.84%	0.79%	0.45%	0.53%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	46	0	0	2	1	0	2	0	2	3	0	1	2	0	1	1	3	0	0	0	0	0	2	0	0	1	1	0	1	1	2	1	2	0	0	1	0	1	0	1	2	1	1	1	0	0	1	1	2	3	0	0	1	0	1	0	0									
		0.14%	0.00%	0.00%	0.39%	1.41%	0.00%	0.26%	0.00%	0.34%	0.43%	0.00%	0.12%	0.14%	0.00%	0.20%	0.18%	0.37%	0.00%	0.00%	0.00%	0.00%	0.00%	0.24%	0.00%	0.00%	0.13%	0.11%	0.00%	0.29%	0.17%	0.33%	0.17%	0.35%	0.00%	0.00%	0.17%	0.00%	0.12%	0.00%	0.14%	0.28%	0.19%	0.14%	0.13%	0.00%	0.00%	0.22%	0.26%	0.30%	0.42%	0.00%	0.00%	0.16%	0.00%	0.26%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1065	13	16	14	1	13	21	16	13	24	26	29	25	18	13	19	32	17	23	16	27	28	31	21	1	25	25	14	8	20	25	18	13	12	11	17	22	30	18	38	38	22	24	20	20	9	28	11	19	14	38	27	21	7	2	7	5									
		3.21%	2.98%	3.01%	2.71%	1.41%	2.03%	2.74%	2.61%	2.23%	3.40%	3.92%	3.36%	1.80%	3.75%	2.56%	3.41%	3.91%	3.10%	4.34%	4.04%	3.99%	3.86%	3.76%	4.55%	1.64%	3.26%	2.68%	1.99%	2.30%	3.49%	4.11%	3.13%	2.26%	2.67%	2.38%	2.84%	2.91%	3.59%	3.07%	5.40%	5.39%	4.16%	3.44%	2.64%	3.35%	3.46%	6.09%	2.85%	2.88%	1.98%	5.46%	3.17%	3.34%	1.17%	0.53%	3.18%	2.65%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4151	68	61	53	2	72	86	82	80	100	85	116	109	64	75	50	96	46	68	60	91	109	104	51	2	100	146	115	24	44	78	66	74	45	62	82	91	102	59	102	86	72	100	120	90	40	54	62	96	109	86	126	80	51	26	11	22									
		12.52%	15.60%	11.49%	10.27%	2.82%	11.23%	11.21%	13.38%	13.70%	14.18%	12.82%	13.43%	7.85%	13.33%	14.76%	8.96%	11.74%	8.39%	12.83%	15.15%	13.46%	15.03%	12.61%	11.04%	3.28%	13.04%	15.67%	16.34%	6.90%	7.68%	12.83%	11.48%	12.87%	10.00%	13.42%	13.69%	12.02%	12.20%	10.07%	14.49%	12.20%	13.61%	14.33%	15.85%	15.08%	15.38%	11.74%	16.06%	14.57%	15.44%	12.36%	14.79%	12.74%	8.56%	6.88%	5.00%	11.64%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	141	2	1	3	1	1	1	2	6	2	9	4	15	2	3	3	6	2	3	1	1	6	8	3	0	1	1	2	1	0	1	1	3	1	4	1	1	3	3	2	0	1	3	3	4	0	2	2	3	4	1	3	4	1	0	0	0									
		0.43%	0.46%	0.19%	0.58%	1.41%	0.16%	0.13%	0.33%	1.03%	0.28%	1.36%	0.46%	1.08%	0.42%	0.59%	0.54%	0.73%	0.36%	0.57%	0.25%	0.15%	0.83%	0.97%	0.65%	0.00%	0.13%	0.11%	0.28%	0.29%	0.00%	0.16%	0.17%	0.52%	0.22%	0.87%	0.17%	0.13%	0.36%	0.51%	0.28%	0.00%	0.19%	0.43%	0.40%	0.67%	0.00%	0.43%	0.52%	0.46%	0.57%	0.14%	0.35%	0.64%	0.17%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4285	28	50	66	3	64	98	76	76	80	79	100	72	43	50	64	97	66	52	43	88	98	82	47	4	136	157	100	81	137	117	103	113	110	55	89	106	147	97	82	87	92	94	84	85	37	44	57	84	87	76	110	103	47	8	15	19									
		12.92%	6.42%	9.42%	12.79%	4.23%	9.98%	12.78%	12.40%	13.01%	11.35%	11.92%	11.57%	5.18%	8.96%	9.84%	11.47%	11.86%	12.04%	9.81%	10.86%	13.02%	13.52%	9.94%	10.17%	6.56%	17.73%	16.85%	14.20%	23.28%	23.91%	19.24%	17.91%	19.65%	24.44%	11.90%	14.86%	14.00%	17.58%	16.55%	11.65%	12.34%	17.39%	13.47%	11.10%	14.24%	14.23%	9.57%	14.77%	12.75%	12.32%	10.92%	12.91%	16.40%	7.89%	2.12%	6.82%	10.05%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
