Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																											
Дата голосования: 07.12.2003 0:00:00																																											
																																											
Наименование Избирательной комиссии:    Шолоховская																																											
																																											
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																											
																																											
		Сумма	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316	УИК  1317	УИК  1318	УИК  2521	УИК  2590					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	146	2	5	1	2	2	7	18	28	1	1	1	4	1	1	2	2	3	7	1	5	8	3	1	3	2	0	3	1	7	2	2	3	0	5	8	4					
14	Число погашенных открепительных удостоверений	280	19	12	5	4	5	23	14	22	10	3	3	20	4	5	18	4	4	1	7	0	13	4	4	3	17	9	3	3	16	4	9	7	1	1	0	3					
15	Число открепительных удостоверений выданных ТИК	5	0	0	0	0	0	0	2	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																											
18	"1. ""ЕДИНЕНИЕ"""	172	13	16	5	3	1	18	12	13	4	0	1	3	2	7	7	3	5	12	4	1	3	3	1	1	9	4	2	0	4	0	2	2	6	2	1	2					
		1.35%	1.28%	2.19%	1.81%	2.29%	0.86%	1.34%	0.89%	1.13%	2.19%	0.0%	1.20%	0.77%	0.73%	5.14%	1.61%	2.83%	4.38%	1.67%	2.16%	1.23%	0.54%	2.77%	0.42%	1.11%	1.21%	2.32%	1.16%	0.0%	0.68%	0.0%	0.85%	1.34%	1.61%	1.98%	1.33%	3.84%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	142	12	18	3	2	1	21	20	17	0	1	0	3	3	1	5	1	2	5	2	1	7	0	1	0	6	2	2	1	4	1	0	0	0	0	0	0					
		1.12%	1.18%	2.46%	1.08%	1.52%	0.86%	1.57%	1.48%	1.48%	0.0%	1.49%	0.0%	0.77%	1.10%	0.73%	1.15%	0.94%	1.75%	0.69%	1.08%	1.23%	1.27%	0.0%	0.42%	0.0%	0.80%	1.16%	1.16%	1.20%	0.68%	1.01%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	361	32	27	6	9	1	47	40	23	3	0	3	19	8	5	12	3	3	15	3	8	9	0	7	1	18	7	6	4	21	1	5	3	7	0	4	1					
		2.84%	3.16%	3.70%	2.17%	6.87%	0.86%	3.52%	2.97%	2.00%	1.64%	0.0%	3.61%	4.89%	2.95%	3.67%	2.77%	2.83%	2.63%	2.09%	1.62%	9.87%	1.63%	0.0%	2.94%	1.11%	2.42%	4.06%	3.48%	4.81%	3.61%	1.01%	2.13%	2.01%	1.88%	0.0%	5.33%	1.92%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	121	13	7	1	0	0	17	19	16	0	0	0	4	4	0	5	0	3	8	0	0	3	0	0	0	2	1	0	0	7	1	4	1	1	2	0	2					
		0.95%	1.28%	0.96%	0.36%	0.0%	0.0%	1.27%	1.41%	1.39%	0.0%	0.0%	0.0%	1.03%	1.47%	0.0%	1.15%	0.0%	2.63%	1.11%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.26%	0.58%	0.0%	0.0%	1.20%	1.01%	1.70%	0.67%	0.26%	1.98%	0.0%	3.84%					
22	"5. ""За Русь Святую"""	62	5	2	2	0	0	4	11	3	5	2	0	5	1	1	0	0	0	7	0	0	2	0	0	0	1	1	0	0	3	0	3	0	1	1	0	2					
		0.48%	0.49%	0.27%	0.72%	0.0%	0.0%	0.29%	0.81%	0.26%	2.74%	2.98%	0.0%	1.28%	0.36%	0.73%	0.0%	0.0%	0.0%	0.97%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.13%	0.58%	0.0%	0.0%	0.51%	0.0%	1.28%	0.0%	0.26%	0.99%	0.0%	3.84%					
23	"6. ""Объединенная Российская партия ""Русь"""	29	0	3	1	0	0	4	5	1	0	0	0	0	0	2	0	0	0	1	2	0	2	0	1	0	1	0	0	0	1	1	1	0	0	3	0	0					
		0.22%	0.0%	0.41%	0.36%	0.0%	0.0%	0.29%	0.37%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	1.47%	0.0%	0.0%	0.0%	0.13%	1.08%	0.0%	0.36%	0.0%	0.42%	0.0%	0.13%	0.0%	0.0%	0.0%	0.17%	1.01%	0.42%	0.0%	0.0%	2.97%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	35	4	2	0	0	0	1	5	4	1	0	0	2	1	0	0	0	0	6	0	0	3	0	0	0	2	0	0	0	0	0	0	1	2	1	0	0					
		0.27%	0.39%	0.27%	0.0%	0.0%	0.0%	0.07%	0.37%	0.34%	0.54%	0.0%	0.0%	0.51%	0.36%	0.0%	0.0%	0.0%	0.0%	0.83%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.67%	0.53%	0.99%	0.0%	0.0%					
25	"8. ""Народно-республиканская партия России"""	19	4	0	0	0	0	1	2	3	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	1	0	1	0	0	0	0	0					
		0.14%	0.39%	0.0%	0.0%	0.0%	0.0%	0.07%	0.14%	0.26%	0.0%	0.0%	0.0%	1.03%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	1.20%	0.17%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	25	4	2	0	0	1	2	3	4	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	1	1	0	0					
		0.19%	0.39%	0.27%	0.0%	0.0%	0.86%	0.14%	0.22%	0.34%	0.54%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.87%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	1.11%	0.0%	0.58%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.26%	0.99%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	682	58	30	6	14	2	58	59	38	8	5	0	18	17	18	40	14	17	40	7	1	24	9	4	3	29	8	6	2	73	12	13	12	14	1	2	20					
		5.38%	5.74%	4.11%	2.17%	10.68%	1.73%	4.34%	4.38%	3.31%	4.39%	7.46%	0.0%	4.63%	6.27%	13.23%	9.23%	13.20%	14.91%	5.58%	3.78%	1.23%	4.35%	8.33%	1.68%	3.33%	3.90%	4.65%	3.48%	2.40%	12.56%	12.12%	5.55%	8.05%	3.77%	0.99%	2.66%	38.46%					
28	"11. ""Истинные патриоты России"""	17	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	0	2	2	1	0	0	0	1	0	1	0	0	4	2	0	1	0	0	0	0	0					
		0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.36%	0.0%	0.23%	0.0%	1.75%	0.27%	0.54%	0.0%	0.0%	0.0%	0.42%	0.0%	0.13%	0.0%	0.0%	4.81%	0.34%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	126	8	7	9	1	0	8	20	16	1	0	5	8	1	6	1	4	0	5	4	0	3	0	2	0	5	1	2	1	2	0	3	0	2	0	0	1					
		0.99%	0.79%	0.96%	3.26%	0.76%	0.0%	0.59%	1.48%	1.39%	0.54%	0.0%	6.02%	2.06%	0.36%	4.41%	0.23%	3.77%	0.0%	0.69%	2.16%	0.0%	0.54%	0.0%	0.84%	0.0%	0.67%	0.58%	1.16%	1.20%	0.34%	0.0%	1.28%	0.0%	0.53%	0.0%	0.0%	1.92%					
30	"13. ""Демократическая партия России"""	27	5	1	0	0	1	3	1	0	0	0	1	1	0	0	1	0	0	4	0	0	2	0	0	0	2	1	0	0	2	1	0	0	1	0	0	0					
		0.21%	0.49%	0.13%	0.0%	0.0%	0.86%	0.22%	0.07%	0.0%	0.0%	0.0%	1.20%	0.25%	0.0%	0.0%	0.23%	0.0%	0.0%	0.55%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.26%	0.58%	0.0%	0.0%	0.34%	1.01%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	3	2	0	0	0	2	3	2	0	0	0	0	2	0	0	0	0	1	0	0	0	0	0	1	3	0	1	1	0	0	0	0	1	0	0	0					
		0.17%	0.29%	0.27%	0.0%	0.0%	0.0%	0.14%	0.22%	0.17%	0.0%	0.0%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	1.11%	0.40%	0.0%	0.58%	1.20%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	15	0	0	0	0	0	1	2	7	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	1	0	0	0	0	0	0	0					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.14%	0.60%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.42%	1.11%	0.13%	0.0%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1154	127	111	27	1	6	162	174	149	19	0	1	31	19	7	45	11	8	53	10	4	27	3	11	0	33	10	14	0	34	5	17	14	8	4	5	4					
		9.10%	12.57%	15.22%	9.78%	0.76%	5.21%	12.13%	12.93%	12.97%	10.43%	0.0%	1.20%	7.98%	7.01%	5.14%	10.39%	10.37%	7.01%	7.40%	5.40%	4.93%	4.90%	2.77%	4.62%	0.0%	4.44%	5.81%	8.13%	0.0%	5.85%	5.05%	7.26%	9.39%	2.15%	3.96%	6.66%	7.69%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	44	11	2	0	0	0	1	3	2	0	0	0	0	1	1	2	0	0	1	3	1	2	1	0	0	3	0	0	2	2	0	3	0	2	0	0	1					
		0.34%	1.08%	0.27%	0.0%	0.0%	0.0%	0.07%	0.22%	0.17%	0.0%	0.0%	0.0%	0.0%	0.36%	0.73%	0.46%	0.0%	0.0%	0.13%	1.62%	1.23%	0.36%	0.92%	0.0%	0.0%	0.40%	0.0%	0.0%	2.40%	0.34%	0.0%	1.28%	0.0%	0.53%	0.0%	0.0%	1.92%					
35	"18. ""ЛДПР"""	2037	181	124	46	20	22	217	169	206	29	16	8	69	52	11	53	19	8	113	26	8	107	16	58	8	137	23	35	29	98	14	32	7	41	17	17	1					
		16.07%	17.92%	17.00%	16.66%	15.26%	19.13%	16.25%	12.56%	17.94%	15.93%	23.88%	9.63%	17.78%	19.18%	8.08%	12.24%	17.92%	7.01%	15.78%	14.05%	9.87%	19.41%	14.81%	24.36%	8.88%	18.43%	13.37%	20.34%	34.93%	16.86%	14.14%	13.67%	4.69%	11.05%	16.83%	22.66%	1.92%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	242	12	11	3	2	0	25	26	26	4	0	0	15	6	2	6	6	3	9	4	4	13	1	3	2	14	5	5	2	14	0	9	1	6	1	0	2					
		1.91%	1.18%	1.50%	1.08%	1.52%	0.0%	1.87%	1.93%	2.26%	2.19%	0.0%	0.0%	3.86%	2.21%	1.47%	1.38%	5.66%	2.63%	1.25%	2.16%	4.93%	2.35%	0.92%	1.26%	2.22%	1.88%	2.90%	2.90%	2.40%	2.40%	0.0%	3.84%	0.67%	1.61%	0.99%	0.0%	3.84%					
37	"20. ""Политическая партия ""Единая Россия"""	5144	370	242	133	70	71	472	420	411	71	33	57	162	117	43	192	27	47	336	87	49	257	68	122	53	373	88	72	27	197	22	92	87	161	64	35	16					
		40.59%	36.63%	33.19%	48.18%	53.43%	61.73%	35.35%	31.22%	35.80%	39.01%	49.25%	68.67%	41.75%	43.17%	31.61%	44.34%	25.47%	41.22%	46.92%	47.02%	60.49%	46.64%	62.96%	51.26%	58.88%	50.20%	51.16%	41.86%	32.53%	33.90%	22.22%	39.31%	58.38%	43.39%	63.36%	46.66%	30.76%					
38	"21. ""Российская Конституционно-демократическая партия"""	35	5	1	0	1	0	3	2	1	0	0	1	0	1	0	2	0	0	2	2	0	6	0	0	0	3	2	1	0	1	0	0	0	0	0	1	0					
		0.27%	0.49%	0.13%	0.0%	0.76%	0.0%	0.22%	0.14%	0.08%	0.0%	0.0%	1.20%	0.0%	0.36%	0.0%	0.46%	0.0%	0.0%	0.27%	1.08%	0.0%	1.08%	0.0%	0.0%	0.0%	0.40%	1.16%	0.58%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	1.33%	0.0%					
39	"22. ""Развитие предпринимательства"""	14	2	2	0	0	0	1	2	2	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
		0.11%	0.19%	0.27%	0.0%	0.0%	0.0%	0.07%	0.14%	0.17%	0.0%	0.0%	0.0%	0.51%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1562	96	88	19	7	5	204	255	151	27	2	1	30	22	26	35	12	10	63	21	4	48	6	16	9	85	12	23	5	92	34	24	15	104	2	9	0					
		12.32%	9.50%	12.07%	6.88%	5.34%	4.34%	15.28%	18.95%	13.15%	14.83%	2.98%	1.20%	7.73%	8.11%	19.11%	8.08%	11.32%	8.77%	8.79%	11.35%	4.93%	8.71%	5.55%	6.72%	10.0%	11.44%	6.97%	13.37%	6.02%	15.83%	34.34%	10.25%	10.06%	28.03%	1.98%	12.0%	0.0%					
																																											
41	Против всех	448	29	28	14	1	4	56	78	43	4	2	3	11	7	1	22	5	5	26	9	0	16	1	4	7	13	5	0	4	16	4	16	4	9	1	0	0					
		3.53%	2.87%	3.84%	5.07%	0.76%	3.47%	4.19%	5.79%	3.74%	2.19%	2.98%	3.61%	2.83%	2.58%	0.73%	5.08%	4.71%	4.38%	3.63%	4.86%	0.0%	2.90%	0.92%	1.68%	7.77%	1.74%	2.90%	0.0%	4.81%	2.75%	4.04%	6.83%	2.68%	2.42%	0.99%	0.0%	0.0%					
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
																																											
