Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																				
Дата голосования: 07.12.2003 0:00:00																																																																				
																																																																				
Наименование Избирательной комиссии:    Янаульская городская																																																																				
																																																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																				
																																																																				
		Сумма	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467	УИК №1468	УИК №1469	УИК №1470	УИК №1471	УИК №1472	УИК №1473	УИК №1474	УИК №1475	УИК №1476	УИК №1477	УИК №1478	УИК №1479	УИК №1480	УИК №1481	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494					
11	"Число открепительных удостоверений, полученных участковыми комиссиями"	497	27	26	15	26	26	28	28	27	26	14	13	14	14	2	4	3	3	7	2	2	5	5	3	5	2	5	3	2	5	3	3	8	5	14	3	7	7	6	3	5	4	2	3	4	4	6	2	7	3	4	7	5	7	4	3	7	5	4	4	2	4					
12	"Число открепительных удостоверений, выданных участковыми комиссиями"	312	25	26	15	22	26	23	28	20	23	6	8	6	13	1	0	1	0	0	0	0	1	3	2	1	0	3	0	0	5	1	0	4	0	14	0	3	2	1	0	4	0	0	3	0	0	3	0	5	1	1	0	0	3	0	1	7	1	0	0	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	223	15	2	9	9	14	3	4	6	6	4	4	4	6	4	1	2	3	3	1	5	3	2	3	2	7	1	2	4	3	3	4	2	3	5	3	4	6	4	1	4	3	0	4	0	1	2	6	2	1	3	2	3	6	3	3	1	2	3	3	2	2					
14	Число погашенных открепительных удостоверений	185	2	0	0	4	0	5	0	7	3	8	5	8	1	1	4	2	3	7	2	2	4	2	1	4	2	2	3	2	0	2	3	4	5	0	3	4	5	5	3	1	4	2	0	4	4	3	2	2	2	3	7	5	4	4	2	0	4	4	4	2	4					
15	Число открепительных удостоверений выданных ТИК	3	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																				
18	"1. ""ЕДИНЕНИЕ"""	710	22	18	12	28	30	15	30	25	26	17	18	23	10	6	4	13	6	2	4	5	7	3	4	7	7	5	10	7	11	9	5	26	10	24	3	19	24	9	8	4	8	18	17	0	3	7	6	7	3	8	11	10	7	9	3	19	12	11	17	8	10					
		2.41%	1.60%	1.22%	1.46%	1.85%	2.04%	1.10%	1.90%	1.78%	1.90%	2.11%	2.79%	2.81%	1.52%	3.52%	1.28%	7.10%	3.46%	2.02%	3.44%	3.78%	2.49%	0.85%	1.73%	1.97%	4.76%	1.42%	4.95%	5.69%	3.07%	4.5%	2.33%	4.32%	2.93%	3.27%	1.82%	3.75%	5.21%	2.23%	4.73%	1.14%	2.80%	11.46%	2.94%	0.0%	1.04%	2.02%	5.82%	1.68%	2.0%	2.64%	2.69%	3.63%	1.35%	3.61%	1.33%	3.57%	3.55%	4.16%	6.04%	5.33%	4.04%					
19	"2. ""СОЮЗ ПРАВЫХ СИЛ"""	656	38	55	19	64	52	32	44	31	38	12	12	29	24	1	3	3	0	1	0	0	0	3	2	4	4	7	1	1	5	3	7	8	7	17	3	9	3	5	1	0	2	0	10	0	11	7	0	16	0	1	5	9	0	10	2	8	12	1	2	3	9					
		2.23%	2.77%	3.75%	2.32%	4.23%	3.53%	2.35%	2.80%	2.21%	2.77%	1.49%	1.86%	3.54%	3.65%	0.58%	0.96%	1.63%	0.0%	1.01%	0.0%	0.0%	0.0%	0.85%	0.86%	1.12%	2.72%	1.99%	0.49%	0.81%	1.39%	1.5%	3.27%	1.33%	2.05%	2.32%	1.82%	1.77%	0.65%	1.24%	0.59%	0.0%	0.70%	0.0%	1.73%	0.0%	3.81%	2.02%	0.0%	3.84%	0.0%	0.33%	1.22%	3.27%	0.0%	4.01%	0.88%	1.50%	3.55%	0.37%	0.71%	2.0%	3.64%					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	792	45	24	35	34	36	56	42	32	44	23	24	18	24	8	5	6	7	0	2	6	3	6	5	3	14	1	3	0	17	7	5	11	7	37	5	10	25	14	3	11	13	3	16	0	3	4	0	12	2	2	9	8	5	2	9	7	13	4	4	5	13					
		2.69%	3.28%	1.63%	4.27%	2.25%	2.44%	4.12%	2.67%	2.28%	3.21%	2.86%	3.72%	2.20%	3.65%	4.70%	1.60%	3.27%	4.04%	0.0%	1.72%	4.54%	1.07%	1.71%	2.16%	0.84%	9.52%	0.28%	1.48%	0.0%	4.74%	3.5%	2.33%	1.83%	2.05%	5.05%	3.04%	1.97%	5.43%	3.47%	1.77%	3.15%	4.56%	1.91%	2.76%	0.0%	1.04%	1.15%	0.0%	2.88%	1.33%	0.66%	2.20%	2.90%	0.97%	0.80%	4.0%	1.31%	3.84%	1.51%	1.42%	3.33%	5.26%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	677	41	37	21	40	49	32	51	56	34	20	19	11	17	5	4	2	0	0	1	1	3	9	6	5	1	3	2	1	5	2	7	7	11	19	17	7	15	15	4	1	2	3	13	1	5	4	2	3	4	4	10	9	0	5	5	6	8	2	6	2	2					
		2.30%	2.99%	2.52%	2.56%	2.64%	3.33%	2.35%	3.24%	4.0%	2.48%	2.49%	2.95%	1.34%	2.58%	2.94%	1.28%	1.09%	0.0%	0.0%	0.86%	0.75%	1.07%	2.57%	2.59%	1.40%	0.68%	0.85%	0.99%	0.81%	1.39%	1.0%	3.27%	1.16%	3.22%	2.59%	10.36%	1.38%	3.26%	3.72%	2.36%	0.28%	0.70%	1.91%	2.24%	0.32%	1.73%	1.15%	1.94%	0.72%	2.66%	1.32%	2.45%	3.27%	0.0%	2.00%	2.22%	1.12%	2.36%	0.75%	2.13%	1.33%	0.80%					
22	"5. ""За Русь Святую"""	91	4	7	4	2	2	0	6	2	10	3	3	1	0	2	1	1	0	0	1	0	1	0	2	1	0	4	2	0	1	0	0	0	0	5	1	1	4	0	0	0	2	1	2	0	0	1	1	0	3	1	0	3	0	0	1	2	0	3	0	0	0					
		0.30%	0.29%	0.47%	0.48%	0.13%	0.13%	0.0%	0.38%	0.14%	0.73%	0.37%	0.46%	0.12%	0.0%	1.17%	0.32%	0.54%	0.0%	0.0%	0.86%	0.0%	0.35%	0.0%	0.86%	0.28%	0.0%	1.13%	0.99%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.68%	0.60%	0.19%	0.86%	0.0%	0.0%	0.0%	0.70%	0.63%	0.34%	0.0%	0.0%	0.28%	0.97%	0.0%	2.0%	0.33%	0.0%	1.09%	0.0%	0.0%	0.44%	0.37%	0.0%	1.13%	0.0%	0.0%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	125	7	2	5	7	2	4	7	6	3	2	2	0	2	1	1	2	1	0	0	4	0	1	0	3	0	1	1	1	0	3	1	3	2	4	0	0	2	1	0	0	4	0	9	0	5	4	1	1	0	1	1	0	3	1	1	0	6	1	1	0	5					
		0.42%	0.51%	0.13%	0.61%	0.46%	0.13%	0.29%	0.44%	0.42%	0.21%	0.24%	0.31%	0.0%	0.30%	0.58%	0.32%	1.09%	0.57%	0.0%	0.0%	3.03%	0.0%	0.28%	0.0%	0.84%	0.0%	0.28%	0.49%	0.81%	0.0%	1.5%	0.46%	0.49%	0.58%	0.54%	0.0%	0.0%	0.43%	0.24%	0.0%	0.0%	1.40%	0.0%	1.55%	0.0%	1.73%	1.15%	0.97%	0.24%	0.0%	0.33%	0.24%	0.0%	0.58%	0.40%	0.44%	0.0%	1.77%	0.37%	0.35%	0.0%	2.02%					
24	"7. ""Новый курс - Автомобильная Россия"""	244	9	34	9	15	16	16	14	11	13	6	0	12	8	0	5	0	2	0	1	0	2	3	2	2	1	2	0	2	0	2	1	2	5	8	2	3	5	1	1	1	0	2	4	0	3	2	3	1	0	0	1	4	0	1	1	3	0	0	1	1	1					
		0.83%	0.65%	2.32%	1.10%	0.99%	1.08%	1.17%	0.89%	0.78%	0.95%	0.74%	0.0%	1.46%	1.21%	0.0%	1.60%	0.0%	1.15%	0.0%	0.86%	0.0%	0.71%	0.85%	0.86%	0.56%	0.68%	0.56%	0.0%	1.62%	0.0%	1.0%	0.46%	0.33%	1.46%	1.09%	1.21%	0.59%	1.08%	0.24%	0.59%	0.28%	0.0%	1.27%	0.69%	0.0%	1.04%	0.57%	2.91%	0.24%	0.0%	0.0%	0.24%	1.45%	0.0%	0.40%	0.44%	0.56%	0.0%	0.0%	0.35%	0.66%	0.40%					
25	"8. ""Народно-республиканская партия России"""	105	3	1	1	3	8	7	3	7	2	0	2	2	4	3	0	1	1	0	0	0	1	0	2	2	3	0	0	1	2	0	0	7	2	1	0	4	1	1	0	3	3	3	1	0	1	2	2	3	1	2	0	2	0	0	2	2	2	0	0	0	1					
		0.35%	0.21%	0.06%	0.12%	0.19%	0.54%	0.51%	0.19%	0.5%	0.14%	0.0%	0.31%	0.24%	0.60%	1.76%	0.0%	0.54%	0.57%	0.0%	0.0%	0.0%	0.35%	0.0%	0.86%	0.56%	2.04%	0.0%	0.0%	0.81%	0.55%	0.0%	0.0%	1.16%	0.58%	0.13%	0.0%	0.79%	0.21%	0.24%	0.0%	0.85%	1.05%	1.91%	0.17%	0.0%	0.34%	0.57%	1.94%	0.72%	0.66%	0.66%	0.0%	0.72%	0.0%	0.0%	0.88%	0.37%	0.59%	0.0%	0.0%	0.0%	0.40%					
26	"9. ""Российская экологическая партия ""Зеленые"""	105	4	2	1	9	10	3	8	2	8	0	3	4	1	1	0	1	2	0	0	0	0	1	3	0	0	0	0	0	3	2	2	3	0	2	2	2	2	1	0	1	0	0	4	0	0	1	0	2	1	0	0	3	1	2	1	1	3	1	0	0	2					
		0.35%	0.29%	0.13%	0.12%	0.59%	0.68%	0.22%	0.50%	0.14%	0.58%	0.0%	0.46%	0.48%	0.15%	0.58%	0.0%	0.54%	1.15%	0.0%	0.0%	0.0%	0.0%	0.28%	1.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.83%	1.0%	0.93%	0.49%	0.0%	0.27%	1.21%	0.39%	0.43%	0.24%	0.0%	0.28%	0.0%	0.0%	0.69%	0.0%	0.0%	0.28%	0.0%	0.48%	0.66%	0.0%	0.0%	1.09%	0.19%	0.80%	0.44%	0.18%	0.88%	0.37%	0.0%	0.0%	0.80%					
27	"10. ""Аграрная партия России"""	2029	88	81	46	65	70	70	51	48	66	28	18	68	19	12	10	12	30	5	8	4	27	34	16	22	22	76	15	4	27	15	20	50	62	59	10	34	28	34	17	45	25	4	52	7	21	62	14	64	11	16	59	37	32	13	8	98	24	11	23	12	20					
		6.90%	6.43%	5.52%	5.62%	4.30%	4.76%	5.16%	3.24%	3.42%	4.82%	3.48%	2.79%	8.31%	2.89%	7.05%	3.20%	6.55%	17.34%	5.05%	6.89%	3.03%	9.64%	9.74%	6.92%	6.19%	14.96%	21.65%	7.42%	3.25%	7.54%	7.5%	9.34%	8.31%	18.18%	8.06%	6.09%	6.71%	6.08%	8.43%	10.05%	12.89%	8.77%	2.54%	8.99%	2.25%	7.29%	17.91%	13.59%	15.38%	7.33%	5.28%	14.46%	13.45%	6.21%	5.22%	3.55%	18.45%	7.10%	4.16%	8.18%	8.0%	8.09%					
28	"11. ""Истинные патриоты России"""	85	4	1	2	2	5	2	3	1	5	1	2	0	0	0	2	0	0	0	1	3	1	0	0	8	1	0	2	0	2	0	3	0	0	0	0	0	1	0	0	11	3	0	2	0	0	0	0	1	0	0	2	2	4	0	1	3	1	0	0	0	3					
		0.28%	0.29%	0.06%	0.24%	0.13%	0.34%	0.14%	0.19%	0.07%	0.36%	0.12%	0.31%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.86%	2.27%	0.35%	0.0%	0.0%	2.25%	0.68%	0.0%	0.99%	0.0%	0.55%	0.0%	1.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	3.15%	1.05%	0.0%	0.34%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.49%	0.72%	0.77%	0.0%	0.44%	0.56%	0.29%	0.0%	0.0%	0.0%	1.21%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	391	28	29	11	27	26	22	35	31	0	12	9	21	13	4	2	1	0	0	0	1	4	4	2	7	2	0	3	2	2	2	4	1	2	7	2	2	7	8	4	2	6	0	5	0	3	3	0	2	1	3	2	4	0	0	2	5	7	1	3	0	5					
		1.33%	2.04%	1.97%	1.34%	1.78%	1.76%	1.62%	2.22%	2.21%	0.0%	1.49%	1.39%	2.56%	1.97%	2.35%	0.64%	0.54%	0.0%	0.0%	0.0%	0.75%	1.42%	1.14%	0.86%	1.97%	1.36%	0.0%	1.48%	1.62%	0.55%	1.0%	1.86%	0.16%	0.58%	0.95%	1.21%	0.39%	1.52%	1.98%	2.36%	0.57%	2.10%	0.0%	0.86%	0.0%	1.04%	0.86%	0.0%	0.48%	0.66%	0.99%	0.49%	1.45%	0.0%	0.0%	0.88%	0.94%	2.07%	0.37%	1.06%	0.0%	2.02%					
30	"13. ""Демократическая партия России"""	119	5	4	1	11	5	3	7	3	5	4	0	4	9	0	0	2	2	0	0	0	2	0	2	0	1	0	1	3	1	2	3	1	3	2	0	0	0	1	0	1	3	0	4	0	2	2	1	1	1	0	1	0	0	0	4	2	6	1	1	0	2					
		0.40%	0.36%	0.27%	0.12%	0.72%	0.34%	0.22%	0.44%	0.21%	0.36%	0.49%	0.0%	0.48%	1.36%	0.0%	0.0%	1.09%	1.15%	0.0%	0.0%	0.0%	0.71%	0.0%	0.86%	0.0%	0.68%	0.0%	0.49%	2.43%	0.27%	1.0%	1.40%	0.16%	0.87%	0.27%	0.0%	0.0%	0.0%	0.24%	0.0%	0.28%	1.05%	0.0%	0.69%	0.0%	0.69%	0.57%	0.97%	0.24%	0.66%	0.0%	0.24%	0.0%	0.0%	0.0%	1.77%	0.37%	1.77%	0.37%	0.35%	0.0%	0.80%					
31	"14. ""Великая Россия - Евразийский Союз"""	116	2	4	0	3	6	4	8	10	4	6	5	5	4	0	0	1	0	0	0	1	0	0	2	2	0	0	0	3	3	1	2	3	0	3	0	0	2	1	1	0	5	1	1	0	1	1	2	2	2	4	2	1	1	0	0	5	0	2	0	0	0					
		0.39%	0.14%	0.27%	0.0%	0.19%	0.40%	0.29%	0.50%	0.71%	0.29%	0.74%	0.77%	0.61%	0.60%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.86%	0.56%	0.0%	0.0%	0.0%	2.43%	0.83%	0.5%	0.93%	0.49%	0.0%	0.40%	0.0%	0.0%	0.43%	0.24%	0.59%	0.0%	1.75%	0.63%	0.17%	0.0%	0.34%	0.28%	1.94%	0.48%	1.33%	1.32%	0.49%	0.36%	0.19%	0.0%	0.0%	0.94%	0.0%	0.75%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	79	5	1	6	2	5	1	1	1	3	4	2	2	1	4	2	1	0	0	0	1	0	0	1	1	1	0	0	0	0	1	0	2	1	1	0	2	0	0	0	3	2	0	1	0	0	0	0	0	1	1	0	4	5	1	0	3	0	2	0	0	4					
		0.26%	0.36%	0.06%	0.73%	0.13%	0.34%	0.07%	0.06%	0.07%	0.21%	0.49%	0.31%	0.24%	0.15%	2.35%	0.64%	0.54%	0.0%	0.0%	0.0%	0.75%	0.0%	0.0%	0.43%	0.28%	0.68%	0.0%	0.0%	0.0%	0.0%	0.5%	0.0%	0.33%	0.29%	0.13%	0.0%	0.39%	0.0%	0.0%	0.0%	0.85%	0.70%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.66%	0.33%	0.0%	1.45%	0.97%	0.40%	0.0%	0.56%	0.0%	0.75%	0.0%	0.0%	1.61%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1842	131	160	57	120	137	114	143	100	113	56	60	60	58	13	8	6	9	5	2	6	6	12	1	13	3	24	5	3	23	15	2	17	17	49	8	24	19	26	4	3	14	5	19	19	16	16	3	15	4	17	15	10	1	5	2	15	5	7	8	3	11					
		6.26%	9.57%	10.92%	6.96%	7.94%	9.31%	8.40%	9.10%	7.14%	8.26%	6.97%	9.31%	7.33%	8.82%	7.64%	2.56%	3.27%	5.20%	5.05%	1.72%	4.54%	2.14%	3.43%	0.43%	3.66%	2.04%	6.83%	2.47%	2.43%	6.42%	7.5%	0.93%	2.82%	4.98%	6.69%	4.87%	4.74%	4.13%	6.45%	2.36%	0.85%	4.91%	3.18%	3.28%	6.10%	5.55%	4.62%	2.91%	3.60%	2.66%	5.61%	3.67%	3.63%	0.19%	2.00%	0.88%	2.82%	1.47%	2.65%	2.84%	2.0%	4.45%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	279	9	3	3	9	6	5	7	3	3	8	14	10	8	9	3	4	2	1	0	5	2	1	1	7	2	3	1	6	7	6	4	2	6	4	5	9	3	2	2	1	10	2	8	2	3	2	1	4	0	1	4	1	20	3	11	5	8	3	4	0	1					
		0.94%	0.65%	0.20%	0.36%	0.59%	0.40%	0.36%	0.44%	0.21%	0.21%	0.99%	2.17%	1.22%	1.21%	5.29%	0.96%	2.18%	1.15%	1.01%	0.0%	3.78%	0.71%	0.28%	0.43%	1.97%	1.36%	0.85%	0.49%	4.87%	1.95%	3.0%	1.86%	0.33%	1.75%	0.54%	3.04%	1.77%	0.65%	0.49%	1.18%	0.28%	3.50%	1.27%	1.38%	0.64%	1.04%	0.57%	0.97%	0.96%	0.0%	0.33%	0.98%	0.36%	3.88%	1.20%	4.88%	0.94%	2.36%	1.13%	1.42%	0.0%	0.40%					
35	"18. ""ЛДПР"""	3136	130	153	97	213	180	183	227	237	246	148	90	102	84	8	17	7	18	6	4	5	33	14	20	24	2	28	8	14	28	13	11	52	52	72	19	22	32	40	9	29	34	7	32	0	28	33	7	45	13	28	53	20	6	7	8	53	19	19	24	12	11					
		10.67%	9.50%	10.44%	11.85%	14.10%	12.24%	13.49%	14.44%	16.92%	17.98%	18.43%	13.97%	12.46%	12.78%	4.70%	5.44%	3.82%	10.40%	6.06%	3.44%	3.78%	11.78%	4.01%	8.65%	6.76%	1.36%	7.97%	3.96%	11.38%	7.82%	6.5%	5.14%	8.65%	15.24%	9.83%	11.58%	4.34%	6.95%	9.92%	5.32%	8.30%	11.92%	4.45%	5.53%	0.0%	9.72%	9.53%	6.79%	10.81%	8.66%	9.24%	12.99%	7.27%	1.16%	2.81%	3.55%	9.98%	5.62%	7.19%	8.54%	8.0%	4.45%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	1053	25	32	17	28	35	37	57	37	36	25	9	18	20	6	2	1	4	2	0	4	8	0	3	10	3	4	5	6	4	9	2	6	7	22	6	17	14	6	4	12	10	5	21	5	5	13	1	12	2	5	9	1	370	10	9	6	5	3	11	2	5					
		3.58%	1.82%	2.18%	2.07%	1.85%	2.38%	2.72%	3.62%	2.64%	2.63%	3.11%	1.39%	2.20%	3.04%	3.52%	0.64%	0.54%	2.31%	2.02%	0.0%	3.03%	2.85%	0.0%	1.29%	2.81%	2.04%	1.13%	2.47%	4.87%	1.11%	4.5%	0.93%	0.99%	2.05%	3.00%	3.65%	3.35%	3.04%	1.48%	2.36%	3.43%	3.50%	3.18%	3.63%	1.60%	1.73%	3.75%	0.97%	2.88%	1.33%	1.65%	2.20%	0.36%	71.84%	4.01%	4.0%	1.12%	1.47%	1.13%	3.91%	1.33%	2.02%					
37	"20. ""Политическая партия ""Единая Россия"""	10581	452	567	292	508	488	453	472	485	430	262	206	220	222	37	178	87	32	73	66	56	87	212	99	164	57	159	98	27	117	61	40	336	97	219	27	249	171	143	56	178	84	70	229	218	145	146	47	127	38	145	107	90	5	103	108	180	145	131	99	85	96					
		36.00%	33.04%	38.70%	35.69%	33.64%	33.19%	33.40%	30.04%	34.64%	31.43%	32.62%	31.98%	26.89%	33.78%	21.76%	57.05%	47.54%	18.49%	73.73%	56.89%	42.42%	31.07%	60.74%	42.85%	46.19%	38.77%	45.29%	48.51%	21.95%	32.68%	30.5%	18.69%	55.90%	28.44%	29.91%	16.46%	49.20%	37.17%	35.48%	33.13%	51.00%	29.47%	44.58%	39.61%	70.09%	50.34%	42.19%	45.63%	30.52%	25.33%	47.85%	26.22%	32.72%	0.97%	41.36%	48.0%	33.89%	42.89%	49.62%	35.23%	56.66%	38.86%					
38	"21. ""Российская Конституционно-демократическая партия"""	105	6	0	4	2	4	3	13	2	1	4	1	1	2	0	5	1	1	1	0	0	1	1	2	0	2	0	2	1	6	1	3	5	0	2	3	0	0	2	0	0	0	0	1	2	1	0	0	2	0	1	3	1	2	1	2	4	0	1	1	0	1					
		0.35%	0.43%	0.0%	0.48%	0.13%	0.27%	0.22%	0.82%	0.14%	0.07%	0.49%	0.15%	0.12%	0.30%	0.0%	1.60%	0.54%	0.57%	1.01%	0.0%	0.0%	0.35%	0.28%	0.86%	0.0%	1.36%	0.0%	0.99%	0.81%	1.67%	0.5%	1.40%	0.83%	0.0%	0.27%	1.82%	0.0%	0.0%	0.49%	0.0%	0.0%	0.0%	0.0%	0.17%	0.64%	0.34%	0.0%	0.0%	0.48%	0.0%	0.33%	0.73%	0.36%	0.38%	0.40%	0.88%	0.75%	0.0%	0.37%	0.35%	0.0%	0.40%					
39	"22. ""Развитие предпринимательства"""	168	9	7	6	9	16	8	8	3	9	4	2	0	1	0	0	0	0	0	0	2	1	5	1	0	1	2	1	0	4	2	1	1	0	3	1	3	3	0	0	0	0	0	2	2	0	0	0	0	2	1	1	2	40	2	0	1	2	0	0	0	0					
		0.57%	0.65%	0.47%	0.73%	0.59%	1.08%	0.58%	0.50%	0.21%	0.65%	0.49%	0.31%	0.0%	0.15%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.51%	0.35%	1.43%	0.43%	0.0%	0.68%	0.56%	0.49%	0.0%	1.11%	1.0%	0.46%	0.16%	0.0%	0.40%	0.60%	0.59%	0.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.34%	0.64%	0.0%	0.0%	0.0%	0.0%	1.33%	0.33%	0.24%	0.72%	7.76%	0.80%	0.0%	0.18%	0.59%	0.0%	0.0%	0.0%	0.0%					
