Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																						
Дата голосования: 07.12.2003 0:00:00																																																						
																																																						
Наименование Избирательной комиссии:    Кореновская																																																						
																																																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																						
																																																						
		Сумма	УИК  1801	УИК  1802	УИК  1803	УИК  1804	УИК  1805	УИК  1806	УИК  1807	УИК  1808	УИК  1809	УИК  1810	УИК  1811	УИК  1812	УИК  1813	УИК  1814	УИК  1815	УИК  1816	УИК  1817	УИК  1818	УИК  1819	УИК  1820	УИК  1821	УИК  1822	УИК  1823	УИК  1824	УИК  1825	УИК  1826	УИК  1827	УИК  1828	УИК  1829	УИК  1830	УИК  1831	УИК  1832	УИК  1833	УИК  1834	УИК  1835	УИК  1836	УИК  1837	УИК  1838	УИК  1839	УИК  1840	УИК  1841	УИК  1842	УИК  1843	УИК  1844	УИК  1845	УИК  1846	УИК  1847					
		1.96%	2.66%	2.80%	1.60%	2.74%	0.75%	1.63%	2.15%	2.32%	1.51%	2.12%	1.74%	2.27%	2.37%	3.64%	2.30%	1.83%	0.0%	0.0%	1.84%	1.39%	1.66%	2.48%	1.65%	2.52%	0.84%	2.72%	2.12%	1.75%	2.04%	3.55%	2.31%	2.29%	1.96%	2.08%	1.79%	2.02%	1.05%	1.12%	0.44%	0.99%	2.14%	3.63%	1.45%	0.68%	1.22%	2.72%	2.34%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	583	29	29	28	12	22	22	15	29	19	17	33	19	22	13	6	16	3	0	5	11	49	1	1	18	21	12	17	4	2	2	3	2	8	10	5	0	14	4	5	4	11	4	11	3	11	2	9					
		1.64%	2.75%	2.26%	2.04%	1.49%	2.36%	2.40%	1.70%	2.69%	1.80%	1.81%	3.03%	2.06%	2.27%	1.63%	0.92%	1.63%	1.48%	0.0%	1.53%	1.28%	3.89%	0.41%	0.23%	1.41%	2.20%	1.08%	2.40%	0.78%	2.04%	0.71%	0.22%	0.38%	1.04%	1.30%	0.81%	0.0%	2.45%	0.75%	2.22%	0.99%	0.94%	1.03%	1.23%	0.51%	0.89%	0.68%	1.24%					
22	"5. ""За Русь Святую"""	174	11	0	7	4	4	4	2	6	7	4	6	9	8	6	10	2	0	1	1	1	4	0	2	2	6	7	3	2	1	7	5	0	6	3	2	1	3	5	3	0	6	0	0	7	2	1	3					
		0.49%	1.04%	0.0%	0.51%	0.49%	0.43%	0.43%	0.22%	0.55%	0.66%	0.42%	0.55%	0.97%	0.82%	0.75%	1.53%	0.20%	0.0%	0.35%	0.30%	0.11%	0.31%	0.0%	0.47%	0.15%	0.63%	0.63%	0.42%	0.39%	1.02%	2.49%	0.37%	0.0%	0.78%	0.39%	0.32%	0.50%	0.52%	0.93%	1.33%	0.0%	0.51%	0.0%	0.0%	1.19%	0.16%	0.34%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	95	5	5	1	3	1	3	3	2	3	0	1	4	2	1	2	1	1	1	3	2	4	3	0	4	2	5	0	2	2	2	1	1	0	4	1	0	0	1	1	2	3	3	1	1	3	2	3					
		0.26%	0.47%	0.38%	0.07%	0.37%	0.10%	0.32%	0.34%	0.18%	0.28%	0.0%	0.09%	0.43%	0.20%	0.12%	0.30%	0.10%	0.49%	0.35%	0.92%	0.23%	0.31%	1.24%	0.0%	0.31%	0.21%	0.45%	0.0%	0.39%	2.04%	0.71%	0.07%	0.19%	0.0%	0.52%	0.16%	0.0%	0.0%	0.18%	0.44%	0.49%	0.25%	0.77%	0.11%	0.17%	0.24%	0.68%	0.41%					
24	"7. ""Новый курс - Автомобильная Россия"""	277	11	8	8	8	8	12	4	11	9	11	12	11	10	7	4	7	1	5	3	8	15	2	4	11	8	7	7	2	0	2	6	3	5	6	4	1	7	1	2	0	6	2	5	0	6	1	6					
		0.78%	1.04%	0.62%	0.58%	0.99%	0.86%	1.31%	0.45%	1.02%	0.85%	1.17%	1.10%	1.19%	1.03%	0.88%	0.61%	0.71%	0.49%	1.79%	0.92%	0.93%	1.19%	0.82%	0.94%	0.86%	0.84%	0.63%	0.99%	0.39%	0.0%	0.71%	0.44%	0.57%	0.65%	0.78%	0.65%	0.50%	1.22%	0.18%	0.88%	0.0%	0.51%	0.51%	0.56%	0.0%	0.48%	0.34%	0.82%					
25	"8. ""Народно-республиканская партия России"""	62	0	2	3	3	0	1	0	5	1	4	0	0	0	0	3	2	0	0	1	1	3	2	0	2	2	4	2	0	0	0	2	1	1	3	1	0	1	1	0	1	2	1	3	0	3	0	1					
		0.17%	0.0%	0.15%	0.21%	0.37%	0.0%	0.10%	0.0%	0.46%	0.09%	0.42%	0.0%	0.0%	0.0%	0.0%	0.46%	0.20%	0.0%	0.0%	0.30%	0.11%	0.23%	0.82%	0.0%	0.15%	0.21%	0.36%	0.28%	0.0%	0.0%	0.0%	0.14%	0.19%	0.13%	0.39%	0.16%	0.0%	0.17%	0.18%	0.0%	0.24%	0.17%	0.25%	0.33%	0.0%	0.24%	0.0%	0.13%					
26	"9. ""Российская экологическая партия ""Зеленые"""	77	3	8	0	3	1	2	6	3	2	1	3	1	2	2	2	0	1	1	2	1	4	1	6	3	2	3	0	0	0	0	2	1	1	1	0	0	1	1	0	0	0	1	2	1	2	0	1					
		0.21%	0.28%	0.62%	0.0%	0.37%	0.10%	0.21%	0.68%	0.27%	0.18%	0.10%	0.27%	0.10%	0.20%	0.25%	0.30%	0.0%	0.49%	0.35%	0.61%	0.11%	0.31%	0.41%	1.42%	0.23%	0.21%	0.27%	0.0%	0.0%	0.0%	0.0%	0.14%	0.19%	0.13%	0.13%	0.0%	0.0%	0.17%	0.18%	0.0%	0.0%	0.0%	0.25%	0.22%	0.17%	0.16%	0.0%	0.13%					
27	"10. ""Аграрная партия России"""	1478	42	44	51	25	31	25	20	22	15	21	14	25	31	11	25	36	3	11	10	38	63	11	20	49	43	49	20	10	9	9	105	45	59	60	66	21	31	38	16	16	56	27	31	35	61	12	16					
		4.17%	3.99%	3.42%	3.72%	3.12%	3.33%	2.73%	2.27%	2.04%	1.42%	2.23%	1.28%	2.71%	3.20%	1.38%	3.84%	3.67%	1.48%	3.94%	3.07%	4.42%	5.00%	4.56%	4.73%	3.86%	4.52%	4.45%	2.83%	1.95%	9.18%	3.20%	7.84%	8.58%	7.74%	7.80%	10.76%	10.60%	5.43%	7.14%	7.11%	3.96%	4.79%	7.01%	3.47%	5.99%	4.96%	4.08%	2.20%					
28	"11. ""Истинные патриоты России"""	20	0	1	2	0	0	0	1	0	0	0	2	0	0	0	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	4	1	0	1	0	1	0	1					
		0.05%	0.0%	0.07%	0.14%	0.0%	0.0%	0.0%	0.11%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.15%	0.10%	0.0%	0.35%	0.30%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.99%	0.08%	0.0%	0.11%	0.0%	0.08%	0.0%	0.13%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	346	18	12	15	6	7	7	8	5	14	7	19	9	4	8	10	7	0	3	5	2	18	4	5	13	7	5	6	3	4	5	11	2	7	7	9	4	11	6	0	8	14	5	7	3	9	1	6					
		0.97%	1.71%	0.93%	1.09%	0.74%	0.75%	0.76%	0.90%	0.46%	1.32%	0.74%	1.74%	0.97%	0.41%	1.00%	1.53%	0.71%	0.0%	1.07%	1.53%	0.23%	1.42%	1.65%	1.18%	1.02%	0.73%	0.45%	0.84%	0.58%	4.08%	1.77%	0.82%	0.38%	0.91%	0.91%	1.46%	2.02%	1.92%	1.12%	0.0%	1.98%	1.19%	1.29%	0.78%	0.51%	0.73%	0.34%	0.82%					
30	"13. ""Демократическая партия России"""	78	4	3	1	0	3	4	1	3	3	1	1	1	0	4	0	2	0	1	3	2	0	1	1	2	1	0	2	1	0	1	5	5	3	0	1	0	0	5	1	0	0	1	4	2	1	1	3					
		0.22%	0.38%	0.23%	0.07%	0.0%	0.32%	0.43%	0.11%	0.27%	0.28%	0.10%	0.09%	0.10%	0.0%	0.50%	0.0%	0.20%	0.0%	0.35%	0.92%	0.23%	0.0%	0.41%	0.23%	0.15%	0.10%	0.0%	0.28%	0.19%	0.0%	0.35%	0.37%	0.95%	0.39%	0.0%	0.16%	0.0%	0.0%	0.93%	0.44%	0.0%	0.0%	0.25%	0.44%	0.34%	0.08%	0.34%	0.41%					
31	"14. ""Великая Россия - Евразийский Союз"""	78	1	2	2	3	5	1	1	2	2	4	2	2	2	0	3	1	0	3	1	5	5	0	0	0	3	3	1	1	0	1	8	2	0	2	3	1	1	0	2	0	0	0	1	0	2	0	0					
		0.22%	0.09%	0.15%	0.14%	0.37%	0.53%	0.10%	0.11%	0.18%	0.18%	0.42%	0.18%	0.21%	0.20%	0.0%	0.46%	0.10%	0.0%	1.07%	0.30%	0.58%	0.39%	0.0%	0.0%	0.0%	0.31%	0.27%	0.14%	0.19%	0.0%	0.35%	0.59%	0.38%	0.0%	0.26%	0.48%	0.50%	0.17%	0.0%	0.88%	0.0%	0.0%	0.0%	0.11%	0.0%	0.16%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	24	1	1	1	0	0	3	0	1	1	0	2	0	1	0	0	0	0	0	0	0	0	0	2	1	0	0	1	0	0	2	0	1	0	2	0	0	0	1	0	0	1	0	0	0	1	0	1					
		0.06%	0.09%	0.07%	0.07%	0.0%	0.0%	0.32%	0.0%	0.09%	0.09%	0.0%	0.18%	0.0%	0.10%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.47%	0.07%	0.0%	0.0%	0.14%	0.0%	0.0%	0.71%	0.0%	0.19%	0.0%	0.26%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.08%	0.0%	0.13%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3285	88	122	122	44	63	93	96	117	126	89	135	82	83	82	63	63	5	5	13	70	116	15	21	124	103	119	65	51	5	38	98	40	94	97	71	20	42	17	21	27	154	48	111	79	72	13	63					
		9.27%	8.37%	9.50%	8.91%	5.49%	6.77%	10.16%	10.90%	10.86%	11.94%	9.47%	12.43%	8.89%	8.57%	10.31%	9.67%	6.42%	2.47%	1.79%	4.0%	8.15%	9.21%	6.22%	4.97%	9.77%	10.83%	10.80%	9.20%	9.96%	5.10%	13.52%	7.32%	7.63%	12.33%	12.61%	11.58%	10.10%	7.36%	3.19%	9.33%	6.68%	13.18%	12.46%	12.45%	13.52%	5.86%	4.42%	8.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	82	2	2	2	3	0	0	1	0	0	3	3	1	1	2	1	4	1	1	0	6	0	2	0	4	4	4	2	1	1	0	3	1	0	8	1	1	2	0	0	3	4	3	0	1	1	2	1					
		0.23%	0.19%	0.15%	0.14%	0.37%	0.0%	0.0%	0.11%	0.0%	0.0%	0.31%	0.27%	0.10%	0.10%	0.25%	0.15%	0.40%	0.49%	0.35%	0.0%	0.69%	0.0%	0.82%	0.0%	0.31%	0.42%	0.36%	0.28%	0.19%	1.02%	0.0%	0.22%	0.19%	0.0%	1.04%	0.16%	0.50%	0.35%	0.0%	0.0%	0.74%	0.34%	0.77%	0.0%	0.17%	0.08%	0.68%	0.13%					
35	"18. ""ЛДПР"""	4620	130	169	211	129	127	127	130	135	132	125	223	131	129	99	85	117	29	38	65	128	182	37	50	127	113	129	78	60	11	28	135	78	97	61	51	15	64	45	43	74	151	58	108	60	165	37	104					
		13.04%	12.36%	13.17%	15.41%	16.10%	13.65%	13.87%	14.77%	12.53%	12.51%	13.31%	20.53%	14.20%	13.32%	12.45%	13.05%	11.93%	14.35%	13.62%	20.0%	14.91%	14.45%	15.35%	11.84%	10.00%	11.88%	11.71%	11.04%	11.71%	11.22%	9.96%	10.08%	14.88%	12.72%	7.93%	8.31%	7.57%	11.22%	8.45%	19.11%	18.31%	12.92%	15.06%	12.12%	10.27%	13.43%	12.58%	14.34%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	488	14	17	26	16	18	15	7	11	14	16	20	13	10	7	11	15	0	3	6	18	14	4	6	12	11	23	10	7	1	6	17	7	11	12	9	6	1	4	6	4	10	3	16	2	18	3	8					
		1.37%	1.33%	1.32%	1.89%	1.99%	1.93%	1.63%	0.79%	1.02%	1.32%	1.70%	1.84%	1.40%	1.03%	0.88%	1.68%	1.53%	0.0%	1.07%	1.84%	2.09%	1.11%	1.65%	1.42%	0.94%	1.15%	2.08%	1.41%	1.36%	1.02%	2.13%	1.27%	1.33%	1.44%	1.56%	1.46%	3.03%	0.17%	0.75%	2.66%	0.99%	0.85%	0.77%	1.79%	0.34%	1.46%	1.02%	1.10%					
37	"20. ""Политическая партия ""Единая Россия"""	13966	397	492	605	338	387	338	364	451	485	386	388	380	363	291	267	428	59	132	116	313	500	101	193	569	362	447	296	222	38	107	424	193	262	250	197	89	268	211	64	136	330	131	382	190	610	141	273					
		39.43%	37.77%	38.34%	44.19%	42.19%	41.61%	36.93%	41.36%	41.87%	45.97%	41.10%	35.72%	41.21%	37.5%	36.60%	41.01%	43.67%	29.20%	47.31%	35.69%	36.48%	39.71%	41.90%	45.73%	44.83%	38.06%	40.59%	41.92%	43.35%	38.77%	38.07%	31.68%	36.83%	34.38%	32.50%	32.13%	44.94%	47.01%	39.66%	28.44%	33.66%	28.25%	34.02%	42.87%	32.53%	49.67%	47.95%	37.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	71	3	1	1	1	2	2	2	1	0	1	0	4	2	0	0	0	0	0	3	0	1	3	0	5	1	4	2	1	1	1	2	1	2	1	0	0	3	0	5	4	0	0	3	1	1	3	3					
		0.20%	0.28%	0.07%	0.07%	0.12%	0.21%	0.21%	0.22%	0.09%	0.0%	0.10%	0.0%	0.43%	0.20%	0.0%	0.0%	0.0%	0.0%	0.0%	0.92%	0.0%	0.07%	1.24%	0.0%	0.39%	0.10%	0.36%	0.28%	0.19%	1.02%	0.35%	0.14%	0.19%	0.26%	0.13%	0.0%	0.0%	0.52%	0.0%	2.22%	0.99%	0.0%	0.0%	0.33%	0.17%	0.08%	1.02%	0.41%					
39	"22. ""Развитие предпринимательства"""	67	4	5	1	3	4	1	2	3	1	1	1	3	3	4	2	0	0	0	0	2	0	0	0	4	1	4	0	1	0	0	3	0	1	0	0	0	0	2	0	0	2	1	2	1	0	0	5					
		0.18%	0.38%	0.38%	0.07%	0.37%	0.43%	0.10%	0.22%	0.27%	0.09%	0.10%	0.09%	0.32%	0.30%	0.50%	0.30%	0.0%	0.0%	0.0%	0.0%	0.23%	0.0%	0.0%	0.0%	0.31%	0.10%	0.36%	0.0%	0.19%	0.0%	0.0%	0.22%	0.0%	0.13%	0.0%	0.0%	0.0%	0.0%	0.37%	0.0%	0.0%	0.17%	0.25%	0.22%	0.17%	0.0%	0.0%	0.68%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	6406	175	225	172	109	169	178	139	169	159	153	99	135	206	172	101	183	84	47	48	166	180	21	80	210	167	189	101	112	18	35	403	106	152	178	144	28	73	148	46	86	307	54	131	155	196	48	149					
		18.08%	16.65%	17.53%	12.56%	13.60%	18.17%	19.45%	15.79%	15.69%	15.07%	16.29%	9.11%	14.64%	21.28%	21.63%	15.51%	18.67%	41.58%	16.84%	14.76%	19.34%	14.29%	8.71%	18.95%	16.54%	17.56%	17.16%	14.30%	21.87%	18.36%	12.45%	30.11%	20.22%	19.94%	23.14%	23.49%	14.14%	12.80%	27.81%	20.44%	21.28%	26.28%	14.02%	14.70%	26.54%	15.96%	16.32%	20.55%					
																																																						
41	Против всех	1212	44	56	51	30	28	36	37	37	27	42	72	35	31	23	18	50	4	14	8	36	19	0	14	30	41	27	19	10	1	12	30	10	18	30	13	5	28	23	6	12	61	14	26	26	18	13	27					
		3.42%	4.18%	4.36%	3.72%	3.74%	3.01%	3.93%	4.20%	3.43%	2.55%	4.47%	6.62%	3.79%	3.20%	2.89%	2.76%	5.10%	1.98%	5.01%	2.46%	4.19%	1.50%	0.0%	3.31%	2.36%	4.31%	2.45%	2.69%	1.95%	1.02%	4.27%	2.24%	1.90%	2.36%	3.90%	2.12%	2.52%	4.91%	4.32%	2.66%	2.97%	5.22%	3.63%	2.91%	4.45%	1.46%	4.42%	3.72%					
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
																																																						
