Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																				
Дата голосования: 07.12.2003 0:00:00																																				
																																				
Наименование Избирательной комиссии:    Курортная №13																																				
																																				
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																				
																																				
		Сумма	УИК  973	УИК  974	УИК  975	УИК  976	УИК  977	УИК  978	УИК  979	УИК  980	УИК  981	УИК  982	УИК  983	УИК  984	УИК  985	УИК  986	УИК  987	УИК  988	УИК  989	УИК  990	УИК  991	УИК  992	УИК  993	УИК  994	УИК  995	УИК  996	УИК  997	УИК №998	УИК №999	УИК №1000	УИК №1001					
		0.10%	0.17%	0.07%	0.0%	0.0%	0.0%	0.39%	0.20%	0.14%	0.10%	0.15%	0.0%	0.0%	0.0%	0.08%	0.08%	0.20%	0.48%	0.06%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	249	13	13	28	16	14	8	11	12	14	14	11	3	2	12	5	3	2	14	6	18	2	6	2	7	4	6	0	1	2					
		1.15%	2.25%	0.93%	2.08%	1.35%	1.16%	0.78%	1.14%	0.87%	1.43%	1.11%	0.99%	0.89%	1.72%	0.99%	0.40%	0.62%	0.97%	0.96%	0.92%	1.66%	1.03%	0.86%	2.12%	1.34%	1.45%	2.76%	0.0%	0.82%	1.12%					
30	"13. ""Демократическая партия России"""	40	0	2	4	2	3	0	3	3	1	1	0	2	0	3	4	0	0	4	3	3	1	1	0	0	0	0	0	0	0					
		0.18%	0.0%	0.14%	0.29%	0.16%	0.24%	0.0%	0.31%	0.21%	0.10%	0.07%	0.0%	0.59%	0.0%	0.24%	0.32%	0.0%	0.0%	0.27%	0.46%	0.27%	0.51%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	56	2	2	2	5	5	2	3	2	1	1	1	0	1	2	5	1	0	7	1	8	0	0	0	3	1	1	0	0	0					
		0.26%	0.34%	0.14%	0.14%	0.42%	0.41%	0.19%	0.31%	0.14%	0.10%	0.07%	0.09%	0.0%	0.86%	0.16%	0.40%	0.20%	0.0%	0.48%	0.15%	0.73%	0.0%	0.0%	0.0%	0.57%	0.36%	0.46%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	38	2	1	2	0	2	0	1	1	0	6	1	0	0	3	4	1	0	1	3	1	0	1	0	1	4	3	0	0	0					
		0.17%	0.34%	0.07%	0.14%	0.0%	0.16%	0.0%	0.10%	0.07%	0.0%	0.47%	0.09%	0.0%	0.0%	0.24%	0.32%	0.20%	0.0%	0.06%	0.46%	0.09%	0.0%	0.14%	0.0%	0.19%	1.45%	1.38%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	3600	78	242	247	218	213	148	199	221	206	177	207	51	15	211	221	69	22	261	134	127	44	108	8	58	28	25	9	21	32					
		16.75%	13.54%	17.34%	18.43%	18.49%	17.73%	14.45%	20.79%	16.20%	21.04%	14.11%	18.64%	15.17%	12.93%	17.48%	18.01%	14.43%	10.67%	17.96%	20.74%	11.73%	22.79%	15.56%	8.51%	11.13%	10.21%	11.52%	13.63%	17.35%	18.07%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	34	1	1	4	1	1	0	2	1	2	2	0	2	0	1	1	0	1	6	1	4	2	0	0	0	1	0	0	0	0					
		0.15%	0.17%	0.07%	0.29%	0.08%	0.08%	0.0%	0.20%	0.07%	0.20%	0.15%	0.0%	0.59%	0.0%	0.08%	0.08%	0.0%	0.48%	0.41%	0.15%	0.36%	1.03%	0.0%	0.0%	0.0%	0.36%	0.0%	0.0%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1960	57	132	108	99	117	125	79	117	70	125	72	17	17	116	135	24	19	122	39	120	15	130	5	50	12	28	0	3	7					
		9.12%	9.89%	9.46%	8.05%	8.39%	9.74%	12.20%	8.25%	8.57%	7.15%	9.96%	6.48%	5.05%	14.65%	9.61%	11.00%	5.02%	9.22%	8.39%	6.03%	11.09%	7.77%	18.73%	5.31%	9.59%	4.37%	12.90%	0.0%	2.47%	3.95%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	786	17	56	45	46	52	33	44	59	35	50	63	13	5	33	35	19	11	35	18	28	7	14	3	17	19	12	2	9	6					
		3.65%	2.95%	4.01%	3.35%	3.90%	4.32%	3.22%	4.59%	4.32%	3.57%	3.98%	5.67%	3.86%	4.31%	2.73%	2.85%	3.97%	5.33%	2.40%	2.78%	2.58%	3.62%	2.01%	3.19%	3.26%	6.93%	5.52%	3.03%	7.43%	3.38%					
37	"20. ""Политическая партия ""Единая Россия"""	6854	216	481	432	367	381	282	263	467	277	378	355	127	48	425	367	182	77	429	209	354	55	175	43	200	93	70	26	31	44					
		31.89%	37.5%	34.48%	32.23%	31.12%	31.72%	27.53%	27.48%	34.23%	28.29%	30.14%	31.98%	37.79%	41.37%	35.21%	29.91%	38.07%	37.37%	29.52%	32.35%	32.71%	28.49%	25.21%	45.74%	38.38%	33.94%	32.25%	39.39%	25.61%	24.85%					
38	"21. ""Российская Конституционно-демократическая партия"""	34	3	1	1	0	0	2	1	2	1	2	2	2	0	1	1	0	0	1	3	2	2	3	1	1	2	0	0	0	0					
		0.15%	0.52%	0.07%	0.07%	0.0%	0.0%	0.19%	0.10%	0.14%	0.10%	0.15%	0.18%	0.59%	0.0%	0.08%	0.08%	0.0%	0.0%	0.06%	0.46%	0.18%	1.03%	0.43%	1.06%	0.19%	0.72%	0.0%	0.0%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	212	4	10	10	16	12	6	6	13	18	14	14	2	1	5	13	3	0	17	11	11	5	4	2	5	3	2	1	1	3					
		0.98%	0.69%	0.71%	0.74%	1.35%	0.99%	0.58%	0.62%	0.95%	1.83%	1.11%	1.26%	0.59%	0.86%	0.41%	1.05%	0.62%	0.0%	1.16%	1.70%	1.01%	2.59%	0.57%	2.12%	0.95%	1.09%	0.92%	1.51%	0.82%	1.69%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1933	38	112	72	109	96	106	88	105	105	122	143	25	1	86	85	43	21	165	78	135	12	67	2	35	18	19	2	19	24					
		8.99%	6.59%	8.02%	5.37%	9.24%	7.99%	10.35%	9.19%	7.69%	10.72%	9.72%	12.88%	7.44%	0.86%	7.12%	6.92%	8.99%	10.19%	11.35%	12.07%	12.47%	6.21%	9.65%	2.12%	6.71%	6.56%	8.75%	3.03%	15.70%	13.55%					
																																				
41	Против всех	1173	40	58	76	74	70	60	38	73	51	94	40	0	3	53	89	13	10	86	20	73	8	66	7	27	12	12	4	4	12					
		5.45%	6.94%	4.15%	5.67%	6.27%	5.82%	5.85%	3.97%	5.35%	5.20%	7.49%	3.60%	0.0%	2.58%	4.39%	7.25%	2.71%	4.85%	5.91%	3.09%	6.74%	4.14%	9.51%	7.44%	5.18%	4.37%	5.52%	6.06%	3.30%	6.77%					
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
																																				
