Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																									
Дата голосования: 04.12.2011																																																																									
																																																																									
Наименование Избирательной комиссии:    Территориальная избирательная комиссия №21																																																																									
																																																																									
Сводная таблица результатов выборов																																																																									
																																																																									
		Сумма	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	3340	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	50	0	50	50	50	50	50	50	50	80	80	80	50	50	50	50	50					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	1237	18	17	10	23	23	12	16	23	20	16	32	16	19	25	19	12	12	15	16	19	16	17	16	13	20	21	14	23	17	16	18	20	10	9	30	20	15	16	12	18	10	23	10	20	15	19	12	5	19	23	0	8	10	20	16	17	8	50	55	53	20	18	31	20	37	14					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	605	8	13	5	10	5	3	3	6	12	8	10	5	21	9	20	5	12	20	8	9	5	13	3	11	6	13	10	10	5	9	2	12	8	8	11	6	5	3	8	8	5	27	24	7	8	8	3	7	6	8	3	11	5	13	10	11	11	8	9	9	12	9	9	6	12	16					
14	Число погашенных неиспользованных открепительных удостоверений	2103	32	33	40	27	27	38	34	27	30	34	18	34	31	25	31	38	38	35	34	31	34	33	34	37	30	29	36	27	33	34	32	30	40	41	20	30	35	34	38	32	40	27	40	30	35	31	38	45	31	27	0	42	40	30	34	33	42	0	25	27	60	32	19	30	13	36					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	72	0	0	0	2	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	22	0	0	14	22	4	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																									
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	9040	94	123	75	80	85	70	50	115	58	71	207	81	101	109	62	120	123	66	85	86	111	72	79	315	130	327	74	80	340	125	115	108	157	348	321	120	265	59	316	138	96	323	83	98	87	99	70	86	108	345	117	23	104	156	155	22	23	256	74	118	88	246	406	150	131	115					
		12.39%	11.24%	9.19%	5.17%	7.98%	5.14%	7.70%	6.19%	10.55%	4.89%	6.07%	13.83%	6.71%	7.18%	8.15%	5.12%	8.90%	11.22%	7.12%	7.42%	7.05%	9.17%	7.11%	8.60%	30.11%	8.52%	30.50%	7.06%	7.98%	31.87%	11.17%	11.70%	9.79%	14.63%	32.04%	31.10%	7.87%	25.65%	6.42%	31.10%	11.83%	9.95%	30.27%	8.76%	9.55%	8.58%	11.24%	7.70%	9.15%	9.91%	26.62%	34.93%	3.38%	9.29%	11.72%	17.63%	3.13%	3.37%	21.75%	5.35%	8.55%	7.98%	22.38%	25.02%	9.84%	8.44%	25.22%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	8415	100	159	195	120	195	125	96	145	116	142	54	95	167	171	143	171	156	110	140	133	115	98	110	174	113	143	154	90	150	183	143	157	165	158	149	143	150	70	126	180	97	113	95	95	65	146	165	115	164	112	33	72	73	201	6	81	52	139	176	211	107	115	137	143	141	57					
		11.53%	11.96%	11.88%	13.45%	11.96%	11.78%	13.75%	11.88%	13.30%	9.79%	12.14%	3.61%	7.86%	11.88%	12.78%	11.80%	12.68%	14.23%	11.87%	12.22%	10.90%	9.50%	9.68%	11.97%	16.63%	7.41%	13.34%	14.69%	8.97%	14.06%	16.35%	14.55%	14.23%	15.38%	14.55%	14.44%	9.38%	14.52%	7.62%	12.40%	15.42%	10.05%	10.59%	10.03%	9.26%	6.41%	16.57%	18.15%	12.23%	15.05%	8.64%	9.85%	10.59%	6.52%	15.10%	0.68%	11.52%	7.62%	11.81%	12.74%	15.29%	9.70%	10.46%	8.44%	9.38%	9.08%	12.50%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	849	11	7	14	6	16	17	9	15	16	8	0	20	10	22	9	11	17	13	13	24	20	12	12	11	18	8	12	6	14	12	10	14	13	16	10	18	11	12	17	16	7	14	16	12	18	13	17	7	16	7	5	12	24	12	6	0	12	7	16	19	14	9	21	18	20	7					
		1.16%	1.32%	0.52%	0.97%	0.60%	0.97%	1.87%	1.11%	1.38%	1.35%	0.68%	0.00%	1.66%	0.71%	1.64%	0.74%	0.82%	1.55%	1.40%	1.13%	1.97%	1.65%	1.19%	1.31%	1.05%	1.18%	0.75%	1.15%	0.60%	1.31%	1.07%	1.02%	1.27%	1.21%	1.47%	0.97%	1.18%	1.06%	1.31%	1.67%	1.37%	0.73%	1.31%	1.69%	1.17%	1.78%	1.48%	1.87%	0.74%	1.47%	0.54%	1.49%	1.76%	2.14%	0.90%	0.68%	0.00%	1.76%	0.59%	1.16%	1.38%	1.27%	0.82%	1.29%	1.18%	1.29%	1.54%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9374	88	147	198	120	230	38	101	101	187	143	204	169	164	103	226	143	110	115	143	145	209	166	110	178	215	187	111	105	175	113	74	134	211	197	164	215	203	90	207	103	132	205	125	125	134	69	38	131	149	143	51	132	158	162	99	148	62	206	98	63	114	157	237	215	106	73					
		12.85%	10.53%	10.99%	13.66%	11.96%	13.90%	4.18%	12.50%	9.27%	15.78%	12.22%	13.63%	13.99%	11.66%	7.70%	18.65%	10.60%	10.04%	12.41%	12.48%	11.89%	17.27%	16.40%	11.97%	17.02%	14.10%	17.44%	10.59%	10.47%	16.40%	10.10%	7.53%	12.15%	19.66%	18.14%	15.89%	14.10%	19.65%	9.79%	20.37%	8.83%	13.68%	19.21%	13.20%	12.18%	13.21%	7.83%	4.18%	13.94%	13.67%	11.03%	15.22%	19.41%	14.12%	12.17%	11.26%	21.05%	9.09%	17.50%	7.09%	4.57%	10.34%	14.29%	14.60%	14.10%	6.83%	16.01%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	3664	45	6	74	89	149	28	71	57	60	112	0	42	53	64	59	18	20	78	91	111	42	79	75	114	15	111	74	47	103	24	42	28	83	88	75	15	84	35	79	40	27	101	39	46	33	76	28	51	9	45	14	31	58	48	53	39	31	67	25	26	28	66	140	15	52	36					
		5.02%	5.38%	0.45%	5.10%	8.87%	9.00%	3.08%	8.79%	5.23%	5.06%	9.57%	0.00%	3.48%	3.77%	4.78%	4.87%	1.33%	1.82%	8.41%	7.94%	9.10%	3.47%	7.81%	8.16%	10.90%	0.98%	10.35%	7.06%	4.69%	9.65%	2.14%	4.27%	2.54%	7.74%	8.10%	7.27%	0.98%	8.13%	3.81%	7.78%	3.43%	2.80%	9.47%	4.12%	4.48%	3.25%	8.63%	3.08%	5.43%	0.83%	3.47%	4.18%	4.56%	5.18%	3.61%	6.03%	5.55%	4.55%	5.69%	1.81%	1.88%	2.54%	6.01%	8.63%	0.98%	3.35%	7.89%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	39672	475	772	855	565	950	603	455	640	568	672	1005	788	832	831	680	823	643	518	645	693	698	571	519	232	1009	265	599	652	262	640	574	641	424	261	285	989	301	639	251	667	579	285	576	622	649	457	563	535	623	622	107	377	684	706	526	395	467	492	951	917	731	485	643	959	1076	153					
		54.37%	56.82%	57.70%	58.97%	56.33%	57.40%	66.34%	56.31%	58.72%	47.93%	57.44%	67.13%	65.23%	59.17%	62.11%	56.11%	61.01%	58.67%	55.88%	56.28%	56.80%	57.69%	56.42%	56.47%	22.18%	66.16%	24.72%	57.16%	65.00%	24.55%	57.19%	58.39%	58.11%	39.52%	24.03%	27.62%	64.85%	29.14%	69.53%	24.70%	57.16%	60.00%	26.71%	60.82%	60.62%	64.00%	51.87%	61.94%	56.91%	57.16%	47.99%	31.94%	55.44%	61.13%	53.04%	59.84%	56.19%	68.48%	41.80%	68.81%	66.45%	66.27%	44.13%	39.62%	62.89%	69.29%	33.55%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	566	4	11	16	5	12	10	10	7	6	10	8	7	14	14	12	15	14	8	6	13	7	5	5	10	7	9	6	5	10	11	9	4	9	3	9	7	4	5	9	9	9	9	6	8	9	7	10	5	8	8	3	15	4	8	6	0	15	10	19	7	4	7	14	7	12	11					
		0.78%	0.48%	0.82%	1.10%	0.50%	0.73%	1.10%	1.24%	0.64%	0.51%	0.85%	0.53%	0.58%	0.99%	1.05%	0.99%	1.11%	1.28%	0.86%	0.52%	1.07%	0.58%	0.49%	0.54%	0.96%	0.46%	0.84%	0.57%	0.50%	0.94%	0.98%	0.92%	0.36%	0.84%	0.28%	0.87%	0.46%	0.39%	0.54%	0.89%	0.77%	0.93%	0.84%	0.63%	0.78%	0.89%	0.79%	1.10%	0.53%	0.73%	0.62%	0.90%	2.21%	0.36%	0.60%	0.68%	0.00%	2.20%	0.85%	1.37%	0.51%	0.36%	0.64%	0.86%	0.46%	0.77%	2.41%					
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
																																																																									
