Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																		
Дата голосования: 18.09.2016																																																																																		
																																																																																		
Наименование Избирательной комиссии:    Керченская																																																																																		
																																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																		
																																																																																		
		Сумма	УИК №118	УИК №119	УИК №120	УИК №121	УИК №122	УИК №123	УИК №124	УИК №125	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135	УИК №136	УИК №137	УИК №138	УИК №139	УИК №140	УИК №141	УИК №142	УИК №143	УИК №144	УИК №145	УИК №146	УИК №147	УИК №148	УИК №149	УИК №150	УИК №151	УИК №152	УИК №153	УИК №154	УИК №155	УИК №156	УИК №157	УИК №158	УИК №159	УИК №160	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1990	10	10	30	20	45	30	20	35	30	45	20	35	30	35	45	45	45	35	30	35	15	20	35	35	35	30	35	35	15	35	35	20	30	20	30	30	45	15	35	30	20	10	30	35	35	45	45	45	35	35	30	5	35	35	20	35	15	35	35	25	35	20	35	35	25	20	5	0	0	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	823	0	9	10	9	21	15	12	20	5	27	11	15	15	14	19	16	19	17	11	12	7	3	10	11	22	16	21	11	7	14	15	9	9	9	14	16	23	10	13	9	7	4	13	9	15	12	26	15	11	12	3	0	21	15	5	13	14	9	11	12	15	9	11	23	6	3	3	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	939	9	18	7	9	19	14	11	9	10	21	13	14	14	23	21	10	16	39	8	9	11	8	15	21	16	12	9	12	14	10	17	18	12	11	8	14	26	11	17	5	9	52	9	15	9	10	13	15	11	7	7	6	7	14	10	10	9	17	14	9	26	6	9	13	9	21	9	22	2	8	0									
14	Число погашенных неиспользованных открепительных удостоверений	1167	10	1	20	11	24	15	8	15	25	18	9	20	15	21	26	29	26	18	19	23	8	17	25	24	13	14	14	24	8	21	20	11	21	11	16	14	22	5	22	21	13	6	17	26	20	33	19	30	24	23	27	5	14	20	15	22	1	26	24	13	20	11	24	12	19	17	2	0	0	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	34	0	1	0	0	1	1	0	0	0	1	0	0	0	3	1	1	5	1	1	1	0	0	0	0	1	1	0	0	0	3	1	1	0	0	0	1	0	0	1	0	0	0	0	0	0	3	2	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	828	4	11	7	5	21	11	8	15	5	18	10	15	16	26	20	12	24	18	7	8	4	3	14	8	17	13	10	15	5	15	12	2	11	7	17	16	27	9	5	19	11	8	12	14	14	11	29	11	25	16	11	2	14	8	10	29	13	10	9	12	6	11	7	13	7	11	4	3	2	5	0									
		1.72%	1.59%	1.98%	1.48%	1.07%	2.30%	1.60%	2.01%	2.19%	0.93%	1.68%	1.82%	1.58%	2.31%	2.55%	1.82%	1.17%	2.39%	2.02%	0.94%	0.96%	1.10%	0.79%	2.02%	0.84%	1.77%	1.76%	1.56%	1.96%	1.36%	1.76%	1.45%	0.43%	1.80%	1.33%	2.49%	2.48%	2.91%	2.30%	0.66%	2.40%	2.08%	1.37%	1.54%	1.58%	1.68%	1.12%	2.99%	1.06%	2.82%	1.79%	1.63%	1.44%	1.56%	0.95%	2.13%	2.88%	3.16%	1.14%	1.19%	1.65%	0.85%	1.91%	0.78%	1.31%	1.32%	1.69%	2.92%	2.31%	1.74%	4.59%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	643	5	9	7	7	11	5	6	7	4	18	7	7	13	12	9	12	16	17	9	12	7	5	9	11	13	6	8	15	6	9	13	5	9	13	10	9	22	8	13	10	0	14	10	8	19	6	12	7	16	13	8	0	18	5	6	11	6	13	10	6	3	8	11	15	6	9	4	2	2	0	1									
		1.33%	1.99%	1.62%	1.48%	1.50%	1.20%	0.73%	1.51%	1.02%	0.74%	1.68%	1.28%	0.74%	1.88%	1.18%	0.82%	1.17%	1.59%	1.91%	1.21%	1.44%	1.93%	1.32%	1.30%	1.16%	1.36%	0.81%	1.25%	1.96%	1.63%	1.06%	1.57%	1.07%	1.47%	2.47%	1.46%	1.40%	2.37%	2.05%	1.72%	1.26%	0.00%	2.40%	1.28%	0.90%	2.28%	0.61%	1.24%	0.67%	1.81%	1.45%	1.19%	0.00%	2.01%	0.60%	1.28%	1.09%	1.46%	1.48%	1.32%	0.82%	0.43%	1.39%	1.22%	1.51%	1.13%	1.38%	2.92%	1.54%	1.74%	0.00%	25.00%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	473	1	4	2	3	8	7	3	11	7	9	7	10	6	6	27	7	9	13	3	5	4	1	6	5	8	15	4	7	2	4	10	6	6	4	12	8	6	3	10	9	7	3	14	4	10	16	5	14	9	4	5	0	6	8	1	12	4	13	3	5	2	9	10	10	7	5	0	5	2	2	0									
		0.98%	0.40%	0.72%	0.42%	0.64%	0.87%	1.02%	0.75%	1.61%	1.30%	0.84%	1.28%	1.06%	0.87%	0.59%	2.45%	0.68%	0.90%	1.46%	0.40%	0.60%	1.10%	0.26%	0.86%	0.53%	0.84%	2.04%	0.62%	0.92%	0.54%	0.47%	1.21%	1.28%	0.98%	0.76%	1.75%	1.24%	0.65%	0.77%	1.32%	1.14%	1.32%	0.51%	1.79%	0.45%	1.20%	1.62%	0.52%	1.35%	1.02%	0.45%	0.74%	0.00%	0.67%	0.95%	0.21%	1.19%	0.97%	1.48%	0.40%	0.69%	0.28%	1.57%	1.11%	1.01%	1.32%	0.77%	0.00%	3.85%	1.74%	1.83%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	33525	189	404	312	326	625	483	271	493	381	747	379	680	452	717	745	670	707	589	520	533	248	274	481	683	670	497	487	549	253	603	588	328	398	361	465	418	620	269	533	572	361	327	520	655	535	677	648	716	597	636	487	119	656	632	331	722	309	616	555	513	525	394	635	703	355	446	93	83	80	77	2									
		69.53%	75.30%	72.66%	66.10%	69.96%	68.31%	70.20%	68.09%	71.97%	70.95%	69.55%	69.03%	71.81%	65.32%	70.43%	67.67%	65.11%	70.35%	66.25%	69.71%	64.14%	68.51%	72.11%	69.31%	72.12%	69.94%	67.44%	75.86%	71.86%	68.75%	70.77%	71.10%	70.09%	65.03%	68.50%	67.98%	64.81%	66.81%	68.80%	70.41%	72.31%	68.11%	55.99%	66.67%	74.10%	64.15%	68.66%	67.01%	68.91%	67.46%	71.14%	72.36%	85.61%	73.30%	75.24%	70.58%	71.70%	75.00%	70.08%	73.12%	70.37%	74.79%	68.52%	70.48%	70.72%	66.85%	68.62%	67.88%	63.85%	69.57%	70.64%	50.00%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	246	2	1	5	3	6	3	0	4	3	6	1	6	3	7	7	8	6	3	1	2	3	1	0	6	3	1	0	5	4	10	4	3	0	3	2	4	12	1	0	5	5	2	4	0	4	6	6	10	4	6	5	2	0	2	3	4	0	3	5	2	2	4	3	4	3	8	0	1	3	1	0									
		0.51%	0.80%	0.18%	1.06%	0.64%	0.66%	0.44%	0.00%	0.58%	0.56%	0.56%	0.18%	0.63%	0.43%	0.69%	0.64%	0.78%	0.60%	0.34%	0.13%	0.24%	0.83%	0.26%	0.00%	0.63%	0.31%	0.14%	0.00%	0.65%	1.09%	1.17%	0.48%	0.64%	0.00%	0.57%	0.29%	0.62%	1.29%	0.26%	0.00%	0.63%	0.94%	0.34%	0.51%	0.00%	0.48%	0.61%	0.62%	0.96%	0.45%	0.67%	0.74%	1.44%	0.00%	0.24%	0.64%	0.40%	0.00%	0.34%	0.66%	0.27%	0.28%	0.70%	0.33%	0.40%	0.56%	1.23%	0.00%	0.77%	2.61%	0.92%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	45	0	0	1	0	0	0	0	0	2	2	0	0	1	2	1	1	1	1	2	1	0	0	0	0	0	0	0	4	0	1	0	0	0	1	0	2	0	0	0	0	1	1	0	0	1	1	1	2	2	0	0	0	0	1	0	1	1	1	3	1	1	1	0	2	0	1	0	0	0	0	0									
		0.09%	0.00%	0.00%	0.21%	0.00%	0.00%	0.00%	0.00%	0.00%	0.37%	0.19%	0.00%	0.00%	0.14%	0.20%	0.09%	0.10%	0.10%	0.11%	0.27%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.12%	0.00%	0.00%	0.00%	0.19%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.19%	0.17%	0.00%	0.00%	0.12%	0.10%	0.10%	0.19%	0.23%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.10%	0.24%	0.11%	0.40%	0.14%	0.14%	0.17%	0.00%	0.20%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	6298	25	63	66	57	115	101	69	79	81	150	69	120	112	129	141	161	120	133	89	135	41	55	100	111	131	100	74	103	55	111	86	58	108	76	90	94	126	62	93	84	87	138	107	108	113	140	145	158	121	117	69	6	100	95	56	100	41	86	86	93	74	68	102	102	65	85	24	16	13	10	0									
		13.06%	9.96%	11.33%	13.98%	12.23%	12.57%	14.68%	17.34%	11.53%	15.08%	13.97%	12.57%	12.67%	16.18%	12.67%	12.81%	15.65%	11.94%	14.96%	11.93%	16.25%	11.33%	14.47%	14.41%	11.72%	13.67%	13.57%	11.53%	13.48%	14.95%	13.03%	10.40%	12.39%	17.65%	14.42%	13.16%	14.57%	13.58%	15.86%	12.29%	10.62%	16.42%	23.63%	13.72%	12.22%	13.55%	14.20%	14.99%	15.21%	13.67%	13.09%	10.25%	4.32%	11.17%	11.31%	11.94%	9.93%	9.95%	9.78%	11.33%	12.76%	10.54%	11.83%	11.32%	10.26%	12.24%	13.08%	17.52%	12.31%	11.30%	9.17%	0.00%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	213	2	5	7	1	4	5	0	2	1	5	4	0	1	4	5	5	2	4	9	2	1	2	1	2	5	10	2	2	1	4	2	2	3	2	1	4	0	0	3	4	0	2	8	3	4	3	3	2	3	2	3	0	16	1	1	1	0	8	5	2	4	6	5	2	2	2	0	2	1	3	0									
		0.44%	0.80%	0.90%	1.48%	0.21%	0.44%	0.73%	0.00%	0.29%	0.19%	0.47%	0.73%	0.00%	0.14%	0.39%	0.45%	0.49%	0.20%	0.45%	1.21%	0.24%	0.28%	0.53%	0.14%	0.21%	0.52%	1.36%	0.31%	0.26%	0.27%	0.47%	0.24%	0.43%	0.49%	0.38%	0.15%	0.62%	0.00%	0.00%	0.40%	0.51%	0.00%	0.34%	1.03%	0.34%	0.48%	0.30%	0.31%	0.19%	0.34%	0.22%	0.45%	0.00%	1.79%	0.12%	0.21%	0.10%	0.00%	0.91%	0.66%	0.27%	0.57%	1.04%	0.55%	0.20%	0.38%	0.31%	0.00%	1.54%	0.87%	2.75%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	173	0	2	1	1	3	4	1	5	1	7	2	5	4	2	7	4	4	1	4	1	2	2	8	2	3	1	3	2	1	4	1	1	2	3	2	2	10	0	3	6	2	3	3	5	1	2	0	6	2	0	4	0	2	2	0	3	0	1	1	1	5	3	3	1	3	1	0	1	1	0	0									
		0.36%	0.00%	0.36%	0.21%	0.21%	0.33%	0.58%	0.25%	0.73%	0.19%	0.65%	0.36%	0.53%	0.58%	0.20%	0.64%	0.39%	0.40%	0.11%	0.54%	0.12%	0.55%	0.53%	1.15%	0.21%	0.31%	0.14%	0.47%	0.26%	0.27%	0.47%	0.12%	0.21%	0.33%	0.57%	0.29%	0.31%	1.08%	0.00%	0.40%	0.76%	0.38%	0.51%	0.38%	0.57%	0.12%	0.20%	0.00%	0.58%	0.23%	0.00%	0.59%	0.00%	0.22%	0.24%	0.00%	0.30%	0.00%	0.11%	0.13%	0.14%	0.71%	0.52%	0.33%	0.10%	0.56%	0.15%	0.00%	0.77%	0.87%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	22	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	1	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	2	0	1	0	0	2	1	1	0	0	0	0									
		0.05%	0.00%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.26%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.16%	0.00%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.19%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.22%	0.00%	0.00%	0.00%	0.00%	0.00%	0.10%	0.00%	0.00%	0.00%	0.27%	0.00%	0.17%	0.00%	0.00%	0.38%	0.15%	0.73%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	275	2	3	1	2	1	5	0	2	4	3	3	8	7	7	5	9	1	5	3	1	1	6	5	9	1	3	1	4	3	3	4	0	2	4	13	7	9	2	1	7	7	2	10	5	0	4	4	4	9	7	5	0	1	4	4	6	2	4	8	4	6	4	6	3	3	5	0	0	0	1	0									
		0.57%	0.80%	0.54%	0.21%	0.43%	0.11%	0.73%	0.00%	0.29%	0.74%	0.28%	0.55%	0.84%	1.01%	0.69%	0.45%	0.87%	0.10%	0.56%	0.40%	0.12%	0.28%	1.58%	0.72%	0.95%	0.10%	0.41%	0.16%	0.52%	0.82%	0.35%	0.48%	0.00%	0.33%	0.76%	1.90%	1.09%	0.97%	0.51%	0.13%	0.88%	1.32%	0.34%	1.28%	0.57%	0.00%	0.41%	0.41%	0.38%	1.02%	0.78%	0.74%	0.00%	0.11%	0.48%	0.85%	0.60%	0.49%	0.46%	1.05%	0.55%	0.85%	0.70%	0.67%	0.30%	0.56%	0.77%	0.00%	0.00%	0.00%	0.92%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3168	12	23	29	35	56	27	26	42	27	66	48	49	56	64	90	91	70	66	50	83	23	19	38	70	61	53	36	37	25	53	56	33	9	28	46	46	55	24	59	47	29	45	56	59	83	72	61	61	55	61	48	8	38	41	39	74	19	56	39	52	46	40	73	73	48	39	5	8	6	6	0									
		6.57%	4.78%	4.14%	6.14%	7.51%	6.12%	3.92%	6.53%	6.13%	5.03%	6.15%	8.74%	5.17%	8.09%	6.29%	8.17%	8.84%	6.97%	7.42%	6.70%	9.99%	6.35%	5.00%	5.48%	7.39%	6.37%	7.19%	5.61%	4.84%	6.79%	6.22%	6.77%	7.05%	1.47%	5.31%	6.73%	7.13%	5.93%	6.14%	7.79%	5.94%	5.47%	7.71%	7.18%	6.67%	9.95%	7.30%	6.31%	5.87%	6.21%	6.82%	7.13%	5.76%	4.25%	4.88%	8.32%	7.35%	4.61%	6.37%	5.14%	7.13%	6.55%	6.96%	8.10%	7.34%	9.04%	6.00%	3.65%	6.15%	5.22%	5.50%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	103	2	1	2	1	5	3	1	1	2	2	0	2	0	1	0	3	1	2	4	2	0	0	2	1	0	2	1	1	0	0	5	1	0	0	1	1	1	0	3	1	1	2	2	2	2	3	1	6	1	1	3	0	5	2	1	3	0	2	0	0	2	0	3	0	2	2	0	1	0	0	1									
		0.21%	0.80%	0.18%	0.42%	0.21%	0.55%	0.44%	0.25%	0.15%	0.37%	0.19%	0.00%	0.21%	0.00%	0.10%	0.00%	0.29%	0.10%	0.22%	0.54%	0.24%	0.00%	0.00%	0.29%	0.11%	0.00%	0.27%	0.16%	0.13%	0.00%	0.00%	0.60%	0.21%	0.00%	0.00%	0.15%	0.16%	0.11%	0.00%	0.40%	0.13%	0.19%	0.34%	0.26%	0.23%	0.24%	0.30%	0.10%	0.58%	0.11%	0.11%	0.45%	0.00%	0.56%	0.24%	0.21%	0.30%	0.00%	0.23%	0.00%	0.00%	0.28%	0.00%	0.33%	0.00%	0.38%	0.31%	0.00%	0.77%	0.00%	0.00%	25.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1486	3	13	22	23	39	28	12	17	10	32	13	27	15	36	21	32	29	21	29	33	17	5	21	25	39	28	12	17	7	27	27	18	19	13	19	17	20	9	27	21	13	18	28	21	37	36	31	35	26	23	15	1	20	21	13	25	11	31	25	32	21	20	36	48	20	20	3	8	3	2	0									
		3.08%	1.20%	2.34%	4.66%	4.94%	4.26%	4.07%	3.02%	2.48%	1.86%	2.98%	2.37%	2.85%	2.17%	3.54%	1.91%	3.11%	2.89%	2.36%	3.89%	3.97%	4.70%	1.32%	3.03%	2.64%	4.07%	3.80%	1.87%	2.23%	1.90%	3.17%	3.26%	3.85%	3.10%	2.47%	2.78%	2.64%	2.16%	2.30%	3.57%	2.65%	2.45%	3.08%	3.59%	2.38%	4.44%	3.65%	3.21%	3.37%	2.94%	2.57%	2.23%	0.72%	2.23%	2.50%	2.77%	2.48%	2.67%	3.53%	3.29%	4.39%	2.99%	3.48%	3.99%	4.83%	3.77%	3.08%	2.19%	6.15%	2.61%	1.83%	0.00%									
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
