Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																													
Дата голосования: 07.12.2003 0:00:00																																													
																																													
Наименование Избирательной комиссии:    Ленинск-Кузнецкая																																													
																																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																													
																																													
		Сумма	УИК  1279	УИК  1280	УИК  1281	УИК  1282	УИК  1283	УИК  1284	УИК  1285	УИК  1286	УИК  1287	УИК  1288	УИК  1289	УИК  1290	УИК  1291	УИК  1292	УИК  1293	УИК  1294	УИК  1295	УИК  1296	УИК  1297	УИК  1298	УИК  1299	УИК  1300	УИК  1301	УИК  1302	УИК  1303	УИК  1304	УИК  1305	УИК  1306	УИК  1307	УИК  1308	УИК  1309	УИК  1310	УИК  1311	УИК  1312	УИК  1313	УИК  1314	УИК  1315	УИК  1316					
22	"5. ""За Русь Святую"""	44	2	1	2	1	4	2	0	0	0	3	5	1	1	1	1	1	0	0	2	2	0	0	0	2	0	3	4	0	0	2	0	0	0	1	2	0	1	0					
		0.28%	0.32%	0.55%	0.36%	0.41%	1.84%	0.26%	0.0%	0.0%	0.0%	0.47%	2.17%	0.78%	0.12%	0.37%	0.40%	0.18%	0.0%	0.0%	0.25%	0.23%	0.0%	0.0%	0.0%	1.78%	0.0%	0.40%	0.52%	0.0%	0.0%	0.45%	0.0%	0.0%	0.0%	0.33%	0.26%	0.0%	0.13%	0.0%					
23	"6. ""Объединенная Российская партия ""Русь"""	31	4	0	0	0	0	3	2	0	0	2	0	0	2	0	0	0	0	0	2	1	3	0	2	1	0	1	1	0	1	0	0	0	1	0	1	1	3	0					
		0.20%	0.64%	0.0%	0.0%	0.0%	0.0%	0.40%	0.59%	0.0%	0.0%	0.31%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.11%	0.72%	0.0%	0.32%	0.89%	0.0%	0.13%	0.13%	0.0%	0.52%	0.0%	0.0%	0.0%	0.22%	0.0%	0.13%	1.02%	0.39%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	54	1	2	1	0	2	0	5	0	1	3	3	0	0	6	1	0	0	2	5	2	3	0	2	1	1	1	5	0	1	0	0	0	1	0	3	0	2	0					
		0.35%	0.16%	1.11%	0.18%	0.0%	0.92%	0.0%	1.49%	0.0%	0.36%	0.47%	1.30%	0.0%	0.0%	2.24%	0.40%	0.0%	0.0%	1.33%	0.63%	0.23%	0.72%	0.0%	0.32%	0.89%	0.21%	0.13%	0.65%	0.0%	0.52%	0.0%	0.0%	0.0%	0.22%	0.0%	0.39%	0.0%	0.26%	0.0%					
25	"8. ""Народно-республиканская партия России"""	11	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.0%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.81%	0.0%	0.0%	0.0%	0.25%	0.0%	0.24%	0.54%	0.16%	0.0%	0.0%	0.0%	0.0%	0.61%	0.52%	0.22%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	15	2	0	0	0	0	2	0	0	2	0	0	0	2	0	0	0	0	1	0	1	0	0	1	0	0	0	2	0	1	0	0	0	0	0	0	0	0	1					
		0.09%	0.32%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.66%	0.0%	0.11%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.26%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.56%					
27	"10. ""Аграрная партия России"""	736	51	6	16	5	15	17	3	5	6	20	10	1	27	9	42	29	19	7	70	48	11	1	22	0	25	42	51	0	18	35	3	4	27	14	27	2	47	1					
		4.80%	8.27%	3.35%	2.89%	2.05%	6.91%	2.27%	0.89%	2.13%	2.18%	3.13%	4.34%	0.78%	3.37%	3.37%	17.21%	5.48%	3.8%	4.66%	8.88%	5.72%	2.65%	0.54%	3.61%	0.0%	5.25%	5.65%	6.71%	0.0%	9.52%	7.99%	2.56%	4.30%	6.02%	4.71%	3.59%	2.04%	6.21%	0.56%					
28	"11. ""Истинные патриоты России"""	11	1	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	3	0	3	0	0	1	0	0	0	0	1	0	0	0					
		0.07%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.39%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	77	12	1	0	0	0	2	0	4	0	2	0	0	1	1	0	5	1	0	1	2	0	2	0	0	10	4	6	2	2	5	0	1	1	5	3	2	0	2					
		0.50%	1.94%	0.55%	0.0%	0.0%	0.0%	0.26%	0.0%	1.70%	0.0%	0.31%	0.0%	0.0%	0.12%	0.37%	0.0%	0.94%	0.2%	0.0%	0.12%	0.23%	0.0%	1.09%	0.0%	0.0%	2.10%	0.53%	0.78%	1.23%	1.05%	1.14%	0.0%	1.07%	0.22%	1.68%	0.39%	2.04%	0.0%	1.12%					
30	"13. ""Демократическая партия России"""	14	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	2	0	1	0	0	2	1	0	0	0	0	0	0	1	4	0	1	0					
		0.09%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.43%	0.0%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.16%	0.0%	0.0%	0.26%	0.13%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.33%	0.53%	0.0%	0.13%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	1	0	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	3	5	0	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0					
		0.10%	0.16%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.43%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.59%	0.0%	0.54%	0.0%	0.0%	0.21%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	6	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0					
		0.03%	0.0%	0.0%	0.18%	0.82%	0.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.16%	0.0%	0.0%	0.0%	0.0%	0.61%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	490	17	16	9	11	15	40	8	2	17	17	18	0	42	2	5	12	15	3	17	22	14	3	2	0	21	23	50	13	5	8	1	1	14	10	22	0	11	4					
		3.19%	2.75%	8.93%	1.62%	4.52%	6.91%	5.35%	2.39%	0.85%	6.20%	2.66%	7.82%	0.0%	5.25%	0.74%	2.04%	2.26%	3.0%	2.0%	2.15%	2.62%	3.38%	1.64%	0.32%	0.0%	4.41%	3.09%	6.57%	8.02%	2.64%	1.82%	0.85%	1.07%	3.12%	3.36%	2.92%	0.0%	1.45%	2.25%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	62	3	0	0	0	0	1	0	1	0	3	1	0	1	1	0	2	4	0	0	2	4	0	3	0	4	0	0	17	0	1	0	0	0	3	4	2	4	1					
		0.40%	0.48%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.42%	0.0%	0.47%	0.43%	0.0%	0.12%	0.37%	0.0%	0.37%	0.8%	0.0%	0.0%	0.23%	0.96%	0.0%	0.49%	0.0%	0.84%	0.0%	0.0%	10.49%	0.0%	0.22%	0.0%	0.0%	0.0%	1.01%	0.53%	2.04%	0.52%	0.56%					
35	"18. ""ЛДПР"""	1605	95	23	41	23	15	71	34	26	24	79	35	2	102	27	33	44	55	5	83	97	42	10	101	12	40	109	90	26	19	24	0	4	44	39	44	19	49	19					
		10.46%	15.42%	12.84%	7.41%	9.46%	6.91%	9.50%	10.17%	11.11%	8.75%	12.38%	15.21%	1.56%	12.75%	10.11%	13.52%	8.31%	11.0%	3.33%	10.53%	11.57%	10.14%	5.49%	16.58%	10.71%	8.40%	14.67%	11.84%	16.04%	10.05%	5.47%	0.0%	4.30%	9.82%	13.13%	5.85%	19.38%	6.48%	10.73%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	144	8	3	3	4	1	7	2	0	5	5	1	0	9	2	2	7	4	0	5	7	5	4	8	0	6	7	5	2	5	3	0	0	2	0	11	3	3	5					
		0.93%	1.29%	1.67%	0.54%	1.64%	0.46%	0.93%	0.59%	0.0%	1.82%	0.78%	0.43%	0.0%	1.12%	0.74%	0.81%	1.32%	0.8%	0.0%	0.63%	0.83%	1.20%	2.19%	1.31%	0.0%	1.26%	0.94%	0.65%	1.23%	2.64%	0.68%	0.0%	0.0%	0.44%	0.0%	1.46%	3.06%	0.39%	2.82%					
37	"20. ""Политическая партия ""Единая Россия"""	9721	260	93	414	149	140	491	264	177	174	369	100	102	483	169	106	361	362	126	469	526	256	127	399	90	268	432	426	74	112	293	107	67	283	170	543	39	568	132					
		63.40%	42.20%	51.95%	74.86%	61.31%	64.51%	65.72%	79.04%	75.64%	63.50%	57.83%	43.47%	79.68%	60.37%	63.29%	43.44%	68.24%	72.4%	84.0%	59.51%	62.76%	61.83%	69.78%	65.51%	80.35%	56.30%	58.14%	56.05%	45.67%	59.25%	66.89%	91.45%	72.04%	63.16%	57.23%	72.20%	39.79%	75.13%	74.57%					
38	"21. ""Российская Конституционно-демократическая партия"""	43	3	1	5	0	1	0	0	0	2	2	0	3	2	1	2	2	1	0	0	0	0	1	1	0	4	1	0	2	0	0	0	0	1	1	3	1	2	1					
		0.28%	0.48%	0.55%	0.90%	0.0%	0.46%	0.0%	0.0%	0.0%	0.72%	0.31%	0.0%	2.34%	0.25%	0.37%	0.81%	0.37%	0.2%	0.0%	0.0%	0.0%	0.0%	0.54%	0.16%	0.0%	0.84%	0.13%	0.0%	1.23%	0.0%	0.0%	0.0%	0.0%	0.22%	0.33%	0.39%	1.02%	0.26%	0.56%					
39	"22. ""Развитие предпринимательства"""	23	2	0	2	0	0	4	0	0	1	2	0	0	1	0	0	0	0	0	0	5	0	0	1	0	1	0	1	0	0	1	0	0	0	0	2	0	0	0					
		0.15%	0.32%	0.0%	0.36%	0.0%	0.0%	0.53%	0.0%	0.0%	0.36%	0.31%	0.0%	0.0%	0.12%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.59%	0.0%	0.0%	0.16%	0.0%	0.21%	0.0%	0.13%	0.0%	0.0%	0.22%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1033	84	19	21	29	7	54	6	4	13	61	24	9	72	39	30	24	10	1	62	64	21	16	33	2	35	48	52	11	13	19	3	7	30	22	41	17	24	6					
		6.73%	13.63%	10.61%	3.79%	11.93%	3.22%	7.22%	1.79%	1.70%	4.74%	9.56%	10.43%	7.03%	9.0%	14.60%	12.29%	4.53%	2.0%	0.66%	7.86%	7.63%	5.07%	8.79%	5.41%	1.78%	7.35%	6.46%	6.84%	6.79%	6.87%	4.33%	2.56%	7.52%	6.69%	7.40%	5.45%	17.34%	3.17%	3.38%					
																																													
41	Против всех	441	22	6	12	11	9	28	4	7	13	22	14	1	15	5	8	13	12	3	26	22	23	5	10	2	32	20	17	12	3	13	3	4	13	5	15	7	3	1					
		2.87%	3.57%	3.35%	2.16%	4.52%	4.14%	3.74%	1.19%	2.99%	4.74%	3.44%	6.08%	0.78%	1.87%	1.87%	3.27%	2.45%	2.4%	2.0%	3.29%	2.62%	5.55%	2.74%	1.64%	1.78%	6.72%	2.69%	2.23%	7.40%	1.58%	2.96%	2.56%	4.30%	2.90%	1.68%	1.99%	7.14%	0.39%	0.56%					
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
																																													
