Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																
Дата голосования: 07.12.2003 0:00:00																																
																																
Наименование Избирательной комиссии:    Сенгилеевская																																
																																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																
																																
		Сумма	УИК  507	УИК  508	УИК  509	УИК  510	УИК  511	УИК  512	УИК  513	УИК  514	УИК  515	УИК  516	УИК  517	УИК  518	УИК  519	УИК  520	УИК  521	УИК  522	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531					
20	"3. ""РОССИЙСКАЯ ПАРТИЯ ПЕНСИОНЕРОВ И ПАРТИЯ СОЦИАЛЬНОЙ СПРАВЕДЛИВОСТИ"""	282	5	12	25	23	22	15	1	20	55	24	5	6	2	5	9	14	3	0	5	0	6	2	8	7	8					
		2.17%	1.69%	2.45%	2.99%	3.49%	2.90%	2.09%	1.44%	2.36%	5.71%	1.59%	0.63%	1.50%	0.88%	0.92%	2.41%	2.59%	0.89%	0.0%	1.06%	0.0%	1.47%	1.06%	1.43%	2.31%	1.65%					
21	"4. ""Российская демократическая партия ""ЯБЛОКО"""	214	5	22	22	12	13	19	1	7	16	26	10	0	1	21	0	4	6	0	5	2	3	1	10	4	4					
		1.65%	1.69%	4.49%	2.63%	1.82%	1.71%	2.65%	1.44%	0.82%	1.66%	1.73%	1.27%	0.0%	0.44%	3.90%	0.0%	0.74%	1.79%	0.0%	1.06%	1.29%	0.73%	0.53%	1.79%	1.32%	0.82%					
22	"5. ""За Русь Святую"""	77	3	7	7	3	8	2	2	0	2	5	7	2	2	3	2	1	4	1	3	4	3	1	2	1	2					
		0.59%	1.01%	1.43%	0.83%	0.45%	1.05%	0.27%	2.89%	0.0%	0.20%	0.33%	0.89%	0.50%	0.88%	0.55%	0.53%	0.18%	1.19%	1.40%	0.63%	2.58%	0.73%	0.53%	0.35%	0.33%	0.41%					
23	"6. ""Объединенная Российская партия ""Русь"""	36	1	2	2	3	2	4	1	1	0	5	3	0	0	1	0	4	0	0	1	2	0	2	2	0	0					
		0.27%	0.33%	0.40%	0.23%	0.45%	0.26%	0.55%	1.44%	0.11%	0.0%	0.33%	0.38%	0.0%	0.0%	0.18%	0.0%	0.74%	0.0%	0.0%	0.21%	1.29%	0.0%	1.06%	0.35%	0.0%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	72	2	3	7	5	10	4	0	3	5	11	2	3	1	0	2	2	2	0	3	0	3	0	3	0	1					
		0.55%	0.67%	0.61%	0.83%	0.75%	1.31%	0.55%	0.0%	0.35%	0.51%	0.73%	0.25%	0.75%	0.44%	0.0%	0.53%	0.37%	0.59%	0.0%	0.63%	0.0%	0.73%	0.0%	0.53%	0.0%	0.20%					
25	"8. ""Народно-республиканская партия России"""	19	0	1	2	0	0	0	1	1	1	3	1	0	0	2	0	0	3	0	0	0	3	0	1	0	0					
		0.14%	0.0%	0.20%	0.23%	0.0%	0.0%	0.0%	1.44%	0.11%	0.10%	0.19%	0.12%	0.0%	0.0%	0.37%	0.0%	0.0%	0.89%	0.0%	0.0%	0.0%	0.73%	0.0%	0.17%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	13	1	2	1	0	2	1	0	0	1	1	0	1	0	1	0	2	0	0	0	0	0	0	0	0	0					
		0.10%	0.33%	0.40%	0.11%	0.0%	0.26%	0.13%	0.0%	0.0%	0.10%	0.06%	0.0%	0.25%	0.0%	0.18%	0.0%	0.37%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	728	10	21	38	44	33	29	1	23	16	43	19	45	17	21	80	55	47	2	17	11	38	15	43	17	43					
		5.61%	3.38%	4.29%	4.55%	6.67%	4.35%	4.05%	1.44%	2.71%	1.66%	2.86%	2.42%	11.30%	7.48%	3.90%	21.50%	10.18%	14.07%	2.81%	3.62%	7.09%	9.31%	7.97%	7.70%	5.61%	8.90%					
28	"11. ""Истинные патриоты России"""	14	0	1	2	2	0	1	0	0	2	4	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0					
		0.10%	0.0%	0.20%	0.23%	0.30%	0.0%	0.13%	0.0%	0.0%	0.20%	0.26%	0.0%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	122	2	5	10	10	2	7	1	10	8	15	6	5	1	2	5	5	4	0	2	6	6	1	4	1	4					
		0.94%	0.67%	1.02%	1.19%	1.51%	0.26%	0.97%	1.44%	1.18%	0.83%	0.99%	0.76%	1.25%	0.44%	0.37%	1.34%	0.92%	1.19%	0.0%	0.42%	3.87%	1.47%	0.53%	0.71%	0.33%	0.82%					
30	"13. ""Демократическая партия России"""	43	2	0	1	1	2	4	0	7	7	1	6	1	0	0	1	0	1	0	3	0	0	2	2	0	2					
		0.33%	0.67%	0.0%	0.11%	0.15%	0.26%	0.55%	0.0%	0.82%	0.72%	0.06%	0.76%	0.25%	0.0%	0.0%	0.26%	0.0%	0.29%	0.0%	0.63%	0.0%	0.0%	1.06%	0.35%	0.0%	0.41%					
31	"14. ""Великая Россия - Евразийский Союз"""	22	1	0	1	3	1	0	0	1	3	3	2	0	0	0	1	0	0	0	1	1	0	0	2	1	1					
		0.16%	0.33%	0.0%	0.11%	0.45%	0.13%	0.0%	0.0%	0.11%	0.31%	0.19%	0.25%	0.0%	0.0%	0.0%	0.26%	0.0%	0.0%	0.0%	0.21%	0.64%	0.0%	0.0%	0.35%	0.33%	0.20%					
32	"15. ""Партия СЛОН"""	19	1	1	3	0	0	0	1	1	2	5	0	1	0	0	0	0	0	0	0	1	0	0	0	1	2					
		0.14%	0.33%	0.20%	0.35%	0.0%	0.0%	0.0%	1.44%	0.11%	0.20%	0.33%	0.0%	0.25%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.33%	0.41%					
33	"16. ""Родина"" (народно-патриотический союз)"""	812	25	45	50	47	50	47	0	71	93	116	33	11	9	15	14	26	17	1	28	5	26	4	26	10	43					
		6.26%	8.47%	9.20%	5.98%	7.13%	6.59%	6.56%	0.0%	8.39%	9.65%	7.72%	4.20%	2.76%	3.96%	2.78%	3.76%	4.81%	5.08%	1.40%	5.97%	3.22%	6.37%	2.12%	4.65%	3.30%	8.90%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	35	0	0	1	4	3	0	0	3	3	6	2	0	3	0	0	2	1	0	2	1	1	0	0	1	2					
		0.27%	0.0%	0.0%	0.11%	0.60%	0.39%	0.0%	0.0%	0.35%	0.31%	0.39%	0.25%	0.0%	1.32%	0.0%	0.0%	0.37%	0.29%	0.0%	0.42%	0.64%	0.24%	0.0%	0.0%	0.33%	0.41%					
35	"18. ""ЛДПР"""	1674	41	54	105	106	126	109	4	134	143	216	54	22	8	51	52	49	32	9	66	13	35	35	106	37	67					
		12.91%	13.89%	11.04%	12.57%	16.08%	16.62%	15.22%	5.79%	15.83%	14.84%	14.38%	6.88%	5.52%	3.52%	9.47%	13.97%	9.07%	9.58%	12.67%	14.07%	8.38%	8.57%	18.61%	18.99%	12.21%	13.87%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	326	7	18	29	22	19	32	0	10	20	65	16	7	2	3	4	20	1	0	9	3	6	3	15	6	9					
		2.51%	2.37%	3.68%	3.47%	3.33%	2.50%	4.46%	0.0%	1.18%	2.07%	4.32%	2.04%	1.75%	0.88%	0.55%	1.07%	3.70%	0.29%	0.0%	1.91%	1.93%	1.47%	1.59%	2.68%	1.98%	1.86%					
37	"20. ""Политическая партия ""Единая Россия"""	5276	106	182	288	239	304	299	36	294	344	452	467	240	105	320	133	172	158	46	233	67	176	78	224	128	185					
		40.70%	35.93%	37.21%	34.49%	36.26%	40.10%	41.75%	52.17%	34.75%	35.72%	30.09%	59.56%	60.30%	46.25%	59.47%	35.75%	31.85%	47.30%	64.78%	49.68%	43.22%	43.13%	41.48%	40.14%	42.24%	38.30%					
38	"21. ""Российская Конституционно-демократическая партия"""	23	0	0	0	0	2	1	2	3	2	1	1	1	0	1	0	2	0	0	0	2	0	0	0	2	3					
		0.17%	0.0%	0.0%	0.0%	0.0%	0.26%	0.13%	2.89%	0.35%	0.20%	0.06%	0.12%	0.25%	0.0%	0.18%	0.0%	0.37%	0.0%	0.0%	0.0%	1.29%	0.0%	0.0%	0.0%	0.66%	0.62%					
39	"22. ""Развитие предпринимательства"""	34	0	1	1	3	4	1	0	2	2	4	0	3	0	0	0	3	1	0	2	1	1	0	3	1	1					
		0.26%	0.0%	0.20%	0.11%	0.45%	0.52%	0.13%	0.0%	0.23%	0.20%	0.26%	0.0%	0.75%	0.0%	0.0%	0.0%	0.55%	0.29%	0.0%	0.42%	0.64%	0.24%	0.0%	0.53%	0.33%	0.20%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1843	46	90	172	73	92	73	10	151	140	292	79	30	60	66	30	113	38	5	54	14	62	17	53	33	50					
		14.22%	15.59%	18.40%	20.59%	11.07%	12.13%	10.19%	14.49%	17.84%	14.53%	19.44%	10.07%	7.53%	26.43%	12.26%	8.06%	20.92%	11.37%	7.04%	11.51%	9.03%	15.19%	9.04%	9.49%	10.89%	10.35%					
																																
41	Против всех	566	17	14	33	27	27	33	5	52	51	97	32	8	6	12	13	12	9	2	18	7	13	9	27	26	16					
		4.36%	5.76%	2.86%	3.95%	4.09%	3.56%	4.60%	7.24%	6.14%	5.29%	6.45%	4.08%	2.01%	2.64%	2.23%	3.49%	2.22%	2.69%	2.81%	3.83%	4.51%	3.18%	4.78%	4.83%	8.58%	3.31%					
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
																																
