Выборы Президента Российской Федерации																																					
																																					
Наименование Избирательной комиссии:    Камешковская																																					
																																					
Итоги голосования 																																					
																																					
		Сумма	УИК  596	УИК  597	УИК  598	УИК  599	УИК  600	УИК  601	УИК  602	УИК  603	УИК  604	УИК  605	УИК  606	УИК  607	УИК  608	УИК  609	УИК  610	УИК  611	УИК  612	УИК  613	УИК  614	УИК  615	УИК  616	УИК  617	УИК  618	УИК  619	УИК  620	УИК  621	УИК  622	УИК  623	УИК  624	УИК  625					
		2.00%	2.23%	2.21%	3.21%	2.22%	2.00%	2.05%	2.95%	1.89%	1.14%	4.30%	1.24%	2.21%	1.43%	1.30%	0.33%	1.92%	1.18%	1.46%	4.41%	2.02%	3.60%	1.17%	1.31%	2.98%	0.89%	2.54%	0.99%	1.98%	0.79%	2.31%					
23	. Харитонов Николай Михайлович	2499	143	135	162	155	131	153	148	186	36	10	108	96	96	41	40	28	31	254	15	36	12	102	47	53	35	44	61	37	50	54					
		15.36%	13.28%	14.88%	16.77%	15.64%	14.52%	15.71%	15.07%	17.58%	13.69%	10.75%	16.74%	17.71%	13.73%	17.83%	13.03%	8.95%	18.24%	20.55%	7.35%	14.57%	10.81%	17.00%	15.36%	9.28%	7.78%	15.94%	20.20%	18.32%	19.84%	13.88%					
																																					
24	Против всех	490	49	25	25	42	30	36	25	26	8	1	17	10	25	6	4	6	6	35	1	10	1	19	14	22	12	9	6	5	12	3					
		3.01%	4.55%	2.76%	2.59%	4.24%	3.33%	3.70%	2.55%	2.46%	3.04%	1.08%	2.64%	1.85%	3.58%	2.61%	1.30%	1.92%	3.53%	2.83%	0.49%	4.05%	0.90%	3.17%	4.58%	3.85%	2.67%	3.26%	1.99%	2.48%	4.76%	0.77%					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
																																					
