Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																												
Дата голосования: 07.12.2003 0:00:00																												
																												
Наименование Избирательной комиссии:    Мосальская																												
																												
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																												
																												
		Сумма	УИК  523	УИК  524	УИК  525	УИК  526	УИК  527	УИК  528	УИК  529	УИК  530	УИК  531	УИК  532	УИК  533	УИК  534	УИК  535	УИК  536	УИК  537	УИК  538	УИК  539	УИК  540	УИК  541	УИК  542	УИК  543					
		1.31%	1.78%	0.0%	0.52%	0.0%	1.68%	0.0%	0.40%	0.73%	1.81%	1.64%	0.0%	0.0%	2.22%	0.0%	2.12%	0.38%	2.94%	1.12%	0.0%	2.19%	1.67%					
22	"5. ""За Русь Святую"""	25	3	1	2	0	1	0	0	1	0	0	0	1	0	0	3	1	0	0	1	5	6					
		0.46%	1.07%	0.44%	1.05%	0.0%	0.42%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	1.11%	0.0%	0.0%	1.27%	0.38%	0.0%	0.0%	0.50%	0.47%	0.66%					
23	"6. ""Объединенная Российская партия ""Русь"""	12	2	1	0	0	0	0	1	0	0	0	0	0	0	3	0	0	0	0	0	1	4					
		0.22%	0.71%	0.44%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.89%	0.0%	0.0%	0.0%	0.0%	0.0%	0.09%	0.44%					
24	"7. ""Новый курс - Автомобильная Россия"""	15	0	1	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	2	3	4					
		0.27%	0.0%	0.44%	0.52%	0.46%	0.84%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.12%	1.00%	0.28%	0.44%					
25	"8. ""Народно-республиканская партия России"""	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0					
		0.07%	0.0%	0.0%	0.52%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.38%	0.0%	0.0%	0.0%	0.0%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	5	0	1	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	1					
		0.09%	0.0%	0.44%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.11%					
27	"10. ""Аграрная партия России"""	260	30	3	14	9	27	2	11	0	3	12	3	5	6	6	12	14	5	6	2	57	33					
		4.80%	10.71%	1.32%	7.36%	4.14%	11.39%	1.83%	4.45%	0.0%	2.72%	3.28%	3.0%	5.55%	6.66%	3.79%	5.10%	5.44%	3.67%	6.74%	1.00%	5.44%	3.68%					
28	"11. ""Истинные патриоты России"""	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	1	0	0					
		0.07%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	1.16%	0.0%	0.0%	0.50%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	48	0	0	3	0	0	3	3	2	0	2	0	1	0	1	2	0	0	0	0	12	19					
		0.88%	0.0%	0.0%	1.57%	0.0%	0.0%	2.75%	1.21%	1.47%	0.0%	0.54%	0.0%	1.11%	0.0%	0.63%	0.85%	0.0%	0.0%	0.0%	0.0%	1.14%	2.12%					
30	"13. ""Демократическая партия России"""	11	1	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	1	0	1	5					
		0.20%	0.35%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.63%	0.0%	0.0%	0.0%	1.12%	0.0%	0.09%	0.55%					
31	"14. ""Великая Россия - Евразийский Союз"""	6	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	2					
		0.11%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.19%	0.22%					
32	"15. ""Партия СЛОН"""	10	0	0	0	0	0	0	1	1	0	0	0	0	0	0	1	1	0	0	1	3	2					
		0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.40%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.42%	0.38%	0.0%	0.0%	0.50%	0.28%	0.22%					
33	"16. ""Родина"" (народно-патриотический союз)"""	266	17	9	9	0	13	0	17	4	2	17	2	3	4	7	10	1	6	3	13	81	48					
		4.91%	6.07%	3.96%	4.73%	0.0%	5.48%	0.0%	6.88%	2.94%	1.81%	4.65%	2.0%	3.33%	4.44%	4.43%	4.25%	0.38%	4.41%	3.37%	6.53%	7.73%	5.35%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	12	1	0	0	0	1	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	7					
		0.22%	0.35%	0.0%	0.0%	0.0%	0.42%	0.0%	0.0%	0.0%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.0%	0.0%	0.78%					
35	"18. ""ЛДПР"""	474	16	21	29	17	14	4	25	17	3	47	10	3	5	12	10	18	11	3	20	99	90					
		8.75%	5.71%	9.25%	15.26%	7.83%	5.90%	3.66%	10.12%	12.49%	2.72%	12.87%	10.0%	3.33%	5.55%	7.59%	4.25%	7.00%	8.08%	3.37%	10.05%	9.45%	10.04%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	82	2	5	2	2	2	0	6	0	0	6	1	1	1	1	3	6	0	0	2	22	20					
		1.51%	0.71%	2.20%	1.05%	0.92%	0.84%	0.0%	2.42%	0.0%	0.0%	1.64%	1.0%	1.11%	1.11%	0.63%	1.27%	2.33%	0.0%	0.0%	1.00%	2.10%	2.23%					
37	"20. ""Политическая партия ""Единая Россия"""	3185	188	158	77	163	137	89	149	59	91	181	77	70	63	102	131	194	100	67	139	497	453					
		58.81%	67.14%	69.60%	40.52%	75.11%	57.80%	81.65%	60.32%	43.38%	82.72%	49.58%	77.0%	77.77%	70.0%	64.55%	55.74%	75.48%	73.52%	75.28%	69.84%	47.46%	50.55%					
38	"21. ""Российская Конституционно-демократическая партия"""	11	2	1	1	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	3	2					
		0.20%	0.71%	0.44%	0.52%	0.0%	0.0%	0.0%	0.40%	0.0%	0.90%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.28%	0.22%					
39	"22. ""Развитие предпринимательства"""	6	0	0	1	1	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1					
		0.11%	0.0%	0.0%	0.52%	0.46%	0.0%	0.0%	0.40%	1.47%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.11%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	510	5	15	32	16	24	5	15	36	5	61	5	3	6	16	25	6	6	3	15	141	70					
		9.41%	1.78%	6.60%	16.84%	7.37%	10.12%	4.58%	6.07%	26.47%	4.54%	16.71%	5.0%	3.33%	6.66%	10.12%	10.63%	2.33%	4.41%	3.37%	7.53%	13.46%	7.81%					
																												
41	Против всех	147	6	5	5	3	5	2	1	3	2	12	1	0	1	1	15	5	0	0	2	35	43					
		2.71%	2.14%	2.20%	2.63%	1.38%	2.10%	1.83%	0.40%	2.20%	1.81%	3.28%	1.0%	0.0%	1.11%	0.63%	6.38%	1.94%	0.0%	0.0%	1.00%	3.34%	4.79%					
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
																												
