Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																				
Дата голосования: 18.09.2016																																																				
																																																				
Наименование Избирательной комиссии:    Октябрьская																																																				
																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																				
																																																				
		Сумма	УИК №2201	УИК №2202	УИК №2203	УИК №2204	УИК №2205	УИК №2206	УИК №2207	УИК №2208	УИК №2209	УИК №2210	УИК №2211	УИК №2212	УИК №2213	УИК №2214	УИК №2215	УИК №2216	УИК №2217	УИК №2218	УИК №2219	УИК №2220	УИК №2221	УИК №2222	УИК №2223	УИК №2224	УИК №2225	УИК №2226	УИК №2227	УИК №2228	УИК №2229	УИК №2230	УИК №2231	УИК №2232	УИК №2233	УИК №2234	УИК №2235	УИК №2236	УИК №2237	УИК №2238	УИК №2239	УИК №2240	УИК №2241									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	25	3	3	1	0	2	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	1	0	1	0	1	2	0	1	0	2									
		0.24%	0.50%	0.54%	0.15%	0.00%	0.84%	0.00%	0.00%	0.00%	0.00%	0.00%	0.79%	0.35%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.79%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.00%	0.65%	0.00%	0.64%	0.00%	0.76%	0.38%	0.00%	1.89%	0.00%	1.60%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	65	5	3	9	13	1	1	0	2	1	0	1	3	6	3	3	0	2	0	2	0	0	0	0	2	0	1	0	1	1	0	0	0	0	1	1	0	1	0	0	1	1									
		0.62%	0.83%	0.54%	1.35%	2.16%	0.42%	0.30%	0.00%	1.80%	0.68%	0.00%	0.79%	0.53%	0.91%	1.12%	1.05%	0.00%	0.54%	0.00%	1.21%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.35%	0.00%	0.45%	0.97%	0.00%	0.00%	0.00%	0.00%	0.64%	1.10%	0.00%	0.19%	0.00%	0.00%	0.35%	0.80%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	24	1	2	1	0	1	0	0	0	0	0	0	1	0	1	1	0	0	0	1	0	1	0	2	1	1	1	1	1	1	0	2	0	0	0	0	0	2	0	0	2	0									
		0.23%	0.17%	0.36%	0.15%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.37%	0.35%	0.00%	0.00%	0.00%	0.61%	0.00%	0.43%	0.00%	0.79%	0.26%	0.54%	0.35%	0.52%	0.45%	0.97%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.69%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	76	6	2	8	8	0	1	1	1	1	1	0	2	7	2	2	3	3	2	0	0	1	1	2	2	1	1	0	0	0	0	1	1	1	0	0	3	2	6	1	2	1									
		0.73%	0.99%	0.36%	1.20%	1.33%	0.00%	0.30%	1.56%	0.90%	0.68%	0.74%	0.00%	0.35%	1.07%	0.74%	0.70%	1.21%	0.80%	1.21%	0.00%	0.00%	0.43%	0.76%	0.79%	0.52%	0.54%	0.35%	0.00%	0.00%	0.00%	0.00%	0.75%	0.65%	0.67%	0.00%	0.00%	2.27%	0.38%	4.62%	1.89%	0.69%	0.80%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1481	84	74	77	82	38	45	14	18	13	24	21	80	123	35	32	20	46	20	12	24	12	20	44	67	38	65	27	32	4	14	6	25	29	28	13	28	64	9	7	43	24									
		14.17%	13.93%	13.43%	11.51%	13.62%	16.03%	13.68%	21.88%	16.22%	8.78%	17.65%	16.54%	14.04%	18.72%	13.01%	11.23%	8.06%	12.33%	12.12%	7.27%	17.02%	5.19%	15.27%	17.32%	17.54%	20.54%	22.57%	14.06%	14.41%	3.88%	17.07%	4.48%	16.34%	19.46%	17.95%	14.29%	21.21%	12.31%	6.92%	13.21%	14.93%	19.20%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	2	1	4	5	0	1	0	0	0	0	1	0	5	4	3	0	2	0	1	2	0	0	1	0	1	1	2	2	0	0	1	1	1	1	0	1	3	0	0	0	1									
		0.45%	0.33%	0.18%	0.60%	0.83%	0.00%	0.30%	0.00%	0.00%	0.00%	0.00%	0.79%	0.00%	0.76%	1.49%	1.05%	0.00%	0.54%	0.00%	0.61%	1.42%	0.00%	0.00%	0.39%	0.00%	0.54%	0.35%	1.04%	0.90%	0.00%	0.00%	0.75%	0.65%	0.67%	0.64%	0.00%	0.76%	0.58%	0.00%	0.00%	0.00%	0.80%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	621	56	45	61	43	19	24	2	8	9	8	12	41	62	19	9	11	9	9	12	2	7	6	10	18	8	15	11	8	4	2	6	7	3	7	2	6	17	6	2	10	5									
		5.94%	9.29%	8.17%	9.12%	7.14%	8.02%	7.29%	3.13%	7.21%	6.08%	5.88%	9.45%	7.19%	9.44%	7.06%	3.16%	4.44%	2.41%	5.45%	7.27%	1.42%	3.03%	4.58%	3.94%	4.71%	4.32%	5.21%	5.73%	3.60%	3.88%	2.44%	4.48%	4.58%	2.01%	4.49%	2.20%	4.55%	3.27%	4.62%	3.77%	3.47%	4.00%									
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
																																																				
