Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																						
Дата голосования: 18.09.2016																																																																																						
																																																																																						
"Наименование Избирательной комиссии:    Казань, Ново-Савиновская"																																																																																						
																																																																																						
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																						
																																																																																						
		Сумма	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260									
		0.86%	1.12%	0.90%	0.61%	1.94%	1.02%	0.30%	2.03%	0.23%	1.01%	0.21%	0.68%	0.35%	0.69%	0.76%	2.51%	0.37%	0.69%	0.51%	1.10%	0.25%	0.97%	0.81%	0.16%	0.95%	2.03%	0.83%	0.32%	1.07%	0.76%	1.02%	0.82%	0.00%	0.81%	0.38%	1.48%	1.86%	0.55%	1.34%	0.28%	0.17%	1.03%	0.50%	0.19%	1.91%	0.28%	2.92%	1.46%	0.94%	0.77%	0.21%	0.24%	0.77%	1.01%	0.27%	0.17%	2.39%	0.98%	0.85%	0.14%	1.67%	1.21%	0.37%	0.93%	0.65%	0.86%	0.62%	1.64%	0.21%	0.13%	0.47%	0.40%	1.08%	0.84%	3.34%	0.82%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	3591	81	19	52	31	21	33	21	57	54	65	29	78	42	81	71	28	43	42	34	75	68	39	51	68	32	44	82	73	62	80	60	41	10	25	33	31	33	20	39	116	66	89	64	30	58	46	57	47	37	116	22	44	61	78	18	34	42	27	63	28	50	50	43	43	53	56	56	55	15	25	45	21	0	21	67									
		4.11%	6.97%	2.15%	5.27%	3.34%	1.78%	2.46%	2.50%	6.44%	4.98%	6.93%	2.81%	6.78%	3.64%	6.12%	5.95%	3.45%	4.97%	3.57%	2.87%	6.25%	5.99%	3.15%	3.95%	5.89%	2.60%	3.05%	6.56%	5.98%	5.92%	6.29%	4.94%	3.73%	1.16%	1.88%	2.88%	2.88%	3.02%	1.67%	2.74%	9.85%	6.16%	6.38%	6.14%	2.86%	5.34%	4.48%	4.90%	4.40%	2.84%	8.11%	1.76%	3.40%	4.76%	6.96%	1.52%	2.90%	3.42%	2.10%	4.38%	2.33%	3.56%	3.70%	5.00%	3.09%	3.81%	4.93%	3.83%	3.86%	0.99%	1.68%	3.02%	3.78%	0.00%	1.71%	5.48%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	853	5	17	7	24	19	11	25	1	2	2	2	7	2	10	16	2	8	6	5	4	5	13	2	5	30	41	7	13	4	12	11	0	11	11	22	29	5	15	11	1	6	6	2	16	4	41	5	8	5	5	4	4	23	5	2	37	14	14	12	44	37	8	12	9	11	9	15	5	4	15	6	11	0	25	6									
		0.98%	0.43%	1.92%	0.71%	2.59%	1.61%	0.82%	2.98%	0.11%	0.18%	0.21%	0.19%	0.61%	0.17%	0.76%	1.34%	0.25%	0.92%	0.51%	0.42%	0.33%	0.44%	1.05%	0.16%	0.43%	2.43%	2.84%	0.56%	1.07%	0.38%	0.94%	0.91%	0.00%	1.28%	0.83%	1.92%	2.69%	0.46%	1.26%	0.77%	0.08%	0.56%	0.43%	0.19%	1.53%	0.37%	3.99%	0.43%	0.75%	0.38%	0.35%	0.32%	0.31%	1.79%	0.45%	0.17%	3.15%	1.14%	1.09%	0.84%	3.67%	2.63%	0.59%	1.40%	0.65%	0.79%	0.79%	1.03%	0.35%	0.26%	1.01%	0.40%	1.98%	0.00%	2.04%	0.49%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	64227	922	653	724	505	903	1136	422	658	818	703	864	863	867	927	830	591	657	921	968	891	844	1009	1062	868	667	757	925	916	789	948	952	868	641	1018	637	508	809	825	1118	876	801	1058	813	743	856	432	901	797	983	1061	918	1020	963	839	983	566	931	1052	1069	557	1048	1124	645	1145	1096	845	1102	1209	1284	1284	1260	393	112	567	910									
		73.53%	79.35%	73.79%	73.43%	54.42%	76.46%	84.65%	50.30%	74.35%	75.39%	74.95%	83.72%	74.98%	75.13%	70.07%	69.51%	72.87%	75.87%	78.38%	81.69%	74.25%	74.30%	81.37%	82.33%	75.15%	54.10%	52.46%	74.00%	75.08%	75.36%	74.59%	78.35%	79.05%	74.53%	76.71%	55.54%	47.12%	73.95%	69.04%	78.62%	74.36%	74.72%	75.84%	78.02%	70.83%	78.82%	42.11%	77.41%	74.56%	75.33%	74.14%	73.62%	78.70%	75.12%	74.84%	83.09%	48.25%	75.88%	81.74%	74.39%	46.42%	74.54%	83.14%	75.00%	82.37%	78.85%	74.32%	75.32%	84.90%	84.98%	86.06%	84.68%	70.68%	94.12%	46.25%	74.47%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	481	2	6	2	14	7	3	13	1	6	1	0	3	0	12	6	0	2	7	9	2	4	5	2	4	13	20	7	4	10	8	8	0	5	12	8	12	5	13	7	1	4	5	2	7	2	16	2	7	5	3	4	12	15	4	3	24	6	11	3	25	10	2	3	5	4	3	4	2	2	8	4	3	0	21	6									
		0.55%	0.17%	0.68%	0.20%	1.51%	0.59%	0.22%	1.55%	0.11%	0.55%	0.11%	0.00%	0.26%	0.00%	0.91%	0.50%	0.00%	0.23%	0.60%	0.76%	0.17%	0.35%	0.40%	0.16%	0.35%	1.05%	1.39%	0.56%	0.33%	0.96%	0.63%	0.66%	0.00%	0.58%	0.90%	0.70%	1.11%	0.46%	1.09%	0.49%	0.08%	0.37%	0.36%	0.19%	0.67%	0.18%	1.56%	0.17%	0.65%	0.38%	0.21%	0.32%	0.93%	1.17%	0.36%	0.25%	2.05%	0.49%	0.85%	0.21%	2.08%	0.71%	0.15%	0.35%	0.36%	0.29%	0.26%	0.27%	0.14%	0.13%	0.54%	0.27%	0.54%	0.00%	1.71%	0.49%									
24	"6. Политическая партия ""Гражданская Платформа"""	297	3	1	3	2	2	2	0	0	7	1	0	2	0	21	13	0	3	7	3	2	2	5	2	2	2	4	5	5	2	7	2	0	0	5	5	4	4	9	6	0	5	6	3	2	1	2	1	7	7	2	3	14	11	2	2	7	6	1	1	8	3	5	4	7	4	0	4	2	3	12	4	2	0	5	8									
		0.34%	0.26%	0.11%	0.30%	0.22%	0.17%	0.15%	0.00%	0.00%	0.65%	0.11%	0.00%	0.17%	0.00%	1.59%	1.09%	0.00%	0.35%	0.60%	0.25%	0.17%	0.18%	0.40%	0.16%	0.17%	0.16%	0.28%	0.40%	0.41%	0.19%	0.55%	0.16%	0.00%	0.00%	0.38%	0.44%	0.37%	0.37%	0.75%	0.42%	0.00%	0.47%	0.43%	0.29%	0.19%	0.09%	0.19%	0.09%	0.65%	0.54%	0.14%	0.24%	1.08%	0.86%	0.18%	0.17%	0.60%	0.49%	0.08%	0.07%	0.67%	0.21%	0.37%	0.47%	0.50%	0.29%	0.00%	0.27%	0.14%	0.20%	0.80%	0.27%	0.36%	0.00%	0.41%	0.65%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	2886	26	54	13	106	40	25	104	49	31	19	24	28	29	49	19	3	10	10	12	45	43	22	47	36	159	113	35	37	29	27	12	13	41	13	121	126	33	25	25	21	15	38	26	26	17	111	49	8	32	12	12	12	31	13	34	133	17	14	36	137	41	15	20	20	35	11	40	7	24	12	27	45	3	107	32									
		3.30%	2.24%	6.10%	1.32%	11.42%	3.39%	1.86%	12.40%	5.54%	2.86%	2.03%	2.33%	2.43%	2.51%	3.70%	1.59%	0.37%	1.15%	0.85%	1.01%	3.75%	3.79%	1.77%	3.64%	3.12%	12.90%	7.83%	2.80%	3.03%	2.77%	2.12%	0.99%	1.18%	4.77%	0.98%	10.55%	11.69%	3.02%	2.09%	1.76%	1.78%	1.40%	2.72%	2.50%	2.48%	1.57%	10.82%	4.21%	0.75%	2.45%	0.84%	0.96%	0.93%	2.42%	1.16%	2.87%	11.34%	1.39%	1.09%	2.51%	11.42%	2.92%	1.11%	2.33%	1.44%	2.52%	0.97%	2.73%	0.49%	1.59%	0.80%	1.81%	8.09%	2.52%	8.73%	2.62%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	516	6	6	2	12	3	4	8	1	3	1	0	0	0	7	12	0	2	7	10	2	3	6	1	3	16	22	5	3	5	4	6	0	0	1	13	5	5	19	2	0	3	21	3	10	4	8	6	9	6	3	10	13	10	3	2	29	16	6	7	25	5	4	10	3	7	3	12	2	5	8	3	3	1	41	10									
		0.59%	0.52%	0.68%	0.20%	1.29%	0.25%	0.30%	0.95%	0.11%	0.28%	0.11%	0.00%	0.00%	0.00%	0.53%	1.01%	0.00%	0.23%	0.60%	0.84%	0.17%	0.26%	0.48%	0.08%	0.26%	1.30%	1.52%	0.40%	0.25%	0.48%	0.31%	0.49%	0.00%	0.00%	0.08%	1.13%	0.46%	0.46%	1.59%	0.14%	0.00%	0.28%	1.51%	0.29%	0.95%	0.37%	0.78%	0.52%	0.84%	0.46%	0.21%	0.80%	1.00%	0.78%	0.27%	0.17%	2.47%	1.30%	0.47%	0.49%	2.08%	0.36%	0.30%	1.16%	0.22%	0.50%	0.26%	0.82%	0.14%	0.33%	0.54%	0.20%	0.54%	0.84%	3.34%	0.82%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	612	7	7	8	11	8	5	9	0	5	1	0	0	5	4	7	0	1	5	11	3	6	9	1	6	24	22	6	7	3	12	5	0	0	11	10	20	6	10	4	1	2	4	2	18	2	19	3	8	8	4	9	12	21	4	2	38	7	7	3	24	18	3	5	17	5	11	8	4	1	6	7	2	0	58	10									
		0.70%	0.60%	0.79%	0.81%	1.19%	0.68%	0.37%	1.07%	0.00%	0.46%	0.11%	0.00%	0.00%	0.43%	0.30%	0.59%	0.00%	0.12%	0.43%	0.93%	0.25%	0.53%	0.73%	0.08%	0.52%	1.95%	1.52%	0.48%	0.57%	0.29%	0.94%	0.41%	0.00%	0.00%	0.83%	0.87%	1.86%	0.55%	0.84%	0.28%	0.08%	0.19%	0.29%	0.19%	1.72%	0.18%	1.85%	0.26%	0.75%	0.61%	0.28%	0.72%	0.93%	1.64%	0.36%	0.17%	3.24%	0.57%	0.54%	0.21%	2.00%	1.28%	0.22%	0.58%	1.22%	0.36%	0.97%	0.55%	0.28%	0.07%	0.40%	0.47%	0.36%	0.00%	4.73%	0.82%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	314	4	3	6	2	4	4	12	0	2	1	0	0	2	5	16	1	3	7	5	2	3	6	2	3	5	2	5	11	2	9	3	0	0	2	1	0	0	4	3	1	3	4	1	2	3	0	1	8	9	4	8	11	7	4	1	2	9	9	2	9	2	9	7	10	3	7	10	3	2	6	4	0	0	3	10									
		0.36%	0.34%	0.34%	0.61%	0.22%	0.34%	0.30%	1.43%	0.00%	0.18%	0.11%	0.00%	0.00%	0.17%	0.38%	1.34%	0.12%	0.35%	0.60%	0.42%	0.17%	0.26%	0.48%	0.16%	0.26%	0.41%	0.14%	0.40%	0.90%	0.19%	0.71%	0.25%	0.00%	0.00%	0.15%	0.09%	0.00%	0.00%	0.33%	0.21%	0.08%	0.28%	0.29%	0.10%	0.19%	0.28%	0.00%	0.09%	0.75%	0.69%	0.28%	0.64%	0.85%	0.55%	0.36%	0.08%	0.17%	0.73%	0.70%	0.14%	0.75%	0.14%	0.67%	0.81%	0.72%	0.22%	0.62%	0.68%	0.21%	0.13%	0.40%	0.27%	0.00%	0.00%	0.24%	0.82%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	1175	8	14	9	28	17	10	28	6	12	2	7	9	12	11	11	7	4	7	9	4	6	5	3	6	28	64	5	15	6	19	5	12	25	12	36	59	5	29	2	2	5	10	3	10	5	40	18	5	19	5	7	14	23	27	3	80	8	12	27	54	8	5	5	19	11	28	12	2	24	6	13	9	0	94	5									
		1.35%	0.69%	1.58%	0.91%	3.02%	1.44%	0.75%	3.34%	0.68%	1.11%	0.21%	0.68%	0.78%	1.04%	0.83%	0.92%	0.86%	0.46%	0.60%	0.76%	0.33%	0.53%	0.40%	0.23%	0.52%	2.27%	4.44%	0.40%	1.23%	0.57%	1.49%	0.41%	1.09%	2.91%	0.90%	3.14%	5.47%	0.46%	2.43%	0.14%	0.17%	0.47%	0.72%	0.29%	0.95%	0.46%	3.90%	1.55%	0.47%	1.46%	0.35%	0.56%	1.08%	1.79%	2.41%	0.25%	6.82%	0.65%	0.93%	1.88%	4.50%	0.57%	0.37%	0.58%	1.37%	0.79%	2.46%	0.82%	0.14%	1.59%	0.40%	0.87%	1.62%	0.00%	7.67%	0.41%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	6346	22	40	78	102	81	41	112	61	79	101	73	81	90	106	84	89	60	130	44	77	72	47	57	73	122	174	95	86	75	88	38	76	56	176	152	141	108	101	108	128	71	96	70	50	62	141	81	74	91	136	52	70	65	82	100	124	86	62	98	138	108	95	60	52	91	78	100	67	64	53	47	32	2	150	74									
		7.27%	1.89%	4.52%	7.91%	10.99%	6.86%	3.06%	13.35%	6.89%	7.28%	10.77%	7.07%	7.04%	7.80%	8.01%	7.04%	10.97%	6.93%	11.06%	3.71%	6.42%	6.34%	3.79%	4.42%	6.32%	9.89%	12.06%	7.60%	7.05%	7.16%	6.92%	3.13%	6.92%	6.51%	13.26%	13.25%	13.08%	9.87%	8.45%	7.59%	10.87%	6.62%	6.88%	6.72%	4.77%	5.71%	13.74%	6.96%	6.92%	6.97%	9.50%	4.17%	5.40%	5.07%	7.31%	8.45%	10.57%	7.01%	4.82%	6.82%	11.50%	7.68%	7.03%	6.98%	3.74%	6.55%	6.86%	6.84%	4.71%	4.24%	3.55%	3.16%	5.76%	1.68%	12.23%	6.06%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	485	8	1	7	5	6	6	3	2	2	1	0	0	5	14	15	1	14	5	2	4	5	7	2	5	5	5	4	7	4	7	2	0	3	6	1	6	5	5	3	1	6	10	2	4	1	4	2	13	13	4	8	11	17	8	5	3	9	16	9	7	3	6	7	11	5	48	24	5	7	10	14	3	0	3	3									
		0.56%	0.69%	0.11%	0.71%	0.54%	0.51%	0.45%	0.36%	0.23%	0.18%	0.11%	0.00%	0.00%	0.43%	1.06%	1.26%	0.12%	1.62%	0.43%	0.17%	0.33%	0.44%	0.56%	0.16%	0.43%	0.41%	0.35%	0.32%	0.57%	0.38%	0.55%	0.16%	0.00%	0.35%	0.45%	0.09%	0.56%	0.46%	0.42%	0.21%	0.08%	0.56%	0.72%	0.19%	0.38%	0.09%	0.39%	0.17%	1.22%	0.99%	0.28%	0.64%	0.85%	1.33%	0.71%	0.42%	0.26%	0.73%	1.24%	0.63%	0.58%	0.21%	0.44%	0.81%	0.79%	0.36%	4.22%	1.64%	0.35%	0.46%	0.67%	0.94%	0.54%	0.00%	0.24%	0.25%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	3601	45	44	59	49	43	36	41	36	42	31	19	74	85	48	48	73	45	15	27	74	53	32	45	54	55	98	47	20	45	29	76	75	22	8	71	78	45	87	80	17	65	36	40	87	51	106	19	53	65	45	158	44	20	37	21	51	36	18	82	83	46	10	21	24	51	16	49	45	54	20	37	18	0	71	51									
		4.12%	3.87%	4.97%	5.98%	5.28%	3.64%	2.68%	4.89%	4.07%	3.87%	3.30%	1.84%	6.43%	7.37%	3.63%	4.02%	9.00%	5.20%	1.28%	2.28%	6.17%	4.67%	2.58%	3.49%	4.68%	4.46%	6.79%	3.76%	1.64%	4.30%	2.28%	6.26%	6.83%	2.56%	0.60%	6.19%	7.24%	4.11%	7.28%	5.63%	1.44%	6.06%	2.58%	3.84%	8.29%	4.70%	10.33%	1.63%	4.96%	4.98%	3.14%	12.67%	3.40%	1.56%	3.30%	1.78%	4.35%	2.93%	1.40%	5.71%	6.92%	3.27%	0.74%	2.44%	1.73%	3.67%	1.41%	3.35%	3.16%	3.57%	1.34%	2.49%	3.24%	0.00%	5.79%	4.17%									
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
																																																																																						
