Выборы Президента Российской Федерации																																						
																																						
Наименование Избирательной комиссии:    Андреапольская																																						
																																						
Итоги голосования 																																						
																																						
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22	УИК  23	УИК  24	УИК  25	УИК  26	УИК  27	УИК  28	УИК  29	УИК  30	УИК  31					
		68.46%	73.25%	61.29%	68.21%	66.46%	64.23%	61.46%	69.86%	84.52%	71.88%	68.24%	63.49%	57.50%	68.81%	57.48%	76.70%	69.80%	71.25%	77.84%	71.43%	78.57%	62.72%	84.55%	81.16%	70.08%	75.56%	74.47%	63.92%	64.32%	67.34%	61.00%	69.64%					
22	. Хакамада Ирина Муцуовна	142	5	5	5	7	13	10	0	2	6	4	2	0	5	3	3	0	0	1	2	0	3	3	1	3	2	2	12	15	10	14	4					
		1.90%	1.30%	1.47%	2.56%	2.22%	3.52%	2.70%	0.00%	2.38%	2.68%	0.94%	1.59%	0.00%	0.95%	2.36%	2.91%	0.00%	0.00%	0.57%	1.79%	0.00%	1.78%	1.36%	0.72%	1.18%	0.89%	2.13%	2.83%	3.91%	2.87%	3.17%	1.62%					
23	. Харитонов Николай Михайлович	1533	75	90	34	65	80	88	19	5	25	80	34	28	130	40	15	37	18	30	25	41	49	18	15	54	39	20	73	58	75	123	50					
		20.47%	19.48%	26.39%	17.44%	20.57%	21.68%	23.72%	26.03%	5.95%	11.16%	18.82%	26.98%	35.00%	24.57%	31.50%	14.56%	24.83%	22.50%	17.05%	22.32%	14.64%	28.99%	8.18%	10.87%	21.26%	17.33%	21.28%	17.22%	15.10%	21.49%	27.89%	20.24%					
																																						
24	Против всех	247	10	10	7	8	18	18	2	4	11	13	3	2	14	3	1	2	0	3	4	4	3	3	0	6	4	1	32	31	8	17	5					
		3.30%	2.60%	2.93%	3.59%	2.53%	4.88%	4.85%	2.74%	4.76%	4.91%	3.06%	2.38%	2.50%	2.65%	2.36%	0.97%	1.34%	0.00%	1.70%	3.57%	1.43%	1.78%	1.36%	0.00%	2.36%	1.78%	1.06%	7.55%	8.07%	2.29%	3.85%	2.02%					
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
																																						
