Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																								
Дата голосования: 07.12.2003 0:00:00																								
																								
Наименование Избирательной комиссии:    Яшалтинская																								
																								
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																								
																								
		Сумма	УИК  226	УИК  227	УИК  228	УИК  229	УИК  230	УИК  231	УИК  232	УИК  233	УИК  234	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242					
		0.31%	0.32%	0.25%	0.38%	0.0%	0.0%	3.17%	0.39%	0.0%	1.12%	0.0%	0.0%	0.30%	0.11%	0.0%	0.0%	0.43%	0.75%					
27	"10. ""Аграрная партия России"""	215	19	20	10	4	6	0	20	2	19	6	6	18	46	6	13	6	14					
		2.68%	1.53%	1.72%	1.26%	1.06%	4.95%	0.0%	3.90%	2.66%	5.35%	4.02%	1.92%	2.73%	5.41%	3.24%	2.36%	2.60%	3.5%					
28	"11. ""Истинные патриоты России"""	61	7	2	9	1	0	0	5	0	3	6	11	10	3	0	1	0	3					
		0.76%	0.56%	0.17%	1.14%	0.26%	0.0%	0.0%	0.97%	0.0%	0.84%	4.02%	3.53%	1.51%	0.35%	0.0%	0.18%	0.0%	0.75%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	46	6	13	4	1	0	0	0	1	2	1	1	2	8	1	2	1	3					
		0.57%	0.48%	1.12%	0.50%	0.26%	0.0%	0.0%	0.0%	1.33%	0.56%	0.67%	0.32%	0.30%	0.94%	0.54%	0.36%	0.43%	0.75%					
30	"13. ""Демократическая партия России"""	23	6	6	2	1	0	0	1	0	2	2	0	1	1	0	0	0	1					
		0.28%	0.48%	0.51%	0.25%	0.26%	0.0%	0.0%	0.19%	0.0%	0.56%	1.34%	0.0%	0.15%	0.11%	0.0%	0.0%	0.0%	0.25%					
31	"14. ""Великая Россия - Евразийский Союз"""	49	6	0	9	1	0	0	3	0	2	1	8	2	5	0	0	1	11					
		0.61%	0.48%	0.0%	1.14%	0.26%	0.0%	0.0%	0.58%	0.0%	0.56%	0.67%	2.57%	0.30%	0.58%	0.0%	0.0%	0.43%	2.75%					
32	"15. ""Партия СЛОН"""	12	1	1	0	1	0	0	2	0	1	0	1	1	1	1	0	2	0					
		0.14%	0.08%	0.08%	0.0%	0.26%	0.0%	0.0%	0.39%	0.0%	0.28%	0.0%	0.32%	0.15%	0.11%	0.54%	0.0%	0.86%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	292	70	58	16	16	6	0	15	1	7	5	6	20	30	6	14	10	12					
		3.63%	5.65%	5.0%	2.02%	4.25%	4.95%	0.0%	2.92%	1.33%	1.97%	3.35%	1.92%	3.03%	3.52%	3.24%	2.55%	4.34%	3.0%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	98	4	12	12	2	1	0	5	7	7	1	0	9	17	4	3	2	12					
		1.22%	0.32%	1.03%	1.52%	0.53%	0.82%	0.0%	0.97%	9.33%	1.97%	0.67%	0.0%	1.36%	2.0%	2.16%	0.54%	0.86%	3.0%					
35	"18. ""ЛДПР"""	633	136	143	46	27	10	0	24	5	42	13	11	33	73	9	27	8	26					
		7.89%	10.98%	12.32%	5.83%	7.18%	8.26%	0.0%	4.68%	6.66%	11.83%	8.72%	3.53%	5.00%	8.58%	4.86%	4.91%	3.47%	6.5%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	166	46	26	10	6	4	0	5	2	9	3	3	10	21	4	5	5	7					
		2.06%	3.71%	2.24%	1.26%	1.59%	3.30%	0.0%	0.97%	2.66%	2.53%	2.01%	0.96%	1.51%	2.47%	2.16%	0.91%	2.17%	1.75%					
37	"20. ""Политическая партия ""Единая Россия"""	4357	618	551	457	177	53	46	337	42	167	63	199	425	366	119	387	171	179					
		54.31%	49.91%	47.5%	57.92%	47.07%	43.80%	73.01%	65.82%	56.0%	47.04%	42.28%	63.98%	64.49%	43.05%	64.32%	70.49%	74.34%	44.75%					
38	"21. ""Российская Конституционно-демократическая партия"""	18	5	3	1	1	0	0	2	1	0	1	1	0	0	1	2	0	0					
		0.22%	0.40%	0.25%	0.12%	0.26%	0.0%	0.0%	0.39%	1.33%	0.0%	0.67%	0.32%	0.0%	0.0%	0.54%	0.36%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	21	5	6	2	2	0	0	0	0	0	0	1	0	4	0	0	0	1					
		0.26%	0.40%	0.51%	0.25%	0.53%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.32%	0.0%	0.47%	0.0%	0.0%	0.0%	0.25%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	810	125	116	34	92	24	7	39	3	44	13	24	36	121	9	60	10	53					
		10.09%	10.09%	10.0%	4.30%	24.46%	19.83%	11.11%	7.61%	4.0%	12.39%	8.72%	7.71%	5.46%	14.23%	4.86%	10.92%	4.34%	13.25%					
																								
41	Против всех	198	31	50	14	10	3	0	4	1	8	3	8	16	23	5	11	0	11					
		2.46%	2.50%	4.31%	1.77%	2.65%	2.47%	0.0%	0.78%	1.33%	2.25%	2.01%	2.57%	2.42%	2.70%	2.70%	2.00%	0.0%	2.75%					
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
																								
