Выборы Президента Российской Федерации																																																																																																																						
																																																																																																																						
Наименование Избирательной комиссии:    Выборгская																																																																																																																						
																																																																																																																						
Итоги голосования 																																																																																																																						
																																																																																																																						
		Сумма	УИК №223	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246	УИК №247	УИК №248	УИК №249	УИК №250	УИК №251	УИК №252	УИК №253	УИК №254	УИК №255	УИК №256	УИК №257	УИК №258	УИК №259	УИК №260	УИК №261	УИК №262	УИК №263	УИК №264	УИК №265	УИК №266	УИК №267	УИК №268	УИК №269	УИК №270	УИК №271	УИК №272	УИК №273	УИК №274	УИК №275	УИК №276	УИК №277	УИК №278	УИК №279	УИК №280	УИК №281	УИК №282	УИК №283	УИК №284	УИК №285	УИК №286	УИК №287	УИК №288	УИК №289	УИК №290	УИК №291	УИК №292	УИК №293	УИК №294	УИК №295	УИК №296	УИК №297	УИК №298	УИК №299	УИК №300	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351					
11	Число полученных открепительных  удостоверений	1650	10	15	10	10	20	10	20	10	10	10	10	20	20	15	15	10	10	10	15	15	10	10	20	20	10	20	15	15	15	10	10	10	10	10	60	10	10	10	10	10	10	10	15	10	10	10	10	10	20	10	10	10	10	10	20	60	10	20	20	10	10	20	30	10	10	10	10	10	10	10	10	10	10	20	10	10	10	10	10	10	10	10	25	20	10	20	40	10	10	35	115	10	10	10	10	20	20	20	20	10	10	10	10	10	10	10	20	10	10	10	10					
12	Число выданных открепительных удостоверений	1077	3	13	6	9	18	9	10	9	5	10	10	14	15	8	15	3	4	6	9	12	5	6	15	12	10	15	10	13	13	7	7	0	10	3	59	2	5	1	4	8	8	6	12	5	4	1	0	2	12	0	8	2	10	3	14	47	3	11	11	2	7	9	25	10	10	6	7	10	9	5	8	5	8	11	6	10	3	5	4	10	0	4	20	18	1	14	27	4	0	35	107	0	9	0	8	10	16	8	16	0	0	6	5	6	6	5	20	2	0	5	3					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	944	5	8	3	15	16	10	10	4	7	11	8	7	5	12	3	8	4	7	3	8	9	3	8	2	5	6	6	8	8	17	2	1	7	0	23	13	7	6	3	4	1	8	8	6	12	8	24	1	7	1	2	14	4	2	4	44	8	4	7	9	3	11	11	10	17	12	9	16	10	3	16	9	10	18	16	4	3	2	18	12	15	3	14	6	18	3	15	2	5	13	7	0	20	9	11	34	7	7	11	3	11	9	21	0	7	2	5	1	5	4	0					
14	Число неиспользованных открепительных удостоверений	573	7	2	4	1	2	1	10	1	5	0	0	6	5	7	0	7	6	4	6	3	5	4	5	8	0	5	5	2	2	3	3	10	0	7	1	8	5	9	6	2	2	4	3	5	6	9	10	8	8	10	2	8	0	7	6	13	7	9	9	8	3	11	5	0	0	4	3	0	1	5	2	5	2	9	4	0	7	5	6	0	10	6	5	2	9	6	13	6	10	0	8	10	1	10	2	10	4	12	4	10	10	4	5	4	4	5	0	8	10	5	7					
15	"Число открепительных удостоверений, выданных в ТИК"	11	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																																						
18	. Глазьев Сергей Юрьевич	2477	3	18	15	32	38	46	51	38	25	38	51	38	52	55	64	39	61	43	54	29	38	36	54	35	38	63	51	52	48	48	21	5	70	14	2	6	21	17	5	25	10	14	22	6	10	8	12	2	31	1	5	10	6	0	20	7	15	38	56	4	5	16	26	36	52	23	8	8	20	8	7	4	4	19	17	30	4	13	17	31	2	3	15	22	4	15	18	1	3	15	19	7	12	15	13	25	22	29	21	1	5	16	26	41	8	3	34	5	5	6	2					
		3.02%	0.65%	2.85%	3.29%	3.33%	3.44%	3.75%	5.01%	5.65%	6.61%	3.83%	4.85%	3.77%	4.98%	4.63%	5.34%	5.42%	4.98%	5.15%	4.35%	2.37%	3.35%	3.87%	4.49%	3.98%	3.31%	5.02%	3.94%	4.20%	4.42%	4.06%	3.31%	1.88%	5.30%	2.61%	0.30%	1.61%	2.49%	3.17%	1.14%	2.28%	1.93%	3.23%	1.96%	1.59%	1.75%	3.51%	5.33%	1.19%	3.91%	0.42%	0.89%	1.38%	1.22%	0.00%	3.91%	0.69%	2.06%	3.10%	4.32%	1.18%	1.12%	2.68%	2.33%	3.75%	5.26%	2.37%	1.64%	1.52%	2.99%	2.58%	1.45%	0.80%	0.78%	2.76%	2.36%	2.71%	2.02%	5.12%	2.61%	5.01%	1.04%	2.11%	2.28%	3.53%	1.37%	3.30%	3.66%	0.60%	1.09%	1.54%	1.38%	0.35%	1.92%	3.01%	1.46%	2.86%	2.43%	3.36%	2.22%	0.55%	1.77%	1.83%	2.04%	2.70%	1.57%	1.03%	3.03%	1.26%	1.94%	0.92%	0.90%					
19	. Малышкин Олег Александрович	1057	34	11	1	9	7	11	4	4	2	14	11	11	4	16	13	8	7	12	10	12	12	9	7	6	17	18	13	26	10	11	8	4	9	13	12	6	17	14	3	14	5	5	15	8	3	3	8	4	9	2	11	11	2	2	9	19	11	17	16	3	8	12	23	14	10	10	6	5	12	4	26	5	11	3	11	13	5	2	10	9	0	0	6	11	6	7	2	1	3	11	25	15	10	6	3	11	8	5	19	1	1	9	24	32	11	2	18	8	1	6	3					
		1.29%	7.39%	1.74%	0.22%	0.94%	0.63%	0.90%	0.39%	0.59%	0.53%	1.41%	1.05%	1.09%	0.38%	1.35%	1.08%	1.11%	0.57%	1.44%	0.81%	0.98%	1.06%	0.97%	0.58%	0.68%	1.48%	1.43%	1.00%	2.10%	0.92%	0.93%	1.26%	1.50%	0.68%	2.42%	1.78%	1.61%	2.02%	2.61%	0.69%	1.28%	0.97%	1.15%	1.34%	2.12%	0.52%	1.32%	3.56%	2.38%	1.13%	0.83%	1.95%	1.52%	0.41%	1.44%	1.76%	1.88%	1.51%	1.39%	1.24%	0.88%	1.79%	2.01%	2.06%	1.46%	1.01%	1.03%	1.23%	0.95%	1.80%	1.29%	5.38%	1.00%	2.15%	0.44%	1.53%	1.17%	2.53%	0.79%	1.54%	1.45%	0.00%	0.00%	0.91%	1.77%	2.05%	1.54%	0.41%	0.60%	1.09%	1.13%	1.82%	0.76%	1.60%	1.20%	0.34%	1.26%	0.88%	0.58%	2.01%	0.55%	0.35%	1.03%	1.88%	2.11%	2.15%	0.69%	1.60%	2.01%	0.39%	0.92%	1.35%					
20	. Миронов Сергей Михайлович	800	6	3	8	12	18	12	8	9	5	5	7	5	9	14	10	3	10	8	12	9	13	14	18	4	8	12	15	10	14	13	6	3	19	7	5	2	11	3	8	11	1	1	13	2	4	2	2	2	6	6	9	6	4	0	8	8	9	11	13	8	6	6	7	15	10	8	4	3	7	3	6	3	4	10	8	12	1	3	6	5	2	0	11	17	5	3	8	0	5	10	5	12	4	3	8	6	8	10	14	2	4	5	8	15	3	4	10	2	2	2	1					
		0.98%	1.30%	0.48%	1.75%	1.25%	1.63%	0.98%	0.79%	1.34%	1.32%	0.50%	0.67%	0.50%	0.86%	1.18%	0.83%	0.42%	0.82%	0.96%	0.97%	0.73%	1.14%	1.51%	1.50%	0.46%	0.70%	0.96%	1.16%	0.81%	1.29%	1.10%	0.95%	1.13%	1.44%	1.30%	0.74%	0.54%	1.31%	0.56%	1.83%	1.00%	0.19%	0.23%	1.16%	0.53%	0.70%	0.88%	0.89%	1.19%	0.76%	2.50%	1.60%	0.83%	0.81%	0.00%	1.57%	0.79%	1.24%	0.90%	1.00%	2.36%	1.35%	1.01%	0.63%	1.56%	1.01%	0.82%	0.82%	0.57%	1.05%	0.97%	1.24%	0.60%	0.78%	1.45%	1.11%	1.08%	0.51%	1.18%	0.92%	0.81%	1.04%	0.00%	1.67%	2.73%	1.71%	0.66%	1.63%	0.00%	1.82%	1.03%	0.36%	0.61%	0.64%	0.60%	0.90%	0.69%	0.88%	1.16%	1.48%	1.10%	1.42%	0.57%	0.63%	0.99%	0.59%	1.37%	0.89%	0.50%	0.78%	0.31%	0.45%					
21	. Путин Владимир Владимирович	63944	354	484	326	668	787	931	753	461	252	697	748	722	753	814	876	516	894	623	916	926	832	664	876	634	855	900	942	915	774	912	512	221	903	421	604	289	635	415	364	861	433	365	932	321	493	191	157	135	595	209	472	603	418	122	418	913	562	925	998	285	392	482	947	722	729	776	409	414	525	280	393	433	439	517	576	928	170	184	529	444	159	121	549	466	250	350	371	134	222	827	1208	1841	496	411	755	635	691	664	700	154	219	702	1001	1246	458	247	906	315	223	557	200					
		77.96%	76.96%	76.70%	71.49%	69.51%	71.16%	75.88%	73.97%	68.50%	66.67%	70.26%	71.10%	71.63%	72.13%	68.52%	73.06%	71.67%	72.92%	74.61%	73.75%	75.59%	73.24%	71.40%	72.76%	72.13%	74.48%	71.66%	72.74%	73.85%	71.21%	77.09%	80.76%	83.08%	68.31%	78.40%	89.61%	77.69%	75.42%	77.43%	83.30%	78.63%	83.59%	84.30%	83.14%	85.15%	86.04%	83.77%	69.78%	80.36%	75.03%	87.08%	83.69%	83.29%	84.96%	87.77%	81.80%	90.13%	77.30%	75.45%	77.07%	84.07%	87.89%	80.74%	85.01%	75.21%	73.71%	80.00%	83.64%	78.71%	78.59%	90.32%	81.37%	86.95%	85.74%	75.15%	80.11%	83.75%	85.86%	72.44%	81.26%	71.73%	82.81%	85.21%	83.43%	74.80%	85.32%	77.09%	75.41%	80.72%	81.02%	85.17%	87.79%	93.12%	79.23%	82.53%	84.93%	72.57%	76.19%	77.03%	74.07%	85.08%	77.66%	80.32%	78.51%	81.97%	89.63%	84.88%	80.68%	79.15%	86.43%	85.56%	90.09%					
22	. Хакамада Ирина Муцуовна	3412	21	37	27	81	60	73	53	58	21	66	70	79	64	88	68	52	94	58	55	58	61	67	82	65	53	73	90	72	75	56	23	8	64	14	19	16	45	29	14	38	15	5	28	10	8	6	9	11	39	4	9	24	8	2	8	12	37	58	67	3	2	20	30	44	45	41	4	20	14	8	8	8	9	15	11	18	3	13	24	41	6	5	12	16	3	27	19	3	7	26	30	37	4	7	20	49	38	29	34	4	10	17	30	39	5	3	22	6	4	11	1					
		4.16%	4.57%	5.86%	5.92%	8.43%	5.42%	5.95%	5.21%	8.62%	5.56%	6.65%	6.65%	7.84%	6.13%	7.41%	5.67%	7.22%	7.67%	6.95%	4.43%	4.73%	5.37%	7.20%	6.81%	7.39%	4.62%	5.81%	6.95%	5.81%	6.90%	4.73%	3.63%	3.01%	4.84%	2.61%	2.82%	4.30%	5.34%	5.41%	3.20%	3.47%	2.90%	1.15%	2.50%	2.65%	1.40%	2.63%	4.00%	6.55%	4.92%	1.67%	1.60%	3.31%	1.63%	1.44%	1.57%	1.18%	5.09%	4.73%	5.17%	0.88%	0.45%	3.35%	2.69%	4.58%	4.55%	4.23%	0.82%	3.80%	2.10%	2.58%	1.66%	1.61%	1.76%	2.18%	1.53%	1.62%	1.52%	5.12%	3.69%	6.62%	3.12%	3.52%	1.82%	2.57%	1.02%	5.95%	3.86%	1.81%	2.55%	2.68%	2.18%	1.87%	0.64%	1.41%	2.25%	5.60%	4.19%	3.36%	3.60%	2.21%	3.55%	1.95%	2.35%	2.57%	0.98%	1.03%	1.96%	1.51%	1.55%	1.69%	0.45%					
23	. Харитонов Николай Михайлович	7427	2	57	57	125	156	98	109	80	62	122	131	120	119	155	110	72	107	61	144	143	141	106	118	98	125	141	120	105	115	106	37	20	203	45	10	31	81	39	28	109	47	23	77	12	41	11	28	5	81	13	44	53	47	10	38	34	59	123	87	26	28	55	35	101	115	90	48	61	59	6	28	35	27	102	65	77	8	19	50	64	17	12	50	67	13	27	49	27	25	54	44	8	77	38	56	124	100	84	116	13	36	91	155	111	20	29	107	52	20	53	12					
		9.05%	0.43%	9.03%	12.50%	13.01%	14.10%	7.99%	10.71%	11.89%	16.40%	12.30%	12.45%	11.90%	11.40%	13.05%	9.17%	10.00%	8.73%	7.31%	11.59%	11.67%	12.41%	11.40%	9.80%	11.15%	10.89%	11.23%	9.27%	8.47%	10.58%	8.96%	5.84%	7.52%	15.36%	8.38%	1.48%	8.33%	9.62%	7.28%	6.41%	9.95%	9.07%	5.31%	6.87%	3.18%	7.16%	4.82%	12.44%	2.98%	10.21%	5.42%	7.80%	7.32%	9.55%	7.19%	7.44%	3.36%	8.12%	10.03%	6.72%	7.67%	6.28%	9.21%	3.14%	10.52%	11.63%	9.28%	9.82%	11.60%	8.83%	1.94%	5.80%	7.03%	5.27%	14.83%	9.04%	6.95%	4.04%	7.48%	7.68%	10.34%	8.85%	8.45%	7.60%	10.75%	4.44%	5.95%	9.96%	16.27%	9.12%	5.56%	3.20%	0.40%	12.30%	7.63%	6.30%	14.17%	11.03%	9.74%	12.28%	7.18%	12.77%	10.41%	12.16%	7.30%	3.91%	9.97%	9.53%	13.07%	7.75%	8.14%	5.41%					
																																																																																																																						
24	Против всех	2387	34	15	17	27	37	53	36	20	11	45	22	32	34	40	51	27	43	26	45	40	31	30	48	29	39	45	57	53	43	35	23	5	48	16	19	20	26	12	10	28	6	14	27	16	7	4	7	9	28	3	9	8	6	1	8	17	29	42	49	9	4	4	38	16	26	20	7	14	21	0	12	9	7	18	25	21	5	17	8	22	3	0	11	18	10	25	22	0	9	20	42	54	16	16	25	19	31	37	37	2	7	26	21	27	4	1	17	9	2	9	2					
		2.91%	7.39%	2.38%	3.73%	2.81%	3.35%	4.32%	3.54%	2.97%	2.91%	4.54%	2.09%	3.17%	3.26%	3.37%	4.25%	3.75%	3.51%	3.11%	3.62%	3.27%	2.73%	3.23%	3.99%	3.30%	3.40%	3.58%	4.40%	4.28%	3.96%	2.96%	3.63%	1.88%	3.63%	2.98%	2.82%	5.38%	3.09%	2.24%	2.29%	2.56%	1.16%	3.23%	2.41%	4.24%	1.22%	1.75%	3.11%	5.36%	3.53%	1.25%	1.60%	1.10%	1.22%	0.72%	1.57%	1.68%	3.99%	3.43%	3.78%	2.65%	0.90%	0.67%	3.41%	1.67%	2.63%	2.06%	1.43%	2.66%	3.14%	0.00%	2.48%	1.81%	1.37%	2.62%	3.48%	1.90%	2.53%	6.69%	1.23%	3.55%	1.56%	0.00%	1.67%	2.89%	3.41%	5.51%	4.47%	0.00%	3.28%	2.06%	3.05%	2.73%	2.56%	3.21%	2.81%	2.17%	3.42%	4.29%	3.92%	1.10%	2.48%	2.97%	1.65%	1.78%	0.78%	0.34%	1.51%	2.26%	0.78%	1.38%	0.90%					
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
																																																																																																																						
