Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																		
Дата голосования: 18.09.2016																																																																		
																																																																		
Наименование Избирательной комиссии:    Вяземская																																																																		
																																																																		
Сводная таблица итогов голосования по федеральному избирательному округу																																																																		
																																																																		
		Сумма	УИК №12	УИК №13	УИК №14	УИК №15	УИК №16	УИК №17	УИК №18	УИК №19	УИК №20	УИК №21	УИК №22	УИК №23	УИК №24	УИК №25	УИК №26	УИК №27	УИК №28	УИК №29	УИК №30	УИК №31	УИК №32	УИК №33	УИК №34	УИК №35	УИК №36	УИК №37	УИК №38	УИК №39	УИК №40	УИК №41	УИК №42	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №8216	УИК №8224	УИК №8227	УИК №8228									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	947	27	40	20	35	29	25	20	20	25	11	25	20	20	26	20	15	25	25	9	30	18	15	2	20	15	40	10	15	10	20	15	15	15	5	15	15	15	15	15	15	15	15	15	15	15	15	15	15	15	5	15	5	5	5	5									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	642	26	35	17	34	29	25	15	20	21	8	12	9	9	23	10	8	17	16	5	28	15	7	1	8	9	40	5	15	0	15	1	15	11	5	3	7	0	11	5	12	15	8	4	15	15	3	4	12	12	0	2	0	0	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	508	28	10	11	24	22	11	29	6	13	28	15	11	7	15	5	7	12	15	7	7	15	8	33	7	5	14	1	5	3	5	3	9	4	3	5	1	4	15	2	2	4	2	4	6	5	32	4	6	2	2	9	3	0	2	0									
14	Число погашенных неиспользованных открепительных удостоверений	305	1	5	3	1	0	0	5	0	4	3	13	11	11	3	10	7	8	9	4	2	3	8	1	12	6	0	5	0	10	5	14	0	4	0	12	8	15	4	10	3	0	7	11	0	0	12	11	3	3	5	13	5	5	5	5									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	155	5	5	4	10	6	7	4	3	2	2	6	2	8	2	4	3	5	7	1	6	7	0	0	4	1	28	1	1	0	1	0	3	1	0	0	8	0	2	0	0	2	1	1	0	1	0	0	0	1	0	0	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																		
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	468	14	11	1	8	20	9	10	18	8	7	11	10	12	18	6	6	9	5	7	19	11	3	4	10	3	14	7	3	3	0	0	2	6	0	2	1	2	15	8	4	2	4	5	8	4	2	10	5	0	4	0	34	33	37	13									
		1.39%	1.80%	1.22%	0.16%	0.84%	2.95%	1.38%	1.24%	3.52%	1.02%	1.68%	1.66%	1.69%	1.60%	2.05%	0.85%	1.54%	1.65%	1.10%	2.72%	2.65%	1.33%	1.19%	1.37%	1.81%	0.64%	1.13%	0.96%	0.80%	1.45%	0.00%	0.00%	0.64%	1.30%	0.00%	0.97%	0.94%	0.78%	2.12%	2.44%	2.22%	1.02%	2.22%	1.79%	2.08%	1.67%	1.05%	2.08%	2.94%	0.00%	2.03%	0.00%	1.17%	1.57%	1.26%	0.58%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	571	12	17	20	18	14	14	14	13	22	10	20	15	10	16	21	13	12	13	6	20	12	4	2	5	6	18	16	9	2	1	1	3	11	0	5	4	4	14	9	0	1	8	8	11	7	2	15	1	0	6	5	26	14	30	11									
		1.70%	1.54%	1.89%	3.19%	1.89%	2.06%	2.15%	1.73%	2.54%	2.81%	2.40%	3.03%	2.53%	1.33%	1.82%	2.98%	3.33%	2.20%	2.86%	2.33%	2.79%	1.45%	1.58%	0.68%	0.91%	1.27%	1.46%	2.19%	2.40%	0.97%	1.08%	1.01%	0.96%	2.39%	0.00%	2.42%	3.77%	1.56%	1.98%	2.74%	0.00%	0.51%	4.44%	2.87%	2.86%	2.92%	1.05%	3.13%	0.59%	0.00%	3.05%	3.16%	0.90%	0.67%	1.02%	0.49%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	602	21	13	21	18	20	13	17	13	32	8	23	16	20	18	20	10	16	14	8	19	16	6	3	17	13	39	20	3	4	2	1	5	9	0	4	2	3	11	5	3	4	5	5	15	5	1	3	9	2	3	2	8	8	14	12									
		1.79%	2.70%	1.45%	3.35%	1.89%	2.95%	1.99%	2.10%	2.54%	4.09%	1.92%	3.48%	2.70%	2.66%	2.05%	2.84%	2.56%	2.93%	3.08%	3.11%	2.65%	1.93%	2.37%	1.03%	3.08%	2.76%	3.15%	2.73%	0.80%	1.93%	2.15%	1.01%	1.61%	1.96%	0.00%	1.93%	1.89%	1.17%	1.56%	1.52%	1.67%	2.04%	2.78%	1.79%	3.91%	2.08%	0.52%	0.63%	5.29%	1.17%	1.52%	1.27%	0.28%	0.38%	0.48%	0.53%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	19334	281	339	241	362	259	245	298	190	296	188	256	211	359	295	244	142	191	175	114	282	327	118	166	201	196	557	422	243	146	67	66	208	232	56	105	56	198	359	174	91	125	77	141	247	130	127	250	94	119	111	61	2543	1814	2502	2037									
		57.48%	36.12%	37.75%	38.50%	38.03%	38.14%	37.63%	36.88%	37.18%	37.85%	45.08%	38.73%	35.64%	47.74%	33.60%	34.66%	36.41%	34.98%	38.55%	44.36%	39.28%	39.49%	46.64%	56.85%	36.41%	41.61%	45.03%	57.65%	64.80%	70.53%	72.04%	66.67%	66.88%	50.43%	84.85%	50.72%	52.83%	77.34%	50.78%	53.05%	50.56%	63.78%	42.78%	50.54%	64.32%	54.17%	66.49%	52.08%	55.29%	69.59%	56.35%	38.61%	87.84%	86.55%	85.36%	90.37%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	201	6	8	3	12	3	5	6	7	10	2	5	5	6	8	7	2	6	3	3	2	4	1	2	0	7	10	5	0	0	0	0	2	2	1	1	1	2	7	1	0	1	0	1	3	1	1	8	1	0	1	0	13	6	3	7									
		0.60%	0.77%	0.89%	0.48%	1.26%	0.44%	0.77%	0.74%	1.37%	1.28%	0.48%	0.76%	0.84%	0.80%	0.91%	0.99%	0.51%	1.10%	0.66%	1.17%	0.28%	0.48%	0.40%	0.68%	0.00%	1.49%	0.81%	0.68%	0.00%	0.00%	0.00%	0.00%	0.64%	0.43%	1.52%	0.48%	0.94%	0.78%	0.99%	0.30%	0.00%	0.51%	0.00%	0.36%	0.78%	0.42%	0.52%	1.67%	0.59%	0.00%	0.51%	0.00%	0.45%	0.29%	0.10%	0.31%									
24	"6. Политическая партия ""Гражданская Платформа"""	46	0	3	4	2	0	0	2	2	2	1	1	1	1	1	1	0	0	0	0	2	0	0	1	0	1	1	2	1	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	5	3	3	1									
		0.14%	0.00%	0.33%	0.64%	0.21%	0.00%	0.00%	0.25%	0.39%	0.26%	0.24%	0.15%	0.17%	0.13%	0.11%	0.14%	0.00%	0.00%	0.00%	0.00%	0.28%	0.00%	0.00%	0.34%	0.00%	0.21%	0.08%	0.27%	0.27%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.00%	0.94%	0.00%	0.14%	0.00%	0.00%	0.00%	0.00%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.14%	0.10%	0.04%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	5891	217	209	139	256	153	163	221	95	165	89	148	137	150	216	181	79	135	100	72	180	214	44	55	142	145	316	149	72	20	7	18	55	115	3	41	23	22	190	92	45	25	44	55	55	50	39	109	37	21	32	48	120	120	174	89									
		17.51%	27.89%	23.27%	22.20%	26.89%	22.53%	25.04%	27.35%	18.59%	21.10%	21.34%	22.39%	23.14%	19.95%	24.60%	25.71%	20.26%	24.73%	22.03%	28.02%	25.07%	25.85%	17.39%	18.84%	25.72%	30.79%	25.55%	20.36%	19.20%	9.66%	7.53%	18.18%	17.68%	25.00%	4.55%	19.81%	21.70%	8.59%	26.87%	28.05%	25.00%	12.76%	24.44%	19.71%	14.32%	20.83%	20.42%	22.71%	21.76%	12.28%	16.24%	30.38%	4.15%	5.73%	5.94%	3.95%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	154	3	9	5	9	3	4	13	3	4	4	2	5	6	6	7	1	7	5	1	3	5	1	2	0	0	7	5	0	0	0	0	0	2	0	0	0	1	5	1	0	1	0	0	3	3	2	2	1	0	0	1	1	1	8	2									
		0.46%	0.39%	1.00%	0.80%	0.95%	0.44%	0.61%	1.61%	0.59%	0.51%	0.96%	0.30%	0.84%	0.80%	0.68%	0.99%	0.26%	1.28%	1.10%	0.39%	0.42%	0.60%	0.40%	0.68%	0.00%	0.00%	0.57%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.43%	0.00%	0.00%	0.00%	0.39%	0.71%	0.30%	0.00%	0.51%	0.00%	0.00%	0.78%	1.25%	1.05%	0.42%	0.59%	0.00%	0.00%	0.63%	0.03%	0.05%	0.27%	0.09%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	232	10	14	7	16	6	8	7	5	7	4	9	7	2	5	4	3	8	16	1	4	5	4	1	7	2	16	6	0	0	0	0	2	2	0	0	0	1	3	1	1	2	1	4	0	1	1	0	3	1	1	0	9	3	7	5									
		0.69%	1.29%	1.56%	1.12%	1.68%	0.88%	1.23%	0.87%	0.98%	0.90%	0.96%	1.36%	1.18%	0.27%	0.57%	0.57%	0.77%	1.47%	3.52%	0.39%	0.56%	0.60%	1.58%	0.34%	1.27%	0.42%	1.29%	0.82%	0.00%	0.00%	0.00%	0.00%	0.64%	0.43%	0.00%	0.00%	0.00%	0.39%	0.42%	0.30%	0.56%	1.02%	0.56%	1.43%	0.00%	0.42%	0.52%	0.00%	1.76%	0.58%	0.51%	0.00%	0.31%	0.14%	0.24%	0.22%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	31	0	1	0	4	1	0	2	0	1	0	0	2	5	0	0	0	2	0	0	0	1	0	0	0	0	2	4	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	2	0	0	0	0	0	0	2	0									
		0.09%	0.00%	0.11%	0.00%	0.42%	0.15%	0.00%	0.25%	0.00%	0.13%	0.00%	0.00%	0.34%	0.66%	0.00%	0.00%	0.00%	0.37%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.00%	0.00%	0.16%	0.55%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.07%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	273	11	18	11	8	10	7	16	8	10	7	7	8	6	7	5	4	13	12	2	3	17	4	2	3	1	20	6	1	0	1	0	0	2	0	0	2	1	3	1	0	3	0	3	1	0	1	3	0	0	1	1	10	3	5	5									
		0.81%	1.41%	2.00%	1.76%	0.84%	1.47%	1.08%	1.98%	1.57%	1.28%	1.68%	1.06%	1.35%	0.80%	0.80%	0.71%	1.03%	2.38%	2.64%	0.78%	0.42%	2.05%	1.58%	0.68%	0.54%	0.21%	1.62%	0.82%	0.27%	0.00%	1.08%	0.00%	0.00%	0.43%	0.00%	0.00%	1.89%	0.39%	0.42%	0.30%	0.00%	1.53%	0.00%	1.08%	0.26%	0.00%	0.52%	0.63%	0.00%	0.00%	0.51%	0.63%	0.35%	0.14%	0.17%	0.22%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	3587	108	154	112	138	106	107	103	102	144	69	117	90	112	169	123	73	73	62	33	104	129	37	20	86	72	143	65	34	19	14	4	18	52	4	28	12	16	74	25	31	24	26	40	29	30	11	68	17	20	30	30	80	65	95	40									
		10.66%	13.88%	17.15%	17.89%	14.50%	15.61%	16.44%	12.75%	19.96%	18.41%	16.55%	17.70%	15.20%	14.89%	19.25%	17.47%	18.72%	13.37%	13.66%	12.84%	14.48%	15.58%	14.62%	6.85%	15.58%	15.29%	11.56%	8.88%	9.07%	9.18%	15.05%	4.04%	5.79%	11.30%	6.06%	13.53%	11.32%	6.25%	10.47%	7.62%	17.22%	12.24%	14.44%	14.34%	7.55%	12.50%	5.76%	14.17%	10.00%	11.70%	15.23%	18.99%	2.76%	3.10%	3.24%	1.77%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	133	5	7	4	4	4	3	5	0	9	2	3	0	3	7	2	0	3	5	1	5	3	0	1	0	3	15	2	0	1	1	1	1	1	0	1	0	0	3	1	1	0	3	1	1	2	0	1	0	1	1	1	3	6	4	2									
		0.40%	0.64%	0.78%	0.64%	0.42%	0.59%	0.46%	0.62%	0.00%	1.15%	0.48%	0.45%	0.00%	0.40%	0.80%	0.28%	0.00%	0.55%	1.10%	0.39%	0.70%	0.36%	0.00%	0.34%	0.00%	0.64%	1.21%	0.27%	0.00%	0.48%	1.08%	1.01%	0.32%	0.22%	0.00%	0.48%	0.00%	0.00%	0.42%	0.30%	0.56%	0.00%	1.67%	0.36%	0.26%	0.83%	0.00%	0.21%	0.00%	0.58%	0.51%	0.63%	0.10%	0.29%	0.14%	0.09%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1638	76	82	49	86	67	63	58	48	55	19	48	78	56	100	71	45	55	40	8	61	69	30	19	67	17	49	12	7	7	0	8	7	15	2	18	3	4	15	5	4	1	9	10	8	4	2	4	2	7	2	4	9	14	28	11									
		4.87%	9.77%	9.13%	7.83%	9.03%	9.87%	9.68%	7.18%	9.39%	7.03%	4.56%	7.26%	13.18%	7.45%	11.39%	10.09%	11.54%	10.07%	8.81%	3.11%	8.50%	8.33%	11.86%	6.51%	12.14%	3.61%	3.96%	1.64%	1.87%	3.38%	0.00%	8.08%	2.25%	3.26%	3.03%	8.70%	2.83%	1.56%	2.12%	1.52%	2.22%	0.51%	5.00%	3.58%	2.08%	1.67%	1.05%	0.83%	1.18%	4.09%	1.02%	2.53%	0.31%	0.67%	0.96%	0.49%									
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
																																																																		
