Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																															
Дата голосования: 02.12.2007																																																																																															
																																																																																															
Наименование Избирательной комиссии:    Вольская																																																																																															
																																																																																															
Сводная таблица результатов выборов																																																																																															
																																																																																															
		Сумма	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419	УИК №420	УИК №421	УИК №422	УИК №423	УИК №424	УИК №425	УИК №426	УИК №427	УИК №428	УИК №429	УИК №430	УИК №431	УИК №432	УИК №433	УИК №434	УИК №435	УИК №436	УИК №437	УИК №438	УИК №439	УИК №440	УИК №441	УИК №442	УИК №443	УИК №444	УИК №445	УИК №446	УИК №447	УИК №448	УИК №449	УИК №450	УИК №451	УИК №452	УИК №453	УИК №454	УИК №455	УИК №456	УИК №457	УИК №458	УИК №459	УИК №460	УИК №461	УИК №462	УИК №463	УИК №464	УИК №465	УИК №466	УИК №467	УИК №468	УИК №469	УИК №470	УИК №471	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3697	55	40	45	40	10	40	40	35	40	40	15	40	48	40	40	40	70	45	40	700	60	80	40	50	40	40	40	40	40	40	25	40	40	40	85	40	15	40	10	0	40	91	40	40	0	0	0	0	0	0	40	40	8	40	40	40	40	40	20	5	30	30	40	20	15	15	40	40	40	40	20	20	5	40	20	40	40	40	40	45	40	40	5	40	80	40	40	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2410	55	40	44	40	9	12	14	34	23	32	15	34	47	27	30	30	66	43	37	683	60	70	21	41	39	23	40	35	20	18	19	15	29	40	81	20	5	18	0	0	12	79	24	4	0	0	0	0	0	0	12	23	5	2	21	4	12	11	4	3	5	0	15	5	2	1	12	19	3	12	3	2	3	40	8	40	12	7	14	8	7	1	0	7	38	19	2	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1514	8	6	13	22	13	9	9	19	64	2	14	14	12	21	16	118	17	1	29	20	18	5	5	12	63	14	53	15	18	6	183	6	10	7	11	8	4	5	11	31	5	19	10	4	47	28	204	12	7	34	5	10	8	5	2	3	6	6	3	0	7	3	8	2	1	0	2	6	2	4	5	2	3	13	4	16	3	4	6	10	1	6	3	47	11	9	6	0					
14	Число погашенных неиспользованных открепительных удостоверений	1287	0	0	1	0	1	28	26	1	17	8	0	6	1	13	10	10	4	2	3	17	0	10	19	9	1	17	0	5	20	22	6	25	11	0	4	20	10	22	10	0	28	12	16	36	0	0	0	0	0	0	28	17	3	38	19	36	28	29	16	2	25	30	25	15	13	14	28	21	37	28	17	18	2	0	12	0	28	33	26	37	33	39	5	33	42	21	38	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	106	0	0	1	0	0	0	1	1	1	0	0	2	2	0	0	1	4	5	4	12	0	1	1	5	0	2	1	1	0	2	0	2	29	0	2	0	5	4	0	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	3	1	0	0	0	0	1	0	0	1	0	0	2	0	0	0	0	0	0	0	0	0	0	4	1	1	0					
16	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																															
18	1.Политическая партия «Аграрная партия России»	634	9	7	20	4	3	3	11	8	3	3	1	6	17	25	8	6	15	8	11	19	16	15	6	11	12	4	17	7	4	0	5	3	11	6	24	6	3	7	1	0	6	24	28	1	1	0	2	0	1	0	16	5	4	4	13	6	11	8	2	1	4	3	17	1	4	6	4	15	3	4	0	1	2	14	3	21	1	3	8	6	4	3	2	4	12	10	1	0					
		1.37%	0.77%	0.97%	1.74%	0.55%	2.50%	1.27%	2.27%	1.23%	0.70%	0.60%	0.37%	1.29%	1.95%	1.71%	0.66%	0.61%	1.80%	0.94%	1.23%	1.93%	1.32%	1.59%	1.67%	0.85%	1.20%	0.77%	1.87%	1.00%	0.90%	0.00%	0.90%	1.43%	1.85%	0.90%	1.82%	1.88%	1.40%	1.53%	0.92%	0.00%	1.51%	1.22%	1.70%	1.10%	0.71%	0.00%	0.48%	0.00%	3.57%	0.00%	2.72%	1.12%	2.76%	1.67%	2.27%	2.11%	2.86%	1.66%	2.15%	3.23%	1.21%	1.79%	3.51%	0.81%	3.54%	4.14%	1.15%	3.01%	0.96%	1.41%	0.00%	1.30%	0.66%	1.09%	1.33%	1.29%	0.45%	0.96%	1.34%	1.52%	1.56%	1.89%	2.30%	1.79%	0.74%	2.06%	0.63%	0.00%					
19	2.Всероссийская политическая партия «Гражданская Сила»	159	2	5	5	2	0	2	3	2	0	4	0	2	4	5	3	7	1	4	1	6	9	1	0	3	4	3	6	6	2	0	2	0	1	3	3	0	0	2	0	0	2	16	10	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	1	0	1	1	1	0	0	0	1	2	1	2	0	1	2	0	1	0	2	2	3	1	0	2					
		0.34%	0.17%	0.69%	0.44%	0.27%	0.00%	0.84%	0.62%	0.31%	0.00%	0.80%	0.00%	0.43%	0.46%	0.34%	0.25%	0.71%	0.12%	0.47%	0.11%	0.61%	0.74%	0.11%	0.00%	0.23%	0.40%	0.57%	0.66%	0.86%	0.45%	0.00%	0.36%	0.00%	0.17%	0.45%	0.23%	0.00%	0.00%	0.44%	0.00%	0.00%	0.50%	0.81%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.21%	0.00%	0.88%	0.00%	0.29%	0.20%	0.32%	0.00%	0.00%	0.00%	0.33%	0.16%	0.44%	0.12%	0.00%	0.32%	0.34%	0.00%	0.39%	0.00%	2.30%	0.90%	0.18%	0.21%	0.00%	0.96%					
20	3.Политическая партия «Демократическая партия России»	55	0	1	2	0	0	1	2	0	0	0	0	1	4	3	2	0	0	2	1	2	1	0	2	4	1	0	1	1	0	1	0	1	1	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	1	1	1	2	0	0	1	1	2	0	0	0	0	0	0	0	0	0	1	1	1	1	0	0	1	0	0	1	0	0	1	0	0	0	0	1	1	0	0	0					
		0.12%	0.00%	0.14%	0.17%	0.00%	0.00%	0.42%	0.41%	0.00%	0.00%	0.00%	0.00%	0.22%	0.46%	0.21%	0.16%	0.00%	0.00%	0.23%	0.11%	0.20%	0.08%	0.00%	0.56%	0.31%	0.10%	0.00%	0.11%	0.14%	0.00%	0.33%	0.00%	0.48%	0.17%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.05%	0.12%	0.00%	0.00%	0.00%	0.00%	0.00%	3.57%	2.13%	0.17%	0.45%	0.00%	0.00%	0.17%	0.35%	0.52%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.29%	0.20%	0.32%	0.35%	0.00%	0.00%	0.33%	0.00%	0.00%	0.06%	0.00%	0.00%	0.17%	0.00%	0.00%	0.00%	0.00%	0.45%	0.06%	0.00%	0.00%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	3572	74	41	95	52	8	26	44	59	46	54	23	55	111	55	71	107	98	100	88	102	114	78	28	107	97	58	90	89	46	21	37	14	50	44	132	18	13	52	6	0	24	130	46	2	0	1	14	1	0	0	58	10	8	6	38	21	26	32	6	0	4	13	17	2	4	9	23	23	26	13	8	8	19	153	25	124	8	4	22	18	35	2	1	18	115	31	6	15					
		7.69%	6.34%	5.69%	8.27%	7.13%	6.67%	10.97%	9.09%	9.06%	10.67%	10.74%	8.49%	11.85%	12.76%	3.77%	5.83%	10.87%	11.78%	11.71%	9.83%	10.38%	9.42%	8.27%	7.80%	8.24%	9.68%	11.11%	9.89%	12.73%	10.38%	6.84%	6.69%	6.67%	8.39%	6.60%	9.98%	5.63%	6.05%	11.38%	5.50%	0.00%	6.03%	6.60%	2.79%	2.20%	0.00%	1.52%	3.38%	4.17%	0.00%	0.00%	9.86%	2.25%	5.52%	2.51%	6.63%	7.39%	6.77%	6.63%	6.45%	0.00%	1.21%	7.74%	3.51%	1.61%	3.54%	6.21%	6.63%	4.62%	8.28%	4.58%	7.21%	10.39%	6.27%	11.86%	11.06%	7.64%	3.62%	1.28%	3.69%	4.57%	13.67%	1.26%	1.15%	8.07%	7.09%	6.39%	3.75%	7.21%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	75	1	1	1	0	0	0	0	1	0	0	0	5	2	7	3	3	3	1	2	4	2	5	1	1	2	2	3	0	0	1	0	0	1	2	0	0	0	0	0	0	1	1	6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	1	0	1	0	0	0	1	0	0	0	0	0	1	2	0	1	0	0	0	0	0	0	0	0	1	1	1	1					
		0.16%	0.09%	0.14%	0.09%	0.00%	0.00%	0.00%	0.00%	0.15%	0.00%	0.00%	0.00%	1.08%	0.23%	0.48%	0.25%	0.30%	0.36%	0.12%	0.22%	0.41%	0.17%	0.53%	0.28%	0.08%	0.20%	0.38%	0.33%	0.00%	0.00%	0.33%	0.00%	0.00%	0.17%	0.30%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.05%	0.36%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.35%	0.00%	0.21%	0.00%	0.00%	0.30%	0.00%	0.21%	0.00%	0.00%	0.00%	0.29%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.16%	0.00%	0.06%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.06%	0.21%	0.63%	0.48%					
23	6.Политическая партия «Партия социальной справедливости»	94	0	1	2	0	0	1	1	2	0	1	0	0	0	0	0	0	0	0	0	0	2	2	0	1	1	0	0	1	0	0	0	1	1	0	2	0	0	0	0	0	0	5	7	0	0	0	1	0	1	0	1	1	0	1	0	0	0	3	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	44	0	0	1	0	1	2	0	1	0	0	2	1	0	0					
		0.20%	0.00%	0.14%	0.17%	0.00%	0.00%	0.42%	0.21%	0.31%	0.00%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.21%	0.00%	0.08%	0.10%	0.00%	0.00%	0.14%	0.00%	0.00%	0.00%	0.48%	0.17%	0.00%	0.15%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.43%	0.00%	0.00%	0.00%	0.24%	0.00%	3.57%	0.00%	0.17%	0.22%	0.00%	0.42%	0.00%	0.00%	0.00%	0.62%	0.00%	0.00%	0.00%	0.60%	0.00%	0.00%	0.00%	0.00%	0.00%	0.20%	0.00%	0.00%	0.00%	1.30%	0.00%	3.41%	0.00%	0.00%	0.45%	0.00%	0.17%	0.51%	0.00%	0.63%	0.00%	0.00%	0.12%	0.21%	0.00%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	2839	59	43	46	33	3	17	29	43	25	30	15	22	32	99	132	52	39	58	67	79	85	55	19	87	36	32	88	24	21	27	37	7	33	37	59	27	9	29	1	0	35	160	188	13	1	1	10	8	4	0	26	7	8	6	13	9	21	15	3	2	10	2	24	5	7	3	18	15	14	15	2	5	13	198	15	127	6	12	15	12	13	2	3	20	68	19	4	26					
		6.11%	5.06%	5.96%	4.00%	4.53%	2.50%	7.17%	5.99%	6.61%	5.80%	5.96%	5.54%	4.74%	3.68%	6.79%	10.84%	5.28%	4.69%	6.79%	7.49%	8.04%	7.02%	5.83%	5.29%	6.70%	3.59%	6.13%	9.67%	3.43%	4.74%	8.79%	6.69%	3.33%	5.54%	5.55%	4.46%	8.44%	4.19%	6.35%	0.92%	0.00%	8.79%	8.12%	11.41%	14.29%	0.71%	1.52%	2.42%	33.33%	14.29%	0.00%	4.42%	1.57%	5.52%	2.51%	2.27%	3.17%	5.47%	3.11%	3.23%	6.45%	3.02%	1.19%	4.95%	4.03%	6.19%	2.07%	5.19%	3.01%	4.46%	5.28%	1.80%	6.49%	4.29%	15.35%	6.64%	7.83%	2.71%	3.85%	2.52%	3.05%	5.08%	1.26%	3.45%	8.97%	4.19%	3.92%	2.50%	12.50%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6658	264	128	191	127	19	21	69	130	57	77	48	77	207	72	138	186	152	217	173	174	188	206	46	202	187	79	144	139	75	45	69	42	107	156	311	46	49	99	17	2	41	251	90	3	3	2	42	3	2	1	39	13	12	22	61	23	42	48	5	3	15	17	51	15	9	27	20	59	39	18	12	7	19	3	28	170	18	18	178	57	56	30	8	18	191	89	16	28					
		14.33%	22.62%	17.75%	16.62%	17.42%	15.83%	8.86%	14.26%	19.97%	13.23%	15.31%	17.71%	16.59%	23.79%	4.94%	11.33%	18.90%	18.27%	25.41%	19.33%	17.70%	15.54%	21.85%	12.81%	15.55%	18.66%	15.13%	15.82%	19.89%	16.93%	14.66%	12.48%	20.00%	17.95%	23.39%	23.52%	14.38%	22.79%	21.66%	15.60%	6.45%	10.30%	12.74%	5.46%	3.30%	2.14%	3.03%	10.14%	12.50%	7.14%	2.13%	6.63%	2.92%	8.28%	9.21%	10.65%	8.10%	10.94%	9.94%	5.38%	9.68%	4.53%	10.12%	10.52%	12.10%	7.96%	18.62%	5.76%	11.85%	12.42%	6.34%	10.81%	9.09%	6.27%	0.23%	12.39%	10.48%	8.14%	5.77%	29.87%	14.47%	21.88%	18.87%	9.20%	8.07%	11.78%	18.35%	10.00%	13.46%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1058	3	1	6	2	0	1	2	8	2	0	2	4	4	9	4	4	5	3	5	3	4	1	3	5	5	2	4	4	1	3	4	1	0	2	8	0	0	0	0	0	2	7	10	1	1	0	2	0	1	0	5	2	1	2	3	1	1	4	0	0	1	2	3	0	1	1	4	0	1	1	2	2	2	855	0	4	2	1	2	1	3	0	1	1	7	3	0	0					
		2.28%	0.26%	0.14%	0.52%	0.27%	0.00%	0.42%	0.41%	1.23%	0.46%	0.00%	0.74%	0.86%	0.46%	0.62%	0.33%	0.41%	0.60%	0.35%	0.56%	0.31%	0.33%	0.11%	0.84%	0.38%	0.50%	0.38%	0.44%	0.57%	0.23%	0.98%	0.72%	0.48%	0.00%	0.30%	0.61%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.36%	0.61%	1.10%	0.71%	0.00%	0.48%	0.00%	3.57%	0.00%	0.85%	0.45%	0.69%	0.84%	0.52%	0.35%	0.26%	0.83%	0.00%	0.00%	0.30%	1.19%	0.62%	0.00%	0.88%	0.69%	1.15%	0.00%	0.32%	0.35%	1.80%	2.60%	0.66%	66.28%	0.00%	0.25%	0.90%	0.32%	0.34%	0.25%	1.17%	0.00%	1.15%	0.45%	0.43%	0.62%	0.00%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	30206	728	483	747	490	82	157	309	378	287	311	171	274	474	1164	830	610	503	444	535	570	764	552	247	846	625	332	543	413	282	204	389	134	375	397	735	208	134	264	82	29	276	1312	1253	69	129	62	342	11	15	44	435	390	110	192	432	214	268	356	72	25	287	129	358	95	84	99	267	372	223	225	84	52	244	4	152	1094	182	263	344	286	140	114	60	152	1208	315	129	135					
		65.03%	62.38%	66.99%	65.01%	67.22%	68.33%	66.24%	63.84%	58.06%	66.59%	61.83%	63.10%	59.05%	54.48%	79.84%	68.14%	61.99%	60.46%	51.99%	59.78%	57.99%	63.14%	58.54%	68.80%	65.13%	62.38%	63.60%	59.67%	59.08%	63.66%	66.45%	70.34%	63.81%	62.92%	59.52%	55.60%	65.00%	62.33%	57.77%	75.23%	93.55%	69.35%	66.60%	76.08%	75.82%	92.14%	93.94%	82.61%	45.83%	53.57%	93.62%	73.98%	87.64%	75.86%	80.33%	75.39%	75.35%	69.79%	73.71%	77.42%	80.65%	86.71%	76.79%	73.81%	76.61%	74.34%	68.28%	76.95%	74.70%	71.02%	79.23%	75.68%	67.53%	80.53%	0.31%	67.26%	67.45%	82.35%	84.29%	57.72%	72.59%	54.69%	71.70%	68.97%	68.16%	74.48%	64.95%	80.63%	64.90%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	238	3	2	4	4	3	0	2	2	4	5	5	7	8	8	8	7	7	5	6	13	6	8	3	5	5	1	5	10	6	2	3	2	2	2	6	1	0	4	2	0	1	8	7	0	1	0	1	1	1	0	0	1	0	0	1	1	0	1	1	0	2	0	1	0	0	0	2	1	2	4	0	0	0	0	2	2	0	1	3	2	2	1	0	5	4	2	0	1					
		0.51%	0.26%	0.28%	0.35%	0.55%	2.50%	0.00%	0.41%	0.31%	0.93%	0.99%	1.85%	1.51%	0.92%	0.55%	0.66%	0.71%	0.84%	0.59%	0.67%	1.32%	0.50%	0.85%	0.84%	0.38%	0.50%	0.19%	0.55%	1.43%	1.35%	0.65%	0.54%	0.95%	0.34%	0.30%	0.45%	0.31%	0.00%	0.88%	1.83%	0.00%	0.25%	0.41%	0.43%	0.00%	0.71%	0.00%	0.24%	4.17%	3.57%	0.00%	0.00%	0.22%	0.00%	0.00%	0.17%	0.35%	0.00%	0.21%	1.08%	0.00%	0.60%	0.00%	0.21%	0.00%	0.00%	0.00%	0.58%	0.20%	0.64%	1.41%	0.00%	0.00%	0.00%	0.00%	0.88%	0.12%	0.00%	0.32%	0.50%	0.51%	0.78%	0.63%	0.00%	2.24%	0.25%	0.41%	0.00%	0.48%					
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
																																																																																															
