Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																	
Дата голосования: 04.12.2011																																																																																	
																																																																																	
Наименование Избирательной комиссии:    Омская																																																																																	
																																																																																	
Сводная таблица результатов выборов																																																																																	
																																																																																	
		Сумма	УИК №1285	УИК №1286	УИК №1287	УИК №1288	УИК №1289	УИК №1290	УИК №1291	УИК №1292	УИК №1293	УИК №1294	УИК №1295	УИК №1296	УИК №1297	УИК №1298	УИК №1299	УИК №1300	УИК №1301	УИК №1302	УИК №1303	УИК №1304	УИК №1305	УИК №1306	УИК №1307	УИК №1308	УИК №1309	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1140	12	4	5	3	6	5	1	10	30	18	75	5	21	2	36	5	9	7	8	6	17	1	2	1	23	9	131	4	14	16	22	6	3	2	6	19	7	29	7	6	7	44	13	3	0	5	6	70	0	10	5	1	3	1	1	3	6	1	2	25	9	2	30	0	14	27	87	20	3	31	2	12	76	28					
14	Число погашенных неиспользованных открепительных удостоверений	308	0	0	1	1	0	3	2	1	0	0	62	19	10	11	5	2	3	0	7	10	4	3	0	1	10	1	4	1	7	3	3	0	2	2	1	0	10	12	0	1	1	4	8	1	3	7	1	4	8	8	0	3	3	3	1	3	4	2	1	3	3	0	11	1	1	4	8	0	4	0	0	4	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	9	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																	
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	5504	42	8	9	18	97	64	11	76	63	69	195	44	158	36	224	81	14	99	146	62	163	7	23	6	115	150	120	16	161	193	127	155	37	106	85	92	45	195	66	112	37	196	60	18	13	89	16	94	10	53	16	8	10	9	7	7	61	10	12	137	47	18	128	13	120	145	139	182	49	73	20	28	103	86					
		13.65%	8.17%	6.20%	9.18%	7.56%	11.20%	11.92%	7.01%	13.31%	15.14%	12.57%	15.63%	10.14%	13.16%	10.53%	11.80%	10.13%	8.54%	15.28%	17.28%	15.01%	15.23%	5.30%	8.61%	6.00%	13.61%	15.50%	19.26%	9.14%	16.35%	17.51%	14.96%	20.83%	9.76%	17.26%	17.82%	11.17%	16.01%	16.17%	13.87%	13.81%	14.07%	14.42%	12.15%	9.57%	7.03%	12.11%	13.01%	9.42%	5.13%	7.60%	8.60%	9.41%	11.63%	8.82%	5.56%	8.05%	12.53%	7.75%	5.61%	14.64%	16.04%	20.22%	9.55%	11.50%	15.71%	17.86%	16.91%	17.40%	25.52%	8.55%	14.81%	13.40%	17.43%	21.83%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	6012	83	11	8	31	108	90	27	96	68	103	157	49	165	48	296	67	32	91	140	70	178	33	41	17	101	158	83	31	162	213	136	118	69	123	82	101	38	207	87	136	32	231	80	49	25	103	15	119	15	95	25	7	13	18	13	10	47	14	8	124	32	9	138	22	116	145	96	195	27	127	23	47	83	55					
		14.91%	16.15%	8.53%	8.16%	13.03%	12.47%	16.76%	17.20%	16.81%	16.35%	18.76%	12.58%	11.29%	13.74%	14.04%	15.60%	8.38%	19.51%	14.04%	16.57%	16.95%	16.64%	25.00%	15.36%	17.00%	11.95%	16.32%	13.32%	17.71%	16.45%	19.33%	16.02%	15.86%	18.21%	20.03%	17.19%	12.26%	13.52%	17.16%	18.28%	16.77%	12.17%	16.99%	16.19%	26.06%	13.51%	14.01%	12.20%	11.92%	7.69%	13.63%	13.44%	8.24%	15.12%	17.65%	10.32%	11.49%	9.65%	10.85%	3.74%	13.25%	10.92%	10.11%	10.29%	19.47%	15.18%	17.86%	11.68%	18.64%	14.06%	14.87%	17.04%	22.49%	14.04%	13.96%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	415	2	3	1	4	4	3	0	4	6	0	5	3	7	9	19	5	0	15	10	7	6	1	3	2	7	10	15	2	11	14	8	10	6	7	4	9	8	9	4	4	3	18	5	1	0	19	0	7	0	5	0	1	0	0	1	2	9	0	2	10	1	3	12	1	15	8	7	13	1	5	2	3	7	7					
		1.03%	0.39%	2.33%	1.02%	1.68%	0.46%	0.56%	0.00%	0.70%	1.44%	0.00%	0.40%	0.69%	0.58%	2.63%	1.00%	0.63%	0.00%	2.31%	1.18%	1.69%	0.56%	0.76%	1.12%	2.00%	0.83%	1.03%	2.41%	1.14%	1.12%	1.27%	0.94%	1.34%	1.58%	1.14%	0.84%	1.09%	2.85%	0.75%	0.84%	0.49%	1.14%	1.32%	1.01%	0.53%	0.00%	2.59%	0.00%	0.70%	0.00%	0.72%	0.00%	1.18%	0.00%	0.00%	0.79%	2.30%	1.85%	0.00%	0.93%	1.07%	0.34%	3.37%	0.89%	0.88%	1.96%	0.99%	0.85%	1.24%	0.52%	0.59%	1.48%	1.44%	1.18%	1.78%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	9865	130	68	20	45	220	128	17	144	103	111	298	62	372	62	334	152	17	212	289	106	253	17	58	38	232	297	180	44	287	270	219	185	80	135	112	249	54	310	97	177	17	324	165	22	37	159	22	232	23	226	58	20	37	11	19	15	141	13	49	225	68	11	235	11	252	231	230	281	26	197	32	34	164	94					
		24.46%	25.29%	52.71%	20.41%	18.91%	25.40%	23.84%	10.83%	25.22%	24.76%	20.22%	23.88%	14.29%	30.97%	18.13%	17.60%	19.00%	10.37%	32.72%	34.20%	25.67%	23.64%	12.88%	21.72%	38.00%	27.46%	30.68%	28.89%	25.14%	29.14%	24.50%	25.80%	24.87%	21.11%	21.99%	23.48%	30.22%	19.22%	25.70%	20.38%	21.82%	6.46%	23.84%	33.40%	11.70%	20.00%	21.63%	17.89%	23.25%	11.79%	32.42%	31.18%	23.53%	43.02%	10.78%	15.08%	17.24%	28.95%	10.08%	22.90%	24.04%	23.21%	12.36%	17.52%	9.73%	32.98%	28.45%	27.98%	26.86%	13.54%	23.07%	23.70%	16.27%	27.75%	23.86%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	926	8	2	5	4	14	13	1	9	20	11	29	5	28	4	33	19	7	9	21	14	21	0	3	2	25	21	22	3	40	19	15	13	6	9	27	15	10	25	16	18	7	26	11	3	0	17	4	12	4	25	1	1	0	0	1	0	4	0	5	25	5	3	13	0	22	30	31	30	2	23	5	3	23	24					
		2.30%	1.56%	1.55%	5.10%	1.68%	1.62%	2.42%	0.64%	1.58%	4.81%	2.00%	2.32%	1.15%	2.33%	1.17%	1.74%	2.38%	4.27%	1.39%	2.49%	3.39%	1.96%	0.00%	1.12%	2.00%	2.96%	2.17%	3.53%	1.71%	4.06%	1.72%	1.77%	1.75%	1.58%	1.47%	5.66%	1.82%	3.56%	2.07%	3.36%	2.22%	2.66%	1.91%	2.23%	1.60%	0.00%	2.31%	3.25%	1.20%	2.05%	3.59%	0.54%	1.18%	0.00%	0.00%	0.79%	0.00%	0.82%	0.00%	2.34%	2.67%	1.71%	3.37%	0.97%	0.00%	2.88%	3.69%	3.77%	2.87%	1.04%	2.69%	3.70%	1.44%	3.89%	6.09%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	16442	235	35	52	128	403	224	95	233	146	242	544	257	435	170	930	444	85	201	219	141	421	66	133	32	347	312	178	69	300	357	315	247	171	217	152	338	123	425	195	339	155	527	158	90	105	326	62	514	140	277	82	46	25	62	81	53	216	89	135	386	136	43	736	60	214	231	296	302	85	400	50	89	197	118					
		40.77%	45.72%	27.13%	53.06%	53.78%	46.54%	41.71%	60.51%	40.81%	35.10%	44.08%	43.59%	59.22%	36.22%	49.71%	48.99%	55.50%	51.83%	31.02%	25.92%	34.14%	39.35%	50.00%	49.81%	32.00%	41.07%	32.23%	28.57%	39.43%	30.46%	32.40%	37.10%	33.20%	45.12%	35.34%	31.87%	41.02%	43.77%	35.24%	40.97%	41.80%	58.94%	38.78%	31.98%	47.87%	56.76%	44.35%	50.41%	51.50%	71.79%	39.74%	44.09%	54.12%	29.07%	60.78%	64.29%	60.92%	44.35%	68.99%	63.08%	41.24%	46.42%	48.31%	54.88%	53.10%	28.01%	28.45%	36.01%	28.87%	44.27%	46.84%	37.04%	42.58%	33.33%	29.95%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	287	2	0	1	2	10	1	1	0	5	4	4	0	4	3	15	3	0	2	6	7	7	1	1	0	6	7	8	1	8	17	7	3	2	7	3	15	1	5	1	5	1	13	1	1	0	6	3	5	2	4	3	0	1	2	1	0	1	0	1	11	1	1	8	1	3	7	8	12	0	9	1	0	3	2					
		0.71%	0.39%	0.00%	1.02%	0.84%	1.15%	0.19%	0.64%	0.00%	1.20%	0.73%	0.32%	0.00%	0.33%	0.88%	0.79%	0.38%	0.00%	0.31%	0.71%	1.69%	0.65%	0.76%	0.37%	0.00%	0.71%	0.72%	1.28%	0.57%	0.81%	1.54%	0.82%	0.40%	0.53%	1.14%	0.63%	1.82%	0.36%	0.41%	0.21%	0.62%	0.38%	0.96%	0.20%	0.53%	0.00%	0.82%	2.44%	0.50%	1.03%	0.57%	1.61%	0.00%	1.16%	1.96%	0.79%	0.00%	0.21%	0.00%	0.47%	1.18%	0.34%	1.12%	0.60%	0.88%	0.39%	0.86%	0.97%	1.15%	0.00%	1.05%	0.74%	0.00%	0.51%	0.51%					
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
																																																																																	
