Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																			
Дата голосования: 02.12.2007																																																																																			
																																																																																			
Наименование Избирательной комиссии:    Омская																																																																																			
																																																																																			
Сводная таблица результатов выборов																																																																																			
																																																																																			
		Сумма	УИК №1310	УИК №1311	УИК №1312	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1326	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385					
		0.22%	0.00%	0.37%	0.00%	0.00%	0.00%	0.30%	0.82%	0.31%	0.00%	0.14%	0.00%	0.30%	0.22%	0.00%	0.95%	0.00%	0.15%	0.34%	0.00%	0.43%	0.22%	0.19%	0.00%	0.00%	0.00%	0.17%	0.23%	0.20%	0.16%	0.00%	0.17%	0.08%	0.00%	0.00%	0.32%	0.27%	0.22%	0.22%	0.34%	0.18%	0.00%	0.11%	0.00%	0.50%	0.21%	0.00%	3.60%	0.00%	0.23%	0.00%	0.21%	0.47%	0.12%	0.94%	0.88%	0.93%	0.68%	0.00%	0.00%	0.00%	0.00%	0.88%	0.28%	0.29%	0.00%	0.00%	0.00%	0.23%	0.35%	0.11%	0.40%	0.41%	1.23%	0.32%	0.71%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5740	46	6	6	9	81	71	15	46	9	83	46	178	214	34	21	9	269	135	14	133	169	62	15	41	7	149	157	179	99	32	230	176	125	145	58	40	58	120	26	182	76	74	7	208	100	9	5	13	67	13	125	23	97	5	27	26	4	10	8	104	7	20	72	34	3	116	6	179	156	216	157	39	15	109	23	92					
		12.60%	6.61%	2.25%	4.76%	7.26%	7.07%	10.57%	6.12%	7.06%	5.81%	11.22%	12.01%	13.55%	15.89%	5.18%	6.62%	6.77%	13.12%	15.36%	7.78%	14.41%	18.17%	11.48%	13.64%	13.31%	4.14%	12.99%	17.68%	17.57%	15.79%	19.51%	19.46%	14.08%	13.13%	15.52%	9.40%	10.78%	12.50%	13.44%	8.90%	16.52%	15.70%	7.84%	2.33%	14.86%	20.88%	4.57%	4.50%	5.51%	7.58%	10.74%	13.13%	10.90%	11.37%	4.72%	23.68%	12.04%	2.74%	6.37%	8.16%	13.05%	3.89%	8.77%	6.77%	9.83%	1.91%	8.42%	4.35%	20.69%	18.10%	23.30%	12.68%	16.05%	9.26%	11.50%	8.16%	11.93%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	445	3	0	3	2	4	6	0	7	0	10	9	18	17	3	2	1	13	6	0	8	8	2	1	3	0	3	16	18	2	0	17	31	15	20	4	5	6	9	2	11	5	16	1	13	3	1	4	0	13	2	4	2	10	0	1	0	0	0	2	2	6	1	5	1	0	5	1	6	9	16	10	0	0	8	6	7					
		0.98%	0.43%	0.00%	2.38%	1.61%	0.35%	0.89%	0.00%	1.07%	0.00%	1.35%	2.35%	1.37%	1.26%	0.46%	0.63%	0.75%	0.63%	0.68%	0.00%	0.87%	0.86%	0.37%	0.91%	0.97%	0.00%	0.26%	1.80%	1.77%	0.32%	0.00%	1.44%	2.48%	1.58%	2.14%	0.65%	1.35%	1.29%	1.01%	0.68%	0.99%	1.03%	1.69%	0.33%	0.93%	0.63%	0.51%	3.60%	0.00%	1.47%	1.65%	0.42%	0.95%	1.17%	0.00%	0.88%	0.00%	0.00%	0.00%	2.04%	0.25%	3.33%	0.44%	0.47%	0.29%	0.00%	0.36%	0.72%	0.69%	1.04%	1.73%	0.81%	0.00%	0.00%	0.84%	2.13%	0.91%					
23	6.Политическая партия «Партия социальной справедливости»	98	0	2	0	0	2	1	1	2	0	3	0	3	1	2	0	1	5	3	0	2	2	0	0	0	1	1	4	2	0	1	6	2	5	1	1	1	1	1	1	4	3	0	3	2	3	0	1	1	0	0	1	0	3	0	0	0	0	0	0	2	0	0	2	1	0	0	0	0	1	1	3	0	0	2	3	4					
		0.22%	0.00%	0.75%	0.00%	0.00%	0.17%	0.15%	0.41%	0.31%	0.00%	0.41%	0.00%	0.23%	0.07%	0.30%	0.00%	0.75%	0.24%	0.34%	0.00%	0.22%	0.22%	0.00%	0.00%	0.00%	0.59%	0.09%	0.45%	0.20%	0.00%	0.61%	0.51%	0.16%	0.53%	0.11%	0.16%	0.27%	0.22%	0.11%	0.34%	0.36%	0.62%	0.00%	1.00%	0.14%	0.63%	0.00%	0.90%	0.42%	0.00%	0.00%	0.11%	0.00%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.19%	0.29%	0.00%	0.00%	0.00%	0.00%	0.12%	0.11%	0.24%	0.00%	0.00%	0.21%	1.06%	0.52%					
24	7.Политическая партия «Либерально-демократическая партия России»	4370	61	7	8	8	61	48	12	74	9	48	45	135	154	44	25	6	168	48	25	95	129	73	12	29	11	120	78	108	60	15	109	177	122	99	53	50	57	62	27	112	27	85	17	156	26	19	9	15	82	21	104	16	87	3	11	22	16	12	4	51	13	9	96	21	5	111	6	116	122	120	172	22	21	89	22	58					
		9.59%	8.76%	2.62%	6.35%	6.45%	5.33%	7.14%	4.90%	11.35%	5.81%	6.49%	11.75%	10.27%	11.43%	6.70%	7.89%	4.51%	8.19%	5.46%	13.89%	10.29%	13.87%	13.52%	10.91%	9.42%	6.51%	10.46%	8.78%	10.60%	9.57%	9.15%	9.22%	14.16%	12.82%	10.60%	8.59%	13.48%	12.28%	6.94%	9.25%	10.16%	5.58%	9.00%	5.67%	11.14%	5.43%	9.64%	8.11%	6.36%	9.28%	17.36%	10.92%	7.58%	10.20%	2.83%	9.65%	10.19%	10.96%	7.64%	4.08%	6.40%	7.22%	3.95%	9.02%	6.07%	3.18%	8.06%	4.35%	13.41%	14.15%	12.94%	13.89%	9.05%	12.96%	9.39%	7.80%	7.52%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	3155	24	1	2	2	62	54	4	31	6	20	25	101	89	13	12	10	149	51	12	108	98	44	3	10	4	53	61	113	97	15	105	83	71	83	59	23	33	54	13	183	33	38	11	93	35	5	0	2	41	6	69	6	95	9	2	5	1	5	6	28	5	8	78	16	3	117	2	77	81	58	113	8	20	40	15	43					
		6.93%	3.45%	0.37%	1.59%	1.61%	5.41%	8.04%	1.63%	4.75%	3.87%	2.70%	6.53%	7.69%	6.61%	1.98%	3.79%	7.52%	7.26%	5.80%	6.67%	11.70%	10.54%	8.15%	2.73%	3.25%	2.37%	4.62%	6.87%	11.09%	15.47%	9.15%	8.88%	6.64%	7.46%	8.89%	9.56%	6.20%	7.11%	6.05%	4.45%	16.61%	6.82%	4.03%	3.67%	6.64%	7.31%	2.54%	0.00%	0.85%	4.64%	4.96%	7.25%	2.84%	11.14%	8.49%	1.75%	2.31%	0.68%	3.18%	6.12%	3.51%	2.78%	3.51%	7.33%	4.62%	1.91%	8.50%	1.45%	8.90%	9.40%	6.26%	9.13%	3.29%	12.35%	4.22%	5.32%	5.58%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	363	2	0	2	2	3	7	0	7	4	7	3	14	9	5	3	3	6	4	2	14	17	2	0	7	0	9	7	7	4	2	13	12	14	11	7	0	3	9	2	8	4	17	1	11	2	1	0	0	3	0	4	0	8	1	0	2	0	1	1	10	1	1	4	4	0	9	0	4	5	6	15	3	0	7	4	3					
		0.80%	0.29%	0.00%	1.59%	1.61%	0.26%	1.04%	0.00%	1.07%	2.58%	0.95%	0.78%	1.07%	0.67%	0.76%	0.95%	2.26%	0.29%	0.46%	1.11%	1.52%	1.83%	0.37%	0.00%	2.27%	0.00%	0.78%	0.79%	0.69%	0.64%	1.22%	1.10%	0.96%	1.47%	1.18%	1.13%	0.00%	0.65%	1.01%	0.68%	0.73%	0.83%	1.80%	0.33%	0.79%	0.42%	0.51%	0.00%	0.00%	0.34%	0.00%	0.42%	0.00%	0.94%	0.94%	0.00%	0.93%	0.00%	0.64%	1.02%	1.25%	0.56%	0.44%	0.38%	1.16%	0.00%	0.65%	0.00%	0.46%	0.58%	0.65%	1.21%	1.23%	0.00%	0.74%	1.42%	0.39%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	28715	527	247	98	98	891	453	199	441	123	540	231	779	767	535	240	98	1327	578	120	482	425	330	75	209	137	745	516	529	329	87	605	680	548	516	400	233	274	584	202	550	314	660	250	827	279	159	79	199	618	72	597	149	502	86	66	151	124	118	68	555	140	179	704	250	142	922	121	423	428	464	699	162	93	652	192	523					
		63.03%	75.72%	92.51%	77.78%	79.03%	77.82%	67.41%	81.22%	67.64%	79.35%	72.97%	60.31%	59.28%	56.94%	81.43%	75.71%	73.68%	64.70%	65.76%	66.67%	52.22%	45.70%	61.11%	68.18%	67.86%	81.07%	64.95%	58.11%	51.91%	52.47%	53.05%	51.18%	54.40%	57.56%	55.25%	64.83%	62.80%	59.05%	65.40%	69.18%	49.91%	64.88%	69.92%	83.33%	59.07%	58.25%	80.71%	71.17%	84.32%	69.91%	59.50%	62.71%	70.62%	58.85%	81.13%	57.89%	69.91%	84.93%	75.16%	69.39%	69.64%	77.78%	78.51%	66.17%	72.25%	90.45%	66.96%	87.68%	48.90%	49.65%	50.05%	56.46%	66.67%	57.41%	68.78%	68.09%	67.83%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	382	3	2	4	0	4	3	0	3	0	2	7	13	11	7	1	0	17	9	4	8	5	4	0	0	0	12	6	13	9	3	20	13	7	9	4	0	6	6	3	10	3	10	1	14	8	1	0	0	5	2	5	2	8	0	0	1	0	1	1	3	3	2	8	3	2	11	0	9	13	6	12	2	1	8	1	8					
		0.84%	0.43%	0.75%	3.17%	0.00%	0.35%	0.45%	0.00%	0.46%	0.00%	0.27%	1.83%	0.99%	0.82%	1.07%	0.32%	0.00%	0.83%	1.02%	2.22%	0.87%	0.54%	0.74%	0.00%	0.00%	0.00%	1.05%	0.68%	1.28%	1.44%	1.83%	1.69%	1.04%	0.74%	0.96%	0.65%	0.00%	1.29%	0.67%	1.03%	0.91%	0.62%	1.06%	0.33%	1.00%	1.67%	0.51%	0.00%	0.00%	0.57%	1.65%	0.53%	0.95%	0.94%	0.00%	0.00%	0.46%	0.00%	0.64%	1.02%	0.38%	1.67%	0.88%	0.75%	0.87%	1.27%	0.80%	0.00%	1.04%	1.51%	0.65%	0.97%	0.82%	0.62%	0.84%	0.35%	1.04%					
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
																																																																																			
