Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																			
Дата голосования: 18.09.2016																																																																			
																																																																			
Наименование Избирательной комиссии:    Артемовская городская																																																																			
																																																																			
Сводная таблица итогов голосования по федеральному избирательному округу																																																																			
																																																																			
		Сумма	УИК №301	УИК №302	УИК №303	УИК №304	УИК №305	УИК №306	УИК №307	УИК №308	УИК №309	УИК №310	УИК №311	УИК №312	УИК №313	УИК №314	УИК №315	УИК №316	УИК №317	УИК №318	УИК №319	УИК №320	УИК №321	УИК №322	УИК №323	УИК №324	УИК №325	УИК №326	УИК №327	УИК №328	УИК №329	УИК №330	УИК №331	УИК №332	УИК №333	УИК №334	УИК №335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №380	УИК №381									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	2125	60	55	40	65	25	35	35	25	70	45	35	25	35	35	45	30	45	35	25	50	55	25	40	30	25	25	20	50	45	35	55	20	60	35	45	45	45	10	40	35	35	45	45	20	40	65	65	45	55	20	20	15	40	60	0	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	830	40	18	19	29	3	15	11	17	20	18	14	10	23	16	15	11	16	27	4	21	28	8	7	21	9	14	4	29	20	9	38	20	17	6	16	16	23	5	9	21	3	3	9	7	14	19	30	9	14	3	4	11	3	34	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	544	23	13	5	4	7	8	2	2	5	47	7	9	2	10	9	7	13	11	1	16	6	31	11	19	11	27	11	14	6	7	16	12	15	3	14	1	20	1	5	1	4	9	1	2	2	5	8	6	1	6	2	4	3	8	28	23									
14	Число погашенных неиспользованных открепительных удостоверений	1295	20	37	21	36	22	20	24	8	50	27	21	15	12	19	30	19	29	8	21	29	27	17	33	9	16	11	16	21	25	26	17	0	43	29	29	29	22	5	31	14	32	42	36	13	26	46	35	36	41	17	16	4	37	26	0	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	221	109	2	0	2	0	1	0	2	3	2	0	6	5	3	2	2	2	1	1	5	3	0	4	2	1	1	0	8	6	9	0	1	6	0	2	5	6	0	4	0	3	1	2	0	0	1	2	2	1	2	0	1	0	0	0	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																			
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	432	12	4	15	11	4	4	7	3	14	21	6	4	23	7	9	8	9	13	8	10	15	10	9	11	7	3	7	9	3	10	4	0	12	9	6	12	7	3	17	4	6	11	8	3	4	7	5	12	2	2	3	1	8	10	0	0									
		1.24%	1.07%	0.61%	2.68%	1.85%	0.61%	0.80%	1.21%	1.01%	1.62%	2.53%	1.34%	0.85%	2.67%	1.34%	0.92%	1.19%	2.26%	2.94%	1.17%	1.30%	1.46%	2.48%	1.46%	2.19%	2.45%	0.76%	2.72%	0.95%	0.36%	1.96%	0.49%	0.00%	1.29%	0.82%	1.10%	1.57%	1.09%	1.69%	2.61%	0.58%	1.30%	1.28%	0.88%	1.13%	0.36%	1.02%	0.53%	0.98%	0.34%	0.82%	0.81%	0.76%	1.55%	1.08%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	1003	33	25	20	22	7	16	21	10	26	34	23	3	20	24	32	17	20	14	14	27	34	17	14	19	14	2	11	22	25	21	27	9	34	14	8	27	13	3	13	12	14	30	27	4	20	29	29	15	19	14	9	5	3	35	1	2									
		2.87%	2.95%	3.79%	3.57%	3.71%	1.07%	3.19%	3.64%	3.37%	3.00%	4.10%	5.12%	0.64%	2.32%	4.58%	3.27%	2.53%	5.03%	3.17%	2.05%	3.51%	3.32%	4.22%	2.28%	3.78%	4.90%	0.51%	4.28%	2.32%	2.97%	4.11%	3.29%	2.11%	3.66%	1.27%	1.46%	3.53%	2.02%	1.69%	1.99%	1.74%	3.03%	3.50%	2.96%	1.51%	1.78%	4.23%	3.06%	1.23%	3.24%	5.76%	2.42%	3.82%	0.58%	3.77%	0.44%	8.70%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	1142	33	21	22	23	8	17	16	13	27	37	16	2	42	24	41	25	21	16	20	30	39	20	26	14	21	16	5	38	32	16	17	4	41	18	9	21	20	4	27	18	21	34	28	8	19	20	34	23	20	8	7	3	25	27	2	3									
		3.27%	2.95%	3.18%	3.93%	3.88%	1.22%	3.39%	2.77%	4.38%	3.12%	4.46%	3.56%	0.43%	4.87%	4.58%	4.18%	3.71%	5.28%	3.62%	2.92%	3.90%	3.80%	4.96%	4.23%	2.78%	7.34%	4.06%	1.95%	4.00%	3.80%	3.13%	2.07%	0.94%	4.41%	1.63%	1.65%	2.75%	3.10%	2.26%	4.15%	2.61%	4.55%	3.96%	3.07%	3.02%	1.69%	2.92%	3.59%	1.88%	3.41%	3.29%	1.88%	2.29%	4.85%	2.91%	0.88%	13.04%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	17540	467	300	207	167	502	196	250	82	404	274	142	325	484	133	551	348	120	197	425	300	516	115	297	177	80	245	80	441	407	170	444	285	518	785	385	346	286	110	373	396	115	443	599	82	819	265	441	886	288	101	281	72	248	375	187	8									
		50.19%	41.81%	45.45%	36.96%	28.16%	76.76%	39.12%	43.33%	27.61%	46.65%	33.01%	31.63%	69.44%	56.15%	25.38%	56.22%	51.71%	30.15%	44.57%	62.13%	38.96%	50.34%	28.54%	48.29%	35.19%	27.97%	62.18%	31.13%	46.47%	48.34%	33.27%	54.15%	66.90%	55.70%	71.23%	70.38%	45.29%	44.34%	62.15%	57.30%	57.39%	24.89%	51.63%	65.61%	30.94%	72.93%	38.63%	46.52%	72.50%	49.06%	41.56%	75.54%	54.96%	48.16%	40.37%	82.02%	34.78%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	232	13	7	2	12	0	4	8	4	3	6	4	0	9	7	7	3	3	4	4	3	12	3	5	5	0	1	2	7	7	0	5	2	6	0	5	4	3	0	4	1	1	4	3	3	3	7	5	2	1	1	0	0	8	19	0	0									
		0.66%	1.16%	1.06%	0.36%	2.02%	0.00%	0.80%	1.39%	1.35%	0.35%	0.72%	0.89%	0.00%	1.04%	1.34%	0.71%	0.45%	0.75%	0.90%	0.58%	0.39%	1.17%	0.74%	0.81%	0.99%	0.00%	0.25%	0.78%	0.74%	0.83%	0.00%	0.61%	0.47%	0.65%	0.00%	0.91%	0.52%	0.47%	0.00%	0.61%	0.14%	0.22%	0.47%	0.33%	1.13%	0.27%	1.02%	0.53%	0.16%	0.17%	0.41%	0.00%	0.00%	1.55%	2.05%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	60	3	2	2	1	0	0	1	2	1	1	0	0	4	1	2	2	0	0	0	1	1	0	1	1	1	1	2	1	2	3	1	0	0	0	1	2	2	0	0	1	2	3	2	1	1	1	2	1	0	1	0	0	3	0	0	0									
		0.17%	0.27%	0.30%	0.36%	0.17%	0.00%	0.00%	0.17%	0.67%	0.12%	0.12%	0.00%	0.00%	0.46%	0.19%	0.20%	0.30%	0.00%	0.00%	0.00%	0.13%	0.10%	0.00%	0.16%	0.20%	0.35%	0.25%	0.78%	0.11%	0.24%	0.59%	0.12%	0.00%	0.00%	0.00%	0.18%	0.26%	0.31%	0.00%	0.00%	0.14%	0.43%	0.35%	0.22%	0.38%	0.09%	0.15%	0.21%	0.08%	0.00%	0.41%	0.00%	0.00%	0.58%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4877	277	92	84	105	13	83	90	78	144	123	86	48	68	85	87	39	73	78	77	130	136	67	94	97	51	58	58	109	125	93	139	46	95	114	41	115	116	33	77	72	109	134	90	67	94	98	116	96	88	56	26	27	94	161	21	4									
		13.96%	24.80%	13.94%	15.00%	17.71%	1.99%	16.57%	15.60%	26.26%	16.63%	14.82%	19.15%	10.26%	7.89%	16.22%	8.88%	5.79%	18.34%	17.65%	11.26%	16.88%	13.27%	16.63%	15.28%	19.28%	17.83%	14.72%	22.57%	11.49%	14.85%	18.20%	16.95%	10.80%	10.22%	10.34%	7.50%	15.05%	17.98%	18.64%	11.83%	10.43%	23.59%	15.62%	9.86%	25.28%	8.37%	14.29%	12.24%	7.86%	14.99%	23.05%	6.99%	20.61%	18.25%	17.33%	9.21%	17.39%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	221	11	12	9	9	0	4	4	4	9	2	5	0	9	4	8	4	7	3	3	1	7	1	3	7	1	2	3	7	12	2	6	4	3	0	5	5	8	1	0	3	4	1	2	2	4	4	2	4	4	2	0	0	2	2	0	0									
		0.63%	0.98%	1.82%	1.61%	1.52%	0.00%	0.80%	0.69%	1.35%	1.04%	0.24%	1.11%	0.00%	1.04%	0.76%	0.82%	0.59%	1.76%	0.68%	0.44%	0.13%	0.68%	0.25%	0.49%	1.39%	0.35%	0.51%	1.17%	0.74%	1.43%	0.39%	0.73%	0.94%	0.32%	0.00%	0.91%	0.65%	1.24%	0.56%	0.00%	0.43%	0.87%	0.12%	0.22%	0.75%	0.36%	0.58%	0.21%	0.33%	0.68%	0.82%	0.00%	0.00%	0.39%	0.22%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	371	11	10	5	6	0	5	3	3	10	18	2	0	11	12	5	13	8	3	2	8	15	7	5	9	6	8	8	12	9	9	8	0	9	6	2	9	15	0	10	7	10	14	8	2	5	9	3	9	2	0	3	0	4	11	2	0									
		1.06%	0.98%	1.52%	0.89%	1.01%	0.00%	0.99%	0.52%	1.01%	1.15%	2.17%	0.45%	0.00%	1.28%	2.29%	0.51%	1.93%	2.01%	0.68%	0.29%	1.04%	1.46%	1.74%	0.81%	1.79%	2.10%	2.03%	3.11%	1.26%	1.07%	1.76%	0.98%	0.00%	0.97%	0.54%	0.37%	1.18%	2.33%	0.00%	1.54%	1.01%	2.16%	1.63%	0.88%	0.75%	0.45%	1.31%	0.32%	0.74%	0.34%	0.00%	0.81%	0.00%	0.78%	1.18%	0.88%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	45	1	1	0	2	0	0	0	0	1	2	0	0	9	1	1	0	0	0	0	1	3	1	0	1	1	0	0	2	1	0	1	0	1	0	0	0	0	0	0	1	1	0	1	1	0	1	4	0	0	1	0	1	4	0	0	0									
		0.13%	0.09%	0.15%	0.00%	0.34%	0.00%	0.00%	0.00%	0.00%	0.12%	0.24%	0.00%	0.00%	1.04%	0.19%	0.10%	0.00%	0.00%	0.00%	0.00%	0.13%	0.29%	0.25%	0.00%	0.20%	0.35%	0.00%	0.00%	0.21%	0.12%	0.00%	0.12%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.14%	0.22%	0.00%	0.11%	0.38%	0.00%	0.15%	0.42%	0.00%	0.00%	0.41%	0.00%	0.76%	0.78%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	447	19	9	5	11	10	12	13	7	15	10	5	0	20	7	9	6	7	7	7	5	17	14	12	10	8	0	4	28	11	15	14	0	15	6	7	7	11	0	4	4	10	3	12	3	4	4	14	8	2	2	0	1	3	10	0	0									
		1.28%	1.70%	1.36%	0.89%	1.85%	1.53%	2.40%	2.25%	2.36%	1.73%	1.20%	1.11%	0.00%	2.32%	1.34%	0.92%	0.89%	1.76%	1.58%	1.02%	0.65%	1.66%	3.47%	1.95%	1.99%	2.80%	0.00%	1.56%	2.95%	1.31%	2.94%	1.71%	0.00%	1.61%	0.54%	1.28%	0.92%	1.71%	0.00%	0.61%	0.58%	2.16%	0.35%	1.31%	1.13%	0.36%	0.58%	1.48%	0.65%	0.34%	0.82%	0.00%	0.76%	0.58%	1.08%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	5993	174	132	126	148	106	133	138	71	129	173	118	81	89	151	157	119	91	81	76	199	177	104	104	101	76	37	51	179	141	129	116	50	147	118	63	134	111	21	95	111	123	121	99	61	125	174	135	119	117	31	37	11	75	190	12	6									
		17.15%	15.58%	20.00%	22.50%	24.96%	16.21%	26.55%	23.92%	23.91%	14.90%	20.84%	26.28%	17.31%	10.32%	28.82%	16.02%	17.68%	22.86%	18.33%	11.11%	25.84%	17.27%	25.81%	16.91%	20.08%	26.57%	9.39%	19.84%	18.86%	16.75%	25.24%	14.15%	11.74%	15.81%	10.71%	11.52%	17.54%	17.21%	11.86%	14.59%	16.09%	26.62%	14.10%	10.84%	23.02%	11.13%	25.36%	14.24%	9.74%	19.93%	12.76%	9.95%	8.40%	14.56%	20.45%	5.26%	26.09%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	182	7	0	4	4	0	1	1	1	6	8	1	0	2	2	6	23	3	2	3	2	3	1	3	2	1	3	2	2	6	7	12	1	3	0	0	3	5	0	17	2	2	3	1	0	5	2	0	0	1	1	0	0	4	14	0	0									
		0.52%	0.63%	0.00%	0.71%	0.67%	0.00%	0.20%	0.17%	0.34%	0.69%	0.96%	0.22%	0.00%	0.23%	0.38%	0.61%	3.42%	0.75%	0.45%	0.44%	0.26%	0.29%	0.25%	0.49%	0.40%	0.35%	0.76%	0.78%	0.21%	0.71%	1.37%	1.46%	0.23%	0.32%	0.00%	0.00%	0.39%	0.78%	0.00%	2.61%	0.29%	0.43%	0.35%	0.11%	0.00%	0.45%	0.29%	0.00%	0.00%	0.17%	0.41%	0.00%	0.00%	0.78%	1.51%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1545	31	27	41	46	4	20	14	10	53	49	41	5	64	53	51	47	23	11	34	40	45	30	30	33	13	14	7	76	45	25	22	10	43	22	13	36	24	2	14	33	23	42	21	7	12	51	47	32	24	18	4	2	22	36	3	0									
		4.42%	2.78%	4.09%	7.32%	7.76%	0.61%	3.99%	2.43%	3.37%	6.12%	5.90%	9.13%	1.07%	7.42%	10.11%	5.20%	6.98%	5.78%	2.49%	4.97%	5.19%	4.39%	7.44%	4.88%	6.56%	4.55%	3.55%	2.72%	8.01%	5.34%	4.89%	2.68%	2.35%	4.62%	1.99%	2.38%	4.71%	3.72%	1.13%	2.15%	4.78%	4.98%	4.90%	2.30%	2.64%	1.07%	7.43%	4.96%	2.62%	4.09%	7.41%	1.08%	1.53%	4.27%	3.88%	1.32%	0.00%									
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
																																																																			
