Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																		
Дата голосования: 02.12.2007																																																																																		
																																																																																		
"Наименование Избирательной комиссии:    Омск, Октябрьская"																																																																																		
																																																																																		
Сводная таблица результатов выборов																																																																																		
																																																																																		
		Сумма	УИК №172	УИК №173	УИК №174	УИК №175	УИК №176	УИК №177	УИК №178	УИК №179	УИК №180	УИК №181	УИК №182	УИК №183	УИК №184	УИК №185	УИК №186	УИК №187	УИК №188	УИК №189	УИК №190	УИК №191	УИК №192	УИК №193	УИК №194	УИК №195	УИК №196	УИК №197	УИК №198	УИК №199	УИК №200	УИК №201	УИК №202	УИК №203	УИК №204	УИК №205	УИК №206	УИК №207	УИК №208	УИК №209	УИК №210	УИК №211	УИК №212	УИК №213	УИК №214	УИК №215	УИК №216	УИК №217	УИК №218	УИК №219	УИК №220	УИК №221	УИК №222	УИК №223	УИК №224	УИК №225	УИК №226	УИК №227	УИК №228	УИК №229	УИК №230	УИК №231	УИК №232	УИК №233	УИК №234	УИК №235	УИК №236	УИК №237	УИК №238	УИК №239	УИК №240	УИК №241	УИК №242	УИК №243	УИК №244	УИК №245	УИК №246					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	2612	50	50	50	50	30	30	30	30	52	30	30	30	30	30	32	32	30	45	30	40	40	34	35	31	32	35	30	30	30	50	40	40	30	30	30	30	30	30	40	30	30	30	30	30	50	30	30	40	30	40	40	30	27	30	30	30	30	30	50	42	50	50	52	50	35	30	40	30	50	35	33	30	40	0	0					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2257	44	43	50	45	27	26	26	30	50	27	18	16	22	28	32	32	30	45	28	40	37	33	34	31	32	33	25	16	21	46	39	37	27	26	20	27	18	11	40	20	12	10	12	30	41	21	23	37	29	39	36	30	25	22	27	19	28	30	44	40	45	45	51	40	32	19	40	22	49	35	32	27	33	0	0					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	1936	16	45	22	27	63	28	37	18	20	8	20	14	23	17	15	27	25	17	15	24	15	21	18	38	31	33	7	11	9	10	13	42	23	6	19	20	15	27	17	25	10	9	12	21	28	18	27	21	30	32	15	21	16	12	29	21	12	18	19	12	19	19	24	20	25	26	30	40	33	27	21	22	27	315	24					
14	Число погашенных неиспользованных открепительных удостоверений	355	6	7	0	5	3	4	4	0	2	3	12	14	8	2	0	0	0	0	2	0	3	1	1	0	0	2	5	14	9	4	1	3	3	4	10	3	12	19	0	10	18	20	18	0	9	9	7	3	1	1	4	0	2	8	3	11	2	0	6	2	5	5	1	10	3	11	0	8	1	0	1	3	7	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	38	1	0	0	0	0	2	0	0	0	0	1	0	0	0	0	1	0	0	1	3	0	0	0	1	1	0	1	1	0	2	0	0	0	0	1	2	0	0	2	0	0	0	1	0	0	0	0	0	3	1	1	0	1	1	1	0	0	0	2	0	1	0	0	0	0	2	1	1	1	0	0	1	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																		
18	1.Политическая партия «Аграрная партия России»	2226	40	38	38	31	20	24	22	42	21	36	33	16	51	42	37	35	49	24	33	36	54	43	35	35	54	38	30	45	22	38	33	34	24	33	32	21	34	29	34	22	14	0	6	36	25	28	27	31	24	22	28	23	40	25	12	12	28	35	41	33	34	29	25	34	29	23	12	15	48	36	24	22	28	13	6					
		2.77%	3.29%	2.64%	2.69%	2.45%	2.79%	2.56%	2.02%	3.70%	2.35%	3.77%	3.66%	2.43%	4.34%	3.65%	3.10%	2.63%	3.69%	1.99%	2.90%	2.40%	3.53%	3.03%	2.66%	2.64%	3.75%	2.85%	2.62%	3.67%	1.99%	3.03%	3.23%	2.68%	2.09%	2.60%	3.22%	2.26%	3.70%	4.04%	2.70%	2.56%	2.01%	0.00%	1.21%	3.20%	2.08%	2.71%	2.46%	3.32%	2.58%	2.01%	2.94%	2.42%	4.03%	2.91%	1.35%	1.99%	3.16%	2.32%	2.98%	2.93%	2.48%	2.46%	1.55%	2.63%	3.22%	2.15%	1.54%	1.62%	3.23%	3.74%	2.57%	2.57%	2.34%	2.31%	2.37%					
19	2.Всероссийская политическая партия «Гражданская Сила»	1164	41	20	20	26	5	15	10	10	9	21	9	8	13	8	13	16	24	11	13	26	21	24	22	21	21	14	2	5	6	10	16	13	13	15	10	5	12	7	13	9	2	3	1	23	22	14	12	9	6	16	13	10	10	13	15	1	15	28	36	20	42	22	49	23	11	14	24	22	22	17	19	17	26	8	2					
		1.45%	3.38%	1.39%	1.42%	2.06%	0.70%	1.60%	0.92%	0.88%	1.01%	2.20%	0.99%	1.22%	1.11%	0.70%	1.09%	1.20%	1.81%	0.92%	1.14%	1.73%	1.37%	1.69%	1.67%	1.58%	1.46%	1.05%	0.17%	0.41%	0.54%	0.80%	1.57%	1.02%	1.13%	1.18%	1.01%	0.54%	1.31%	0.97%	1.03%	1.05%	0.29%	1.16%	0.20%	2.04%	1.83%	1.36%	1.09%	0.96%	0.64%	1.46%	1.37%	1.05%	1.01%	1.51%	1.69%	0.17%	1.69%	1.85%	2.62%	1.77%	3.06%	1.87%	3.04%	1.78%	1.22%	1.31%	3.08%	2.38%	1.48%	1.77%	2.03%	1.99%	2.18%	1.42%	0.79%					
20	3.Политическая партия «Демократическая партия России»	162	6	2	3	3	0	1	2	3	1	1	2	1	0	0	5	1	0	2	2	2	3	3	1	6	5	3	2	4	2	2	0	2	2	4	2	0	1	1	4	2	2	0	0	3	1	2	3	6	1	6	3	2	1	3	0	3	2	3	3	3	0	3	4	2	2	2	1	3	1	2	2	1	3	0	3					
		0.20%	0.49%	0.14%	0.21%	0.24%	0.00%	0.11%	0.18%	0.26%	0.11%	0.10%	0.22%	0.15%	0.00%	0.00%	0.42%	0.08%	0.00%	0.17%	0.18%	0.13%	0.20%	0.21%	0.08%	0.45%	0.35%	0.22%	0.17%	0.33%	0.18%	0.16%	0.00%	0.16%	0.17%	0.32%	0.20%	0.00%	0.11%	0.14%	0.32%	0.23%	0.29%	0.00%	0.00%	0.27%	0.08%	0.19%	0.27%	0.64%	0.11%	0.55%	0.32%	0.21%	0.10%	0.35%	0.00%	0.50%	0.23%	0.20%	0.22%	0.27%	0.00%	0.25%	0.25%	0.15%	0.22%	0.19%	0.13%	0.32%	0.07%	0.21%	0.21%	0.12%	0.25%	0.00%	1.19%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	14889	217	277	223	242	117	173	192	220	114	195	155	144	240	242	273	320	272	269	246	348	367	299	298	258	275	312	150	232	162	218	129	225	161	190	198	143	159	104	215	153	121	18	62	246	304	227	206	169	143	155	162	168	177	119	159	88	105	244	224	184	241	229	271	237	217	234	98	185	337	133	155	170	260	63	51					
		18.49%	17.87%	19.26%	15.80%	19.15%	16.32%	18.46%	17.60%	19.37%	12.74%	20.42%	17.18%	21.88%	20.43%	21.04%	22.88%	24.01%	20.47%	22.38%	21.62%	23.22%	23.99%	21.04%	22.61%	19.46%	19.11%	23.37%	13.11%	18.92%	14.71%	17.40%	12.63%	17.72%	14.05%	14.98%	19.90%	15.38%	17.30%	14.48%	17.10%	17.79%	17.36%	6.98%	12.47%	21.87%	25.29%	21.97%	18.74%	18.09%	15.34%	14.16%	17.02%	17.70%	17.82%	13.85%	17.89%	14.59%	11.85%	16.15%	16.29%	16.33%	17.58%	19.46%	16.80%	18.30%	24.08%	21.91%	12.58%	20.00%	22.69%	13.83%	16.60%	19.88%	21.76%	11.21%	20.16%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	2179	50	21	38	49	23	20	21	24	15	15	32	29	36	35	35	37	45	42	36	40	43	33	41	31	41	42	12	19	17	35	28	28	25	17	20	14	23	8	12	21	21	3	14	46	48	31	57	35	38	35	24	19	27	11	16	26	41	71	62	39	41	39	32	24	15	22	20	22	30	25	24	22	34	9	3					
		2.71%	4.12%	1.46%	2.69%	3.88%	3.21%	2.13%	1.92%	2.11%	1.68%	1.57%	3.55%	4.41%	3.06%	3.04%	2.93%	2.78%	3.39%	3.49%	3.16%	2.67%	2.81%	2.32%	3.11%	2.34%	2.85%	3.15%	1.05%	1.55%	1.54%	2.79%	2.74%	2.20%	2.18%	1.34%	2.01%	1.51%	2.50%	1.11%	0.95%	2.44%	3.01%	1.16%	2.82%	4.09%	3.99%	3.00%	5.19%	3.75%	4.08%	3.20%	2.52%	2.00%	2.72%	1.28%	1.80%	4.31%	4.63%	4.70%	4.51%	3.46%	2.99%	3.31%	1.98%	1.85%	1.66%	2.06%	2.57%	2.38%	2.02%	2.60%	2.57%	2.57%	2.85%	1.60%	1.19%					
23	6.Политическая партия «Партия социальной справедливости»	243	4	8	5	6	4	3	1	5	2	6	2	1	1	4	8	4	4	3	2	3	2	4	3	3	6	5	5	1	6	3	2	3	3	2	5	1	1	4	4	1	2	2	0	2	3	2	2	3	4	3	0	4	2	2	0	1	2	7	8	3	5	9	8	5	0	2	1	4	3	3	3	5	2	0	1					
		0.30%	0.33%	0.56%	0.35%	0.47%	0.56%	0.32%	0.09%	0.44%	0.22%	0.63%	0.22%	0.15%	0.09%	0.35%	0.67%	0.30%	0.30%	0.25%	0.18%	0.20%	0.13%	0.28%	0.23%	0.23%	0.42%	0.37%	0.44%	0.08%	0.54%	0.24%	0.20%	0.24%	0.26%	0.16%	0.50%	0.11%	0.11%	0.56%	0.32%	0.12%	0.29%	0.78%	0.00%	0.18%	0.25%	0.19%	0.18%	0.32%	0.43%	0.27%	0.00%	0.42%	0.20%	0.23%	0.00%	0.17%	0.23%	0.46%	0.58%	0.27%	0.36%	0.76%	0.50%	0.39%	0.00%	0.19%	0.13%	0.43%	0.20%	0.31%	0.32%	0.58%	0.17%	0.00%	0.40%					
24	7.Политическая партия «Либерально-демократическая партия России»	8103	123	143	137	105	75	88	96	109	125	94	88	53	105	99	123	119	126	96	98	145	148	131	123	169	162	115	136	123	111	123	113	119	118	144	94	92	87	78	110	86	62	31	44	120	113	103	121	75	121	124	96	99	122	101	113	84	84	157	169	110	157	121	204	127	62	82	76	87	158	96	93	69	106	58	29					
		10.07%	10.13%	9.94%	9.71%	8.31%	10.46%	9.39%	8.80%	9.60%	13.97%	9.84%	9.76%	8.05%	8.94%	8.61%	10.31%	8.93%	9.48%	7.99%	8.61%	9.67%	9.67%	9.22%	9.33%	12.75%	11.26%	8.61%	11.89%	10.03%	10.08%	9.82%	11.07%	9.37%	10.30%	11.36%	9.45%	9.89%	9.47%	10.86%	8.75%	10.00%	8.90%	12.02%	8.85%	10.67%	9.40%	9.97%	11.01%	8.03%	12.98%	11.32%	10.08%	10.43%	12.29%	11.76%	12.71%	13.93%	9.48%	10.39%	12.29%	9.76%	11.45%	10.28%	12.65%	9.81%	6.88%	7.68%	9.76%	9.41%	10.64%	9.98%	9.96%	8.07%	8.87%	10.32%	11.46%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	6576	110	132	121	110	58	67	81	75	61	69	79	83	113	96	91	100	89	106	98	125	102	141	117	131	114	98	105	122	103	99	80	93	87	120	77	66	74	60	122	81	46	15	18	100	92	99	61	76	58	77	85	79	78	49	50	49	77	125	111	88	109	111	154	123	86	85	65	67	111	64	73	91	100	36	12					
		8.17%	9.06%	9.18%	8.58%	8.70%	8.09%	7.15%	7.42%	6.60%	6.82%	7.23%	8.76%	12.61%	9.62%	8.35%	7.63%	7.50%	6.70%	8.82%	8.61%	8.34%	6.67%	9.92%	8.88%	9.88%	7.92%	7.34%	9.18%	9.95%	9.36%	7.90%	7.84%	7.32%	7.59%	9.46%	7.74%	7.10%	8.05%	8.36%	9.71%	9.42%	6.60%	5.81%	3.62%	8.89%	7.65%	9.58%	5.55%	8.14%	6.22%	7.03%	8.93%	8.32%	7.85%	5.70%	5.62%	8.13%	8.69%	8.27%	8.07%	7.81%	7.95%	9.43%	9.55%	9.50%	9.54%	7.96%	8.34%	7.24%	7.47%	6.65%	7.82%	10.64%	8.37%	6.41%	4.74%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	914	14	14	7	22	12	15	22	26	18	9	12	11	6	16	16	11	10	17	3	16	10	19	11	19	18	11	19	26	19	15	17	9	9	11	12	7	10	6	15	7	8	3	0	12	8	16	7	9	3	9	9	11	15	8	9	5	8	12	28	15	13	15	15	14	8	11	7	13	13	14	4	9	19	12	5					
		1.14%	1.15%	0.97%	0.50%	1.74%	1.67%	1.60%	2.02%	2.29%	2.01%	0.94%	1.33%	1.67%	0.51%	1.39%	1.34%	0.83%	0.75%	1.41%	0.26%	1.07%	0.65%	1.34%	0.83%	1.43%	1.25%	0.82%	1.66%	2.12%	1.73%	1.20%	1.67%	0.71%	0.79%	0.87%	1.21%	0.75%	1.09%	0.84%	1.19%	0.81%	1.15%	1.16%	0.00%	1.07%	0.67%	1.55%	0.64%	0.96%	0.32%	0.82%	0.95%	1.16%	1.51%	0.93%	1.01%	0.83%	0.90%	0.79%	2.04%	1.33%	0.95%	1.27%	0.93%	1.08%	0.89%	1.03%	0.90%	1.41%	0.88%	1.46%	0.43%	1.05%	1.59%	2.14%	1.98%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	40907	532	710	747	594	369	491	606	577	491	473	456	288	571	560	553	657	660	584	557	714	726	685	617	611	685	653	654	628	628	667	568	688	682	699	515	551	479	400	693	453	395	178	343	489	521	466	559	485	499	604	499	516	493	500	483	320	461	764	629	546	649	533	795	659	433	556	438	460	695	516	504	419	551	341	136					
		50.81%	43.82%	49.37%	52.94%	46.99%	51.46%	52.40%	55.55%	50.79%	54.86%	49.53%	50.55%	43.77%	48.60%	48.70%	46.35%	49.29%	49.66%	48.59%	48.95%	47.63%	47.45%	48.21%	46.81%	46.08%	47.60%	48.91%	57.17%	51.22%	57.04%	53.23%	55.63%	54.17%	59.51%	55.13%	51.76%	59.25%	52.12%	55.71%	55.13%	52.67%	56.67%	68.99%	69.01%	43.47%	43.34%	45.11%	50.86%	51.93%	53.54%	55.16%	52.42%	54.37%	49.65%	58.21%	54.33%	53.07%	52.03%	50.56%	45.75%	48.45%	47.34%	45.28%	49.29%	50.89%	48.06%	52.06%	56.23%	49.73%	46.80%	53.64%	53.96%	49.01%	46.11%	60.68%	53.75%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	2017	56	54	47	59	24	18	23	22	23	20	21	12	20	27	27	19	29	32	32	29	33	27	36	27	36	30	11	12	8	28	17	36	12	12	24	21	22	12	13	14	16	0	2	33	48	28	28	14	14	24	16	8	16	17	11	2	56	38	52	63	72	44	45	29	31	25	31	36	49	42	16	23	52	9	2					
		2.51%	4.61%	3.76%	3.33%	4.67%	3.35%	1.92%	2.11%	1.94%	2.57%	2.09%	2.33%	1.82%	1.70%	2.35%	2.26%	1.43%	2.18%	2.66%	2.81%	1.93%	2.16%	1.90%	2.73%	2.04%	2.50%	2.25%	0.96%	0.98%	0.73%	2.23%	1.67%	2.83%	1.05%	0.95%	2.41%	2.26%	2.39%	1.67%	1.03%	1.63%	2.30%	0.00%	0.40%	2.93%	3.99%	2.71%	2.55%	1.50%	1.50%	2.19%	1.68%	0.84%	1.61%	1.98%	1.24%	0.33%	6.32%	2.51%	3.78%	5.59%	5.25%	3.74%	2.79%	2.24%	3.44%	2.34%	3.98%	3.89%	3.30%	4.37%	1.71%	2.69%	4.35%	1.60%	0.79%					
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
																																																																																		
