Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																																																																			
Дата голосования: 07.12.2003 0:00:00																																																																			
																																																																			
Наименование Избирательной комиссии:    Миллеровская																																																																			
																																																																			
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																																																																			
																																																																			
		Сумма	УИК  246	УИК  247	УИК  860	УИК  861	УИК  862	УИК  863	УИК  864	УИК  865	УИК  866	УИК  867	УИК  868	УИК  869	УИК  870	УИК  871	УИК  872	УИК  873	УИК  874	УИК  875	УИК  876	УИК  877	УИК  878	УИК  879	УИК  880	УИК  881	УИК  882	УИК  883	УИК  884	УИК  885	УИК  886	УИК  887	УИК  888	УИК  889	УИК  890	УИК  891	УИК  892	УИК  893	УИК  894	УИК  895	УИК  896	УИК  897	УИК  898	УИК  899	УИК  900	УИК  901	УИК  902	УИК  903	УИК  904	УИК  905	УИК  906	УИК  907	УИК  908	УИК  909	УИК  910	УИК  911	УИК  2480	УИК  2550	УИК  2551	УИК  2552	УИК  2553	УИК  2554					
		0.12%	0.0%	0.0%	0.11%	0.08%	0.37%	0.0%	0.0%	0.0%	0.0%	0.13%	0.34%	0.0%	0.0%	0.52%	0.14%	0.28%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.14%	0.0%	0.20%	0.0%	0.13%	0.0%	0.0%	0.25%	0.07%	0.0%	0.0%	0.0%	0.25%	0.0%	0.74%	0.17%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%	0.0%	1.03%	0.0%	0.54%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%					
26	"9. ""Российская экологическая партия ""Зеленые"""	74	0	0	0	0	3	1	2	2	5	2	0	2	2	1	5	1	1	0	0	2	0	23	0	0	2	0	1	0	2	3	1	1	2	1	0	0	1	0	1	0	1	1	0	0	0	0	0	0	0	3	0	0	0	1	1	0	0	0	0	0					
		0.23%	0.0%	0.0%	0.0%	0.0%	0.28%	0.37%	0.19%	0.21%	0.33%	0.26%	0.0%	0.15%	0.24%	0.10%	0.36%	0.14%	0.27%	0.0%	0.0%	0.51%	0.0%	4.93%	0.0%	0.0%	0.27%	0.0%	0.23%	0.0%	0.29%	0.64%	0.20%	0.49%	0.26%	0.38%	0.0%	0.0%	0.07%	0.0%	0.50%	0.0%	0.25%	0.75%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.27%	0.56%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	1401	1	16	29	18	32	12	33	11	34	20	13	30	14	28	14	16	11	21	6	13	20	8	29	16	41	2	39	25	39	31	31	13	44	12	66	41	64	5	15	12	27	12	25	19	86	15	34	24	8	108	20	24	4	33	6	8	2	10	6	5					
		4.51%	1.23%	2.15%	3.34%	1.60%	3.00%	4.46%	3.20%	1.15%	2.30%	2.61%	2.21%	2.37%	1.68%	2.95%	1.01%	2.26%	3.05%	4.92%	3.89%	3.32%	6.99%	1.71%	6.75%	6.55%	5.65%	1.16%	9.19%	12.95%	5.82%	6.65%	6.48%	6.46%	5.90%	4.66%	12.40%	10.48%	4.54%	2.52%	7.61%	6.28%	6.87%	9.02%	6.17%	3.40%	21.18%	4.70%	6.37%	5.02%	7.33%	7.76%	7.66%	6.23%	2.89%	8.91%	3.40%	6.45%	1.43%	3.62%	3.59%	2.33%					
28	"11. ""Истинные патриоты России"""	51	0	0	0	0	1	2	4	1	0	4	0	2	0	0	1	1	0	0	1	0	0	0	0	1	4	8	0	0	0	0	0	0	1	1	0	1	3	2	1	1	0	2	0	1	3	1	0	0	0	2	0	0	0	1	0	1	0	0	0	0					
		0.16%	0.0%	0.0%	0.0%	0.0%	0.09%	0.74%	0.38%	0.10%	0.0%	0.52%	0.0%	0.15%	0.0%	0.0%	0.07%	0.14%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.40%	0.55%	4.65%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.38%	0.0%	0.25%	0.21%	1.01%	0.50%	0.52%	0.0%	1.50%	0.0%	0.17%	0.73%	0.31%	0.0%	0.0%	0.0%	0.14%	0.0%	0.0%	0.0%	0.27%	0.0%	0.80%	0.0%	0.0%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	325	0	12	9	15	11	6	9	14	22	14	5	16	13	16	23	9	1	6	2	5	1	0	0	5	6	2	1	0	1	3	1	2	5	1	2	1	6	3	1	4	3	0	3	2	1	8	2	4	0	29	8	5	0	5	1	0	0	0	1	0					
		1.04%	0.0%	1.61%	1.03%	1.33%	1.03%	2.23%	0.87%	1.47%	1.49%	1.83%	0.85%	1.26%	1.56%	1.68%	1.66%	1.27%	0.27%	1.40%	1.29%	1.27%	0.34%	0.0%	0.0%	2.04%	0.82%	1.16%	0.23%	0.0%	0.14%	0.64%	0.20%	0.99%	0.67%	0.38%	0.37%	0.25%	0.42%	1.51%	0.50%	2.09%	0.76%	0.0%	0.74%	0.35%	0.24%	2.50%	0.37%	0.83%	0.0%	2.08%	3.06%	1.29%	0.0%	1.35%	0.56%	0.0%	0.0%	0.0%	0.59%	0.0%					
30	"13. ""Демократическая партия России"""	55	0	2	0	0	1	1	1	1	3	0	1	0	4	1	0	1	0	2	0	0	1	0	2	2	2	0	2	0	0	2	3	0	2	1	0	3	2	1	2	0	0	0	0	1	2	2	0	0	0	4	0	0	0	1	0	2	0	0	0	0					
		0.17%	0.0%	0.26%	0.0%	0.0%	0.09%	0.37%	0.09%	0.10%	0.20%	0.0%	0.17%	0.0%	0.48%	0.10%	0.0%	0.14%	0.0%	0.46%	0.0%	0.0%	0.34%	0.0%	0.46%	0.81%	0.27%	0.0%	0.47%	0.0%	0.0%	0.42%	0.62%	0.0%	0.26%	0.38%	0.0%	0.76%	0.14%	0.50%	1.01%	0.0%	0.0%	0.0%	0.0%	0.17%	0.49%	0.62%	0.0%	0.0%	0.0%	0.28%	0.0%	0.0%	0.0%	0.27%	0.0%	1.61%	0.0%	0.0%	0.0%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	55	0	1	8	1	2	0	0	1	4	3	1	2	0	1	6	3	0	0	1	0	0	0	0	0	1	0	0	1	0	0	1	1	0	1	0	1	2	1	0	0	2	0	1	1	0	0	1	0	2	3	0	0	1	0	0	0	1	0	0	0					
		0.17%	0.0%	0.13%	0.92%	0.08%	0.18%	0.0%	0.0%	0.10%	0.27%	0.39%	0.17%	0.15%	0.0%	0.10%	0.43%	0.42%	0.0%	0.0%	0.64%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.0%	0.0%	0.51%	0.0%	0.0%	0.20%	0.49%	0.0%	0.38%	0.0%	0.25%	0.14%	0.50%	0.0%	0.0%	0.50%	0.0%	0.24%	0.17%	0.0%	0.0%	0.18%	0.0%	1.83%	0.21%	0.0%	0.0%	0.72%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	31	0	1	1	0	0	0	0	2	1	0	3	0	0	2	3	0	0	0	0	0	0	0	0	0	2	1	1	0	0	0	0	0	0	1	0	0	3	0	0	0	0	2	0	1	0	0	3	0	1	2	0	0	0	0	0	0	1	0	0	0					
		0.09%	0.0%	0.13%	0.11%	0.0%	0.0%	0.0%	0.0%	0.21%	0.06%	0.0%	0.51%	0.0%	0.0%	0.21%	0.21%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	0.58%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.21%	0.0%	0.0%	0.0%	0.0%	1.50%	0.0%	0.17%	0.0%	0.0%	0.56%	0.0%	0.91%	0.14%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.71%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	2538	1	93	117	95	124	56	86	76	195	91	74	193	115	116	166	81	28	43	8	14	15	17	16	15	31	4	17	6	27	24	15	4	35	12	18	22	94	7	13	3	21	0	29	44	25	26	19	4	6	91	14	22	4	16	9	6	3	5	9	18					
		8.17%	1.23%	12.53%	13.47%	8.47%	11.65%	20.81%	8.34%	7.99%	13.22%	11.89%	12.62%	15.25%	13.80%	12.24%	12.02%	11.45%	7.77%	10.09%	5.19%	3.58%	5.24%	3.64%	3.72%	6.14%	4.27%	2.32%	4.00%	3.10%	4.03%	5.15%	3.13%	1.99%	4.69%	4.66%	3.38%	5.62%	6.67%	3.53%	6.59%	1.57%	5.34%	0.0%	7.16%	7.88%	6.15%	8.15%	3.56%	0.83%	5.50%	6.54%	5.36%	5.71%	2.89%	4.32%	5.11%	4.83%	2.15%	1.81%	5.38%	8.41%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	116	0	0	3	4	1	1	4	9	0	0	3	5	2	3	3	0	3	2	0	1	5	0	0	3	2	1	2	0	2	0	1	0	6	0	4	5	6	2	2	0	4	2	1	2	6	2	2	0	0	0	1	2	0	6	2	0	0	1	0	0					
		0.37%	0.0%	0.0%	0.34%	0.35%	0.09%	0.37%	0.38%	0.94%	0.0%	0.0%	0.51%	0.39%	0.24%	0.31%	0.21%	0.0%	0.83%	0.46%	0.0%	0.25%	1.74%	0.0%	0.0%	1.22%	0.27%	0.58%	0.47%	0.0%	0.29%	0.0%	0.20%	0.0%	0.80%	0.0%	0.75%	1.27%	0.42%	1.01%	1.01%	0.0%	1.01%	1.50%	0.24%	0.35%	1.47%	0.62%	0.37%	0.0%	0.0%	0.0%	0.38%	0.51%	0.0%	1.62%	1.13%	0.0%	0.0%	0.36%	0.0%	0.0%					
35	"18. ""ЛДПР"""	3851	5	50	100	129	122	33	80	194	187	98	61	161	98	102	256	72	60	74	57	56	73	68	65	36	109	9	58	22	55	59	52	32	64	23	62	52	270	28	36	20	54	9	37	35	72	25	48	37	7	120	21	43	11	41	14	16	4	28	15	26					
		12.39%	6.17%	6.73%	11.52%	11.50%	11.46%	12.26%	7.76%	20.39%	12.67%	12.81%	10.40%	12.72%	11.76%	10.77%	18.53%	10.18%	16.66%	17.37%	37.01%	14.32%	25.52%	14.59%	15.15%	14.75%	15.03%	5.23%	13.67%	11.39%	8.22%	12.66%	10.87%	15.92%	8.59%	8.94%	11.65%	13.29%	19.16%	14.14%	18.27%	10.47%	13.74%	6.76%	9.13%	6.27%	17.73%	7.83%	9.00%	7.74%	6.42%	8.62%	8.04%	11.16%	7.97%	11.08%	7.95%	12.90%	2.87%	10.14%	8.98%	12.14%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	429	1	2	10	8	28	3	11	17	21	7	7	25	7	17	20	4	6	1	0	6	3	3	1	7	9	2	11	4	7	7	8	1	19	5	0	12	34	4	6	7	5	1	6	9	4	4	2	2	1	13	3	7	0	7	2	1	0	3	3	5					
		1.38%	1.23%	0.26%	1.15%	0.71%	2.63%	1.11%	1.06%	1.78%	1.42%	0.91%	1.19%	1.97%	0.84%	1.79%	1.44%	0.56%	1.66%	0.23%	0.0%	1.53%	1.04%	0.64%	0.23%	2.86%	1.24%	1.16%	2.59%	2.07%	1.04%	1.50%	1.67%	0.49%	2.55%	1.94%	0.0%	3.06%	2.41%	2.02%	3.04%	3.66%	1.27%	0.75%	1.48%	1.61%	0.98%	1.25%	0.37%	0.41%	0.91%	0.93%	1.14%	1.81%	0.0%	1.89%	1.13%	0.80%	0.0%	1.08%	1.79%	2.33%					
37	"20. ""Политическая партия ""Единая Россия"""	12017	64	353	281	507	309	68	450	336	406	249	197	396	236	226	467	283	171	173	35	204	94	253	205	73	210	85	130	94	407	197	259	84	349	102	181	119	505	73	82	98	174	59	101	221	91	106	303	324	51	479	75	202	82	144	70	69	118	168	67	102					
		38.68%	79.01%	47.57%	32.37%	45.22%	29.04%	25.27%	43.68%	35.33%	27.52%	32.54%	33.61%	31.30%	28.33%	23.86%	33.81%	40.02%	47.5%	40.61%	22.72%	52.17%	32.86%	54.29%	47.78%	29.91%	28.96%	49.41%	30.66%	48.70%	60.83%	42.27%	54.18%	41.79%	46.84%	39.68%	34.02%	30.43%	35.84%	36.86%	41.62%	51.30%	44.27%	44.36%	24.93%	39.60%	22.41%	33.22%	56.84%	67.78%	46.78%	34.43%	28.73%	52.46%	59.42%	38.91%	39.77%	55.64%	84.89%	60.86%	40.11%	47.66%					
38	"21. ""Российская Конституционно-демократическая партия"""	74	0	0	0	9	2	0	3	2	2	1	0	4	4	4	4	4	0	0	0	0	1	0	0	2	3	0	2	0	3	0	1	0	1	1	0	1	4	0	0	0	2	0	2	1	3	0	1	2	0	0	0	0	0	1	3	0	0	1	0	0					
		0.23%	0.0%	0.0%	0.0%	0.80%	0.18%	0.0%	0.29%	0.21%	0.13%	0.13%	0.0%	0.31%	0.48%	0.42%	0.28%	0.56%	0.0%	0.0%	0.0%	0.0%	0.34%	0.0%	0.0%	0.81%	0.41%	0.0%	0.47%	0.0%	0.44%	0.0%	0.20%	0.0%	0.13%	0.38%	0.0%	0.25%	0.28%	0.0%	0.0%	0.0%	0.50%	0.0%	0.49%	0.17%	0.73%	0.0%	0.18%	0.41%	0.0%	0.0%	0.0%	0.0%	0.0%	0.27%	1.70%	0.0%	0.0%	0.36%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	54	0	1	0	6	2	0	3	0	1	3	1	1	2	5	5	3	1	1	0	0	1	0	0	0	1	2	1	0	0	0	0	0	0	0	1	2	1	0	1	0	0	0	4	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1					
		0.17%	0.0%	0.13%	0.0%	0.53%	0.18%	0.0%	0.29%	0.0%	0.06%	0.39%	0.17%	0.07%	0.24%	0.52%	0.36%	0.42%	0.27%	0.23%	0.0%	0.0%	0.34%	0.0%	0.0%	0.0%	0.13%	1.16%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.18%	0.51%	0.07%	0.0%	0.50%	0.0%	0.0%	0.0%	0.98%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.38%	0.0%	0.0%	0.27%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	5675	5	132	183	184	252	45	181	143	301	163	127	198	184	260	155	127	35	49	25	51	29	64	73	53	184	26	89	24	97	87	69	42	160	69	140	84	265	40	15	25	60	20	124	121	85	74	72	45	22	298	68	38	20	60	31	6	5	26	41	24					
