Выборы Президента Российской Федерации																																																																																												
																																																																																												
Наименование Избирательной комиссии:    Вольская																																																																																												
																																																																																												
Итоги голосования 																																																																																												
																																																																																												
		Сумма	УИК  335	УИК №336	УИК №337	УИК №338	УИК №339	УИК №340	УИК №341	УИК №342	УИК №343	УИК №344	УИК №345	УИК №346	УИК №347	УИК №348	УИК №349	УИК №350	УИК №351	УИК №352	УИК №353	УИК №354	УИК №355	УИК №356	УИК №357	УИК №358	УИК №359	УИК №360	УИК №361	УИК №362	УИК №363	УИК №364	УИК №365	УИК №366	УИК №367	УИК №368	УИК №369	УИК №370	УИК №371	УИК №372	УИК №373	УИК №374	УИК №375	УИК №376	УИК №377	УИК №378	УИК №379	УИК №380	УИК №381	УИК №382	УИК №383	УИК №384	УИК №385	УИК №386	УИК №387	УИК №388	УИК №389	УИК №390	УИК №391	УИК №392	УИК №393	УИК №394	УИК №395	УИК №396	УИК №397	УИК №398	УИК №399	УИК №400	УИК №401	УИК №402	УИК №403	УИК №404	УИК №405	УИК №406	УИК №407	УИК №408	УИК №409	УИК №410	УИК №411	УИК №412	УИК №413	УИК №414	УИК №415	УИК №416	УИК №417	УИК №418	УИК №419					
11	Число полученных открепительных  удостоверений	2950	90	20	30	70	50	10	20	20	20	50	60	50	30	50	0	70	70	30	50	50	50	50	80	80	80	0	50	50	70	50	50	50	30	30	30	0	30	50	50	80	30	10	40	10	0	40	70	70	10	30	30	10	30	20	20	20	30	10	5	20	30	30	10	10	10	30	30	30	10	5	5	30	70	70	30	10	50	20	30	10	10	20	60	25	10					
12	Число выданных открепительных удостоверений	965	29	5	10	33	3	1	5	3	10	20	23	15	9	15	0	26	37	11	26	40	30	11	74	32	32	0	11	24	30	22	22	24	9	7	4	0	6	19	22	38	7	2	15	0	0	14	63	13	1	7	7	5	0	6	0	4	4	0	0	0	0	0	0	1	1	0	1	0	1	0	0	6	18	18	3	1	2	4	2	0	1	5	12	1	2					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1108	5	2	7	23	21	2	2	5	5	9	24	3	14	17	36	3	5	3	48	6	10	118	10	4	4	232	27	9	29	4	4	4	7	3	7	24	3	2	7	14	5	5	7	10	128	4	19	45	0	4	4	2	6	0	2	1	5	3	0	2	2	5	1	0	1	10	0	1	2	0	1	0	16	3	1	0	9	11	4	3	3	7	3	11	0					
14	Число неиспользованных открепительных удостоверений	1985	61	15	20	37	47	9	15	17	10	30	37	35	21	35	0	44	33	19	24	10	20	39	6	48	48	0	39	26	40	28	28	26	21	23	26	0	24	31	28	42	23	8	25	10	0	26	7	57	9	23	23	5	30	14	20	16	26	10	5	20	30	30	10	9	9	30	29	30	9	5	5	24	52	52	27	9	48	16	28	10	9	15	48	24	8					
15	"Число открепительных удостоверений, выданных в ТИК"	50	2	1	0	2	0	1	0	1	2	4	2	1	2	2	0	0	2	0	0	2	1	0	0	2	1	0	0	0	0	3	1	0	1	0	0	0	2	0	1	2	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	2	0	0	1	1	0	0	0	0	2	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																												
18	. Глазьев Сергей Юрьевич	1500	51	18	16	31	27	5	4	7	3	18	19	19	7	19	0	46	30	10	32	38	39	29	90	40	33	2	15	41	12	20	27	26	15	11	16	0	7	15	32	43	11	5	20	0	0	2	110	29	0	17	3	0	8	14	26	10	9	0	0	2	2	29	0	4	3	9	10	3	5	3	0	5	58	69	0	3	20	14	8	6	4	4	48	14	0					
		2.63%	2.54%	3.46%	2.90%	2.17%	3.17%	1.78%	1.84%	2.86%	0.66%	1.80%	2.95%	3.52%	2.48%	3.05%	0.00%	5.19%	2.03%	2.33%	2.72%	4.17%	4.09%	2.92%	3.65%	2.21%	2.76%	0.80%	1.70%	3.56%	0.77%	2.63%	2.28%	3.39%	2.59%	1.81%	4.27%	0.00%	2.21%	2.54%	4.38%	2.85%	2.89%	2.43%	3.27%	0.00%	0.00%	0.49%	5.24%	1.97%	0.00%	2.16%	0.59%	0.00%	2.56%	2.05%	6.58%	2.27%	1.26%	0.00%	0.00%	0.56%	0.81%	5.39%	0.00%	2.33%	1.75%	1.88%	1.25%	0.67%	1.42%	2.13%	0.00%	1.14%	3.20%	3.92%	0.00%	0.77%	2.37%	2.35%	2.34%	2.58%	3.57%	1.90%	2.27%	2.55%	0.00%					
19	. Малышкин Олег Александрович	1090	53	8	12	22	17	3	8	4	10	13	4	4	8	12	0	10	34	8	11	18	22	19	79	34	17	8	12	10	13	19	16	10	12	15	9	0	7	9	24	38	9	4	7	0	0	14	32	40	7	18	10	1	8	4	5	12	7	0	3	11	2	5	6	3	1	5	14	6	8	3	4	12	21	37	3	6	18	4	15	8	0	3	69	5	8					
		1.91%	2.64%	1.54%	2.18%	1.54%	2.00%	1.07%	3.69%	1.63%	2.20%	1.30%	0.62%	0.74%	2.84%	1.93%	0.00%	1.13%	2.30%	1.86%	0.93%	1.98%	2.31%	1.92%	3.20%	1.88%	1.42%	3.20%	1.36%	0.87%	0.83%	2.50%	1.35%	1.30%	2.07%	2.47%	2.40%	0.00%	2.21%	1.52%	3.28%	2.51%	2.36%	1.94%	1.15%	0.00%	0.00%	3.42%	1.53%	2.72%	5.83%	2.29%	1.97%	0.66%	2.56%	0.58%	1.27%	2.72%	0.98%	0.00%	5.45%	3.10%	0.81%	0.93%	4.14%	1.74%	0.58%	1.04%	1.74%	1.35%	2.28%	2.13%	3.54%	2.75%	1.16%	2.10%	0.88%	1.54%	2.14%	0.67%	4.39%	3.43%	0.00%	1.42%	3.26%	0.91%	4.06%					
20	. Миронов Сергей Михайлович	275	6	1	4	7	1	0	2	1	1	2	3	5	0	6	0	9	14	6	8	6	9	8	20	1	8	3	5	3	5	5	2	6	3	4	2	0	1	2	4	10	1	1	5	0	0	1	8	7	0	5	0	0	0	2	1	2	0	0	0	1	1	1	0	1	0	0	4	0	2	2	1	2	5	8	3	4	4	1	1	1	1	3	8	3	2					
		0.48%	0.30%	0.19%	0.73%	0.49%	0.12%	0.00%	0.92%	0.41%	0.22%	0.20%	0.47%	0.93%	0.00%	0.96%	0.00%	1.01%	0.95%	1.40%	0.68%	0.66%	0.94%	0.81%	0.81%	0.06%	0.67%	1.20%	0.57%	0.26%	0.32%	0.66%	0.17%	0.78%	0.52%	0.66%	0.53%	0.00%	0.32%	0.34%	0.55%	0.66%	0.26%	0.49%	0.82%	0.00%	0.00%	0.24%	0.38%	0.48%	0.00%	0.64%	0.00%	0.00%	0.00%	0.29%	0.25%	0.45%	0.00%	0.00%	0.00%	0.28%	0.40%	0.19%	0.00%	0.58%	0.00%	0.00%	0.50%	0.00%	0.57%	1.42%	0.88%	0.46%	0.28%	0.45%	0.88%	1.03%	0.47%	0.17%	0.29%	0.43%	0.89%	1.42%	0.38%	0.55%	1.02%					
21	. Путин Владимир Владимирович	42599	1558	378	432	982	762	244	147	192	347	788	481	339	183	399	40	539	1214	292	836	574	591	698	1862	1487	861	185	676	809	1290	572	860	521	437	456	268	54	243	446	456	900	269	120	388	118	192	323	1573	1215	107	612	414	116	236	557	270	330	551	105	45	312	218	415	135	148	139	377	672	332	263	97	55	290	1547	1348	296	316	666	473	231	171	91	171	1368	390	138					
		74.70%	77.63%	72.69%	78.40%	68.72%	89.44%	86.83%	67.74%	78.37%	76.43%	78.80%	74.69%	62.78%	64.89%	64.04%	100.00%	60.77%	82.14%	68.07%	71.03%	63.01%	62.01%	70.36%	75.51%	82.25%	72.11%	74.00%	76.56%	70.29%	82.85%	75.16%	72.51%	67.84%	75.34%	75.00%	71.47%	90.00%	76.66%	75.47%	62.38%	59.56%	70.60%	58.25%	63.50%	78.15%	100.00%	78.97%	74.98%	82.60%	89.17%	77.86%	81.50%	76.82%	75.40%	81.43%	68.35%	74.83%	77.39%	74.47%	81.82%	87.89%	88.26%	77.14%	93.10%	86.05%	81.29%	78.54%	83.69%	74.61%	74.93%	68.79%	48.67%	66.36%	85.33%	76.59%	87.06%	81.23%	79.00%	79.36%	67.54%	73.39%	81.25%	81.04%	64.71%	71.17%	70.05%					
22	. Хакамада Ирина Муцуовна	837	22	13	7	35	14	3	3	1	11	8	11	16	6	8	0	20	20	13	17	17	29	21	45	15	26	1	14	20	19	17	13	12	4	7	7	2	10	8	11	24	9	5	10	0	0	11	51	36	0	5	6	3	2	5	1	3	4	0	0	3	2	4	0	0	0	13	6	7	3	3	1	8	11	24	0	1	15	5	4	2	2	4	7	7	4					
		1.47%	1.10%	2.50%	1.27%	2.45%	1.64%	1.07%	1.38%	0.41%	2.42%	0.80%	1.71%	2.96%	2.13%	1.28%	0.00%	2.25%	1.35%	3.03%	1.44%	1.87%	3.04%	2.12%	1.82%	0.83%	2.18%	0.40%	1.59%	1.74%	1.22%	2.23%	1.10%	1.56%	0.69%	1.15%	1.87%	3.33%	3.15%	1.35%	1.50%	1.59%	2.36%	2.43%	1.64%	0.00%	0.00%	2.69%	2.43%	2.45%	0.00%	0.64%	1.18%	1.99%	0.64%	0.73%	0.25%	0.68%	0.56%	0.00%	0.00%	0.85%	0.81%	0.74%	0.00%	0.00%	0.00%	2.71%	0.75%	1.57%	0.85%	2.13%	0.88%	1.83%	0.61%	1.36%	0.00%	0.26%	1.78%	0.84%	1.17%	0.86%	1.79%	1.90%	0.33%	1.28%	2.03%					
23	. Харитонов Николай Михайлович	8460	238	86	72	299	21	16	52	35	71	152	103	133	39	153	0	224	77	91	182	226	220	178	229	182	183	11	137	230	204	116	144	171	88	96	61	4	39	90	164	415	75	59	161	33	0	36	195	80	4	120	55	30	38	90	77	73	122	36	5	20	19	72	2	16	26	73	78	76	66	29	47	118	162	218	30	53	99	89	69	43	10	20	348	116	40					
		14.83%	11.86%	16.54%	13.07%	20.92%	2.46%	5.69%	23.96%	14.29%	15.64%	15.20%	15.99%	24.63%	13.83%	24.56%	0.00%	25.25%	5.21%	21.21%	15.46%	24.81%	23.08%	17.94%	9.29%	10.07%	15.33%	4.40%	15.52%	19.98%	13.10%	15.24%	12.14%	22.27%	15.17%	15.79%	16.27%	6.67%	12.30%	15.23%	22.44%	27.47%	19.69%	28.64%	26.35%	21.85%	0.00%	8.80%	9.29%	5.44%	3.33%	15.27%	10.83%	19.87%	12.14%	13.16%	19.49%	16.55%	17.13%	25.53%	9.09%	5.63%	7.69%	13.38%	1.38%	9.30%	15.20%	15.21%	9.71%	17.08%	18.80%	20.57%	41.59%	27.00%	8.94%	12.39%	8.82%	13.62%	11.74%	14.93%	20.18%	18.45%	8.93%	9.48%	16.46%	21.17%	20.30%					
																																																																																												
24	Против всех	1530	69	14	7	45	8	8	0	5	7	12	20	20	4	25	0	36	89	9	42	27	40	27	137	41	56	14	24	32	11	7	23	20	19	19	6	0	8	17	30	76	6	11	19	0	0	19	113	53	1	7	8	0	0	6	3	6	3	0	0	5	2	10	1	0	2	1	4	3	4	3	5	1	9	56	0	5	17	8	11	2	4	4	54	7	3					
		2.68%	3.44%	2.69%	1.27%	3.15%	0.94%	2.85%	0.00%	2.04%	1.54%	1.20%	3.11%	3.70%	1.42%	4.01%	0.00%	4.06%	6.02%	2.10%	3.57%	2.96%	4.20%	2.72%	5.56%	2.27%	4.69%	5.60%	2.72%	2.78%	0.71%	0.92%	1.94%	2.60%	3.28%	3.12%	1.60%	0.00%	2.52%	2.88%	4.10%	5.03%	1.57%	5.34%	3.11%	0.00%	0.00%	4.65%	5.39%	3.60%	0.83%	0.89%	1.57%	0.00%	0.00%	0.88%	0.76%	1.36%	0.42%	0.00%	0.00%	1.41%	0.81%	1.86%	0.69%	0.00%	1.17%	0.21%	0.50%	0.67%	1.14%	2.13%	4.42%	0.23%	0.50%	3.18%	0.00%	1.29%	2.02%	1.34%	3.22%	0.86%	3.57%	1.90%	2.55%	1.28%	1.52%					
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
																																																																																												
