Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																									
Дата голосования: 18.09.2016																									
																									
Наименование Избирательной комиссии:    Питкярантская																									
																									
Сводная таблица итогов голосования по федеральному избирательному округу																									
																									
		Сумма	УИК №161	УИК №162	УИК №163	УИК №164	УИК №165	УИК №166	УИК №167	УИК №168	УИК №169	УИК №170	УИК №171	УИК №172	УИК №173	УИК №174									
		0.82%	1.16%	1.12%	0.00%	0.00%	1.03%	0.00%	1.87%	0.49%	0.82%	0.84%	0.00%	0.79%	2.53%	0.46%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	11	1	3	0	2	2	0	2	0	1	0	0	0	0	0									
		0.17%	0.10%	0.34%	0.00%	0.26%	0.26%	0.00%	0.75%	0.00%	0.27%	0.00%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	215	52	40	3	29	38	3	1	10	4	3	4	2	5	21									
		3.38%	5.04%	4.47%	1.36%	3.70%	4.91%	2.11%	0.37%	1.64%	1.10%	1.27%	5.97%	1.59%	2.53%	3.23%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	1058	166	158	41	152	121	20	50	109	45	33	5	15	30	113									
		16.62%	16.10%	17.67%	18.55%	19.39%	15.63%	14.08%	18.66%	17.87%	12.33%	13.92%	7.46%	11.90%	15.15%	17.38%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	32	7	5	0	3	3	0	2	4	1	1	0	1	1	4									
		0.50%	0.68%	0.56%	0.00%	0.38%	0.39%	0.00%	0.75%	0.66%	0.27%	0.42%	0.00%	0.79%	0.51%	0.62%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	797	143	117	29	121	110	11	41	53	38	27	4	18	15	70									
		12.52%	13.87%	13.09%	13.12%	15.43%	14.21%	7.75%	15.30%	8.69%	10.41%	11.39%	5.97%	14.29%	7.58%	10.77%									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
																									
