Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																
Дата голосования: 07.12.2003 0:00:00																
																
Наименование Избирательной комиссии:    Сельцовская городская																
																
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																
																
		Сумма	УИК №938	УИК №939	УИК №940	УИК №941	УИК №942	УИК №943	УИК №944	УИК №945	УИК №946					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	302	56	56	44	47	20	25	38	13	3					
		3.41%	4.17%	3.86%	2.71%	3.44%	4.81%	2.78%	3.99%	2.0%	2.01%					
37	"20. ""Политическая партия ""Единая Россия"""	3247	450	594	621	499	144	280	364	259	36					
		36.72%	33.55%	40.96%	38.30%	36.55%	34.69%	31.18%	38.23%	39.84%	24.16%					
38	"21. ""Российская Конституционно-демократическая партия"""	21	0	3	4	5	2	3	1	3	0					
		0.23%	0.0%	0.20%	0.24%	0.36%	0.48%	0.33%	0.10%	0.46%	0.0%					
39	"22. ""Развитие предпринимательства"""	18	5	4	3	1	2	2	0	1	0					
		0.20%	0.37%	0.27%	0.18%	0.07%	0.48%	0.22%	0.0%	0.15%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1525	213	208	281	238	86	199	176	79	45					
		17.24%	15.88%	14.34%	17.33%	17.43%	20.72%	22.16%	18.48%	12.15%	30.20%					
																
41	Против всех	484	72	83	80	81	24	41	36	60	7					
		5.47%	5.36%	5.72%	4.93%	5.93%	5.78%	4.56%	3.78%	9.23%	4.69%					
																
																
																
																
																
																
																
																
																
																
																
																
																
																
																
