7	Число избирательных бюллетеней в переносных ящиках для голосования	7592	14	60	50	125	128	54	86	59	37	168	39	34	106	28	62	38	59	197	231	90	87	63	230	79	554	213	70	196	94	90	93	134	57	86	58	98	48	42	42	61	71	68	102	82	59	127	57	55	81	80	50	97	44	62	57	48	54	53	57	66	47	47	38	55	86	40	13	25	38	37	83	88	52	41	20	39	19	44	35	41	39	38	37	42	26	41	77	47	49	30	68	94	28	25	118	66	219	36	180	14					
8	Число бюллетеней в стационарных ящиках для голосования	111669	1424	769	941	665	921	1426	798	758	947	1059	547	512	1878	1406	554	746	695	700	992	564	689	842	834	904	1024	926	845	836	970	987	604	379	1089	1819	1411	855	1101	906	1357	993	979	886	1031	816	996	798	1846	1334	1294	816	992	1088	1086	1004	2341	1916	888	1142	1190	1178	1177	1146	983	1167	1811	1015	1294	1084	1431	1320	1187	1397	942	1046	1147	1236	777	932	1112	1361	951	1038	1003	1023	898	1120	936	1240	1178	1015	797	2356	2379	2443	1226	1078	2224	1361	1319	1225					
9	Число недействительных избирательных бюллетеней	1320	25	8	14	5	11	10	12	10	22	15	5	12	14	5	5	18	10	14	19	7	3	10	13	9	16	8	12	10	4	17	7	5	10	18	11	7	16	6	12	5	12	16	10	14	12	11	9	0	14	14	15	10	12	9	15	18	10	14	12	30	26	24	12	16	17	7	14	19	17	20	16	17	12	14	15	16	11	9	11	17	13	14	16	19	16	11	9	22	22	4	9	21	11	16	14	13	17	21	28	17					
10	Число действительных избирательных бюллетеней	117941	1413	821	977	785	1038	1470	872	807	962	1212	581	534	1970	1429	611	766	744	883	1204	647	773	895	1051	974	1562	1131	903	1022	1060	1060	690	508	1136	1887	1458	946	1133	942	1387	1049	1038	938	1123	884	1043	914	1894	1389	1361	882	1027	1175	1118	1057	2383	1946	932	1181	1235	1214	1198	1169	1009	1206	1880	1048	1293	1090	1452	1337	1254	1468	982	1073	1152	1259	785	967	1136	1385	977	1062	1024	1046	908	1150	1004	1265	1205	1041	856	2429	2396	2452	1330	1131	2426	1376	1471	1222					
11	Число полученных открепительных  удостоверений	2820	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	38	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	28	38	28	28	28					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	1876	28	22	27	15	11	27	20	24	19	22	10	9	18	8	7	7	23	16	24	24	7	23	16	24	26	27	13	12	22	21	12	9	15	10	10	12	22	12	24	16	20	17	19	12	7	17	28	12	28	15	23	26	12	24	27	22	14	13	18	20	25	16	22	23	22	19	28	13	26	25	25	24	18	22	23	21	10	8	19	16	19	20	19	24	14	11	19	24	26	16	12	18	21	22	19	15	31	25	24	24					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1451	23	16	16	30	12	15	44	8	9	13	15	11	18	18	21	15	29	9	13	23	10	11	17	20	119	5	13	22	9	5	18	5	8	10	13	10	12	5	7	13	11	21	11	11	9	4	6	8	8	10	14	9	11	6	8	10	17	8	16	7	27	16	13	10	20	10	21	10	9	12	8	14	17	4	14	3	10	16	11	14	11	22	6	4	10	18	19	28	12	17	8	5	22	18	19	6	9	24	21	18					
14	Число неиспользованных открепительных удостоверений	944	0	6	1	13	17	1	8	4	9	6	18	19	10	20	21	21	5	12	4	4	21	5	12	4	2	1	15	16	6	7	16	19	13	18	18	16	6	16	4	12	8	11	9	16	21	11	0	16	0	13	5	2	16	4	1	6	14	15	10	8	3	12	6	5	6	9	10	15	2	3	3	4	10	6	5	7	18	20	9	12	9	8	9	4	14	17	9	4	2	12	16	10	7	6	9	13	7	3	4	4					
15	"Число открепительных удостоверений, выданных избирателям ТИК"	11	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	"Число открепительных удостоверений, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																											
18	Богданов Андрей Владимирович	1586	20	10	17	14	15	22	10	13	13	14	12	13	15	19	8	8	19	6	13	8	12	14	16	13	13	8	11	10	10	10	14	12	11	11	21	22	24	12	23	15	17	13	10	11	9	11	20	21	20	9	10	10	13	10	24	21	15	22	20	24	17	13	13	24	14	12	29	12	17	22	27	20	12	18	17	17	10	12	24	34	9	18	15	12	17	14	18	20	20	12	18	19	21	20	28	17	19	23	27	14					
		1.33%	1.39%	1.21%	1.72%	1.77%	1.43%	1.49%	1.13%	1.59%	1.32%	1.14%	2.05%	2.38%	0.76%	1.32%	1.30%	1.02%	2.52%	0.67%	1.06%	1.22%	1.55%	1.55%	1.50%	1.32%	0.82%	0.70%	1.20%	0.97%	0.94%	0.93%	2.01%	2.34%	0.96%	0.58%	1.43%	2.31%	2.09%	1.27%	1.64%	1.42%	1.62%	1.36%	0.88%	1.22%	0.85%	1.19%	1.05%	1.51%	1.45%	1.00%	0.96%	0.84%	1.15%	0.94%	1.00%	1.07%	1.59%	1.84%	1.60%	1.93%	1.39%	1.09%	1.27%	1.96%	0.74%	1.14%	2.22%	1.08%	1.16%	1.62%	2.13%	1.35%	1.21%	1.66%	1.46%	1.33%	1.26%	1.23%	2.09%	2.43%	0.91%	1.67%	1.44%	1.13%	1.84%	1.21%	1.78%	1.55%	1.63%	1.15%	2.08%	0.78%	0.87%	0.81%	2.08%	1.49%	0.78%	1.65%	1.80%	1.13%					
19	Жириновский Владимир Вольфович	12304	245	110	117	108	99	52	118	88	122	148	75	136	120	105	70	89	95	102	135	70	95	114	121	99	146	115	111	132	106	143	60	40	174	115	101	109	119	101	176	115	120	105	120	83	120	76	117	109	149	71	126	95	92	120	126	124	114	129	134	129	137	146	142	148	144	110	130	132	165	132	116	176	101	134	140	129	75	108	140	137	125	110	104	142	125	164	124	162	152	144	96	177	160	137	195	136	121	161	194	178					
		10.32%	17.04%	13.27%	11.81%	13.67%	9.44%	3.51%	13.35%	10.77%	12.40%	12.06%	12.80%	24.91%	6.05%	7.32%	11.36%	11.35%	12.60%	11.37%	11.04%	10.70%	12.24%	12.60%	11.37%	10.07%	9.25%	10.10%	12.13%	12.79%	9.96%	13.28%	8.61%	7.80%	15.18%	6.04%	6.88%	11.44%	10.36%	10.65%	12.58%	10.91%	11.43%	11.01%	10.59%	9.24%	11.37%	8.22%	6.15%	7.85%	10.84%	7.92%	12.09%	8.02%	8.14%	11.26%	5.25%	6.31%	12.10%	10.79%	10.75%	10.37%	11.19%	12.24%	13.91%	12.11%	7.59%	10.43%	9.95%	11.90%	11.23%	9.73%	9.13%	11.85%	10.16%	12.33%	11.99%	10.12%	9.42%	11.07%	12.21%	9.77%	12.63%	10.22%	10.00%	13.33%	13.53%	14.13%	12.24%	12.59%	12.39%	13.78%	11.10%	7.22%	6.65%	5.55%	14.51%	11.89%	4.95%	11.52%	12.94%	14.37%					
20	Зюганов Геннадий Андреевич	27593	265	163	230	177	280	190	244	202	245	298	179	80	308	204	164	232	153	208	294	122	187	212	230	253	317	246	274	270	258	186	179	109	250	282	235	273	324	290	296	278	305	273	296	269	286	266	379	300	379	213	284	251	319	290	368	320	279	389	334	356	353	264	283	346	365	324	313	307	431	360	314	290	283	329	288	385	228	283	344	282	256	307	303	301	122	282	282	355	326	268	229	281	263	285	351	311	387	335	366	268					
		23.14%	18.43%	19.66%	23.21%	22.41%	26.69%	12.84%	27.60%	24.72%	24.90%	24.29%	30.55%	14.65%	15.52%	14.23%	26.62%	29.59%	20.29%	23.19%	24.04%	18.65%	24.10%	23.43%	21.62%	25.74%	20.09%	21.60%	29.95%	26.16%	24.25%	17.27%	25.68%	21.25%	21.82%	14.80%	15.99%	28.65%	28.20%	30.59%	21.16%	26.38%	29.05%	28.62%	26.13%	29.96%	27.11%	28.76%	19.92%	21.60%	27.56%	23.77%	27.26%	21.18%	28.23%	27.20%	15.35%	16.29%	29.62%	32.55%	26.78%	28.62%	28.84%	22.13%	27.72%	28.31%	19.24%	30.71%	23.95%	27.68%	29.34%	26.53%	24.72%	19.53%	28.47%	30.27%	24.68%	30.20%	28.64%	28.99%	29.99%	20.11%	25.86%	28.53%	29.13%	28.26%	13.20%	24.29%	27.84%	27.58%	26.57%	25.65%	26.47%	11.47%	10.93%	11.55%	26.12%	27.19%	15.84%	23.98%	24.42%	21.63%					
21	Медведев Дмитрий Анатольевич	76458	883	538	613	486	644	1206	500	504	582	752	315	305	1527	1101	369	437	477	567	762	447	479	555	684	609	1086	762	507	610	686	721	437	347	701	1479	1101	542	666	539	892	641	596	547	697	521	628	561	1378	959	813	589	607	819	694	637	1865	1481	524	641	747	705	691	746	571	688	1357	602	821	639	839	823	797	982	586	592	707	728	472	564	628	932	587	627	602	591	644	690	580	728	707	617	513	1952	1952	2010	756	667	1899	857	884	762					
		64.11%	61.40%	64.90%	61.86%	61.52%	61.39%	81.49%	56.56%	61.69%	59.15%	61.29%	53.75%	55.86%	76.97%	76.78%	59.90%	55.74%	63.26%	63.21%	62.31%	68.35%	61.73%	61.33%	64.29%	61.95%	68.82%	66.90%	55.41%	59.11%	64.47%	66.95%	62.70%	67.64%	61.17%	77.64%	74.95%	56.87%	57.96%	56.86%	63.76%	60.82%	56.76%	57.34%	61.52%	58.02%	59.53%	60.65%	72.41%	69.04%	59.13%	65.74%	58.25%	69.11%	61.42%	59.76%	77.77%	75.41%	55.63%	53.64%	59.90%	56.67%	56.45%	62.53%	55.93%	56.30%	71.53%	57.06%	62.82%	57.62%	57.11%	60.65%	62.76%	66.13%	58.95%	54.46%	60.58%	57.10%	59.30%	57.79%	54.75%	66.48%	59.29%	58.27%	57.88%	55.49%	69.70%	59.43%	57.26%	56.57%	57.62%	59.04%	59.31%	79.67%	81.10%	81.44%	56.25%	58.30%	77.73%	61.35%	58.97%	61.50%					
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
