Выборы Президента Российской Федерации																																																																																																											
																																																																																																											
"Наименование Избирательной комиссии:    Самара, Промышленная"																																																																																																											
																																																																																																											
Итоги голосования 																																																																																																											
																																																																																																											
		Сумма	УИК №617	УИК №618	УИК №619	УИК №620	УИК №621	УИК №622	УИК №623	УИК №624	УИК №625	УИК №626	УИК №627	УИК №628	УИК №629	УИК №630	УИК №631	УИК №632	УИК №633	УИК №634	УИК №635	УИК №636	УИК №637	УИК №638	УИК №639	УИК №640	УИК №641	УИК №642	УИК №643	УИК №644	УИК №645	УИК №646	УИК №647	УИК №648	УИК №649	УИК №650	УИК №651	УИК №652	УИК №653	УИК №654	УИК №655	УИК №656	УИК №657	УИК №658	УИК №659	УИК №660	УИК №661	УИК №662	УИК №663	УИК №664	УИК №665	УИК №666	УИК №667	УИК №668	УИК №669	УИК №670	УИК №671	УИК №672	УИК №673	УИК №674	УИК №675	УИК №676	УИК №677	УИК №678	УИК №679	УИК №680	УИК №681	УИК №682	УИК №683	УИК №684	УИК №685	УИК №686	УИК №687	УИК №688	УИК №689	УИК №690	УИК №691	УИК №692	УИК №693	УИК №694	УИК №695	УИК №696	УИК №697	УИК №698	УИК №699	УИК №700	УИК №701	УИК №702	УИК №703	УИК №704	УИК №705	УИК №706	УИК №707	УИК №708	УИК №709	УИК №710	УИК №711	УИК №712	УИК №713	УИК №714	УИК №715	УИК №716					
11	Число полученных открепительных  удостоверений	3910	40	30	40	40	40	40	40	30	30	40	40	40	40	40	40	40	40	40	40	30	40	30	40	40	40	30	40	40	40	40	30	40	40	40	40	39	40	101	100	40	40	40	40	40	40	30	40	40	40	40	40	30	30	40	40	30	40	30	40	30	30	40	40	40	40	40	40	40	40	40	40	40	40	40	30	40	40	40	40	40	30	30	40	30	40	40	40	30	30	40	40	40	40	40	40	30	40	40	40	40					
12	Число выданных открепительных удостоверений	1887	16	9	21	11	26	13	26	13	21	17	7	12	14	15	11	9	17	10	16	5	13	17	12	15	13	17	17	10	14	12	20	15	8	9	11	16	20	97	25	22	25	9	22	22	21	22	24	19	28	13	19	13	14	17	16	23	29	19	34	24	22	19	18	25	23	18	37	40	25	12	28	18	22	15	24	21	14	11	15	15	20	13	19	21	14	16	13	18	29	17	24	15	12	19	15	21	21	36	18	19					
13	"Число избирателей, проголосовавших по открепительным удостоверениям"	1367	11	20	27	25	10	3	13	12	9	7	8	9	12	9	20	21	13	9	11	10	14	21	15	14	126	18	16	7	10	0	19	24	14	9	14	13	12	18	14	13	14	11	12	16	9	11	10	6	11	8	12	12	22	18	10	12	13	14	19	4	9	13	9	17	5	16	15	15	6	9	13	11	12	7	8	4	10	8	8	12	10	13	2	8	14	6	11	23	6	12	19	9	9	12	19	9	23	8	33	20					
14	Число неиспользованных открепительных удостоверений	2023	24	21	19	29	14	27	14	17	9	23	33	28	26	25	29	31	23	30	24	25	27	13	28	25	27	13	23	30	26	28	10	25	32	31	29	23	20	4	75	18	15	31	18	18	19	8	16	21	12	27	21	17	16	23	24	7	11	11	6	6	8	21	22	15	17	22	3	0	15	28	12	22	18	25	6	19	26	29	25	25	10	17	21	9	26	24	27	12	1	23	16	25	28	21	25	9	19	4	22	21					
15	"Число открепительных удостоверений, выданных в ТИК"	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0					
17	Число не учтенных при получении избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
"Число голосов избирателей, поданных за каждый список"																																																																																																											
18	. Глазьев Сергей Юрьевич	6197	43	27	43	37	46	29	50	42	62	54	37	39	69	52	33	53	42	33	65	22	45	57	41	42	48	42	74	65	46	60	40	33	57	38	45	71	99	86	90	62	59	69	68	63	74	61	79	55	89	50	61	88	76	73	71	73	63	74	84	72	72	56	70	77	103	64	84	76	75	66	90	65	60	76	57	93	50	58	73	34	56	67	57	71	50	53	76	90	77	52	52	70	86	89	88	60	79	62	90	52					
		5.38%	3.46%	3.18%	4.25%	4.49%	4.53%	3.31%	4.48%	4.47%	5.51%	4.78%	5.24%	6.31%	5.58%	5.36%	5.37%	5.84%	4.79%	4.29%	5.44%	3.64%	5.01%	5.78%	4.53%	3.83%	3.70%	3.59%	6.18%	6.67%	4.26%	5.01%	4.24%	4.02%	5.25%	3.13%	4.61%	6.43%	7.00%	4.12%	5.98%	5.31%	4.98%	6.33%	5.51%	6.15%	6.53%	5.53%	5.96%	4.84%	6.27%	4.62%	4.77%	6.74%	5.91%	5.62%	5.95%	6.12%	5.67%	5.43%	6.16%	5.56%	5.44%	4.42%	6.56%	5.96%	7.66%	5.71%	5.11%	5.32%	5.91%	5.16%	6.18%	4.61%	5.68%	6.46%	4.46%	6.62%	4.59%	5.45%	6.39%	3.55%	4.99%	5.71%	4.94%	6.22%	5.05%	4.91%	7.40%	6.75%	5.72%	4.66%	5.60%	6.32%	7.15%	7.40%	5.94%	4.93%	5.72%	4.13%	6.92%	4.81%					
19	. Малышкин Олег Александрович	2203	34	22	21	34	25	26	17	14	20	21	10	15	21	22	12	14	12	16	20	21	25	31	14	21	22	25	18	19	20	30	18	16	29	27	30	13	27	50	25	27	16	17	23	14	17	15	35	24	29	25	23	22	25	22	12	27	27	16	18	27	23	21	20	20	23	22	18	26	27	18	31	36	16	20	31	20	11	26	21	20	20	28	16	15	15	29	16	28	28	20	15	20	21	19	27	26	18	30	23	21					
		1.91%	2.74%	2.59%	2.08%	4.13%	2.46%	2.96%	1.52%	1.49%	1.78%	1.86%	1.42%	2.43%	1.70%	2.27%	1.95%	1.54%	1.37%	2.08%	1.68%	3.47%	2.78%	3.14%	1.55%	1.91%	1.70%	2.13%	1.50%	1.95%	1.85%	2.50%	1.91%	1.95%	2.67%	2.22%	3.07%	1.18%	1.91%	2.40%	1.66%	2.31%	1.35%	1.56%	1.86%	1.37%	1.50%	1.36%	2.64%	2.11%	2.04%	2.31%	1.80%	1.69%	1.95%	1.69%	1.01%	2.26%	2.43%	1.17%	1.32%	2.08%	1.74%	1.66%	1.87%	1.55%	1.71%	1.96%	1.09%	1.82%	2.13%	1.41%	2.13%	2.55%	1.51%	1.70%	2.42%	1.42%	1.01%	2.44%	1.84%	2.09%	1.78%	2.39%	1.39%	1.31%	1.51%	2.69%	1.56%	2.10%	2.08%	1.79%	1.61%	1.81%	1.75%	1.58%	1.82%	2.13%	1.30%	2.00%	1.77%	1.94%					
20	. Миронов Сергей Михайлович	1410	21	7	10	11	16	12	14	12	15	20	9	13	8	8	8	5	11	5	17	6	11	11	14	13	18	10	14	12	18	14	11	13	28	22	12	26	14	32	14	14	18	13	19	14	15	10	14	17	12	18	18	14	18	32	18	12	13	17	8	22	10	11	15	22	20	18	25	15	20	17	21	16	11	9	13	16	9	10	9	12	15	7	13	12	10	0	15	12	14	9	8	19	16	11	21	15	8	15	14	6					
		1.22%	1.69%	0.82%	0.99%	1.33%	1.57%	1.37%	1.25%	1.28%	1.33%	1.77%	1.27%	2.10%	0.65%	0.82%	1.30%	0.55%	1.25%	0.65%	1.42%	0.99%	1.22%	1.11%	1.55%	1.19%	1.39%	0.85%	1.17%	1.23%	1.67%	1.17%	1.17%	1.58%	2.58%	1.81%	1.23%	2.35%	0.99%	1.53%	0.93%	1.20%	1.52%	1.19%	1.54%	1.37%	1.32%	0.91%	1.06%	1.50%	0.85%	1.66%	1.41%	1.07%	1.40%	2.46%	1.51%	1.01%	1.17%	1.25%	0.59%	1.70%	0.76%	0.87%	1.41%	1.70%	1.49%	1.61%	1.52%	1.05%	1.57%	1.33%	1.44%	1.13%	1.04%	0.77%	1.02%	1.14%	0.83%	0.94%	0.79%	1.25%	1.34%	0.60%	1.13%	1.05%	1.01%	0.00%	1.46%	0.90%	1.04%	0.81%	0.86%	1.72%	1.33%	0.91%	1.42%	1.23%	0.58%	1.00%	1.08%	0.55%					
21	. Путин Владимир Владимирович	69451	821	572	627	508	577	541	652	594	711	696	431	371	715	615	356	537	564	462	706	408	556	598	585	656	711	743	722	578	709	727	564	514	725	723	627	620	728	1381	1008	701	674	661	750	600	683	673	778	709	833	648	762	842	745	785	699	656	650	777	802	724	801	813	607	685	781	665	1051	862	709	785	875	824	617	691	771	807	661	598	681	579	684	696	684	684	617	683	602	729	780	682	551	694	717	709	901	771	862	936	829	686					
		60.32%	66.16%	67.29%	61.96%	61.65%	56.79%	61.69%	58.37%	63.19%	63.20%	61.59%	61.05%	60.03%	57.85%	63.34%	57.89%	59.14%	64.31%	60.00%	59.13%	67.44%	61.92%	60.59%	64.64%	59.80%	54.86%	63.45%	60.32%	59.34%	65.71%	60.68%	59.75%	62.61%	66.76%	59.51%	64.18%	56.11%	51.49%	66.24%	66.98%	60.07%	56.88%	60.64%	60.78%	58.59%	60.23%	60.96%	58.72%	62.36%	58.70%	59.83%	59.62%	64.52%	57.98%	60.43%	58.54%	54.99%	58.51%	57.01%	58.84%	55.91%	60.50%	64.12%	56.89%	53.06%	58.11%	59.32%	63.93%	60.36%	55.83%	61.38%	60.05%	58.44%	58.37%	58.76%	60.28%	57.48%	60.70%	56.15%	59.63%	60.50%	60.91%	59.34%	59.32%	59.89%	62.26%	63.30%	58.62%	54.65%	57.91%	61.06%	59.31%	62.69%	59.60%	58.94%	60.80%	63.30%	62.46%	62.32%	63.72%	63.40%					
22	. Хакамада Ирина Муцуовна	7011	61	35	54	44	51	40	56	58	62	55	47	54	60	70	45	82	54	45	54	32	41	62	33	48	62	48	41	52	58	64	40	32	46	81	62	81	70	104	72	63	71	51	59	51	83	56	69	73	103	74	84	50	82	63	83	71	74	90	102	119	82	81	67	103	73	59	120	112	107	97	100	101	52	63	73	91	59	58	54	66	79	65	84	67	51	54	73	102	89	77	53	93	87	108	94	70	97	108	104	111					
		6.09%	4.92%	4.12%	5.34%	5.34%	5.02%	4.56%	5.01%	6.17%	5.51%	4.87%	6.66%	8.74%	4.85%	7.21%	7.32%	9.03%	6.16%	5.84%	4.52%	5.29%	4.57%	6.28%	3.65%	4.38%	4.78%	4.10%	3.43%	5.34%	5.38%	5.34%	4.24%	3.90%	4.24%	6.67%	6.35%	7.33%	4.95%	4.99%	4.78%	5.40%	5.99%	4.68%	4.78%	4.98%	7.32%	5.07%	5.21%	6.42%	7.26%	6.83%	6.57%	3.83%	6.38%	4.85%	6.95%	5.95%	6.66%	6.60%	7.48%	9.19%	6.19%	6.39%	6.28%	7.98%	5.43%	5.26%	7.30%	7.84%	8.43%	7.58%	6.86%	7.16%	4.92%	5.36%	5.71%	6.48%	5.42%	5.45%	4.73%	6.90%	7.03%	5.54%	7.29%	5.87%	5.15%	5.00%	7.11%	7.65%	6.61%	6.89%	5.71%	8.40%	7.23%	8.98%	6.34%	5.75%	7.03%	7.19%	7.99%	10.26%					
23	. Харитонов Николай Михайлович	21489	170	134	186	117	234	137	252	166	192	200	124	80	297	133	125	164	135	164	253	72	167	167	170	264	325	219	259	183	171	205	229	162	147	255	144	239	379	310	184	223	290	228	241	230	200	220	285	192	284	191	250	227	257	263	239	274	213	308	277	246	260	206	211	310	255	229	222	241	251	194	229	256	241	227	252	292	232	244	234	188	188	243	233	219	181	188	179	267	262	202	182	143	192	175	260	192	233	222	159	143					
		18.66%	13.70%	15.76%	18.38%	14.20%	23.03%	15.62%	22.56%	17.66%	17.07%	17.70%	17.56%	12.94%	24.03%	13.70%	20.33%	18.06%	15.39%	21.30%	21.19%	11.90%	18.60%	16.92%	18.78%	24.07%	25.08%	18.70%	21.64%	18.79%	15.85%	17.11%	24.26%	19.73%	13.54%	20.99%	14.74%	21.63%	26.80%	14.87%	12.23%	19.11%	24.47%	20.92%	19.53%	22.46%	17.64%	19.93%	21.51%	16.89%	20.01%	17.64%	19.56%	17.39%	20.00%	20.25%	20.02%	22.97%	19.17%	22.60%	20.32%	19.00%	19.64%	16.25%	19.78%	24.01%	18.97%	20.43%	13.50%	16.88%	19.76%	15.17%	15.72%	18.16%	22.80%	19.30%	19.70%	20.80%	21.30%	22.91%	20.49%	19.64%	16.74%	20.72%	20.21%	19.18%	18.26%	17.42%	17.43%	20.01%	19.45%	18.08%	19.59%	12.92%	15.96%	14.55%	17.54%	15.76%	16.88%	14.78%	12.22%	13.22%					
																																																																																																											
24	Против всех	6337	77	39	59	52	58	69	62	47	57	64	40	38	56	62	32	46	47	43	72	38	38	48	40	45	86	67	59	60	49	81	37	36	48	57	45	47	77	102	106	67	55	41	61	46	53	56	56	55	66	72	68	57	72	47	66	69	57	70	62	72	64	72	63	66	76	58	111	90	72	84	92	100	55	77	71	78	57	58	55	56	77	51	54	63	55	66	57	95	78	67	57	61	75	87	81	71	80	115	77	61					
		5.50%	6.20%	4.59%	5.83%	6.31%	5.71%	7.87%	5.55%	5.00%	5.07%	5.66%	5.67%	6.15%	4.53%	6.39%	5.20%	5.07%	5.36%	5.58%	6.03%	6.28%	4.23%	4.86%	4.42%	4.10%	6.64%	5.72%	4.93%	6.16%	4.54%	6.76%	3.92%	4.38%	4.42%	4.69%	4.61%	4.25%	5.45%	4.89%	7.04%	5.74%	4.64%	3.76%	4.94%	4.49%	4.67%	5.07%	4.23%	4.84%	4.65%	6.65%	5.32%	4.37%	5.60%	3.62%	5.53%	5.78%	5.13%	5.14%	4.55%	5.56%	4.83%	5.68%	5.90%	5.11%	5.65%	5.17%	6.75%	6.30%	5.67%	6.57%	6.31%	7.09%	5.20%	6.55%	5.55%	5.56%	5.23%	5.45%	4.82%	5.85%	6.86%	4.35%	4.68%	5.52%	5.55%	6.12%	5.55%	7.12%	5.79%	6.00%	6.14%	5.51%	6.23%	7.23%	5.47%	5.83%	5.80%	7.66%	5.92%	5.64%					
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
