Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																										
Дата голосования: 07.12.2003 0:00:00																										
																										
Наименование Избирательной комиссии:    Дедовичская																										
																										
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																										
																										
		Сумма	УИК  235	УИК  236	УИК  237	УИК  238	УИК  239	УИК  240	УИК  241	УИК  242	УИК  243	УИК  244	УИК  245	УИК  246	УИК  247	УИК  248	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253					
31	"14. ""Великая Россия - Евразийский Союз"""	14	2	1	2	0	0	0	0	3	0	0	0	0	0	2	1	1	0	2	0					
		0.16%	0.16%	0.07%	0.13%	0.0%	0.0%	0.0%	0.0%	1.38%	0.0%	0.0%	0.0%	0.0%	0.0%	1.36%	0.29%	0.4%	0.0%	0.46%	0.0%					
32	"15. ""Партия СЛОН"""	6	1	1	0	0	1	0	0	1	0	1	0	0	0	0	0	0	1	0	0					
		0.07%	0.08%	0.07%	0.0%	0.0%	0.33%	0.0%	0.0%	0.46%	0.0%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.44%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	472	56	158	127	2	11	11	30	3	2	15	2	7	9	7	4	10	7	9	2					
		5.68%	4.63%	11.63%	8.83%	1.6%	3.71%	4.48%	7.97%	1.38%	0.71%	3.48%	0.71%	2.62%	3.55%	4.76%	1.17%	4.0%	3.08%	2.07%	1.48%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	31	3	2	0	0	1	2	6	4	0	4	0	0	2	3	1	0	1	2	0					
		0.37%	0.24%	0.14%	0.0%	0.0%	0.33%	0.81%	1.59%	1.84%	0.0%	0.93%	0.0%	0.0%	0.79%	2.04%	0.29%	0.0%	0.44%	0.46%	0.0%					
35	"18. ""ЛДПР"""	829	129	141	153	7	32	14	47	10	57	21	46	15	30	10	29	18	14	43	13					
		9.98%	10.68%	10.38%	10.64%	5.6%	10.81%	5.71%	12.5%	4.60%	20.50%	4.88%	16.42%	5.61%	11.85%	6.80%	8.55%	7.2%	6.16%	9.90%	9.62%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	354	40	27	62	4	18	19	31	7	18	26	8	10	5	10	27	10	13	11	8					
		4.26%	3.31%	1.98%	4.31%	3.2%	6.08%	7.75%	8.24%	3.22%	6.47%	6.04%	2.85%	3.74%	1.97%	6.80%	7.96%	4.0%	5.72%	2.53%	5.92%					
37	"20. ""Политическая партия ""Единая Россия"""	3819	514	510	587	84	143	156	146	132	110	195	134	182	134	69	192	143	112	199	77					
		46.00%	42.58%	37.55%	40.84%	67.2%	48.31%	63.67%	38.82%	60.82%	39.56%	45.34%	47.85%	68.16%	52.96%	46.93%	56.63%	57.2%	49.33%	45.85%	57.03%					
38	"21. ""Российская Конституционно-демократическая партия"""	16	0	4	2	0	0	2	1	1	1	0	1	1	0	0	0	1	1	1	0					
		0.19%	0.0%	0.29%	0.13%	0.0%	0.0%	0.81%	0.26%	0.46%	0.35%	0.0%	0.35%	0.37%	0.0%	0.0%	0.0%	0.4%	0.44%	0.23%	0.0%					
39	"22. ""Развитие предпринимательства"""	18	4	4	4	0	0	0	2	0	1	1	0	0	0	0	0	0	0	2	0					
		0.21%	0.33%	0.29%	0.27%	0.0%	0.0%	0.0%	0.53%	0.0%	0.35%	0.23%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.46%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1193	255	176	228	9	33	12	46	13	36	119	35	19	30	11	36	26	23	69	17					
		14.37%	21.12%	12.96%	15.86%	7.2%	11.14%	4.89%	12.23%	5.99%	12.94%	27.67%	12.49%	7.11%	11.85%	7.48%	10.61%	10.4%	10.13%	15.89%	12.59%					
																										
41	Против всех	271	33	73	59	2	8	5	15	4	11	8	8	3	3	8	5	1	8	10	7					
		3.26%	2.73%	5.37%	4.10%	1.6%	2.70%	2.04%	3.98%	1.84%	3.95%	1.86%	2.85%	1.12%	1.18%	5.44%	1.47%	0.4%	3.52%	2.30%	5.18%					
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
																										
