Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																										
Дата голосования: 18.09.2016																																																										
																																																										
"Наименование Избирательной комиссии:    Махачкала, Ленинская"																																																										
																																																										
Сводная таблица итогов голосования по федеральному избирательному округу																																																										
																																																										
		Сумма	УИК №1049	УИК №1050	УИК №1051	УИК №1052	УИК №1053	УИК №1054	УИК №1055	УИК №1056	УИК №1057	УИК №1058	УИК №1059	УИК №1060	УИК №1061	УИК №1062	УИК №1063	УИК №1064	УИК №1065	УИК №1066	УИК №1067	УИК №1068	УИК №1069	УИК №1070	УИК №1071	УИК №1072	УИК №1073	УИК №1074	УИК №1075	УИК №1076	УИК №1077	УИК №1078	УИК №1079	УИК №1080	УИК №1081	УИК №1082	УИК №1083	УИК №1084	УИК №1085	УИК №1086	УИК №1087	УИК №1088	УИК №1089	УИК №1090	УИК №1091	УИК №1092	УИК №1093	УИК №1094	УИК №1095									
		0.15%	0.10%	0.11%	0.56%	0.00%	0.35%	0.05%	0.30%	0.29%	0.06%	0.12%	0.15%	0.05%	0.08%	0.00%	0.00%	0.31%	0.09%	0.09%	0.13%	0.10%	0.29%	0.00%	0.06%	0.07%	0.06%	0.00%	0.05%	0.11%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	1.21%	0.12%	0.00%	0.00%	0.17%	0.42%	0.08%	0.14%	0.00%	0.00%	0.26%	0.06%	0.22%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	485	4	36	19	9	3	13	7	9	8	6	38	2	22	0	3	9	1	5	0	4	8	41	8	7	20	2	3	1	28	0	0	0	23	5	0	16	10	0	1	1	30	32	0	22	2	0	27									
		0.62%	0.20%	2.04%	1.53%	0.62%	0.21%	0.65%	0.42%	0.52%	0.45%	0.25%	2.80%	0.10%	1.68%	0.00%	0.28%	0.56%	0.04%	0.46%	0.00%	0.20%	0.47%	2.00%	0.50%	0.52%	1.28%	0.13%	0.15%	0.05%	1.64%	0.00%	0.00%	0.00%	2.86%	0.25%	0.00%	0.97%	0.38%	0.00%	0.06%	0.06%	2.40%	2.20%	0.00%	0.87%	0.08%	0.00%	1.99%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	113	4	2	10	0	4	4	2	5	2	4	7	2	3	0	1	4	1	2	2	2	4	0	9	4	1	0	1	2	0	0	0	0	1	0	0	3	0	0	1	7	2	0	0	0	10	7	0									
		0.14%	0.20%	0.11%	0.80%	0.00%	0.28%	0.20%	0.12%	0.29%	0.11%	0.16%	0.52%	0.10%	0.23%	0.00%	0.09%	0.25%	0.04%	0.19%	0.13%	0.10%	0.23%	0.00%	0.56%	0.30%	0.06%	0.00%	0.05%	0.11%	0.00%	0.00%	0.00%	0.00%	0.12%	0.00%	0.00%	0.18%	0.00%	0.00%	0.06%	0.42%	0.16%	0.00%	0.00%	0.00%	0.38%	0.40%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	154	4	1	9	4	3	3	7	4	0	1	2	20	5	0	1	3	1	5	1	1	3	0	3	3	2	11	4	1	0	0	0	0	5	0	2	2	0	0	6	8	1	3	0	20	3	0	2									
		0.20%	0.20%	0.06%	0.72%	0.27%	0.21%	0.15%	0.42%	0.23%	0.00%	0.04%	0.15%	0.99%	0.38%	0.00%	0.09%	0.19%	0.04%	0.46%	0.07%	0.05%	0.18%	0.00%	0.19%	0.22%	0.13%	0.71%	0.21%	0.05%	0.00%	0.00%	0.00%	0.00%	0.62%	0.00%	0.08%	0.12%	0.00%	0.00%	0.33%	0.48%	0.08%	0.21%	0.00%	0.79%	0.11%	0.00%	0.15%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	105	3	2	4	0	5	0	7	8	1	1	2	5	2	0	0	1	2	2	1	1	4	0	1	1	1	0	9	4	0	0	0	0	3	0	12	4	0	0	3	9	2	1	0	0	3	0	1									
		0.13%	0.15%	0.11%	0.32%	0.00%	0.35%	0.00%	0.42%	0.46%	0.06%	0.04%	0.15%	0.25%	0.15%	0.00%	0.00%	0.06%	0.09%	0.19%	0.07%	0.05%	0.23%	0.00%	0.06%	0.07%	0.06%	0.00%	0.46%	0.22%	0.00%	0.00%	0.00%	0.00%	0.37%	0.00%	0.48%	0.24%	0.00%	0.00%	0.17%	0.54%	0.16%	0.07%	0.00%	0.00%	0.11%	0.00%	0.07%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	506	12	19	82	9	4	0	11	14	3	9	9	70	7	0	2	3	5	7	1	7	18	0	11	9	2	21	5	7	0	0	0	0	8	20	8	7	9	2	2	6	6	8	0	48	7	12	16									
		0.64%	0.60%	1.08%	6.59%	0.62%	0.28%	0.00%	0.66%	0.81%	0.17%	0.37%	0.66%	3.48%	0.53%	0.00%	0.19%	0.19%	0.21%	0.65%	0.07%	0.35%	1.06%	0.00%	0.68%	0.66%	0.13%	1.35%	0.26%	0.38%	0.00%	0.00%	0.00%	0.00%	0.99%	1.00%	0.32%	0.42%	0.34%	0.24%	0.11%	0.36%	0.48%	0.55%	0.00%	1.89%	0.26%	0.68%	1.18%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2292	62	99	123	62	26	55	24	15	28	51	65	60	77	18	21	60	68	42	67	32	41	36	21	22	30	40	32	32	54	70	61	77	60	25	38	25	105	12	40	13	91	114	9	18	85	0	86									
		2.91%	3.12%	5.61%	9.88%	4.26%	1.80%	2.76%	1.45%	0.86%	1.56%	2.10%	4.79%	2.98%	5.88%	1.22%	1.95%	3.75%	2.91%	3.90%	4.36%	1.62%	2.40%	1.76%	1.30%	1.62%	1.91%	2.57%	1.65%	1.75%	3.16%	4.51%	4.48%	5.36%	7.45%	1.25%	1.53%	1.51%	4.01%	1.45%	2.22%	0.78%	7.28%	7.82%	0.84%	0.71%	3.20%	0.00%	6.36%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	769	15	21	24	10	19	5	17	11	5	31	8	15	32	50	23	2	48	10	1	20	5	44	18	16	30	10	16	19	10	0	9	0	28	10	45	11	8	0	20	9	21	25	6	19	13	0	10									
		0.98%	0.76%	1.19%	1.93%	0.69%	1.32%	0.25%	1.02%	0.63%	0.28%	1.28%	0.59%	0.75%	2.44%	3.40%	2.14%	0.13%	2.05%	0.93%	0.07%	1.01%	0.29%	2.15%	1.11%	1.18%	1.91%	0.64%	0.83%	1.04%	0.58%	0.00%	0.66%	0.00%	3.48%	0.50%	1.82%	0.66%	0.31%	0.00%	1.11%	0.54%	1.68%	1.72%	0.56%	0.75%	0.49%	0.00%	0.74%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	1939	35	22	195	8	10	15	26	13	5	77	25	5	15	50	31	15	56	74	13	41	25	43	23	19	30	15	43	44	21	39	53	52	85	70	52	44	104	22	48	14	77	130	38	20	40	0	57									
		2.46%	1.76%	1.25%	15.66%	0.55%	0.69%	0.75%	1.57%	0.75%	0.28%	3.17%	1.84%	0.25%	1.15%	3.40%	2.88%	0.94%	2.40%	6.88%	0.85%	2.08%	1.47%	2.10%	1.42%	1.40%	1.91%	0.96%	2.22%	2.40%	1.23%	2.51%	3.89%	3.62%	10.56%	3.50%	2.10%	2.66%	3.98%	2.65%	2.67%	0.84%	6.16%	8.92%	3.54%	0.79%	1.51%	0.00%	4.22%									
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
																																																										
