Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																						
Дата голосования: 07.12.2003 0:00:00																						
																						
Наименование Избирательной комиссии:    Ковдорская																						
																						
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																						
																						
		Сумма	УИК  249	УИК  250	УИК  251	УИК  252	УИК  253	УИК  254	УИК  255	УИК  256	УИК  257	УИК  258	УИК  259	УИК  260	УИК  261	УИК  262	УИК  263					
23	"6. ""Объединенная Российская партия ""Русь"""	33	1	3	5	2	1	5	4	3	0	1	3	2	2	0	1					
		0.29%	0.09%	0.31%	0.53%	0.20%	0.10%	0.46%	0.43%	0.34%	0.0%	0.10%	0.30%	1.15%	1.16%	0.0%	0.48%					
24	"7. ""Новый курс - Автомобильная Россия"""	90	6	4	4	4	15	15	10	11	6	5	8	1	0	1	0					
		0.79%	0.58%	0.42%	0.42%	0.40%	1.52%	1.39%	1.08%	1.26%	0.59%	0.52%	0.80%	0.57%	0.0%	0.94%	0.0%					
25	"8. ""Народно-республиканская партия России"""	30	1	3	1	1	2	2	0	1	2	9	4	2	1	1	0					
		0.26%	0.09%	0.31%	0.10%	0.10%	0.20%	0.18%	0.0%	0.11%	0.19%	0.94%	0.40%	1.15%	0.58%	0.94%	0.0%					
26	"9. ""Российская экологическая партия ""Зеленые"""	29	2	3	1	3	0	6	2	3	6	3	0	0	0	0	0					
		0.25%	0.19%	0.31%	0.10%	0.30%	0.0%	0.55%	0.21%	0.34%	0.59%	0.31%	0.0%	0.0%	0.0%	0.0%	0.0%					
27	"10. ""Аграрная партия России"""	257	26	19	17	21	18	20	18	17	27	23	31	7	0	2	11					
		2.26%	2.55%	2.02%	1.80%	2.10%	1.82%	1.85%	1.95%	1.95%	2.65%	2.41%	3.11%	4.04%	0.0%	1.88%	5.36%					
28	"11. ""Истинные патриоты России"""	13	0	3	0	2	2	2	1	0	1	0	1	0	1	0	0					
		0.11%	0.0%	0.31%	0.0%	0.20%	0.20%	0.18%	0.10%	0.0%	0.09%	0.0%	0.10%	0.0%	0.58%	0.0%	0.0%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	184	17	15	16	16	32	6	13	10	18	25	6	1	4	1	4					
		1.61%	1.66%	1.59%	1.69%	1.60%	3.24%	0.55%	1.41%	1.14%	1.77%	2.62%	0.60%	0.57%	2.32%	0.94%	1.95%					
30	"13. ""Демократическая партия России"""	20	5	0	2	1	1	3	1	2	0	1	1	2	0	1	0					
		0.17%	0.49%	0.0%	0.21%	0.10%	0.10%	0.27%	0.10%	0.22%	0.0%	0.10%	0.10%	1.15%	0.0%	0.94%	0.0%					
31	"14. ""Великая Россия - Евразийский Союз"""	18	2	2	3	0	0	2	2	2	1	0	2	2	0	0	0					
		0.15%	0.19%	0.21%	0.31%	0.0%	0.0%	0.18%	0.21%	0.22%	0.09%	0.0%	0.20%	1.15%	0.0%	0.0%	0.0%					
32	"15. ""Партия СЛОН"""	16	2	0	1	0	3	2	1	2	3	1	1	0	0	0	0					
		0.14%	0.19%	0.0%	0.10%	0.0%	0.30%	0.18%	0.10%	0.22%	0.29%	0.10%	0.10%	0.0%	0.0%	0.0%	0.0%					
33	"16. ""Родина"" (народно-патриотический союз)"""	1262	167	113	94	132	119	83	117	99	132	123	68	6	5	0	4					
		11.09%	16.38%	12.02%	9.96%	13.25%	12.06%	7.69%	12.73%	11.37%	12.99%	12.92%	6.82%	3.46%	2.90%	0.0%	1.95%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	16	2	0	0	1	2	2	2	0	1	1	3	0	2	0	0					
		0.14%	0.19%	0.0%	0.0%	0.10%	0.20%	0.18%	0.21%	0.0%	0.09%	0.10%	0.30%	0.0%	1.16%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1754	174	144	134	142	151	209	128	123	156	153	146	31	24	16	23					
		15.42%	17.07%	15.31%	14.20%	14.25%	15.31%	19.38%	13.92%	14.13%	15.35%	16.07%	14.65%	17.91%	13.95%	15.09%	11.21%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	215	32	12	18	16	17	16	17	13	20	8	32	4	6	0	4					
		1.89%	3.14%	1.27%	1.90%	1.60%	1.72%	1.48%	1.84%	1.49%	1.96%	0.84%	3.21%	2.31%	3.48%	0.0%	1.95%					
37	"20. ""Политическая партия ""Единая Россия"""	4036	321	335	321	340	295	437	313	320	327	286	417	74	88	52	110					
		35.49%	31.50%	35.63%	34.04%	34.13%	29.91%	40.53%	34.05%	36.78%	32.18%	30.04%	41.86%	42.77%	51.16%	49.05%	53.65%					
38	"21. ""Российская Конституционно-демократическая партия"""	12	1	0	2	2	0	0	2	1	1	2	0	0	1	0	0					
		0.10%	0.09%	0.0%	0.21%	0.20%	0.0%	0.0%	0.21%	0.11%	0.09%	0.21%	0.0%	0.0%	0.58%	0.0%	0.0%					
39	"22. ""Развитие предпринимательства"""	34	1	3	1	8	1	5	2	1	4	3	4	0	1	0	0					
		0.29%	0.09%	0.31%	0.10%	0.80%	0.10%	0.46%	0.21%	0.11%	0.39%	0.31%	0.40%	0.0%	0.58%	0.0%	0.0%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1168	81	80	119	104	113	75	127	96	105	103	96	24	12	17	16					
		10.27%	7.94%	8.51%	12.61%	10.44%	11.46%	6.95%	13.81%	11.03%	10.33%	10.81%	9.63%	13.87%	6.97%	16.03%	7.80%					
																						
41	Против всех	689	55	58	62	59	73	80	43	50	68	71	42	7	5	1	15					
		6.05%	5.39%	6.17%	6.57%	5.92%	7.40%	7.42%	4.67%	5.74%	6.69%	7.45%	4.21%	4.04%	2.90%	0.94%	7.31%					
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
																						
