Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации шестого созыва																																																																																							
Дата голосования: 04.12.2011																																																																																							
																																																																																							
Наименование Избирательной комиссии:    Азовская																																																																																							
																																																																																							
Сводная таблица результатов выборов																																																																																							
																																																																																							
		Сумма	УИК №2025	УИК №2026	УИК №2027	УИК №2028	УИК №2029	УИК №2030	УИК №2031	УИК №2032	УИК №2033	УИК №2034	УИК №2035	УИК №2036	УИК №2037	УИК №2038	УИК №2039	УИК №2040	УИК №2041	УИК №2042	УИК №2043	УИК №2044	УИК №2045	УИК №2046	УИК №2047	УИК №2048	УИК №2049	УИК №2050	УИК №2051	УИК №2052	УИК №2053	УИК №2054	УИК №2055	УИК №2056	УИК №2057	УИК №2058	УИК №2059	УИК №2060	УИК №2061	УИК №2062	УИК №2063	УИК №2064	УИК №2065	УИК №2066	УИК №2067	УИК №2068	УИК №2069	УИК №2070	УИК №2071	УИК №2072	УИК №2073	УИК №2074	УИК №2075	УИК №2076	УИК №2077	УИК №2078	УИК №2079	УИК №2080	УИК №2081	УИК №2082	УИК №2083	УИК №2084	УИК №2085	УИК №2086	УИК №2087	УИК №2088	УИК №2089	УИК №2090	УИК №2091	УИК №2092	УИК №2093	УИК №2094	УИК №2426	УИК №2427	УИК №2428	УИК №2429	УИК №2430	УИК №2431	УИК №2432	УИК №2433	УИК №2585	УИК №2613					
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	1235	15	10	5	10	5	5	5	10	15	10	10	5	20	5	10	5	5	15	20	15	17	30	30	25	45	5	10	10	32	20	20	5	5	10	30	35	30	20	10	27	30	20	10	10	20	10	30	10	10	15	10	5	10	30	22	20	10	5	10	20	20	30	37	30	30	10	10	10	30	10	10	5	5	5	5	5	5	5	40	10					
12	"Число открепительных удостоверений, выданных избирателям на избирательном участке"	945	11	4	2	5	1	5	0	4	12	6	7	4	12	0	6	0	3	15	20	11	16	30	30	25	45	5	10	7	32	18	20	2	1	2	30	30	22	13	4	27	22	10	2	0	17	4	26	8	3	15	4	0	10	28	22	20	4	1	4	4	13	30	37	29	27	10	7	3	27	4	1	0	1	2	1	3	0	1	38	10					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	1171	10	4	5	3	1	1	1	7	11	0	2	8	8	10	6	1	4	44	3	8	5	9	45	42	5	0	11	9	36	7	2	17	1	1	6	15	26	7	4	33	80	4	4	1	4	9	226	9	7	102	4	2	8	20	33	5	17	9	7	9	6	28	5	8	7	4	12	2	25	36	0	0	1	5	0	17	6	1	29	1					
14	Число погашенных неиспользованных открепительных удостоверений	290	4	6	3	5	4	0	5	6	3	4	3	1	8	5	4	5	2	0	0	4	1	0	0	0	0	0	0	3	0	2	0	3	4	8	0	5	8	7	6	0	8	10	8	10	3	6	4	2	7	0	6	5	0	2	0	0	6	4	6	16	7	0	0	1	3	0	3	7	3	6	9	5	4	3	4	2	5	4	2	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	5	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	Число утраченных избирательных бюллетеней	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0					
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																							
19	1. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	4066	10	44	18	8	2	3	2	38	93	32	29	2	114	7	24	10	21	72	43	75	37	150	99	106	107	4	21	5	154	24	29	13	3	14	235	253	172	106	52	206	146	42	21	10	99	23	127	1	1	68	32	7	7	48	10	89	27	13	19	34	66	131	53	10	124	30	38	53	86	7	3	0	5	6	7	5	1	10	164	6					
		9.13%	1.13%	9.91%	8.49%	2.20%	2.41%	1.19%	2.15%	14.18%	14.11%	11.11%	9.15%	1.80%	11.18%	3.55%	5.58%	2.56%	4.85%	11.88%	10.59%	13.91%	5.82%	16.04%	15.33%	12.82%	9.04%	4.65%	2.32%	0.96%	13.34%	3.13%	3.40%	4.69%	2.21%	5.00%	19.14%	20.37%	15.03%	14.54%	13.00%	17.33%	11.64%	10.99%	9.13%	9.35%	13.29%	8.42%	13.86%	0.20%	0.23%	16.71%	5.79%	3.78%	1.04%	6.51%	1.53%	14.17%	13.50%	8.18%	2.59%	4.96%	13.81%	17.37%	4.65%	0.60%	10.21%	5.28%	9.27%	7.48%	9.78%	3.21%	1.23%	0.00%	2.00%	3.17%	3.66%	3.13%	0.79%	5.05%	13.93%	2.84%					
20	"2. Политическая партия ""Либерально-демократическая партия России"""	3508	71	34	4	4	0	5	2	15	64	49	67	8	109	7	22	7	17	69	52	84	40	126	75	103	95	1	14	11	118	40	19	9	9	16	134	126	108	88	36	146	137	43	22	6	98	19	98	1	1	47	31	15	10	43	10	89	21	5	66	11	64	103	31	33	114	20	30	25	89	7	4	1	3	6	13	8	2	12	158	8					
		7.88%	8.00%	7.66%	1.89%	1.10%	0.00%	1.98%	2.15%	5.60%	9.71%	17.01%	21.14%	7.21%	10.69%	3.55%	5.12%	1.79%	3.93%	11.39%	12.81%	15.58%	6.29%	13.48%	11.61%	12.45%	8.02%	1.16%	1.55%	2.10%	10.23%	5.21%	2.23%	3.25%	6.62%	5.71%	10.91%	10.14%	9.44%	12.07%	9.00%	12.28%	10.93%	11.26%	9.57%	5.61%	13.15%	6.96%	10.70%	0.20%	0.23%	11.55%	5.61%	8.11%	1.48%	5.83%	1.53%	14.17%	10.50%	3.14%	9.00%	1.60%	13.39%	13.66%	2.72%	1.98%	9.39%	3.52%	7.32%	3.53%	10.13%	3.21%	1.64%	0.75%	1.20%	3.17%	6.81%	5.00%	1.59%	6.06%	13.42%	3.79%					
21	"3. Политическая партия ""ПАТРИОТЫ РОССИИ"""	272	1	9	0	0	0	0	0	0	5	3	1	2	13	2	0	0	0	2	5	5	6	9	6	2	5	0	3	1	4	10	3	0	0	0	18	17	9	1	0	12	6	3	1	1	6	4	9	0	0	2	6	0	1	3	4	2	0	1	0	1	4	7	8	0	18	2	2	2	6	2	0	0	1	0	1	0	0	0	12	3					
		0.61%	0.11%	2.03%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	1.04%	0.32%	1.80%	1.27%	1.02%	0.00%	0.00%	0.00%	0.33%	1.23%	0.93%	0.94%	0.96%	0.93%	0.24%	0.42%	0.00%	0.33%	0.19%	0.35%	1.30%	0.35%	0.00%	0.00%	0.00%	1.47%	1.37%	0.79%	0.14%	0.00%	1.01%	0.48%	0.79%	0.43%	0.93%	0.81%	1.47%	0.98%	0.00%	0.00%	0.49%	1.08%	0.00%	0.15%	0.41%	0.61%	0.32%	0.00%	0.63%	0.00%	0.15%	0.84%	0.93%	0.70%	0.00%	1.48%	0.35%	0.49%	0.28%	0.68%	0.92%	0.00%	0.00%	0.40%	0.00%	0.52%	0.00%	0.00%	0.00%	1.02%	1.42%					
22	"4. Политическая партия ""Коммунистическая партия Российской Федерации"""	6400	130	104	24	23	3	12	11	26	124	63	61	9	167	10	36	18	24	109	78	22	78	227	139	204	149	5	9	21	310	147	60	17	5	8	281	305	252	167	30	295	251	100	50	20	151	58	245	1	3	68	47	14	10	48	45	109	21	21	110	27	95	183	129	67	229	28	59	19	157	5	3	1	11	2	13	11	1	14	205	6					
		14.38%	14.66%	23.42%	11.32%	6.34%	3.61%	4.74%	11.83%	9.70%	18.82%	21.88%	19.24%	8.11%	16.37%	5.08%	8.37%	4.62%	5.54%	17.99%	19.21%	4.08%	12.26%	24.28%	21.52%	24.67%	12.58%	5.81%	0.99%	4.02%	26.86%	19.14%	7.03%	6.14%	3.68%	2.86%	22.88%	24.56%	22.03%	22.91%	7.50%	24.81%	20.02%	26.18%	21.74%	18.69%	20.27%	21.25%	26.75%	0.20%	0.70%	16.71%	8.50%	7.57%	1.48%	6.51%	6.88%	17.36%	10.50%	13.21%	15.01%	3.94%	19.87%	24.27%	11.33%	4.02%	18.86%	4.93%	14.39%	2.68%	17.86%	2.29%	1.23%	0.75%	4.40%	1.06%	6.81%	6.88%	0.79%	7.07%	17.42%	2.84%					
23	"5. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	601	3	5	0	0	0	1	0	3	12	9	12	2	9	3	0	0	1	16	8	10	8	25	23	13	13	1	3	3	18	11	4	0	0	3	29	50	29	15	2	28	21	4	2	3	13	5	23	1	1	11	2	1	5	8	7	8	3	0	0	2	11	14	12	0	25	0	4	5	7	0	0	0	1	0	2	0	0	0	28	0					
		1.35%	0.34%	1.13%	0.00%	0.00%	0.00%	0.40%	0.00%	1.12%	1.82%	3.13%	3.79%	1.80%	0.88%	1.52%	0.00%	0.00%	0.23%	2.64%	1.97%	1.86%	1.26%	2.67%	3.56%	1.57%	1.10%	1.16%	0.33%	0.57%	1.56%	1.43%	0.47%	0.00%	0.00%	1.07%	2.36%	4.03%	2.53%	2.06%	0.50%	2.35%	1.67%	1.05%	0.87%	2.80%	1.74%	1.83%	2.51%	0.20%	0.23%	2.70%	0.36%	0.54%	0.74%	1.09%	1.07%	1.27%	1.50%	0.00%	0.00%	0.29%	2.30%	1.86%	1.05%	0.00%	2.06%	0.00%	0.98%	0.71%	0.80%	0.00%	0.00%	0.00%	0.40%	0.00%	1.05%	0.00%	0.00%	0.00%	2.38%	0.00%					
24	"6. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	28916	666	236	166	326	78	230	78	174	347	126	139	88	583	167	347	351	366	332	212	324	421	377	295	387	792	75	848	482	536	525	730	238	119	238	496	455	547	337	277	468	662	182	133	66	367	157	382	500	417	195	435	148	643	577	570	312	125	119	535	599	230	301	889	1550	692	483	262	603	518	195	227	131	222	171	154	135	122	159	581	188					
		64.96%	75.08%	53.15%	78.30%	89.81%	93.98%	90.91%	83.87%	64.93%	52.66%	43.75%	43.85%	79.28%	57.16%	84.77%	80.70%	90.00%	84.53%	54.79%	52.22%	60.11%	66.19%	40.32%	45.67%	46.80%	66.89%	87.21%	93.70%	92.16%	46.45%	68.36%	85.58%	85.92%	87.50%	85.00%	40.39%	36.63%	47.81%	46.23%	69.25%	39.36%	52.79%	47.64%	57.83%	61.68%	49.26%	57.51%	41.70%	99.01%	97.89%	47.91%	78.66%	80.00%	95.12%	78.29%	87.16%	49.68%	62.50%	74.84%	72.99%	87.32%	48.12%	39.92%	78.05%	92.98%	57.00%	85.04%	63.90%	85.05%	58.93%	89.45%	93.03%	98.50%	88.80%	90.48%	80.63%	84.38%	96.83%	80.30%	49.36%	89.10%					
25	"7. Всероссийская политическая партия ""ПРАВОЕ ДЕЛО"""	149	0	1	0	0	0	0	0	0	3	0	2	0	3	1	1	2	0	0	1	7	1	5	3	2	3	0	2	0	1	3	1	0	0	1	1	7	6	3	0	9	12	2	1	0	2	0	8	0	0	13	0	0	0	2	1	1	3	0	1	2	2	6	3	0	2	0	0	2	3	2	0	0	0	1	1	1	0	3	6	0					
		0.33%	0.00%	0.23%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.46%	0.00%	0.63%	0.00%	0.29%	0.51%	0.23%	0.51%	0.00%	0.00%	0.25%	1.30%	0.16%	0.53%	0.46%	0.24%	0.25%	0.00%	0.22%	0.00%	0.09%	0.39%	0.12%	0.00%	0.00%	0.36%	0.08%	0.56%	0.52%	0.41%	0.00%	0.76%	0.96%	0.52%	0.43%	0.00%	0.27%	0.00%	0.87%	0.00%	0.00%	3.19%	0.00%	0.00%	0.00%	0.27%	0.15%	0.16%	1.50%	0.00%	0.14%	0.29%	0.42%	0.80%	0.26%	0.00%	0.16%	0.00%	0.00%	0.28%	0.34%	0.92%	0.00%	0.00%	0.00%	0.53%	0.52%	0.63%	0.00%	1.52%	0.51%	0.00%					
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
																																																																																							
