Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																																		
Дата голосования: 02.12.2007																																																																																																		
																																																																																																		
Наименование Избирательной комиссии:    Мытищинская																																																																																																		
																																																																																																		
Сводная таблица результатов выборов																																																																																																		
																																																																																																		
		Сумма	УИК №1482	УИК №1483	УИК №1484	УИК №1485	УИК №1486	УИК №1487	УИК №1488	УИК №1489	УИК №1490	УИК №1491	УИК №1492	УИК №1493	УИК №1494	УИК №1495	УИК №1496	УИК №1497	УИК №1498	УИК №1499	УИК №1500	УИК №1501	УИК №1502	УИК №1503	УИК №1504	УИК №1505	УИК №1506	УИК №1507	УИК №1508	УИК №1509	УИК №1510	УИК №1511	УИК №1512	УИК №1513	УИК №1514	УИК №1515	УИК №1516	УИК №1517	УИК №1518	УИК №1519	УИК №1520	УИК №1521	УИК №1522	УИК №1523	УИК №1524	УИК №1525	УИК №1526	УИК №1527	УИК №1528	УИК №1529	УИК №1530	УИК №1531	УИК №1532	УИК №1533	УИК №1534	УИК №1535	УИК №1536	УИК №1537	УИК №1538	УИК №1539	УИК №1540	УИК №1541	УИК №1542	УИК №1543	УИК №1544	УИК №1545	УИК №1546	УИК №1547	УИК №1548	УИК №1549	УИК №1550	УИК №1551	УИК №1552	УИК №1553	УИК №1554	УИК №1555	УИК №1556	УИК №1557	УИК №1558	УИК №1559	УИК №1560	УИК №1561	УИК №1562	УИК №1563	УИК №1564	УИК №1565	УИК №1566	УИК №1567	УИК №1568	УИК №1569	УИК №1570	УИК №1571	УИК №1572					
11	"Число открепительных удостоверений, полученных участковыми избирательными комиссиями"	3491	30	50	40	80	50	30	50	50	30	45	35	30	50	30	50	50	30	50	50	50	40	50	30	50	30	50	50	50	50	30	50	30	50	50	50	50	50	30	50	50	30	50	30	30	30	20	30	10	30	145	10	60	50	50	10	20	20	30	10	10	10	20	10	35	50	35	10	0	30	30	30	30	30	30	30	50	50	30	50	50	50	30	30	30	30	50	30	50	50	50	36					
12	"Число открепительных удостоверений, выданных избирателям на избирательных участках"	2414	15	33	36	79	31	23	50	27	30	30	30	18	47	27	48	22	17	39	29	20	31	33	15	28	14	23	26	36	34	20	34	18	38	31	29	43	29	18	20	28	19	31	18	28	18	20	22	3	21	122	1	52	36	33	8	18	14	22	3	6	4	19	8	28	50	24	3	0	30	20	16	15	16	14	22	27	44	23	35	28	29	30	30	21	17	31	14	22	30	38	32					
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательных участках"	3102	12	43	24	22	43	13	28	57	16	27	26	18	25	23	27	13	16	10	21	10	46	27	46	19	11	18	18	22	15	16	16	21	27	16	15	43	10	16	14	28	106	16	34	21	27	10	11	8	95	109	9	27	13	27	12	8	37	27	28	11	9	18	154	36	28	170	45	224	6	9	32	23	16	13	85	20	19	13	18	18	11	9	144	65	63	19	25	36	173	18	29					
14	Число погашенных неиспользованных открепительных удостоверений	1077	15	17	4	1	19	7	0	23	0	15	5	12	3	3	2	28	13	11	21	30	9	17	15	22	16	27	24	14	16	10	16	12	12	19	21	7	21	12	30	22	11	19	12	2	12	0	8	7	9	23	9	8	14	17	2	2	6	8	7	4	6	1	2	7	0	11	7	0	0	10	14	15	14	16	8	23	6	7	15	22	21	0	0	9	13	19	16	28	20	12	4					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	76	2	2	0	0	0	0	0	1	1	0	2	3	1	1	1	0	2	4	4	0	1	2	1	1	0	3	0	2	2	1	2	0	0	1	1	4	4	1	1	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	1	0	1	0	0	0	1	0	0	0	0	0	2	3	0	0	1	0	0	1	0	0	1	2	2	3	2	0	1	0	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																																		
18	1.Политическая партия «Аграрная партия России»	3019	42	45	25	51	59	21	56	56	32	28	23	29	45	22	62	33	30	39	42	38	29	67	29	44	47	40	54	63	37	35	54	36	51	40	49	67	42	28	44	35	35	41	19	23	16	5	13	2	9	42	6	45	38	45	16	17	24	31	6	7	7	7	10	39	16	27	9	19	35	30	17	19	21	19	22	58	30	34	43	45	46	34	41	12	19	33	11	38	79	45	45					
		3.38%	3.96%	3.85%	2.13%	2.96%	3.62%	2.83%	3.25%	3.79%	3.20%	3.44%	2.34%	2.55%	3.61%	2.41%	3.93%	2.77%	4.21%	2.69%	3.44%	3.25%	2.61%	4.59%	3.42%	3.55%	5.32%	3.62%	4.85%	4.54%	3.03%	3.71%	4.64%	3.71%	3.51%	2.92%	3.87%	4.60%	3.75%	2.92%	3.27%	3.06%	3.13%	3.12%	2.46%	2.55%	2.23%	0.95%	2.89%	1.33%	3.33%	3.09%	3.45%	2.79%	2.75%	3.08%	3.66%	4.40%	3.81%	4.28%	2.27%	2.33%	4.43%	1.91%	2.64%	3.75%	3.40%	3.17%	6.52%	2.80%	3.73%	3.23%	2.09%	2.46%	3.15%	3.02%	2.52%	4.49%	2.33%	3.87%	3.32%	4.99%	3.94%	3.66%	3.35%	2.39%	2.65%	3.13%	2.16%	3.53%	4.99%	2.97%	4.22%					
19	2.Всероссийская политическая партия «Гражданская Сила»	2002	23	18	37	59	51	16	40	44	32	16	21	18	32	24	21	26	14	37	23	33	39	59	14	23	19	34	17	32	21	20	26	21	41	32	17	40	19	24	60	36	23	48	22	22	18	7	7	1	0	21	2	28	13	16	6	7	6	4	2	7	1	4	6	21	8	12	1	8	49	11	24	21	14	12	22	37	27	16	18	18	21	25	18	10	10	27	17	6	36	27	36					
		2.24%	2.17%	1.54%	3.15%	3.42%	3.13%	2.16%	2.32%	2.97%	3.20%	1.97%	2.14%	1.58%	2.57%	2.63%	1.33%	2.18%	1.97%	2.55%	1.88%	2.82%	3.50%	4.04%	1.65%	1.86%	2.15%	3.08%	1.53%	2.31%	1.72%	2.12%	2.23%	2.16%	2.82%	2.33%	1.34%	2.75%	1.69%	2.50%	4.46%	3.15%	2.06%	3.65%	2.85%	2.44%	2.50%	1.33%	1.56%	0.67%	0.00%	1.55%	1.15%	1.74%	0.94%	1.09%	1.37%	1.81%	0.95%	0.55%	0.76%	2.33%	0.63%	1.09%	1.58%	2.02%	1.70%	1.41%	0.72%	1.18%	5.22%	1.19%	2.95%	2.72%	2.10%	1.90%	2.52%	2.86%	2.10%	1.82%	1.39%	1.99%	1.80%	2.69%	1.47%	1.99%	1.40%	2.56%	3.34%	0.56%	2.27%	1.78%	3.38%					
20	3.Политическая партия «Демократическая партия России»	133	1	3	1	6	2	0	4	2	2	3	0	0	0	2	4	1	0	2	2	1	5	3	1	1	3	3	0	1	2	0	1	2	2	1	4	1	1	2	3	2	1	0	0	1	0	0	0	0	0	3	0	1	2	1	0	2	1	2	0	0	0	2	1	1	0	2	0	2	0	2	0	1	3	3	2	2	1	2	2	0	2	2	4	0	2	3	0	0	3	3	0					
		0.15%	0.09%	0.26%	0.09%	0.35%	0.12%	0.00%	0.23%	0.14%	0.20%	0.37%	0.00%	0.00%	0.00%	0.22%	0.25%	0.08%	0.00%	0.14%	0.16%	0.09%	0.45%	0.21%	0.12%	0.08%	0.34%	0.27%	0.00%	0.07%	0.16%	0.00%	0.09%	0.21%	0.14%	0.07%	0.32%	0.07%	0.09%	0.21%	0.22%	0.17%	0.09%	0.00%	0.00%	0.11%	0.00%	0.00%	0.00%	0.00%	0.00%	0.22%	0.00%	0.06%	0.14%	0.07%	0.00%	0.52%	0.16%	0.28%	0.00%	0.00%	0.00%	0.54%	0.26%	0.10%	0.00%	0.23%	0.00%	0.29%	0.00%	0.22%	0.00%	0.13%	0.45%	0.48%	0.23%	0.15%	0.08%	0.23%	0.15%	0.00%	0.17%	0.22%	0.33%	0.00%	0.28%	0.28%	0.00%	0.00%	0.19%	0.20%	0.00%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	13434	181	158	239	357	284	159	276	189	139	131	163	150	173	113	227	184	106	247	243	168	107	200	133	222	126	168	172	185	198	172	204	167	187	258	230	164	165	126	221	175	234	213	121	132	116	36	36	13	44	139	23	179	174	201	67	35	72	89	36	22	17	52	54	163	31	141	17	98	95	101	132	104	96	86	138	185	205	130	256	147	174	153	196	75	112	163	66	169	236	232	161					
		15.04%	17.06%	13.50%	20.34%	20.72%	17.44%	21.46%	16.02%	12.78%	13.89%	16.11%	16.58%	13.17%	13.88%	12.36%	14.40%	15.45%	14.89%	17.01%	19.90%	14.37%	9.61%	13.69%	15.68%	17.92%	14.27%	15.22%	15.44%	13.33%	16.23%	18.22%	17.53%	17.22%	12.87%	18.82%	18.15%	11.26%	14.72%	13.14%	16.44%	15.31%	20.91%	16.20%	15.67%	14.62%	16.13%	6.82%	8.00%	8.67%	16.30%	10.23%	13.22%	11.10%	12.57%	13.74%	15.33%	9.07%	11.43%	12.29%	13.64%	7.33%	10.76%	14.17%	14.25%	15.66%	6.58%	16.55%	12.32%	14.43%	10.12%	10.88%	16.22%	13.45%	14.41%	13.65%	15.81%	14.32%	15.92%	14.81%	19.78%	16.30%	14.90%	16.49%	16.01%	14.94%	15.64%	15.44%	12.97%	15.68%	14.91%	15.29%	15.10%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	1923	22	26	35	42	28	27	28	36	23	11	16	17	25	25	39	30	16	32	24	28	42	52	11	29	10	22	18	41	16	9	15	15	43	29	27	42	23	16	57	34	32	42	30	45	25	8	12	0	7	24	6	18	11	13	10	4	12	2	2	7	1	7	5	7	7	5	5	6	27	17	15	30	29	14	26	30	22	12	23	14	17	21	29	16	30	14	4	22	23	33	21					
		2.15%	2.07%	2.22%	2.98%	2.44%	1.72%	3.64%	1.63%	2.43%	2.30%	1.35%	1.63%	1.49%	2.01%	2.74%	2.47%	2.52%	2.25%	2.20%	1.97%	2.40%	3.77%	3.56%	1.30%	2.34%	1.13%	1.99%	1.62%	2.95%	1.31%	0.95%	1.29%	1.55%	2.96%	2.12%	2.13%	2.88%	2.05%	1.67%	4.24%	2.97%	2.86%	3.19%	3.89%	4.98%	3.48%	1.52%	2.67%	0.00%	2.59%	1.77%	3.45%	1.12%	0.79%	0.89%	2.29%	1.04%	1.90%	0.28%	0.76%	2.33%	0.63%	1.91%	1.32%	0.67%	1.49%	0.59%	3.62%	0.88%	2.88%	1.83%	1.84%	3.88%	4.35%	2.22%	2.98%	2.32%	1.71%	1.37%	1.78%	1.55%	1.46%	2.26%	2.37%	3.19%	4.19%	1.33%	0.79%	2.04%	1.45%	2.18%	1.97%					
23	6.Политическая партия «Партия социальной справедливости»	351	6	5	4	9	9	5	5	7	6	3	5	6	7	6	5	5	2	5	4	7	2	5	3	6	2	5	5	5	2	9	4	10	8	5	6	8	2	2	5	4	1	4	1	2	3	1	2	0	1	4	1	10	3	3	0	0	5	3	0	1	1	3	1	5	0	2	2	1	3	2	3	5	1	2	2	6	6	2	6	3	4	3	7	0	4	3	2	5	3	5	5					
		0.39%	0.57%	0.43%	0.34%	0.52%	0.55%	0.67%	0.29%	0.47%	0.60%	0.37%	0.51%	0.53%	0.56%	0.66%	0.32%	0.42%	0.28%	0.34%	0.33%	0.60%	0.18%	0.34%	0.35%	0.48%	0.23%	0.45%	0.45%	0.36%	0.16%	0.95%	0.34%	1.03%	0.55%	0.36%	0.47%	0.55%	0.18%	0.21%	0.37%	0.35%	0.09%	0.30%	0.13%	0.22%	0.42%	0.19%	0.44%	0.00%	0.37%	0.29%	0.57%	0.62%	0.22%	0.21%	0.00%	0.00%	0.79%	0.41%	0.00%	0.33%	0.63%	0.82%	0.26%	0.48%	0.00%	0.23%	1.45%	0.15%	0.32%	0.22%	0.37%	0.65%	0.15%	0.32%	0.23%	0.46%	0.47%	0.23%	0.46%	0.33%	0.34%	0.32%	0.57%	0.00%	0.56%	0.28%	0.39%	0.46%	0.19%	0.33%	0.47%					
24	7.Политическая партия «Либерально-демократическая партия России»	7349	68	115	66	190	113	43	179	134	96	54	81	117	107	80	127	85	52	110	90	94	100	107	83	105	61	76	67	109	91	69	77	89	85	112	98	142	98	80	97	72	87	99	58	65	55	20	32	17	27	118	16	138	139	144	31	22	50	66	18	26	8	42	36	108	43	83	9	62	63	74	61	82	51	57	84	97	111	69	89	62	121	77	138	44	62	97	35	106	118	120	93					
		8.23%	6.41%	9.83%	5.62%	11.03%	6.94%	5.80%	10.39%	9.06%	9.59%	6.64%	8.24%	10.27%	8.59%	8.75%	8.06%	7.14%	7.30%	7.58%	7.37%	8.04%	8.98%	7.32%	9.79%	8.47%	6.91%	6.88%	6.01%	7.85%	7.46%	7.31%	6.62%	9.18%	5.85%	8.17%	7.73%	9.75%	8.74%	8.34%	7.22%	6.30%	7.77%	7.53%	7.51%	7.20%	7.65%	3.79%	7.11%	11.33%	10.00%	8.68%	9.20%	8.56%	10.04%	9.84%	7.09%	5.70%	7.94%	9.12%	6.82%	8.67%	5.06%	11.44%	9.50%	10.37%	9.13%	9.74%	6.52%	9.13%	6.71%	7.97%	7.49%	10.61%	7.66%	9.05%	9.62%	7.51%	8.62%	7.86%	6.88%	6.87%	10.36%	8.30%	11.27%	8.76%	8.66%	9.19%	6.88%	9.83%	7.45%	7.91%	8.72%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	7246	81	85	93	127	104	62	117	98	83	71	74	76	103	86	144	119	68	141	109	112	66	117	81	112	80	112	109	123	87	86	106	69	146	97	124	113	89	86	135	86	104	116	69	74	64	34	87	10	21	114	15	101	89	90	27	21	64	75	17	18	13	42	28	58	31	61	14	39	47	79	63	54	58	41	66	87	122	73	100	94	75	71	85	49	43	70	51	99	126	138	82					
		8.11%	7.63%	7.26%	7.91%	7.37%	6.39%	8.37%	6.79%	6.63%	8.29%	8.73%	7.53%	6.67%	8.27%	9.41%	9.14%	9.99%	9.55%	9.71%	8.93%	9.58%	5.93%	8.01%	9.55%	9.04%	9.06%	10.14%	9.78%	8.86%	7.13%	9.11%	9.11%	7.11%	10.05%	7.08%	9.79%	7.76%	7.94%	8.97%	10.04%	7.52%	9.29%	8.82%	8.94%	8.19%	8.90%	6.44%	19.33%	6.67%	7.78%	8.39%	8.62%	6.26%	6.43%	6.15%	6.18%	5.44%	10.16%	10.36%	6.44%	6.00%	8.23%	11.44%	7.39%	5.57%	6.58%	7.16%	10.14%	5.74%	5.01%	8.51%	7.74%	6.99%	8.71%	6.51%	7.56%	6.73%	9.47%	8.31%	7.73%	10.42%	6.42%	7.65%	6.94%	9.76%	6.01%	6.63%	10.02%	9.18%	7.96%	9.10%	7.69%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	1204	14	17	20	31	31	10	20	12	18	11	14	11	19	18	18	9	10	18	14	27	14	27	10	15	12	17	16	25	16	15	30	13	14	20	9	20	16	7	24	11	14	18	9	16	12	3	8	2	6	21	2	21	14	9	1	5	7	5	1	4	1	2	5	13	6	14	3	9	10	16	16	12	15	6	18	19	15	8	15	5	16	8	10	5	6	19	7	16	19	20	19					
		1.35%	1.32%	1.45%	1.70%	1.80%	1.90%	1.35%	1.16%	0.81%	1.80%	1.35%	1.42%	0.97%	1.52%	1.97%	1.14%	0.76%	1.40%	1.24%	1.15%	2.31%	1.26%	1.85%	1.18%	1.21%	1.36%	1.54%	1.44%	1.80%	1.31%	1.59%	2.58%	1.34%	0.96%	1.46%	0.71%	1.37%	1.43%	0.73%	1.79%	0.96%	1.25%	1.37%	1.17%	1.77%	1.67%	0.57%	1.78%	1.33%	2.22%	1.55%	1.15%	1.30%	1.01%	0.62%	0.23%	1.30%	1.11%	0.69%	0.38%	1.33%	0.63%	0.54%	1.32%	1.25%	1.27%	1.64%	2.17%	1.33%	1.06%	1.72%	1.97%	1.55%	2.25%	0.95%	2.06%	1.47%	1.16%	0.91%	1.16%	0.55%	1.37%	0.86%	0.82%	0.99%	0.84%	1.80%	1.38%	1.48%	1.20%	1.32%	1.78%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	48006	580	636	568	753	844	349	929	813	519	436	515	668	650	485	851	637	372	746	604	591	625	723	442	636	475	546	581	715	692	497	586	505	770	720	646	769	609	531	607	606	524	657	407	468	365	404	236	102	146	821	101	1021	857	900	263	260	372	417	173	189	104	175	217	592	320	478	73	406	539	565	420	379	340	359	419	693	685	489	694	468	640	505	632	249	387	585	290	567	854	831	541					
		53.73%	54.67%	54.36%	48.34%	43.70%	51.84%	47.10%	53.92%	54.97%	51.85%	53.63%	52.39%	58.65%	52.17%	53.06%	53.99%	53.48%	52.25%	51.38%	49.47%	50.56%	56.15%	49.49%	52.12%	51.33%	53.79%	49.46%	52.15%	51.51%	56.72%	52.65%	50.34%	52.06%	52.99%	52.52%	50.99%	52.82%	54.33%	55.37%	45.16%	53.02%	46.83%	49.96%	52.72%	51.83%	50.76%	76.52%	52.44%	68.00%	54.07%	60.41%	58.05%	63.30%	61.92%	61.52%	60.18%	67.36%	59.05%	57.60%	65.53%	63.00%	65.82%	47.68%	57.26%	56.87%	67.94%	56.10%	52.90%	59.79%	57.40%	60.88%	51.60%	49.03%	51.05%	56.98%	47.99%	53.64%	53.18%	55.69%	53.63%	51.88%	54.79%	54.42%	51.63%	49.60%	54.05%	55.40%	56.97%	52.60%	53.95%	54.78%	50.75%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	3415	32	44	70	63	74	35	48	62	33	32	55	30	54	47	61	47	34	65	51	50	70	85	27	33	37	48	59	64	40	22	40	35	77	32	35	68	41	48	77	57	46	67	31	47	38	6	13	3	6	20	1	34	28	31	6	10	15	18	6	17	5	25	12	14	8	12	3	18	58	25	57	56	32	22	54	59	45	35	33	36	43	22	41	29	28	29	14	28	60	42	45					
		3.82%	3.02%	3.76%	5.96%	3.66%	4.55%	4.72%	2.79%	4.19%	3.30%	3.94%	5.60%	2.63%	4.33%	5.14%	3.87%	3.95%	4.78%	4.48%	4.18%	4.28%	6.29%	5.82%	3.18%	2.66%	4.19%	4.35%	5.30%	4.61%	3.28%	2.33%	3.44%	3.61%	5.30%	2.33%	2.76%	4.67%	3.66%	5.01%	5.73%	4.99%	4.11%	5.10%	4.02%	5.20%	5.29%	1.14%	2.89%	2.00%	2.22%	1.47%	0.57%	2.11%	2.02%	2.12%	1.37%	2.59%	2.38%	2.49%	2.27%	5.67%	3.16%	6.81%	3.17%	1.34%	1.70%	1.41%	2.17%	2.65%	6.18%	2.69%	7.00%	7.24%	4.80%	3.49%	6.19%	4.57%	3.49%	3.99%	2.55%	3.99%	3.68%	2.37%	3.35%	5.78%	3.91%	2.75%	2.75%	2.60%	3.79%	2.77%	4.22%					
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
																																																																																																		
