Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																	
Дата голосования: 18.09.2016																																																																	
																																																																	
Наименование Избирательной комиссии:    Абанская																																																																	
																																																																	
Сводная таблица итогов голосования по федеральному избирательному округу																																																																	
																																																																	
		Сумма	УИК №770	УИК №771	УИК №772	УИК №773	УИК №774	УИК №775	УИК №776	УИК №777	УИК №778	УИК №779	УИК №780	УИК №781	УИК №782	УИК №783	УИК №784	УИК №785	УИК №786	УИК №787	УИК №788	УИК №789	УИК №790	УИК №791	УИК №792	УИК №793	УИК №794	УИК №795	УИК №796	УИК №797	УИК №798	УИК №799	УИК №800	УИК №801	УИК №802	УИК №803	УИК №804	УИК №805	УИК №806	УИК №807	УИК №808	УИК №809	УИК №810	УИК №811	УИК №812	УИК №813	УИК №814	УИК №815	УИК №816	УИК №817	УИК №818	УИК №2264	УИК №2292	УИК №2293	УИК №2294	УИК №2295									
		45.33%	36.79%	35.52%	34.24%	29.70%	54.05%	49.08%	58.10%	78.95%	66.45%	44.90%	46.85%	70.49%	43.75%	65.71%	79.41%	47.01%	42.22%	37.04%	38.46%	49.01%	56.60%	48.19%	55.74%	38.64%	62.79%	50.00%	43.40%	55.38%	34.78%	39.19%	29.41%	64.10%	56.60%	57.89%	53.64%	41.49%	51.96%	59.38%	73.33%	56.00%	45.33%	33.33%	62.96%	76.47%	30.61%	38.64%	69.52%	58.44%	52.08%	41.25%	53.57%	60.00%	57.78%	55.56%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	42	4	15	3	0	0	1	0	0	0	2	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	2	0	0	0	0	2	0	0	0	0	0	2	2	0	0	0	0	0	2	1	2	0	0	1	0									
		0.59%	0.41%	1.76%	0.63%	0.00%	0.00%	0.46%	0.00%	0.00%	0.00%	0.68%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	2.22%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.63%	0.00%	0.00%	2.70%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.93%	1.90%	0.00%	0.00%	0.00%	0.00%	0.00%	2.60%	2.08%	0.66%	0.00%	0.00%	2.22%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	15	3	3	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	0									
		0.21%	0.30%	0.35%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.34%	0.00%	0.00%	0.00%	1.43%	0.00%	0.00%	0.00%	3.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.32%	0.00%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	1374	163	186	105	16	3	47	23	6	19	52	62	5	7	2	2	31	13	8	8	43	25	23	12	6	13	8	27	13	30	21	5	5	8	7	30	44	18	19	7	5	40	37	10	4	14	8	11	11	2	74	11	7	5	13									
		19.28%	16.57%	21.81%	22.06%	15.84%	8.11%	21.56%	21.90%	10.53%	12.50%	17.69%	16.99%	8.20%	14.58%	2.86%	5.88%	23.13%	28.89%	29.63%	30.77%	21.29%	23.58%	27.71%	19.67%	13.64%	15.12%	22.22%	16.98%	20.00%	26.09%	28.38%	14.71%	12.82%	15.09%	36.84%	19.87%	23.40%	17.65%	14.84%	15.56%	20.00%	18.69%	35.24%	18.52%	23.53%	28.57%	9.09%	10.48%	14.29%	4.17%	24.42%	39.29%	23.33%	11.11%	20.63%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	14	2	3	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	1									
		0.20%	0.20%	0.35%	0.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.64%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.53%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.99%	0.00%	0.00%	0.00%	1.59%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	30	9	3	1	2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	2	0	0	0	0	0	1	1	0	1	0	0	1	1	0	0	0	1	0	0	1	2	0	0	0	0									
		0.42%	0.91%	0.35%	0.21%	1.98%	0.00%	0.46%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	2.41%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.74%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.53%	0.00%	0.78%	0.00%	0.00%	0.47%	0.95%	0.00%	0.00%	0.00%	1.14%	0.00%	0.00%	2.08%	0.66%	0.00%	0.00%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	18	2	4	0	1	0	0	1	0	1	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	2	0	0	0	0									
		0.25%	0.20%	0.47%	0.00%	0.99%	0.00%	0.00%	0.95%	0.00%	0.66%	0.00%	0.00%	0.00%	2.08%	1.43%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.00%	0.00%	0.00%	0.00%	1.16%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	1.85%	0.00%	2.04%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	32	9	5	3	3	1	0	0	0	0	0	2	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	0	2									
		0.45%	0.91%	0.59%	0.63%	2.97%	2.70%	0.00%	0.00%	0.00%	0.00%	0.00%	0.55%	0.00%	0.00%	1.43%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.35%	0.00%	0.00%	0.00%	0.00%	0.66%	0.53%	0.00%	0.00%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	3.17%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	999	146	120	73	26	4	31	7	2	14	53	85	2	1	12	2	16	6	5	4	35	11	6	8	9	3	4	40	12	23	14	5	2	5	0	14	36	15	10	0	2	31	9	5	0	7	14	17	9	12	28	1	1	2	0									
		14.02%	14.84%	14.07%	15.34%	25.74%	10.81%	14.22%	6.67%	3.51%	9.21%	18.03%	23.29%	3.28%	2.08%	17.14%	5.88%	11.94%	13.33%	18.52%	15.38%	17.33%	10.38%	7.23%	13.11%	20.45%	3.49%	11.11%	25.16%	18.46%	20.00%	18.92%	14.71%	5.13%	9.43%	0.00%	9.27%	19.15%	14.71%	7.81%	0.00%	8.00%	14.49%	8.57%	9.26%	0.00%	14.29%	15.91%	16.19%	11.69%	25.00%	9.24%	3.57%	3.33%	4.44%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	58	15	12	5	0	0	0	0	0	4	1	3	0	0	0	0	0	0	0	0	1	1	2	0	0	0	2	0	0	0	0	0	0	1	0	0	2	0	0	1	0	4	2	0	0	0	0	0	0	0	2	0	0	0	0									
		0.81%	1.52%	1.41%	1.05%	0.00%	0.00%	0.00%	0.00%	0.00%	2.63%	0.34%	0.82%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.50%	0.94%	2.41%	0.00%	0.00%	0.00%	5.56%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.89%	0.00%	0.00%	1.06%	0.00%	0.00%	2.22%	0.00%	1.87%	1.90%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.66%	0.00%	0.00%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	695	150	126	78	6	5	18	7	4	3	23	11	2	11	3	0	11	4	2	4	9	8	4	6	2	14	2	7	2	6	6	8	5	2	1	5	8	6	6	2	0	20	6	2	0	12	22	1	5	2	31	1	1	5	10									
		9.75%	15.24%	14.77%	16.39%	5.94%	13.51%	8.26%	6.67%	7.02%	1.97%	7.82%	3.01%	3.28%	22.92%	4.29%	0.00%	8.21%	8.89%	7.41%	15.38%	4.46%	7.55%	4.82%	9.84%	4.55%	16.28%	5.56%	4.40%	3.08%	5.22%	8.11%	23.53%	12.82%	3.77%	5.26%	3.31%	4.26%	5.88%	4.69%	4.44%	0.00%	9.35%	5.71%	3.70%	0.00%	24.49%	25.00%	0.95%	6.49%	4.17%	10.23%	3.57%	3.33%	11.11%	15.87%									
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
																																																																	
