Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																					
Дата голосования: 18.09.2016																					
																					
Наименование Избирательной комиссии:    Мильковская																					
																					
Сводная таблица итогов голосования по федеральному избирательному округу																					
																					
		Сумма	УИК №126	УИК №127	УИК №128	УИК №129	УИК №130	УИК №131	УИК №132	УИК №133	УИК №134	УИК №135									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	3	0	0	0	0	0	0	1	0	0	2									
		0.10%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.91%	0.00%	0.00%	1.40%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	25	0	1	6	9	4	4	0	0	1	0									
		0.82%	0.00%	0.43%	1.10%	1.49%	0.62%	0.92%	0.00%	0.00%	0.44%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	352	3	22	63	63	91	50	14	5	26	15									
		11.60%	5.56%	9.52%	11.52%	10.41%	14.13%	11.52%	12.73%	13.51%	11.35%	10.49%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	23	0	0	5	5	6	4	0	1	2	0									
		0.76%	0.00%	0.00%	0.91%	0.83%	0.93%	0.92%	0.00%	2.70%	0.87%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	98	3	3	23	22	29	9	1	1	5	2									
		3.23%	5.56%	1.30%	4.20%	3.64%	4.50%	2.07%	0.91%	2.70%	2.18%	1.40%									
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
																					
