Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																																																				
Дата голосования: 18.09.2016																																																																																																				
																																																																																																				
Наименование Избирательной комиссии:    Тайшетская																																																																																																				
																																																																																																				
Сводная таблица итогов голосования по федеральному избирательному округу																																																																																																				
																																																																																																				
		Сумма	УИК №1313	УИК №1314	УИК №1315	УИК №1316	УИК №1317	УИК №1318	УИК №1319	УИК №1320	УИК №1321	УИК №1322	УИК №1323	УИК №1324	УИК №1325	УИК №1327	УИК №1328	УИК №1329	УИК №1330	УИК №1331	УИК №1332	УИК №1333	УИК №1334	УИК №1335	УИК №1336	УИК №1337	УИК №1338	УИК №1339	УИК №1340	УИК №1341	УИК №1342	УИК №1343	УИК №1344	УИК №1345	УИК №1346	УИК №1347	УИК №1348	УИК №1349	УИК №1350	УИК №1351	УИК №1352	УИК №1353	УИК №1354	УИК №1355	УИК №1356	УИК №1357	УИК №1358	УИК №1359	УИК №1360	УИК №1361	УИК №1362	УИК №1363	УИК №1364	УИК №1365	УИК №1366	УИК №1367	УИК №1368	УИК №1369	УИК №1370	УИК №1371	УИК №1372	УИК №1373	УИК №1374	УИК №1375	УИК №1376	УИК №1377	УИК №1378	УИК №1379	УИК №1380	УИК №1381	УИК №1382	УИК №1383	УИК №1384	УИК №1385	УИК №1386	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1910									
11	"Число открепительных удостоверений, полученных участковой избирательной комиссией"	806	8	2	2	20	7	20	20	15	20	9	3	2	4	3	2	8	6	2	1	0	0	6	2	10	5	2	5	20	10	2	3	2	10	20	4	7	2	1	8	2	4	2	6	5	2	6	5	2	2	3	20	20	20	20	15	20	15	20	15	20	15	15	4	20	13	20	20	10	2	10	20	20	10	8	3	4	2	3	10	15	5	10	10	12	12	12	12	12	0									
12	"Число открепительных удостоверений, выданных на избирательном участке до дня голосования"	216	2	1	0	1	0	16	2	3	4	9	0	0	0	3	0	1	2	0	1	0	0	0	0	6	5	1	0	0	2	1	0	1	0	0	0	5	1	0	0	1	0	0	0	1	2	0	5	0	0	1	9	5	5	6	10	9	9	0	2	1	4	5	0	2	10	10	7	3	0	1	2	8	3	8	3	2	2	2	0	4	0	2	0	1	1	0	3	0	0									
13	"Число избирателей, проголосовавших по открепительным удостоверениям на избирательном участке"	271	3	2	3	1	2	5	0	0	2	3	3	3	4	0	0	0	2	2	2	3	0	3	1	5	1	2	1	0	0	0	3	2	6	5	1	1	9	0	2	0	4	0	1	2	2	6	3	2	2	4	2	2	3	4	3	2	1	4	2	6	3	3	7	5	0	6	2	0	3	1	1	1	4	6	1	2	2	10	1	0	3	4	2	1	0	0	1	0	65									
14	Число погашенных неиспользованных открепительных удостоверений	590	6	1	2	19	7	4	18	12	16	0	3	2	4	0	2	7	4	2	0	0	0	6	2	4	0	1	5	20	8	1	3	1	10	20	4	2	1	1	8	1	4	2	6	4	0	6	0	2	2	2	11	15	15	14	5	11	6	20	13	19	11	10	4	18	3	10	13	7	2	9	18	12	7	0	0	2	0	1	10	11	5	8	10	11	11	12	9	12	0									
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	126	2	1	1	1	0	3	2	1	4	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	2	3	1	0	0	0	0	1	1	0	0	1	3	0	0	0	9	3	3	7	2	3	2	3	1	3	3	0	2	5	5	2	4	1	0	0	2	2	6	5	0	3	1	0	0	0	0	2	1	2	1	6	5	2	0									
16	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
17	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
18	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																				
19	"1. ВСЕРОССИЙСКАЯ ПОЛИТИЧЕСКАЯ ПАРТИЯ ""РОДИНА"""	254	5	1	0	5	1	9	4	4	8	1	1	1	3	2	0	3	2	1	2	1	0	1	1	2	5	0	2	6	6	1	4	0	3	4	0	1	1	0	3	0	4	3	0	4	0	1	0	1	0	0	7	7	7	6	5	8	4	4	9	3	12	9	2	3	4	2	2	1	2	5	3	5	9	0	1	0	2	5	1	5	2	2	1	1	3	2	3	0	0									
		1.17%	2.04%	0.97%	0.00%	1.27%	0.83%	1.59%	1.13%	1.29%	1.44%	0.44%	1.00%	2.38%	1.38%	1.20%	0.00%	1.34%	0.79%	1.06%	2.99%	12.50%	0.00%	0.69%	2.33%	0.61%	2.86%	0.00%	1.96%	1.51%	2.31%	1.12%	2.22%	0.00%	1.17%	0.97%	0.00%	1.79%	0.82%	0.00%	1.21%	0.00%	2.78%	3.37%	0.00%	1.50%	0.00%	0.59%	0.00%	1.52%	0.00%	0.00%	1.18%	1.51%	1.26%	0.99%	1.39%	1.44%	1.34%	0.78%	1.92%	0.48%	2.43%	2.64%	2.02%	1.20%	1.15%	0.48%	0.39%	0.38%	3.92%	2.03%	0.75%	1.43%	2.62%	0.00%	4.00%	0.00%	3.33%	3.52%	0.55%	1.40%	0.90%	0.56%	0.33%	0.44%	0.93%	0.71%	1.09%	0.00%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	979	19	2	5	20	4	19	17	12	19	13	2	0	7	8	2	19	12	4	1	1	0	12	2	16	2	4	3	14	12	4	21	2	18	12	8	3	6	4	14	4	9	4	7	10	8	6	4	3	0	11	28	25	16	24	19	26	16	19	24	22	22	15	2	8	13	24	24	11	2	12	25	10	18	15	1	9	3	11	6	28	5	10	19	11	16	11	13	6	1									
		4.51%	7.76%	1.94%	7.04%	5.06%	3.31%	3.36%	4.80%	3.86%	3.42%	5.70%	2.00%	0.00%	3.23%	4.79%	2.86%	8.48%	4.76%	4.26%	1.49%	12.50%	0.00%	8.28%	4.65%	4.91%	1.14%	6.90%	2.94%	3.53%	4.62%	4.49%	11.67%	3.08%	7.00%	2.90%	2.51%	5.36%	4.92%	3.96%	5.65%	6.06%	6.25%	4.49%	3.57%	3.75%	10.67%	3.55%	2.65%	4.55%	0.00%	8.40%	4.71%	5.39%	2.88%	3.98%	5.28%	4.69%	5.37%	3.70%	5.12%	3.54%	4.46%	4.40%	2.02%	3.19%	3.75%	5.78%	4.68%	4.23%	3.92%	4.88%	6.27%	2.86%	5.25%	5.91%	4.00%	6.72%	5.00%	7.75%	3.31%	7.82%	2.26%	2.78%	6.29%	4.89%	4.95%	3.91%	4.74%	2.22%	0.54%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	525	4	1	2	11	5	25	10	10	21	3	2	1	7	4	2	4	2	0	1	0	0	1	1	1	3	0	3	4	7	1	4	0	9	6	5	0	2	2	3	0	12	6	5	7	2	4	3	0	0	3	10	10	18	15	18	17	10	17	20	14	13	6	3	7	9	11	5	4	0	5	5	7	5	12	0	1	1	4	4	7	2	11	5	8	8	6	6	12	0									
		2.42%	1.63%	0.97%	2.82%	2.78%	4.13%	4.42%	2.82%	3.22%	3.78%	1.32%	2.00%	2.38%	3.23%	2.40%	2.86%	1.79%	0.79%	0.00%	1.49%	0.00%	0.00%	0.69%	2.33%	0.31%	1.71%	0.00%	2.94%	1.01%	2.69%	1.12%	2.22%	0.00%	3.50%	1.45%	1.57%	0.00%	1.64%	1.98%	1.21%	0.00%	8.33%	6.74%	2.55%	2.62%	2.67%	2.37%	1.99%	0.00%	0.00%	2.29%	1.68%	2.16%	3.24%	2.49%	5.00%	3.07%	3.36%	3.31%	4.26%	2.25%	2.64%	1.76%	3.03%	2.79%	2.59%	2.65%	0.97%	1.54%	0.00%	2.03%	1.25%	2.00%	1.46%	4.72%	0.00%	0.75%	1.67%	2.82%	2.21%	1.96%	0.90%	3.06%	1.66%	3.56%	2.48%	2.14%	2.19%	4.44%	0.00%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	8546	92	50	25	135	34	194	118	106	204	100	56	25	106	54	46	63	87	46	38	1	4	78	25	128	75	28	48	190	117	60	65	24	108	198	158	37	55	65	92	25	45	46	114	123	21	81	51	28	23	47	169	181	199	196	133	202	100	173	158	264	173	124	33	97	139	132	159	85	22	81	122	124	116	108	15	74	24	88	105	134	152	150	108	89	107	93	95	103	180									
		39.34%	37.55%	48.54%	35.21%	34.18%	28.10%	34.34%	33.33%	34.08%	36.69%	43.86%	56.00%	59.52%	48.85%	32.34%	65.71%	28.13%	34.52%	48.94%	56.72%	12.50%	40.00%	53.79%	58.14%	39.26%	42.86%	48.28%	47.06%	47.86%	45.00%	67.42%	36.11%	36.92%	42.02%	47.83%	49.53%	66.07%	45.08%	64.36%	37.10%	37.88%	31.25%	51.69%	58.16%	46.07%	28.00%	47.93%	33.77%	42.42%	30.67%	35.88%	28.40%	39.01%	35.86%	32.50%	36.94%	36.46%	33.56%	33.72%	33.69%	42.51%	35.09%	36.36%	33.33%	38.65%	40.06%	31.81%	30.99%	32.69%	43.14%	32.93%	30.58%	35.43%	33.82%	42.52%	60.00%	55.22%	40.00%	61.97%	58.01%	37.43%	68.78%	41.67%	35.76%	39.56%	33.13%	33.10%	34.67%	38.15%	96.77%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	109	1	1	0	2	1	1	1	0	4	0	1	0	2	4	1	1	2	0	0	0	0	0	0	2	1	0	0	2	0	1	2	0	0	2	2	2	0	0	2	0	2	1	0	3	2	0	1	0	2	0	0	2	0	2	4	5	3	2	1	4	2	2	0	3	2	1	6	1	2	0	1	1	2	3	0	0	2	0	1	2	0	2	3	0	0	0	1	0	0									
		0.50%	0.41%	0.97%	0.00%	0.51%	0.83%	0.18%	0.28%	0.00%	0.72%	0.00%	1.00%	0.00%	0.92%	2.40%	1.43%	0.45%	0.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.61%	0.57%	0.00%	0.00%	0.50%	0.00%	1.12%	1.11%	0.00%	0.00%	0.48%	0.63%	3.57%	0.00%	0.00%	0.81%	0.00%	1.39%	1.12%	0.00%	1.12%	2.67%	0.00%	0.66%	0.00%	2.67%	0.00%	0.00%	0.43%	0.00%	0.33%	1.11%	0.90%	1.01%	0.39%	0.21%	0.64%	0.41%	0.59%	0.00%	1.20%	0.58%	0.24%	1.17%	0.38%	3.92%	0.00%	0.25%	0.29%	0.58%	1.18%	0.00%	0.00%	3.33%	0.00%	0.55%	0.56%	0.00%	0.56%	0.99%	0.00%	0.00%	0.00%	0.36%	0.00%	0.00%									
24	"6. Политическая партия ""Гражданская Платформа"""	52	0	0	1	0	0	0	0	2	2	3	0	0	4	0	1	0	0	1	2	0	0	0	0	0	1	0	0	2	1	0	1	0	1	1	2	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	3	2	1	1	2	0	0	0	2	1	0	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	1	0	0	0	1	0	2	3	1	0	0									
		0.24%	0.00%	0.00%	1.41%	0.00%	0.00%	0.00%	0.00%	0.64%	0.36%	1.32%	0.00%	0.00%	1.84%	0.00%	1.43%	0.00%	0.00%	1.06%	2.99%	0.00%	0.00%	0.00%	0.00%	0.00%	0.57%	0.00%	0.00%	0.50%	0.38%	0.00%	0.56%	0.00%	0.39%	0.24%	0.63%	0.00%	0.00%	0.99%	0.40%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.17%	0.65%	0.36%	0.17%	0.28%	0.36%	0.00%	0.00%	0.00%	0.32%	0.20%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.41%	0.00%	0.57%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.55%	0.00%	0.00%	0.00%	0.33%	0.00%	0.62%	1.07%	0.36%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	4671	44	26	21	81	24	140	71	68	94	53	31	11	39	60	7	46	55	17	7	0	3	20	5	86	49	20	16	98	45	10	21	8	43	102	87	9	25	7	49	25	44	14	34	70	8	36	41	23	16	28	143	89	111	137	76	119	67	123	89	129	94	64	18	63	75	104	119	67	6	61	112	84	71	68	5	20	13	19	22	60	17	79	67	51	84	72	65	66	5									
		21.50%	17.96%	25.24%	29.58%	20.51%	19.83%	24.78%	20.06%	21.86%	16.91%	23.25%	31.00%	26.19%	17.97%	35.93%	10.00%	20.54%	21.83%	18.09%	10.45%	0.00%	30.00%	13.79%	11.63%	26.38%	28.00%	34.48%	15.69%	24.69%	17.31%	11.24%	11.67%	12.31%	16.73%	24.64%	27.27%	16.07%	20.49%	6.93%	19.76%	37.88%	30.56%	15.73%	17.35%	26.22%	10.67%	21.30%	27.15%	34.85%	21.33%	21.37%	24.03%	19.18%	20.00%	22.72%	21.11%	21.48%	22.48%	23.98%	18.98%	20.77%	19.07%	18.77%	18.18%	25.10%	21.61%	25.06%	23.20%	25.77%	11.76%	24.80%	28.07%	24.00%	20.70%	26.77%	20.00%	14.93%	21.67%	13.38%	12.15%	16.76%	7.69%	21.94%	22.19%	22.67%	26.01%	25.62%	23.72%	24.44%	2.69%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	87	1	1	0	4	1	3	1	2	4	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	2	0	1	0	0	0	1	0	1	0	0	0	0	0	0	1	2	3	3	11	3	2	0	0	1	1	2	3	0	0	6	5	0	1	0	0	0	3	3	2	0	1	0	0	0	0	1	0	1	1	2	0	1	0	0									
		0.40%	0.41%	0.97%	0.00%	1.01%	0.83%	0.53%	0.28%	0.64%	0.72%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.79%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.11%	0.00%	0.00%	0.00%	0.63%	0.00%	0.82%	0.00%	0.00%	0.00%	0.69%	0.00%	0.51%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.76%	0.34%	0.65%	0.54%	1.82%	0.83%	0.36%	0.00%	0.00%	0.21%	0.16%	0.41%	0.88%	0.00%	0.00%	1.73%	1.20%	0.00%	0.38%	0.00%	0.00%	0.00%	0.86%	0.87%	0.79%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.45%	0.00%	0.33%	0.44%	0.62%	0.00%	0.36%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	290	1	2	0	7	1	9	5	3	10	3	0	0	2	1	0	0	0	0	2	0	0	0	0	6	0	0	6	7	1	0	1	0	1	5	2	2	1	4	0	0	0	1	0	0	0	1	5	1	2	0	17	7	14	5	11	9	4	14	10	15	9	6	0	3	8	6	10	3	0	3	4	12	3	0	0	0	0	0	0	1	1	0	0	2	3	7	9	2	0									
		1.34%	0.41%	1.94%	0.00%	1.77%	0.83%	1.59%	1.41%	0.96%	1.80%	1.32%	0.00%	0.00%	0.92%	0.60%	0.00%	0.00%	0.00%	0.00%	2.99%	0.00%	0.00%	0.00%	0.00%	1.84%	0.00%	0.00%	5.88%	1.76%	0.38%	0.00%	0.56%	0.00%	0.39%	1.21%	0.63%	3.57%	0.82%	3.96%	0.00%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.59%	3.31%	1.52%	2.67%	0.00%	2.86%	1.51%	2.52%	0.83%	3.06%	1.62%	1.34%	2.73%	2.13%	2.42%	1.83%	1.76%	0.00%	1.20%	2.31%	1.45%	1.95%	1.15%	0.00%	1.22%	1.00%	3.43%	0.87%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.28%	0.45%	0.00%	0.00%	0.89%	0.93%	2.49%	3.28%	0.74%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	39	1	0	0	0	0	1	0	0	0	0	1	0	1	0	0	2	2	0	1	0	0	0	1	1	1	0	0	1	0	0	0	0	2	0	0	0	1	0	0	1	2	0	0	0	0	1	0	0	0	0	1	0	2	0	0	0	1	0	1	1	0	1	0	0	0	2	1	0	0	0	1	0	0	0	0	1	0	1	1	0	0	1	0	0	0	1	2	1	0									
		0.18%	0.41%	0.00%	0.00%	0.00%	0.00%	0.18%	0.00%	0.00%	0.00%	0.00%	1.00%	0.00%	0.46%	0.00%	0.00%	0.89%	0.79%	0.00%	1.49%	0.00%	0.00%	0.00%	2.33%	0.31%	0.57%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.82%	0.00%	0.00%	1.52%	1.39%	0.00%	0.00%	0.00%	0.00%	0.59%	0.00%	0.00%	0.00%	0.00%	0.17%	0.00%	0.36%	0.00%	0.00%	0.00%	0.34%	0.00%	0.21%	0.16%	0.00%	0.29%	0.00%	0.00%	0.00%	0.48%	0.19%	0.00%	0.00%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.70%	0.55%	0.00%	0.00%	0.28%	0.00%	0.00%	0.00%	0.36%	0.73%	0.37%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	127	2	0	0	6	1	2	2	4	4	0	0	0	1	1	0	1	3	0	0	0	0	1	0	1	1	1	2	1	3	0	0	0	4	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	3	4	2	0	6	4	3	7	3	5	5	0	0	0	3	1	2	1	0	6	1	5	1	0	0	0	1	1	1	0	2	0	2	3	5	4	1	0									
		0.58%	0.82%	0.00%	0.00%	1.52%	0.83%	0.35%	0.56%	1.29%	0.72%	0.00%	0.00%	0.00%	0.46%	0.60%	0.00%	0.45%	1.19%	0.00%	0.00%	0.00%	0.00%	0.69%	0.00%	0.31%	0.57%	1.72%	1.96%	0.25%	1.15%	0.00%	0.00%	0.00%	1.56%	0.24%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%	1.12%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.33%	0.00%	0.00%	0.65%	0.72%	0.33%	0.00%	1.08%	1.34%	0.58%	1.49%	0.48%	1.01%	1.47%	0.00%	0.00%	0.00%	0.72%	0.19%	0.77%	1.96%	0.00%	1.50%	0.29%	1.46%	0.39%	0.00%	0.00%	0.00%	0.70%	0.55%	0.28%	0.00%	0.56%	0.00%	0.89%	0.93%	1.78%	1.46%	0.37%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	4786	68	13	14	103	43	129	101	81	149	36	3	4	10	18	9	65	74	23	11	4	3	30	7	61	25	3	14	51	51	9	50	28	48	63	33	2	27	17	69	7	15	10	31	31	29	26	41	8	28	30	189	108	144	157	60	119	71	118	119	135	132	86	34	48	80	108	161	73	14	65	90	81	86	35	3	21	7	8	31	100	22	88	83	53	76	58	57	61	0									
		22.03%	27.76%	12.62%	19.72%	26.08%	35.54%	22.83%	28.53%	26.05%	26.80%	15.79%	3.00%	9.52%	4.61%	10.78%	12.86%	29.02%	29.37%	24.47%	16.42%	50.00%	30.00%	20.69%	16.28%	18.71%	14.29%	5.17%	13.73%	12.85%	19.62%	10.11%	27.78%	43.08%	18.68%	15.22%	10.34%	3.57%	22.13%	16.83%	27.82%	10.61%	10.42%	11.24%	15.82%	11.61%	38.67%	15.38%	27.15%	12.12%	37.33%	22.90%	31.76%	23.28%	25.95%	26.04%	16.67%	21.48%	23.83%	23.00%	25.37%	21.74%	26.77%	25.22%	34.34%	19.12%	23.05%	26.02%	31.38%	28.08%	27.45%	26.42%	22.56%	23.14%	25.07%	13.78%	12.00%	15.67%	11.67%	5.63%	17.13%	27.93%	9.95%	24.44%	27.48%	23.56%	23.53%	20.64%	20.80%	22.59%	0.00%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	128	1	0	0	1	2	3	2	6	2	0	0	0	2	0	1	3	1	0	0	0	0	0	0	1	4	2	0	2	0	0	0	1	3	2	1	0	0	0	0	0	3	0	2	1	0	0	1	0	0	4	4	0	3	3	3	1	2	5	6	3	5	1	1	2	1	1	5	0	0	0	3	1	2	0	0	0	1	0	0	2	0	5	5	2	4	2	3	1	0									
