Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации седьмого созыва																																																																								
Дата голосования: 18.09.2016																																																																								
																																																																								
Наименование Избирательной комиссии:    Барабинская																																																																								
																																																																								
Сводная таблица итогов голосования по федеральному избирательному округу																																																																								
																																																																								
		Сумма	УИК №43	УИК №44	УИК №45	УИК №46	УИК №47	УИК №48	УИК №49	УИК №50	УИК №51	УИК №52	УИК №53	УИК №54	УИК №55	УИК №56	УИК №57	УИК №58	УИК №59	УИК №60	УИК №61	УИК №62	УИК №63	УИК №64	УИК №65	УИК №66	УИК №67	УИК №68	УИК №70	УИК №71	УИК №72	УИК №73	УИК №74	УИК №75	УИК №76	УИК №77	УИК №78	УИК №79	УИК №80	УИК №81	УИК №82	УИК №83	УИК №84	УИК №85	УИК №86	УИК №87	УИК №88	УИК №90	УИК №91	УИК №92	УИК №93	УИК №94	УИК №96	УИК №97	УИК №98	УИК №99	УИК №100	УИК №101	УИК №102	УИК №103	УИК №104	УИК №105	УИК №106									
		2.89%	3.87%	5.40%	2.54%	3.47%	4.95%	2.73%	2.95%	7.50%	3.86%	3.97%	3.22%	9.12%	2.69%	8.05%	2.47%	1.39%	3.38%	9.97%	0.00%	1.79%	1.63%	0.59%	0.85%	1.44%	0.00%	0.00%	1.29%	0.00%	2.02%	0.47%	1.63%	0.00%	2.83%	0.00%	0.00%	0.45%	0.94%	0.00%	0.95%	2.80%	0.86%	0.00%	0.00%	1.53%	0.00%	2.33%	0.00%	2.39%	0.99%	1.69%	0.77%	0.00%	2.63%	0.92%	1.92%	0.00%	2.86%	0.00%	1.20%	1.56%	0.00%									
20	2. Политическая партия КОММУНИСТИЧЕСКАЯ ПАРТИЯ КОММУНИСТЫ РОССИИ	530	21	25	9	25	21	12	17	11	9	12	16	17	19	18	12	10	13	9	6	23	15	14	6	3	2	3	16	4	5	8	4	3	6	9	1	10	3	2	16	1	2	6	4	9	1	18	1	10	1	0	3	8	6	8	1	0	7	2	4	0	3									
		3.56%	5.08%	3.29%	3.26%	3.47%	2.42%	3.28%	3.86%	2.75%	2.48%	4.33%	4.29%	4.56%	4.26%	5.57%	2.96%	3.47%	4.00%	2.49%	1.99%	6.87%	4.08%	4.13%	1.71%	2.16%	1.96%	2.33%	5.16%	4.17%	5.05%	3.77%	3.25%	2.52%	5.66%	5.06%	0.89%	4.50%	2.83%	3.51%	5.08%	0.93%	1.72%	4.65%	5.97%	3.45%	0.96%	5.98%	1.28%	4.78%	0.99%	0.00%	1.15%	5.97%	7.89%	3.69%	1.92%	0.00%	3.33%	3.70%	1.59%	0.00%	4.05%									
21	"3. Политическая партия ""Российская партия пенсионеров за справедливость"""	253	5	12	4	24	21	6	7	4	5	1	11	8	7	5	6	0	8	12	2	6	5	4	6	3	0	2	10	1	2	5	4	0	0	1	1	1	2	0	7	3	0	4	0	2	0	6	1	0	5	0	6	2	2	1	5	0	3	1	3	0	1									
		1.70%	1.21%	1.58%	1.45%	3.33%	2.42%	1.64%	1.59%	1.00%	1.38%	0.36%	2.95%	2.14%	1.57%	1.55%	1.48%	0.00%	2.46%	3.32%	0.66%	1.79%	1.36%	1.18%	1.71%	2.16%	0.00%	1.55%	3.23%	1.04%	2.02%	2.36%	3.25%	0.00%	0.00%	0.56%	0.89%	0.45%	1.89%	0.00%	2.22%	2.80%	0.00%	3.10%	0.00%	0.77%	0.00%	1.99%	1.28%	0.00%	4.95%	0.00%	2.30%	1.49%	2.63%	0.46%	9.62%	0.00%	1.43%	1.85%	1.20%	0.00%	1.35%									
22	"4. Всероссийская политическая партия ""ЕДИНАЯ РОССИЯ"""	5277	166	247	84	212	279	121	137	115	117	91	97	97	132	110	109	106	96	90	109	108	114	114	125	58	47	39	113	53	37	89	50	47	55	87	56	80	37	19	122	41	56	54	29	126	56	119	38	98	50	27	122	38	18	89	24	22	79	21	130	46	29									
		35.48%	40.19%	32.54%	30.43%	29.44%	32.14%	33.06%	31.14%	28.75%	32.23%	32.85%	26.01%	26.01%	29.60%	34.06%	26.91%	36.81%	29.54%	24.93%	36.09%	32.24%	30.98%	33.63%	35.61%	41.73%	46.08%	30.23%	36.45%	55.21%	37.37%	41.98%	40.65%	39.50%	51.89%	48.88%	50.00%	36.04%	34.91%	33.33%	38.73%	38.32%	48.28%	41.86%	43.28%	48.28%	53.85%	39.53%	48.72%	46.89%	49.50%	45.76%	46.74%	28.36%	23.68%	41.01%	46.15%	42.31%	37.62%	38.89%	51.79%	71.88%	39.19%									
23	"5. Политическая партия ""Российская экологическая партия ""Зеленые"""	93	2	7	1	4	6	1	3	1	1	0	3	2	5	0	1	2	1	1	1	3	1	0	22	0	0	0	3	2	0	3	0	0	0	0	0	1	1	1	0	0	0	0	0	0	0	1	0	2	1	1	2	0	0	1	0	0	2	0	2	1	1									
		0.63%	0.48%	0.92%	0.36%	0.56%	0.69%	0.27%	0.68%	0.25%	0.28%	0.00%	0.80%	0.54%	1.12%	0.00%	0.25%	0.69%	0.31%	0.28%	0.33%	0.90%	0.27%	0.00%	6.27%	0.00%	0.00%	0.00%	0.97%	2.08%	0.00%	1.42%	0.00%	0.00%	0.00%	0.00%	0.00%	0.45%	0.94%	1.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.96%	0.99%	1.69%	0.77%	0.00%	0.00%	0.46%	0.00%	0.00%	0.95%	0.00%	0.80%	1.56%	1.35%									
24	"6. Политическая партия ""Гражданская Платформа"""	25	0	0	0	0	2	0	0	1	0	1	2	0	0	0	0	0	1	3	1	2	0	0	0	1	0	1	1	0	0	1	0	0	0	0	0	2	0	1	1	0	0	0	0	0	2	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0									
		0.17%	0.00%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.25%	0.00%	0.36%	0.54%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.83%	0.33%	0.60%	0.00%	0.00%	0.00%	0.72%	0.00%	0.78%	0.32%	0.00%	0.00%	0.47%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.00%	1.75%	0.32%	0.00%	0.00%	0.00%	0.00%	0.00%	1.92%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
25	7. Политическая партия ЛДПР - Либерально-демократическая партия России	3827	120	210	100	176	163	103	93	98	88	81	81	70	99	80	115	74	96	96	82	93	110	95	115	56	27	58	68	27	36	44	12	28	17	42	28	69	32	10	61	28	33	29	17	44	20	67	22	65	19	23	63	33	11	85	13	21	64	17	60	9	31									
		25.73%	29.06%	27.67%	36.23%	24.44%	18.78%	28.14%	21.14%	24.50%	24.24%	29.24%	21.72%	18.77%	22.20%	24.77%	28.40%	25.69%	29.54%	26.59%	27.15%	27.76%	29.89%	28.02%	32.76%	40.29%	26.47%	44.96%	21.94%	28.13%	36.36%	20.75%	9.76%	23.53%	16.04%	23.60%	25.00%	31.08%	30.19%	17.54%	19.37%	26.17%	28.45%	22.48%	25.37%	16.86%	19.23%	22.26%	28.21%	31.10%	18.81%	38.98%	24.14%	24.63%	14.47%	39.17%	25.00%	40.38%	30.48%	31.48%	23.90%	14.06%	41.89%									
26	"8. Политическая партия ""Партия народной свободы"" (ПАРНАС)"	79	3	7	0	5	7	3	2	3	4	1	2	1	3	1	3	4	3	2	1	2	1	1	5	0	1	1	0	0	0	0	0	0	0	0	0	0	0	1	4	0	0	5	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0									
		0.53%	0.73%	0.92%	0.00%	0.69%	0.81%	0.82%	0.45%	0.75%	1.10%	0.36%	0.54%	0.27%	0.67%	0.31%	0.74%	1.39%	0.92%	0.55%	0.33%	0.60%	0.27%	0.29%	1.42%	0.00%	0.98%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	1.75%	1.27%	0.00%	0.00%	3.88%	1.49%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.00%	0.00%	0.00%									
27	"9. Всероссийская политическая партия ""ПАРТИЯ РОСТА"""	57	1	5	1	4	4	2	0	5	1	2	1	4	1	0	4	3	2	2	2	0	2	2	0	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.38%	0.24%	0.66%	0.36%	0.56%	0.46%	0.55%	0.00%	1.25%	0.28%	0.72%	0.27%	1.07%	0.22%	0.00%	0.99%	1.04%	0.62%	0.55%	0.66%	0.00%	0.54%	0.59%	0.00%	0.00%	0.00%	0.78%	0.00%	0.00%	0.00%	0.00%	0.00%	0.84%	0.00%	0.00%	0.00%	0.45%	0.00%	0.00%	0.32%	0.00%	0.86%	0.00%	0.00%	0.00%	0.96%	0.66%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%									
28	"10. Общественная организация Всероссийская политическая партия ""Гражданская Сила"""	15	0	0	1	0	0	0	1	2	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0									
		0.10%	0.00%	0.00%	0.36%	0.00%	0.00%	0.00%	0.23%	0.50%	0.28%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.00%	0.00%	0.00%	0.00%	0.30%	0.00%	0.00%	0.28%	0.00%	0.98%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.90%	0.94%	0.00%	0.32%	0.00%	0.00%	0.00%	0.00%	0.38%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.40%	0.00%	0.00%									
29	"11. Политическая партия ""Российская объединенная демократическая партия ""ЯБЛОКО"""	99	3	3	1	8	11	2	7	2	2	2	5	6	6	4	5	1	4	1	2	2	2	2	2	1	0	0	2	0	0	1	1	0	0	1	0	0	2	0	3	0	1	0	0	0	0	1	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0									
		0.67%	0.73%	0.40%	0.36%	1.11%	1.27%	0.55%	1.59%	0.50%	0.55%	0.72%	1.34%	1.61%	1.35%	1.24%	1.23%	0.35%	1.23%	0.28%	0.66%	0.60%	0.54%	0.59%	0.57%	0.72%	0.00%	0.00%	0.65%	0.00%	0.00%	0.47%	0.81%	0.00%	0.00%	0.56%	0.00%	0.00%	1.89%	0.00%	0.95%	0.00%	0.86%	0.00%	0.00%	0.00%	0.00%	0.33%	0.00%	0.00%	0.00%	0.00%	0.00%	0.75%	2.63%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%									
30	"12. Политическая партия ""КОММУНИСТИЧЕСКАЯ ПАРТИЯ РОССИЙСКОЙ ФЕДЕРАЦИИ"""	2997	51	157	48	162	183	69	110	82	88	52	104	100	105	55	92	72	67	51	57	57	84	75	52	10	20	15	79	8	16	51	44	33	16	31	19	47	24	21	75	26	17	25	12	65	16	60	13	17	21	6	49	42	30	15	8	6	37	8	37	3	2									
		20.15%	12.35%	20.69%	17.39%	22.50%	21.08%	18.85%	25.00%	20.50%	24.24%	18.77%	27.88%	26.81%	23.54%	17.03%	22.72%	25.00%	20.62%	14.13%	18.87%	17.01%	22.83%	22.12%	14.81%	7.19%	19.61%	11.63%	25.48%	8.33%	16.16%	24.06%	35.77%	27.73%	15.09%	17.42%	16.96%	21.17%	22.64%	36.84%	23.81%	24.30%	14.66%	19.38%	17.91%	24.90%	15.38%	19.93%	16.67%	8.13%	20.79%	10.17%	18.77%	31.34%	39.47%	6.91%	15.38%	11.54%	17.62%	14.81%	14.74%	4.69%	2.70%									
31	"13. Политическая партия ""ПАТРИОТЫ РОССИИ"""	47	3	3	0	7	1	3	0	1	0	3	1	1	0	1	2	0	0	1	0	1	2	1	0	0	0	0	2	0	0	1	1	0	0	0	0	0	0	2	1	0	0	2	0	1	0	0	0	2	0	0	0	2	0	0	0	0	1	0	1	0	0									
		0.32%	0.73%	0.40%	0.00%	0.97%	0.12%	0.82%	0.00%	0.25%	0.00%	1.08%	0.27%	0.27%	0.00%	0.31%	0.49%	0.00%	0.00%	0.28%	0.00%	0.30%	0.54%	0.29%	0.00%	0.00%	0.00%	0.00%	0.65%	0.00%	0.00%	0.47%	0.81%	0.00%	0.00%	0.00%	0.00%	0.00%	0.00%	3.51%	0.32%	0.00%	0.00%	1.55%	0.00%	0.38%	0.00%	0.00%	0.00%	0.96%	0.00%	0.00%	0.00%	1.49%	0.00%	0.00%	0.00%	0.00%	0.48%	0.00%	0.40%	0.00%	0.00%									
32	14. Политическая партия СПРАВЕДЛИВАЯ РОССИЯ	690	6	23	9	49	84	19	37	33	24	11	30	20	36	10	30	4	12	38	26	23	20	17	5	4	0	3	9	0	0	4	1	2	3	2	3	3	0	0	8	3	4	2	2	5	3	12	0	7	3	1	10	1	5	7	0	0	7	3	3	2	2									
		4.64%	1.45%	3.03%	3.26%	6.81%	9.68%	5.19%	8.41%	8.25%	6.61%	3.97%	8.04%	5.36%	8.07%	3.10%	7.41%	1.39%	3.69%	10.53%	8.61%	6.87%	5.43%	5.01%	1.42%	2.88%	0.00%	2.33%	2.90%	0.00%	0.00%	1.89%	0.81%	1.68%	2.83%	1.12%	2.68%	1.35%	0.00%	0.00%	2.54%	2.80%	3.45%	1.55%	2.99%	1.92%	2.88%	3.99%	0.00%	3.35%	2.97%	1.69%	3.83%	0.75%	6.58%	3.23%	0.00%	0.00%	3.33%	5.56%	1.20%	3.13%	2.70%									
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
																																																																								
