7	Число избирательных бюллетеней в переносных ящиках для голосования	3309	15	35	23	34	20	28	29	25	20	28	40	33	30	36	72	26	34	33	28	32	30	48	41	35	40	22	22	49	37	26	25	23	27	40	32	41	81	21	36	51	38	16	42	13	46	19	58	32	34	30	18	24	44	21	17	25	18	23	26	41	26	30	19	30	45	35	45	29	34	26	35	45	27	32	20	30	31	29	20	33	21	34	18	15	19	43	22	26	39	48	27	35	30	232	146	0									
8	Число бюллетеней в стационарных ящиках для голосования	131516	1499	1028	1671	1610	1363	976	1506	1527	1509	1285	1354	1355	1534	1446	1275	1269	1451	1316	1305	1078	1194	1215	1344	1068	1341	1407	1828	1513	1318	1324	1246	1281	1084	1388	1436	1363	1385	1235	1389	1566	1048	1409	1362	1271	1537	1595	1253	1574	1022	1186	1068	1144	1348	1114	1083	1408	1368	1460	1578	1327	1188	1514	859	1833	1650	1665	1554	1771	1876	950	1487	1400	1911	1304	1213	1137	1402	1022	1362	1229	1108	1385	1048	1173	1221	1354	1305	985	1587	1713	1546	1851	1785	205	787	3699									
9	Число недействительных избирательных бюллетеней	1323	23	15	12	15	13	10	11	15	12	14	13	23	17	11	14	30	12	13	22	15	24	13	12	15	12	12	7	11	8	15	13	16	14	13	16	14	14	13	14	16	11	21	25	15	10	12	22	15	10	10	4	8	13	19	11	9	10	15	11	34	6	9	13	14	0	17	18	16	0	8	15	11	19	10	16	12	8	10	10	15	9	7	10	13	12	16	17	8	18	4	17	15	16	3	12	52									
10	Число действительных избирательных бюллетеней	133502	1491	1048	1682	1629	1370	994	1524	1537	1517	1299	1381	1365	1547	1471	1333	1265	1473	1336	1311	1095	1200	1250	1373	1088	1369	1417	1843	1551	1347	1335	1258	1288	1097	1415	1452	1390	1452	1243	1411	1601	1075	1404	1379	1269	1573	1602	1289	1591	1046	1206	1082	1160	1379	1116	1089	1424	1376	1468	1593	1334	1208	1535	865	1849	1695	1683	1581	1784	1910	968	1507	1434	1919	1326	1217	1155	1425	1041	1372	1247	1120	1412	1056	1175	1228	1381	1310	1003	1608	1757	1556	1871	1799	434	921	3647									
11	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
12	"Число избирательных бюллетеней, не учтенных при получении"	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0									
																																																																																																											
13	Бабурин Сергей Николаевич	1218	13	7	21	10	10	7	12	10	9	12	13	14	12	14	12	14	19	9	10	12	12	13	18	14	20	15	20	12	11	8	11	9	9	8	15	20	16	5	17	15	6	21	16	19	11	11	7	18	6	10	14	7	11	9	11	26	9	14	15	12	9	8	5	13	19	34	20	13	11	13	9	17	13	10	10	11	11	12	13	10	14	13	12	16	6	18	9	10	11	16	14	19	9	3	12	14									
		0.90%	0.86%	0.66%	1.24%	0.61%	0.72%	0.70%	0.78%	0.64%	0.59%	0.91%	0.93%	1.01%	0.77%	0.94%	0.89%	1.08%	1.28%	0.67%	0.75%	1.08%	0.98%	1.03%	1.30%	1.27%	1.45%	1.05%	1.08%	0.77%	0.81%	0.59%	0.87%	0.69%	0.81%	0.56%	1.02%	1.42%	1.09%	0.40%	1.19%	0.93%	0.55%	1.47%	1.14%	1.48%	0.69%	0.68%	0.53%	1.12%	0.57%	0.82%	1.29%	0.60%	0.79%	0.79%	1.00%	1.81%	0.65%	0.94%	0.94%	0.88%	0.74%	0.52%	0.57%	0.70%	1.12%	2.00%	1.25%	0.72%	0.58%	1.33%	0.59%	1.18%	0.67%	0.75%	0.81%	0.94%	0.77%	1.14%	0.94%	0.79%	1.24%	0.92%	1.13%	1.35%	0.48%	1.29%	0.68%	0.99%	0.68%	0.91%	0.89%	1.01%	0.50%	0.69%	1.29%	0.38%									
14	Грудинин Павел Николаевич	11549	212	106	139	175	127	117	135	155	156	134	125	128	126	120	95	97	124	132	116	111	103	125	113	70	134	117	179	144	112	106	99	98	85	109	141	145	110	80	121	164	102	108	131	132	149	117	125	122	144	120	124	116	130	94	119	109	92	44	136	91	90	95	110	124	179	145	117	123	94	73	89	122	172	86	93	79	102	77	98	100	85	125	104	109	83	106	143	101	164	191	127	171	153	36	68	325									
		8.57%	14.00%	9.97%	8.21%	10.64%	9.18%	11.65%	8.79%	9.99%	10.20%	10.21%	8.97%	9.22%	8.06%	8.10%	7.05%	7.49%	8.35%	9.79%	8.70%	10.00%	8.42%	9.90%	8.16%	6.35%	9.70%	8.19%	9.68%	9.22%	8.27%	7.85%	7.79%	7.52%	7.65%	7.63%	9.60%	10.33%	7.50%	6.37%	8.49%	10.14%	9.39%	7.58%	9.33%	10.28%	9.41%	7.25%	9.53%	7.60%	13.64%	9.87%	11.42%	9.93%	9.34%	8.28%	10.82%	7.61%	6.64%	2.97%	8.48%	6.65%	7.41%	6.15%	12.53%	6.66%	10.56%	8.53%	7.32%	6.83%	4.92%	7.48%	5.85%	8.44%	8.88%	6.44%	7.54%	6.77%	7.12%	7.33%	7.09%	7.92%	7.53%	8.81%	9.76%	9.18%	6.69%	7.59%	10.78%	9.99%	10.09%	10.85%	8.07%	9.07%	8.43%	8.24%	7.29%	8.79%									
15	Жириновский Владимир Вольфович	5334	57	28	67	81	49	38	36	40	53	85	48	50	54	55	54	45	49	47	53	41	46	38	40	48	47	34	44	74	61	45	38	64	46	69	68	59	66	33	89	40	35	60	57	47	68	50	52	57	35	48	50	55	57	54	34	61	53	117	65	53	84	63	26	75	108	115	50	59	61	39	35	54	75	40	56	54	59	47	58	53	48	56	50	40	54	59	72	36	53	56	66	54	105	19	42	126									
		3.96%	3.76%	2.63%	3.96%	4.93%	3.54%	3.78%	2.35%	2.58%	3.47%	6.47%	3.44%	3.60%	3.45%	3.71%	4.01%	3.47%	3.30%	3.48%	3.98%	3.69%	3.76%	3.01%	2.89%	4.35%	3.40%	2.38%	2.38%	4.74%	4.50%	3.33%	2.99%	4.91%	4.14%	4.83%	4.63%	4.20%	4.50%	2.63%	6.25%	2.47%	3.22%	4.21%	4.06%	3.66%	4.30%	3.10%	3.97%	3.55%	3.31%	3.95%	4.60%	4.71%	4.09%	4.76%	3.09%	4.26%	3.82%	7.89%	4.05%	3.87%	6.92%	4.08%	2.96%	4.03%	6.37%	6.76%	3.13%	3.28%	3.19%	3.99%	2.30%	3.74%	3.87%	2.99%	4.54%	4.63%	4.12%	4.47%	4.20%	4.20%	4.25%	3.95%	4.69%	3.37%	4.35%	4.22%	5.43%	3.56%	3.26%	3.18%	4.20%	2.86%	5.79%	4.35%	4.50%	3.41%									
16	Путин Владимир Владимирович	102522	1004	771	1288	1206	1027	705	1178	1114	1161	920	1047	1047	1196	1141	1047	950	1109	1032	957	766	888	940	1057	845	994	1133	1391	1137	1028	1050	1019	964	852	1125	1075	1042	1154	1019	1078	1160	813	1082	1023	940	1182	1276	983	1239	720	903	801	839	1043	858	807	1124	1099	1042	1228	1071	944	1293	643	1480	1257	1255	1291	1471	1623	769	1256	1109	1447	1105	972	892	1156	819	1114	950	883	1074	784	898	988	1095	975	735	1200	1267	1180	1436	1306	354	741	3070									
		76.04%	66.31%	72.53%	76.03%	73.36%	74.26%	70.22%	76.74%	71.78%	75.93%	70.07%	75.11%	75.43%	76.47%	76.99%	77.73%	73.36%	74.68%	76.50%	71.79%	69.01%	72.55%	74.43%	76.32%	76.61%	71.98%	79.29%	75.19%	72.79%	75.87%	77.78%	80.17%	73.93%	76.69%	78.78%	73.23%	74.22%	78.72%	81.13%	75.65%	71.74%	74.86%	75.93%	72.86%	73.21%	74.67%	79.06%	74.98%	77.15%	68.18%	74.26%	73.76%	71.83%	74.93%	75.59%	73.36%	78.44%	79.29%	70.26%	76.56%	78.29%	77.76%	83.74%	73.23%	79.44%	74.16%	73.82%	80.74%	81.72%	84.97%	78.79%	82.52%	76.75%	74.66%	82.71%	78.83%	76.44%	80.67%	77.93%	80.61%	75.28%	78.21%	75.69%	73.55%	75.59%	79.68%	78.38%	73.47%	72.70%	73.80%	71.95%	75.02%	76.14%	71.96%	81.01%	79.42%	82.99%									
17	Собчак Ксения Анатольевна	5442	114	59	69	73	63	52	63	117	51	62	65	58	64	45	56	64	71	50	94	73	67	58	55	45	69	46	81	77	50	49	40	66	40	45	62	56	53	47	41	91	60	55	74	48	81	65	53	61	35	59	43	61	59	37	47	47	47	73	66	60	38	30	39	69	51	36	41	57	47	41	30	49	89	42	29	58	42	31	45	62	50	55	48	51	43	42	50	48	67	95	59	81	98	7	32	58									
		4.04%	7.53%	5.55%	4.07%	4.44%	4.56%	5.18%	4.10%	7.54%	3.34%	4.72%	4.66%	4.18%	4.09%	3.04%	4.16%	4.94%	4.78%	3.71%	7.05%	6.58%	5.47%	4.59%	3.97%	4.08%	4.99%	3.22%	4.38%	4.93%	3.69%	3.63%	3.15%	5.06%	3.60%	3.15%	4.22%	3.99%	3.62%	3.74%	2.88%	5.63%	5.52%	3.86%	5.27%	3.74%	5.12%	4.03%	4.04%	3.80%	3.31%	4.85%	3.96%	5.22%	4.24%	3.26%	4.27%	3.28%	3.39%	4.92%	4.11%	4.39%	3.13%	1.94%	4.44%	3.70%	3.01%	2.12%	2.56%	3.17%	2.46%	4.20%	1.97%	3.39%	4.59%	3.14%	2.35%	4.97%	2.93%	2.95%	3.26%	4.91%	4.43%	3.88%	4.50%	4.29%	3.47%	3.01%	3.77%	4.75%	4.12%	5.39%	3.75%	4.29%	5.40%	1.60%	3.43%	1.57%									
18	Сурайкин Максим Александрович	1016	9	9	14	9	12	11	6	6	7	11	8	14	11	9	9	16	8	8	4	11	6	10	12	8	12	9	12	15	10	9	6	10	14	7	16	10	8	6	10	14	8	5	10	16	17	13	11	11	4	14	6	14	14	6	16	8	3	44	18	8	6	8	2	11	21	29	11	10	12	8	12	12	8	7	5	4	11	12	6	7	6	12	12	12	10	5	6	15	11	4	14	14	36	3	3	9									
		0.75%	0.59%	0.85%	0.83%	0.55%	0.87%	1.10%	0.39%	0.39%	0.46%	0.84%	0.57%	1.01%	0.70%	0.61%	0.67%	1.24%	0.54%	0.59%	0.30%	0.99%	0.49%	0.79%	0.87%	0.73%	0.87%	0.63%	0.65%	0.96%	0.74%	0.67%	0.47%	0.77%	1.26%	0.49%	1.09%	0.71%	0.55%	0.48%	0.70%	0.87%	0.74%	0.35%	0.71%	1.25%	1.07%	0.81%	0.84%	0.68%	0.38%	1.15%	0.55%	1.20%	1.01%	0.53%	1.45%	0.56%	0.22%	2.97%	1.12%	0.58%	0.49%	0.52%	0.23%	0.59%	1.24%	1.71%	0.69%	0.56%	0.63%	0.82%	0.79%	0.83%	0.41%	0.52%	0.41%	0.34%	0.77%	1.14%	0.43%	0.55%	0.53%	0.85%	1.13%	1.01%	0.81%	0.36%	0.45%	1.48%	0.68%	0.23%	0.89%	0.74%	1.98%	0.69%	0.32%	0.24%									
19	Титов Борис Юрьевич	2019	24	13	17	15	23	27	22	33	18	16	32	19	24	27	15	17	37	18	26	22	19	21	15	14	20	20	32	29	25	23	14	28	24	23	27	20	15	22	19	33	16	29	25	20	16	21	16	35	13	15	10	21	25	20	19	19	20	29	29	17	18	19	15	19	15	27	11	19	24	9	19	23	40	15	18	16	13	15	18	18	12	24	12	16	17	19	22	16	39	46	28	28	32	7	9	18									
		1.50%	1.59%	1.22%	1.00%	0.91%	1.66%	2.69%	1.43%	2.13%	1.18%	1.22%	2.30%	1.37%	1.53%	1.82%	1.11%	1.31%	2.49%	1.33%	1.95%	1.98%	1.55%	1.66%	1.08%	1.27%	1.45%	1.40%	1.73%	1.86%	1.85%	1.70%	1.10%	2.15%	2.16%	1.61%	1.84%	1.42%	1.02%	1.75%	1.33%	2.04%	1.47%	2.04%	1.78%	1.56%	1.01%	1.30%	1.22%	2.18%	1.23%	1.23%	0.92%	1.80%	1.80%	1.76%	1.73%	1.33%	1.44%	1.96%	1.81%	1.24%	1.48%	1.23%	1.71%	1.02%	0.88%	1.59%	0.69%	1.06%	1.26%	0.92%	1.25%	1.59%	2.06%	1.12%	1.46%	1.37%	0.91%	1.43%	1.30%	1.43%	1.06%	1.69%	1.13%	1.35%	1.37%	1.36%	1.66%	1.58%	2.40%	2.61%	1.78%	1.48%	1.76%	1.60%	0.96%	0.49%									
20	Явлинский Григорий Алексеевич	4402	58	55	67	60	59	37	72	62	62	59	43	35	60	60	45	62	56	40	51	59	59	45	63	44	73	43	84	63	50	45	31	49	27	29	48	38	30	31	36	84	35	44	43	47	49	49	42	48	89	37	34	47	40	38	36	30	53	105	36	22	19	19	25	58	45	42	40	32	38	16	57	48	75	21	34	41	31	28	20	47	22	53	34	33	27	37	33	42	63	82	68	68	60	5	14	27									
		3.26%	3.83%	5.17%	3.96%	3.65%	4.27%	3.69%	4.69%	3.99%	4.05%	4.49%	3.08%	2.52%	3.84%	4.05%	3.34%	4.79%	3.77%	2.97%	3.83%	5.32%	4.82%	3.56%	4.55%	3.99%	5.29%	3.01%	4.54%	4.03%	3.69%	3.33%	2.44%	3.76%	2.43%	2.03%	3.27%	2.71%	2.05%	2.47%	2.53%	5.19%	3.22%	3.09%	3.06%	3.66%	3.10%	3.04%	3.20%	2.99%	8.43%	3.04%	3.13%	4.02%	2.87%	3.35%	3.27%	2.09%	3.82%	7.08%	2.24%	1.61%	1.57%	1.23%	2.85%	3.11%	2.65%	2.47%	2.50%	1.78%	1.99%	1.64%	3.75%	3.32%	3.87%	1.57%	2.76%	3.51%	2.16%	2.66%	1.45%	3.72%	1.95%	3.74%	3.19%	2.78%	2.18%	2.65%	2.49%	4.15%	3.87%	4.66%	4.32%	3.61%	3.31%	1.14%	1.50%	0.73%									
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
																																																																																																											
