Выборы Президента Российской Федерации																																																																																										
																																																																																										
"Наименование Избирательной комиссии:    Екатеринбург, Кировская"																																																																																										
																																																																																										
Итоги голосования 																																																																																										
																																																																																										
		Сумма	УИК №1385	УИК №1386	УИК №1387	УИК №1388	УИК №1389	УИК №1390	УИК №1391	УИК №1392	УИК №1393	УИК №1394	УИК №1395	УИК №1396	УИК №1397	УИК №1398	УИК №1399	УИК №1400	УИК №1401	УИК №1402	УИК №1403	УИК №1404	УИК №1405	УИК №1406	УИК №1407	УИК №1408	УИК №1409	УИК №1410	УИК №1411	УИК №1412	УИК №1413	УИК №1414	УИК №1415	УИК №1416	УИК №1417	УИК №1418	УИК №1419	УИК №1420	УИК №1421	УИК №1422	УИК №1423	УИК №1424	УИК №1425	УИК №1426	УИК №1427	УИК №1428	УИК №1429	УИК №1430	УИК №1431	УИК №1432	УИК №1433	УИК №1434	УИК №1435	УИК №1436	УИК №1437	УИК №1438	УИК №1439	УИК №1440	УИК №1441	УИК №1442	УИК №1443	УИК №1444	УИК №1445	УИК №1446	УИК №1447	УИК №1448	УИК №1449	УИК №1450	УИК №1451	УИК №1452	УИК №1453	УИК №1454	УИК №1455	УИК №1456	УИК №1457	УИК №1458	УИК №1459	УИК №1460	УИК №1461	УИК №1462	УИК №1463	УИК №1464	УИК №1465	УИК №1466	УИК №1467					
		3.44%	4.15%	3.61%	3.14%	3.76%	3.35%	3.92%	2.83%	2.80%	2.36%	3.62%	2.93%	2.79%	3.32%	4.47%	4.38%	4.58%	3.73%	3.90%	2.79%	2.41%	4.59%	5.45%	3.36%	3.51%	4.41%	4.40%	4.08%	3.59%	3.62%	4.02%	3.66%	2.49%	3.35%	2.66%	4.09%	5.41%	4.40%	3.13%	3.27%	3.61%	4.60%	3.00%	3.48%	2.93%	5.31%	3.34%	4.69%	4.50%	3.18%	3.88%	3.49%	2.35%	3.19%	3.22%	4.54%	2.38%	2.78%	2.58%	1.85%	1.32%	2.68%	2.19%	5.57%	2.70%	3.94%	3.58%	4.14%	2.55%	2.65%	2.82%	5.52%	2.57%	3.05%	3.57%	3.35%	2.48%	1.95%	2.74%	3.39%	4.09%	3.69%	2.61%	3.49%					
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
																																																																																										
