Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации четвертого созыва																													
Дата голосования: 07.12.2003 0:00:00																													
																													
Наименование Избирательной комиссии:    Бабынинская																													
																													
Сводная таблица итогов голосования по пропорциональной системе выборов (Протокол №2)																													
																													
		Сумма	УИК  1	УИК  2	УИК  3	УИК  4	УИК  5	УИК  6	УИК  7	УИК  8	УИК  9	УИК  10	УИК  11	УИК  12	УИК  13	УИК  14	УИК  15	УИК  16	УИК  17	УИК  18	УИК  19	УИК  20	УИК  21	УИК  22					
		0.98%	0.0%	1.19%	1.89%	0.72%	0.33%	1.87%	0.73%	0.0%	0.40%	1.36%	0.29%	0.0%	0.0%	0.0%	0.78%	1.28%	0.48%	0.0%	0.0%	1.31%	1.51%	0.51%					
23	"6. ""Объединенная Российская партия ""Русь"""	30	0	1	1	4	3	0	1	0	0	0	5	0	0	0	0	0	1	1	1	4	8	0					
		0.31%	0.0%	0.59%	0.08%	0.72%	1.01%	0.0%	0.73%	0.0%	0.0%	0.0%	1.46%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.94%	1.13%	0.27%	0.48%	0.0%					
24	"7. ""Новый курс - Автомобильная Россия"""	78	0	0	9	3	0	1	3	2	0	2	1	0	0	2	0	2	0	0	2	18	14	19					
		0.82%	0.0%	0.0%	0.77%	0.54%	0.0%	0.62%	2.20%	0.49%	0.0%	1.36%	0.29%	0.0%	0.0%	0.70%	0.0%	0.85%	0.0%	0.0%	2.27%	1.24%	0.84%	1.39%					
25	"8. ""Народно-республиканская партия России"""	7	0	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	1	0	0	1	0	1					
		0.07%	0.0%	0.0%	0.08%	0.0%	0.33%	0.0%	0.0%	0.24%	0.0%	0.0%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.48%	0.0%	0.0%	0.06%	0.0%	0.07%					
26	"9. ""Российская экологическая партия ""Зеленые"""	23	0	2	2	0	1	0	0	2	1	0	0	0	0	1	0	0	0	0	0	1	6	7					
		0.24%	0.0%	1.19%	0.17%	0.0%	0.33%	0.0%	0.0%	0.49%	0.40%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.36%	0.51%					
27	"10. ""Аграрная партия России"""	398	2	11	62	38	18	17	3	16	23	25	12	1	5	28	9	7	17	5	5	30	35	29					
		4.22%	2.43%	6.54%	5.32%	6.92%	6.08%	10.62%	2.20%	3.96%	9.38%	17.12%	3.50%	0.83%	4.38%	9.89%	7.08%	2.99%	8.29%	4.71%	5.68%	2.07%	2.12%	2.12%					
28	"11. ""Истинные патриоты России"""	13	0	0	1	1	0	0	1	0	0	0	0	0	0	0	0	2	0	0	0	2	1	5					
		0.13%	0.0%	0.0%	0.08%	0.18%	0.0%	0.0%	0.73%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.85%	0.0%	0.0%	0.0%	0.13%	0.06%	0.36%					
29	"12. ""НАРОДНАЯ ПАРТИЯ Российской Федерации"""	93	2	0	13	7	3	0	0	1	0	1	3	0	0	2	0	0	1	1	3	14	22	20					
		0.98%	2.43%	0.0%	1.11%	1.27%	1.01%	0.0%	0.0%	0.24%	0.0%	0.68%	0.87%	0.0%	0.0%	0.70%	0.0%	0.0%	0.48%	0.94%	3.40%	0.96%	1.33%	1.46%					
30	"13. ""Демократическая партия России"""	5	0	0	1	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	1					
		0.05%	0.0%	0.0%	0.08%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	1.57%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.07%					
31	"14. ""Великая Россия - Евразийский Союз"""	16	0	0	4	0	2	0	0	1	1	1	1	0	0	0	0	0	0	0	0	3	3	0					
		0.16%	0.0%	0.0%	0.34%	0.0%	0.67%	0.0%	0.0%	0.24%	0.40%	0.68%	0.29%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.20%	0.18%	0.0%					
32	"15. ""Партия СЛОН"""	7	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	2	2					
		0.07%	0.0%	0.0%	0.0%	0.18%	0.0%	0.0%	0.0%	0.0%	0.0%	0.68%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.06%	0.12%	0.14%					
33	"16. ""Родина"" (народно-патриотический союз)"""	849	9	2	65	30	20	1	13	30	10	3	26	5	9	16	9	11	7	6	8	141	228	200					
		9.00%	10.97%	1.19%	5.58%	5.46%	6.75%	0.62%	9.55%	7.42%	4.08%	2.05%	7.60%	4.16%	7.89%	5.65%	7.08%	4.70%	3.41%	5.66%	9.09%	9.73%	13.81%	14.68%					
34	"17. ""Партия Мира и Единства (ПМЕ)"""	28	0	1	4	2	3	1	0	0	1	0	1	1	0	0	0	1	1	0	0	12	0	0					
		0.29%	0.0%	0.59%	0.34%	0.36%	1.01%	0.62%	0.0%	0.0%	0.40%	0.0%	0.29%	0.83%	0.0%	0.0%	0.0%	0.42%	0.48%	0.0%	0.0%	0.82%	0.0%	0.0%					
35	"18. ""ЛДПР"""	1307	8	36	163	82	38	16	14	36	24	20	41	11	12	24	24	24	18	14	11	203	244	244					
		13.86%	9.75%	21.42%	14.00%	14.93%	12.83%	10.0%	10.29%	8.91%	9.79%	13.69%	11.98%	9.16%	10.52%	8.48%	18.89%	10.25%	8.78%	13.20%	12.5%	14.00%	14.78%	17.91%					
36	"19. ""Партия Возрождения России - Российская партия ЖИЗНИ"""	193	0	1	26	10	4	0	1	3	8	0	6	3	0	9	4	5	3	0	4	35	47	24					
		2.04%	0.0%	0.59%	2.23%	1.82%	1.35%	0.0%	0.73%	0.74%	3.26%	0.0%	1.75%	2.5%	0.0%	3.18%	3.14%	2.13%	1.46%	0.0%	4.54%	2.41%	2.84%	1.76%					
37	"20. ""Политическая партия ""Единая Россия"""	3687	47	78	389	163	122	68	60	251	120	73	145	85	69	117	26	79	101	44	29	581	605	435					
		39.09%	57.31%	46.42%	33.41%	29.69%	41.21%	42.5%	44.11%	62.12%	48.97%	50.0%	42.39%	70.83%	60.52%	41.34%	20.47%	33.76%	49.26%	41.50%	32.95%	40.09%	36.66%	31.93%					
38	"21. ""Российская Конституционно-демократическая партия"""	15	0	0	2	0	0	0	0	1	0	0	0	0	0	1	0	1	1	0	0	2	7	0					
		0.15%	0.0%	0.0%	0.17%	0.0%	0.0%	0.0%	0.0%	0.24%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.42%	0.48%	0.0%	0.0%	0.13%	0.42%	0.0%					
39	"22. ""Развитие предпринимательства"""	17	0	1	2	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	2	6	2					
		0.18%	0.0%	0.59%	0.17%	0.18%	0.67%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.0%	0.35%	0.0%	0.0%	0.0%	0.0%	0.0%	0.13%	0.36%	0.14%					
40	"23. ""Коммунистическая партия Российской Федерации (КПРФ)"""	1183	2	19	199	112	36	33	11	15	38	2	57	10	8	35	28	78	30	17	9	169	157	118					
		12.54%	2.43%	11.30%	17.09%	20.40%	12.16%	20.62%	8.08%	3.71%	15.51%	1.36%	16.66%	8.33%	7.01%	12.36%	22.04%	33.33%	14.63%	16.03%	10.22%	11.66%	9.51%	8.66%					
																													
41	Против всех	537	2	4	82	23	23	2	14	8	13	7	11	4	5	11	14	9	2	11	3	84	100	105					
		5.69%	2.43%	2.38%	7.04%	4.18%	7.77%	1.25%	10.29%	1.98%	5.30%	4.79%	3.21%	3.33%	4.38%	3.88%	11.02%	3.84%	0.97%	10.37%	3.40%	5.79%	6.06%	7.70%					
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
																													
