Выборы депутатов Государственной Думы Федерального Собрания Российской Федерации пятого созыва																																																																																				
Дата голосования: 02.12.2007																																																																																				
																																																																																				
"Наименование Избирательной комиссии:    Астрахань, Ленинская"																																																																																				
																																																																																				
Сводная таблица результатов выборов																																																																																				
																																																																																				
		Сумма	УИК №472	УИК №473	УИК №474	УИК №475	УИК №476	УИК №477	УИК №478	УИК №479	УИК №480	УИК №481	УИК №482	УИК №483	УИК №484	УИК №485	УИК №486	УИК №487	УИК №488	УИК №489	УИК №490	УИК №491	УИК №492	УИК №493	УИК №494	УИК №495	УИК №496	УИК №497	УИК №498	УИК №499	УИК №500	УИК №501	УИК №502	УИК №503	УИК №504	УИК №505	УИК №506	УИК №507	УИК №508	УИК №509	УИК №510	УИК №511	УИК №512	УИК №513	УИК №514	УИК №515	УИК №516	УИК №517	УИК №518	УИК №519	УИК №520	УИК №521	УИК №522	УИК №523	УИК №524	УИК №525	УИК №526	УИК №527	УИК №528	УИК №529	УИК №530	УИК №531	УИК №532	УИК №533	УИК №534	УИК №535	УИК №536	УИК №537	УИК №538	УИК №539	УИК №540	УИК №541	УИК №542	УИК №543	УИК №544	УИК №545	УИК №546	УИК №547	УИК №548					
14	Число погашенных неиспользованных открепительных удостоверений	188	0	6	6	3	0	2	3	15	1	2	1	8	10	9	5	22	0	0	0	0	1	10	0	0	2	0	0	1	0	3	0	7	0	0	1	3	0	1	2	0	10	1	0	0	2	0	0	3	2	1	7	4	2	0	4	4	0	0	0	3	5	0	0	0	1	1	1	8	0	2	0	0	3	0	0	0	0					
15	"Число открепительных удостоверений, выданных избирателям территориальной избирательной комиссией"	13	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	3	0	0	1	0	0	0	1	0	0	0	0	0					
16	Число утраченных избирательных бюллетеней	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17	"Число избирательных бюллетеней, не учтенных при получении"	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17а	Число утраченных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
17б	Число не учтенных открепительных удостоверений	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0					
																																																																																				
18	1.Политическая партия «Аграрная партия России»	530	10	6	5	5	5	6	2	5	12	4	8	11	10	5	6	4	12	9	7	7	5	12	6	10	7	10	3	1	10	2	5	14	9	9	8	3	4	2	9	5	2	2	7	2	4	4	13	6	6	3	3	4	20	12	10	5	7	11	5	9	12	11	22	9	12	7	4	1	7	2	4	2	2	7	6	10	4					
		0.80%	0.83%	0.67%	0.86%	0.71%	0.59%	0.98%	0.17%	0.90%	0.83%	0.40%	0.65%	0.92%	1.04%	0.61%	0.64%	0.90%	1.42%	0.77%	1.00%	0.81%	0.59%	1.28%	0.90%	1.35%	0.90%	1.48%	0.50%	0.13%	0.91%	0.53%	0.58%	1.25%	1.34%	0.98%	0.82%	0.42%	0.62%	0.27%	1.17%	0.53%	0.40%	0.29%	0.79%	0.31%	0.45%	0.50%	1.41%	0.57%	0.89%	0.35%	0.38%	0.67%	2.38%	0.85%	0.87%	0.81%	1.06%	0.91%	0.68%	1.10%	1.24%	1.01%	1.79%	1.41%	1.13%	0.72%	0.52%	0.10%	0.58%	0.30%	0.44%	0.30%	0.24%	0.72%	0.74%	0.74%	2.19%					
19	2.Всероссийская политическая партия «Гражданская Сила»	502	7	5	4	7	1	4	9	1	3	6	14	14	5	5	3	0	8	4	1	10	2	2	3	3	2	0	2	3	4	0	5	6	3	12	7	7	3	2	5	8	5	4	17	6	6	8	8	17	6	5	3	7	20	20	7	15	5	13	14	13	9	17	14	11	5	7	6	10	5	4	9	2	1	6	1	6	0					
		0.76%	0.58%	0.56%	0.69%	1.00%	0.12%	0.65%	0.78%	0.18%	0.21%	0.60%	1.13%	1.17%	0.52%	0.61%	0.32%	0.00%	0.95%	0.34%	0.14%	1.16%	0.24%	0.21%	0.45%	0.40%	0.26%	0.00%	0.33%	0.39%	0.36%	0.00%	0.58%	0.53%	0.45%	1.30%	0.72%	0.98%	0.46%	0.27%	0.65%	0.84%	0.99%	0.57%	1.91%	0.93%	0.67%	1.01%	0.87%	1.62%	0.89%	0.59%	0.38%	1.17%	2.38%	1.41%	0.61%	2.43%	0.76%	1.07%	1.89%	1.59%	0.93%	1.55%	1.14%	1.72%	0.47%	0.72%	0.78%	1.02%	0.42%	0.60%	0.98%	0.30%	0.12%	0.61%	0.12%	0.45%	0.00%					
20	3.Политическая партия «Демократическая партия России»	76	1	4	1	3	1	1	1	0	1	0	0	2	0	1	0	0	0	2	0	1	2	1	0	1	1	1	1	0	0	0	2	0	0	1	1	1	0	1	1	3	0	4	0	0	1	0	1	4	1	0	2	0	2	6	2	0	2	2	0	2	0	0	0	0	0	3	0	1	0	2	0	0	0	1	1	2	1					
		0.11%	0.08%	0.45%	0.17%	0.43%	0.12%	0.16%	0.09%	0.00%	0.07%	0.00%	0.00%	0.17%	0.00%	0.12%	0.00%	0.00%	0.00%	0.17%	0.00%	0.12%	0.24%	0.11%	0.00%	0.13%	0.13%	0.15%	0.17%	0.00%	0.00%	0.00%	0.23%	0.00%	0.00%	0.11%	0.10%	0.14%	0.00%	0.13%	0.13%	0.32%	0.00%	0.57%	0.00%	0.00%	0.11%	0.00%	0.11%	0.38%	0.15%	0.00%	0.26%	0.00%	0.24%	0.42%	0.17%	0.00%	0.30%	0.16%	0.00%	0.25%	0.00%	0.00%	0.00%	0.00%	0.00%	0.31%	0.00%	0.10%	0.00%	0.30%	0.00%	0.00%	0.00%	0.10%	0.12%	0.15%	0.55%					
21	4.Политическая партия «Коммунистическая партия Российской Федерации»	5452	90	71	48	73	78	49	89	29	120	97	82	79	72	59	71	32	81	84	46	54	58	72	57	76	76	42	36	61	108	29	103	84	48	93	92	50	44	58	87	77	38	65	74	62	84	91	71	128	49	64	52	43	92	104	71	70	54	106	64	77	84	64	88	66	100	62	60	103	98	44	85	57	72	95	66	85	9					
		8.25%	7.51%	7.92%	8.28%	10.43%	9.27%	8.02%	7.76%	5.22%	8.32%	9.66%	6.62%	6.59%	7.49%	7.24%	7.62%	7.17%	9.59%	7.14%	6.59%	6.28%	6.88%	7.67%	8.60%	10.23%	9.73%	6.21%	6.00%	7.89%	9.78%	7.71%	11.88%	7.49%	7.13%	10.10%	9.40%	6.99%	6.78%	7.79%	11.31%	8.11%	7.55%	9.33%	8.32%	9.61%	9.41%	11.43%	7.72%	12.21%	7.27%	7.52%	6.67%	7.19%	10.95%	7.35%	6.20%	11.33%	8.17%	8.73%	8.65%	9.44%	8.70%	5.85%	7.15%	10.31%	9.42%	6.37%	7.84%	10.48%	8.16%	6.55%	9.29%	8.56%	8.71%	9.70%	8.12%	6.32%	4.92%					
22	5.Политическая партия «СОЮЗ ПРАВЫХ СИЛ»	318	3	0	1	1	1	4	7	0	2	0	5	6	8	0	1	1	7	2	2	6	1	3	6	2	4	1	1	3	5	2	3	7	5	6	9	8	6	2	2	5	2	2	6	3	4	6	3	12	2	4	1	1	4	20	3	6	9	9	5	5	4	8	3	7	8	3	4	11	2	5	3	3	1	2	1	5	3					
		0.48%	0.25%	0.00%	0.17%	0.14%	0.12%	0.65%	0.61%	0.00%	0.14%	0.00%	0.40%	0.50%	0.83%	0.00%	0.11%	0.22%	0.83%	0.17%	0.29%	0.70%	0.12%	0.32%	0.90%	0.27%	0.51%	0.15%	0.17%	0.39%	0.45%	0.53%	0.35%	0.62%	0.74%	0.65%	0.92%	1.12%	0.92%	0.27%	0.26%	0.53%	0.40%	0.29%	0.67%	0.47%	0.45%	0.75%	0.33%	1.15%	0.30%	0.47%	0.13%	0.17%	0.48%	1.41%	0.26%	0.97%	1.36%	0.74%	0.68%	0.61%	0.41%	0.73%	0.24%	1.09%	0.75%	0.31%	0.52%	1.12%	0.17%	0.74%	0.33%	0.45%	0.12%	0.20%	0.12%	0.37%	1.64%					
23	6.Политическая партия «Партия социальной справедливости»	98	3	1	0	1	0	0	4	0	2	0	2	3	0	4	2	1	0	1	1	1	1	4	1	0	1	1	0	2	1	0	2	2	1	2	1	0	0	1	1	3	0	1	1	1	2	4	1	1	1	0	0	0	0	6	0	1	1	3	0	1	1	3	3	1	1	4	0	2	1	0	1	2	3	1	0	1	0					
		0.15%	0.25%	0.11%	0.00%	0.14%	0.00%	0.00%	0.35%	0.00%	0.14%	0.00%	0.16%	0.25%	0.00%	0.49%	0.21%	0.22%	0.00%	0.09%	0.14%	0.12%	0.12%	0.43%	0.15%	0.00%	0.13%	0.15%	0.00%	0.26%	0.09%	0.00%	0.23%	0.18%	0.15%	0.22%	0.10%	0.00%	0.00%	0.13%	0.13%	0.32%	0.00%	0.14%	0.11%	0.16%	0.22%	0.50%	0.11%	0.10%	0.15%	0.00%	0.00%	0.00%	0.00%	0.42%	0.00%	0.16%	0.15%	0.25%	0.00%	0.12%	0.10%	0.27%	0.24%	0.16%	0.09%	0.41%	0.00%	0.20%	0.08%	0.00%	0.11%	0.30%	0.36%	0.10%	0.00%	0.07%	0.00%					
24	7.Политическая партия «Либерально-демократическая партия России»	4038	32	73	44	70	70	43	90	33	116	48	104	90	47	67	60	21	51	53	68	63	61	86	61	67	30	49	46	33	102	41	51	78	44	45	69	57	39	41	40	78	55	41	67	46	55	55	55	59	37	27	41	31	39	95	70	46	23	73	36	41	40	69	61	24	18	45	42	64	11	10	57	37	65	52	31	51	8					
		6.11%	2.67%	8.15%	7.59%	10.00%	8.32%	7.04%	7.85%	5.94%	8.04%	4.78%	8.40%	7.51%	4.89%	8.22%	6.44%	4.71%	6.04%	4.51%	9.74%	7.33%	7.24%	9.16%	9.20%	9.02%	3.84%	7.25%	7.67%	4.27%	9.24%	10.90%	5.88%	6.95%	6.54%	4.89%	7.05%	7.97%	6.01%	5.50%	5.20%	8.21%	10.93%	5.88%	7.54%	7.13%	6.16%	6.91%	5.98%	5.63%	5.49%	3.17%	5.26%	5.18%	4.64%	6.71%	6.11%	7.44%	3.48%	6.01%	4.86%	5.02%	4.15%	6.31%	4.96%	3.75%	1.69%	4.62%	5.49%	6.51%	0.92%	1.49%	6.23%	5.56%	7.86%	5.31%	3.81%	3.79%	4.37%					
25	8.Политическая партия «СПРАВЕДЛИВАЯ РОССИЯ: РОДИНА/ПЕНСИОНЕРЫ/ЖИЗНЬ»	19145	365	222	158	186	182	171	343	151	333	242	272	219	178	238	312	130	216	220	229	208	209	238	147	177	159	95	93	221	302	98	293	376	276	321	337	239	234	276	244	317	125	215	283	181	296	281	326	352	214	250	288	166	279	293	323	174	277	513	276	286	342	349	453	252	343	273	277	275	371	141	318	248	282	275	99	186	36					
		28.97%	30.47%	24.78%	27.24%	26.57%	21.64%	27.99%	29.90%	27.16%	23.09%	24.10%	21.97%	18.27%	18.52%	29.20%	33.48%	29.15%	25.56%	18.71%	32.81%	24.19%	24.79%	25.35%	22.17%	23.82%	20.36%	14.05%	15.50%	28.59%	27.36%	26.06%	33.79%	33.51%	41.01%	34.85%	34.42%	33.43%	36.06%	37.05%	31.73%	33.37%	24.85%	30.85%	31.83%	28.06%	33.15%	35.30%	35.43%	33.59%	31.75%	29.38%	36.92%	27.76%	33.21%	20.71%	28.21%	28.16%	41.91%	42.26%	37.30%	35.05%	35.44%	31.90%	36.80%	39.38%	32.30%	28.06%	36.21%	27.98%	30.89%	20.98%	34.75%	37.24%	34.10%	28.09%	12.18%	13.82%	19.67%					
26	9.Политическая партия «ПАТРИОТЫ РОССИИ»	470	6	7	4	7	2	3	8	5	10	7	10	9	5	4	7	2	8	5	9	6	4	12	9	4	6	9	6	6	12	2	6	6	4	3	5	6	1	5	11	11	2	9	7	1	14	6	1	9	3	2	0	3	2	10	12	6	4	8	6	11	5	7	9	4	4	10	5	10	5	6	1	6	9	3	4	14	0					
		0.71%	0.50%	0.78%	0.69%	1.00%	0.24%	0.49%	0.70%	0.90%	0.69%	0.70%	0.81%	0.75%	0.52%	0.49%	0.75%	0.45%	0.95%	0.43%	1.29%	0.70%	0.47%	1.28%	1.36%	0.54%	0.77%	1.33%	1.00%	0.78%	1.09%	0.53%	0.69%	0.53%	0.59%	0.33%	0.51%	0.84%	0.15%	0.67%	1.43%	1.16%	0.40%	1.29%	0.79%	0.16%	1.57%	0.75%	0.11%	0.86%	0.45%	0.24%	0.00%	0.50%	0.24%	0.71%	1.05%	0.97%	0.61%	0.66%	0.81%	1.35%	0.52%	0.64%	0.73%	0.63%	0.38%	1.03%	0.65%	1.02%	0.42%	0.89%	0.11%	0.90%	1.09%	0.31%	0.49%	1.04%	0.00%					
27	10.Всероссийская политическая партия «ЕДИНАЯ РОССИЯ»	34064	665	487	310	338	489	316	577	327	812	564	724	748	617	416	448	245	446	772	327	500	487	488	357	389	478	459	404	429	539	197	368	513	268	406	435	329	310	340	352	426	263	335	409	330	415	328	429	429	333	489	372	323	361	810	624	280	251	443	306	352	435	532	553	256	549	537	351	479	678	445	409	301	374	512	596	954	119					
		51.54%	55.51%	54.35%	53.45%	48.29%	58.15%	51.72%	50.31%	58.81%	56.31%	56.18%	58.48%	62.39%	64.20%	51.04%	48.07%	54.93%	52.78%	65.65%	46.85%	58.14%	57.77%	51.97%	53.85%	52.36%	61.20%	67.90%	67.33%	55.50%	48.82%	52.39%	42.45%	45.72%	39.82%	44.08%	44.43%	46.01%	47.77%	45.64%	45.77%	44.84%	52.29%	48.06%	46.01%	51.16%	46.47%	41.21%	46.63%	40.94%	49.41%	57.46%	47.69%	54.01%	42.98%	57.24%	54.50%	45.31%	37.97%	36.49%	41.35%	43.14%	45.08%	48.63%	44.92%	40.00%	51.69%	55.19%	45.88%	48.73%	56.45%	66.22%	44.70%	45.20%	45.22%	52.30%	73.31%	70.88%	65.03%					
28	11.Политическая партия «Российская объединенная демократическая партия «ЯБЛОКО»	632	4	3	1	1	4	5	7	0	10	10	9	11	4	6	7	2	2	7	2	3	5	8	6	4	5	1	3	6	8	2	20	22	7	13	15	4	4	8	5	10	2	8	14	4	9	6	3	18	18	6	4	9	9	20	9	8	14	24	15	11	19	19	20	4	5	9	13	18	8	5	18	3	5	6	2	11	2					
		0.96%	0.33%	0.33%	0.17%	0.14%	0.48%	0.82%	0.61%	0.00%	0.69%	0.99%	0.73%	0.92%	0.42%	0.74%	0.75%	0.45%	0.24%	0.60%	0.29%	0.35%	0.59%	0.85%	0.90%	0.54%	0.64%	0.15%	0.50%	0.78%	0.72%	0.53%	2.31%	1.96%	1.04%	1.41%	1.53%	0.56%	0.62%	1.07%	0.65%	1.05%	0.40%	1.15%	1.57%	0.62%	1.01%	0.75%	0.33%	1.72%	2.67%	0.71%	0.51%	1.51%	1.07%	1.41%	0.79%	1.29%	2.12%	1.98%	2.03%	1.35%	1.97%	1.74%	1.62%	0.63%	0.47%	0.92%	1.70%	1.83%	0.67%	0.74%	1.97%	0.45%	0.60%	0.61%	0.25%	0.82%	1.09%					
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
																																																																																				
